	PET_vs_PS_fold_change_log2	PET_vs_PS_p_value	PET_vs_Untreated_fold_change_log2	PET_vs_Untreated_p_value	PS_vs_Untreated_fold_change_log2	PS_vs_Untreated_p_value
bacteriohopane-32,33, 34-triol-35-carbamate	0.0218120552074524	0.98218415198853	-0.175273200142346	0.387275715585681	-0.197085255349799	0.302228297659179
(9E)-9-nitrooctadecenoic acid	-0.0313752914105468	0.96676850426429	-0.112152771688136	0.671627494642033	-0.0807774802775889	0.814811023006381
Precorallopyronin A	-0.321163887539979	0.273450502523737	0.0098392422000383	0.998328942038178	0.331003129740017	0.251859853562346
DG(13:0/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)[iso2]	0.362473928750104	0.173705368639574	0	1	-0.362473928750104	0.173705368639574
Eerectquione B	-0.303348643231658	0.330589433219988	0.00177120666370286	0.999949727521196	0.305119849895361	0.32621684715581
(5Z,9Z)-2-methoxy-hexacosadienoic acid	0.333166528138314	0.193821296924579	0	1	-0.333166528138314	0.193821296924579
farnesyl acetone	0.124820494222761	0.692464792812938	-0.147067320304691	0.656368273988573	-0.271887814527452	0.232361437194932
22-keto-26-Hexacosanolide	0.208917534616712	0.43010894202215	-0.0836609556053734	0.890315011240018	-0.292578490222085	0.224744051117491
Aspereline E	-0.226096095141417	0.549171517344199	0.107897567955521	0.837754861879086	0.333993663096938	0.261912954098732
(11Z,14Z)-eicosadienoylcarnitine	0.222392421336448	0.539497126100338	0.159683907116763	0.732671349207935	-0.0627085142196848	0.944653438314945
(13Z,16Z)-docosadienoylcarnitine	0.261315787001231	0.333236019933938	0.0393641067162108	0.977236279439679	-0.22195168028502	0.436075546982176
stearolic acid	0.0937083554206954	0.77606272597747	-0.126293475014153	0.675972633568592	-0.220001830434848	0.301666827838173
(2E)-18-hydroxyoctadec-2-enoic acid	0.139495438223586	0.680725492095082	-0.105413507396535	0.828710118594879	-0.244908945620121	0.34915274026697
