"samples"	"PC1"	"PC2"	"PC3"
"20260624_CVOL_Darleen_A549_110626_PET100.mzML"	-0.229211567025804	0.0306310800579036	-0.0231860731780207
"20260624_CVOL_Darleen_A549_110626_PS100.mzML"	-0.223364767329584	0.179688240931275	0.128703732988921
"20260624_CVOL_Darleen_A549_110626_untreated.mzML"	-0.230893060738039	-0.114949724965056	-0.137194575159236
"20260624_CVOL_Darleen_A549_180626_PET100.mzML"	-0.268316262247179	0.00990577968558072	0.0896814802395491
"20260624_CVOL_Darleen_A549_180626_PS100.mzML"	-0.300385489823273	-0.135952835723644	0.0408445594118323
"20260624_CVOL_Darleen_A549_180626_untreated.mzML"	-0.289921137941688	-0.260492088615744	-0.097786879595131
"20260624_CVOL_Darleen_A549_210626_PET100.mzML"	-0.231796128169412	0.117487272357069	0.150680988057503
"20260624_CVOL_Darleen_A549_210626_PS100.mzML"	-0.249669415231459	0.109105993978639	0.0212067555161014
"20260624_CVOL_Darleen_A549_210626_untreated.mzML"	-0.320947393969925	0.111695555640821	-0.0577422955061691
"20260624_CVOL_Darleen_MDM_160526_PET100.mzML"	0.271202802501643	0.133536803042623	0.199281842886176
"20260624_CVOL_Darleen_MDM_160526_PS100.mzML"	0.278030871454088	0.585673478907153	0.260445441860571
"20260624_CVOL_Darleen_MDM_160526_untreated.mzML"	0.354522320302663	0.0671435202102678	0.389682476301588
"20260624_CVOL_Darleen_MDM_A_190626_PET100.mzML"	0.166924558759258	0.336409361140214	-0.461450609086805
"20260624_CVOL_Darleen_MDM_A_190626_PS100.mzML"	0.333870440338407	-0.059830032759391	-0.397297727069482
"20260624_CVOL_Darleen_MDM_A_190626_untreated.mzML"	0.257538913788934	-0.00814714480498928	-0.456781521241045
"20260624_CVOL_Darleen_MDM_B_190626_PET100.mzML"	0.163143926628962	-0.260421675386647	0.0499919211914663
"20260624_CVOL_Darleen_MDM_B_190626_PS100_20260626090336.mzML"	0.271025896702124	-0.365226543027183	0.0558819812117951
"20260624_CVOL_Darleen_MDM_B_190626_untreated.mzML"	0.248245492000288	-0.476257040668892	0.245038501170386
