"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"100_181.12_0.6",100,181.122310466315,0.62905955,"C11H16O2"
"1000_715.49_3.7",1000,715.489422418892,3.73669,NA
"1001_702.49_3.7",1001,702.494814328186,3.7377226,"C41H64O8"
"1008_607.5_3.7",1008,607.504853190133,3.742204,"C36H63NO5"
"1012_530.35_3.7",1012,530.347871521916,3.7113104,"C31H44O6"
"1015_629.49_3.7",1015,629.486723111522,3.749127,"C38H64N2O5"
"1016_543.34_3.7",1016,543.34304998433,3.7116256,"C31H46N2O6"
"102_198.15_0.6",102,198.148937254157,0.63064283,"C11H16O2"
"1021_485.29_3.7",1021,485.290171292058,3.7356741,"C29H40O6"
"1022_502.32_3.7",1022,502.31677152841,3.734649,"C29H40O6"
"1024_507.27_3.8",1024,507.271813845732,3.7949147,"C27H36N6O5"
"1026_454.4_3.8",1026,454.400633987303,3.7866752,"C26H51N3O3"
"1027_441.4_3.8",1027,441.40480399557,3.786834,"C26H49NO3"
"1029_281.27_3.8",1029,281.267135569925,3.784043,NA
"1030_280.26_3.8",1030,280.263772002162,3.7825055,"C18H30O"
"1036_418.33_3.8",1036,418.32924564356,3.8235497,"C24H45NO3"
"1038_629.49_3.8",1038,629.486751055558,3.768029,"C38H61NO5"
"1040_507.27_3.8",1040,507.271843631742,3.826091,"C29H40O6"
"1050_463.43_3.9",1050,463.425960552567,3.8582873,"C29H51NO2"
"1058_530.35_3.9",1058,530.347885559673,3.9225173,"C31H44O6"
"1059_441.41_3.9",1059,441.405003613172,3.8997018,"C26H49NO3"
"1060_454.4_3.9",1060,454.400630185711,3.9044223,"C26H48N2O3"
"1061_617.52_3.9",1061,617.52298961455,3.9055989,"C33H68N4O6"
"107_379.26_0.6",107,379.257145573354,0.64717215,"C21H31NO4"
"1070_543.34_3.9",1070,543.343069183121,3.9478445,"C31H46N2O6"
"1071_298.27_3.9",1071,298.274046788373,3.9410074,"C18H32O2"
"1077_609.52_4",1077,609.520406916477,4.0371456,"C36H65NO5"
"1083_627.53_4",1083,627.531026356406,4.01287,"C36H67NO6"
"1084_649.51_4",1084,649.513565477042,4.020845,NA
"1087_548.31_4",1087,548.313815813738,4.0267553,"C32H47NO4"
"1088_503.26_4",1088,503.256554818114,4.02606,"C22H36N6O6"
"1089_561.31_4",1089,561.309092841445,4.027362,NA
"1090_520.28_4",1090,520.283099595532,4.026093,"C30H34N2O5"
"1091_543.34_4",1091,543.343063747633,4.005651,"C31H46N2O6"
"1097_530.35_4",1097,530.347755683473,4.001333,"C31H47NO6"
"110_325.25_0.7",110,325.248375887699,0.6511773,"C18H29NO3"
"1106_617.52_4.1",1106,617.522761615592,4.060605,"C33H68N4O6"
"1107_500.47_4.1",1107,500.467825732218,4.085732,"C30H58O4"
"111_346.26_0.7",111,346.25876988796,0.65442985,"C18H32O5"
"1111_611.54_4.1",1111,611.536067821621,4.0972414,"C36H67NO5"
"1112_633.52_4.1",1112,633.518225999491,4.09715,"C36H70N2O5"
"1113_669.59_4.1",1113,669.589061840091,4.097654,"C38H73N3O5"
"1114_627.53_4.1",1114,627.531020771291,4.1047792,"C41H72O5"
"1115_382.37_4.1",1115,382.36797661367,4.105319,"C24H44O2"
"1116_649.51_4.1",1116,649.513574465085,4.106526,NA
"1117_685.58_4.1",1117,685.584205530432,4.107594,"C38H73N3O6"
"1144_458.45_4.2",1144,458.446557256657,4.1767826,NA
"1147_456.44_4.2",1147,456.441427609226,4.17706,"C28H54O3"
"115_290.27_0.7",115,290.268898997332,0.671533,"C16H32O3"
"1156_633.52_4.2",1156,633.517937479807,4.153477,"C36H70N2O5"
"116_364.21_0.7",116,364.209327749872,0.671836,"C18H31NO5"
"1167_468.42_4.3",1167,468.416182894209,4.2674093,"C27H53N3O3"
"117_202.22_0.7",117,202.216536836585,0.67278785,"C12H24O"
"118_324.22_0.7",118,324.216343554262,0.6827691,"C18H26O4"
"1185_631.5_4.4",1185,631.502497061555,4.378173,"C36H68N2O5"
"119_315.19_0.7",119,315.185458713117,0.68573165,"C22H22N2"
"1192_468.42_4.4",1192,468.416297588265,4.3964167,"C27H55N3O4"
"120_306.21_0.7",120,306.205719143958,0.69107836,"C18H24O3"
"1202_280.26_4.4",1202,280.263593188393,4.427099,"C18H30O"
"1207_296.26_4.4",1207,296.258339908697,4.4317217,"C18H30O2"
"1209_667.57_4.4",1209,667.573385824708,4.4380555,"C38H76N4O6"
"121_284.22_0.7",121,284.221891006606,0.6926948,"C16H26O3"
"122_266.21_0.7",122,266.211410176479,0.69656,"C16H24O2"
"1221_609.52_4.5",1221,609.520327511478,4.469841,"C36H65NO5"
"1224_396.38_4.5",1224,396.3835934544,4.473599,"C25H46O2"
"1226_441.44_4.5",1226,441.441282348941,4.483996,"C27H53NO2"
"1228_454.44_4.5",1228,454.437101242437,4.491638,"C27H55N3O2"
"1235_654.58_4.5",1235,654.578524168323,4.5118284,"C38H77N3O6"
"1239_631.5_4.5",1239,631.502430668369,4.5233526,"C36H68N2O5"
"124_260.26_0.7",124,260.258401012825,0.70469195,"C15H33NO2"
"1240_609.52_4.5",1240,609.520309490258,4.497319,"C36H65NO5"
"126_339.26_0.7",126,339.263983002362,0.71234554,"C19H31NO3"
"1268_667.57_4.6",1268,667.573424993134,4.5542955,"C38H71N3O5"
"1270_558.44_4.6",1270,558.43682384509,4.6021194,"C31H56O7"
"128_290.21_0.7",128,290.211425285411,0.714184,"C18H24O2"
"1282_675.54_4.7",1282,675.543874862313,4.6662803,"C44H67NO3"
"1300_280.26_4.7",1300,280.26362986834,4.70193,"C18H30O"
"1302_469.44_4.7",1302,469.43670356668,4.734919,"C28H53NO3"
"1303_482.43_4.7",1303,482.43211148427,4.740994,NA
"1305_446.36_4.8",1305,446.360718668431,4.767105,"C23H44N2O5"
"1314_616.49_4.9",1314,616.491066110907,4.851801,"C36H67NO5"
"1317_410.4_4.9",1317,410.399350080698,4.859573,"C26H48O2"
"1319_446.36_4.8",1319,446.360720392182,4.808553,"C28H44O3"
"1320_482.43_4.9",1320,482.432120168194,4.871314,NA
