"feature_id_full","feature_id","feature_mz","feature_rt","PET_vs_PS_p_value","PET_vs_Untreated_p_value","PS_vs_Untreated_p_value","PET_vs_PS_p_value_minus_log10","PET_vs_Untreated_p_value_minus_log10","PS_vs_Untreated_p_value_minus_log10","PS_vs_Untreated_fold_change","PET_vs_Untreated_fold_change","PET_vs_PS_fold_change","PS_vs_Untreated_fold_change_log2","PET_vs_Untreated_fold_change_log2","PET_vs_PS_fold_change_log2","canopus_npc_pathway","canopus_npc_superclass","canopus_npc_class","sirius_name","gnps_smiles","met_annot_structure_smiles","sirius_smiles","gnps_inchi","gnps_inchi_aux","gnps_inchikey","gnps_inchikey_planar","met_annot_short_inchikey","met_annot_structure_inchi","met_annot_structure_inchikey","sirius_inchi","sirius_inchikey2d"
"2214_766.57_7.5",2214,766.573062171475,7.5073333,0.018348260769569,0.137822162602356,0.840332730687694,1.73640509620628,0.860680939743483,0.0755487204979206,0.95892609943464,1.18587733803576,1.23667229282311,-0.0605084580457183,0.24595479153705,0.306463249582768,"Fatty acids","Glycerophospholipids","Glycerophosphocholines","[(2S)-3-[(E)-icos-1-enoxy]-2-[(E)-tetradec-9-enoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",NA,NA,"CCCCCCCCCCCCCCCCCCC=COCC(COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCC",NA,NA,NA,NA,"QXWMNDJZPMHJJC","nan","nan","InChI=1S/C42H82NO7P/c1-6-8-10-12-14-16-18-19-20-21-22-23-24-26-28-30-32-34-37-47-39-41(40-49-51(45,46)48-38-36-43(3,4)5)50-42(44)35-33-31-29-27-25-17-15-13-11-9-7-2/h13,15,34,37,41H,6-12,14,16-33,35-36,38-40H2,1-5H3/p+1","JHVXXRHCUUDINM"
"1767_577.52_6.4",1767,577.519498472677,6.3986034,0.0218335781423278,0.0128617525248931,0.668778118641516,1.66087508517371,1.89069985100479,0.174717944762678,1.07862842054868,1.40326588608378,1.30097247518285,0.109197952723816,0.488788391845417,0.379590439121602,"Fatty acids","Glycerolipids","Diacylglycerols","[3-hydroxy-2-[(Z)-tridec-9-enoyl]oxypropyl] henicosanoate",NA,"CCCCCCCCCCCC/C=C\CC[C@@H](O)[C@H](O)CCCCCCCCCCCCCCC1=C[C@H](C)OC1=O","CCCCCCCCCCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCC=CCCC",NA,NA,NA,NA,"HVFRQLAWDLEDRL","InChI=1S/C37H68O4/c1-3-4-5-6-7-8-9-10-11-15-18-21-24-27-30-35(38)36(39)31-28-25-22-19-16-13-12-14-17-20-23-26-29-34-32-33(2)41-37(34)40/h21,24,32-33,35-36,38-39H,3-20,22-23,25-31H2,1-2H3/b24-21-/t33-,35+,36+/m0/s1","HVFRQLAWDLEDRL-GJPJLVQDSA-N","InChI=1S/C37H70O5/c1-3-5-7-9-11-13-15-16-17-18-19-20-21-22-24-25-27-29-31-36(39)41-34-35(33-38)42-37(40)32-30-28-26-23-14-12-10-8-6-4-2/h8,10,35,38H,3-7,9,11-34H2,1-2H3","OOTVWFCOJOISMT"
"2283_768.55_7.7",2283,768.551288743304,7.6957903,0.0239799317523329,0.173602330371542,0.828560959999897,1.62015205725166,0.760444449316734,0.0816755335721807,0.951575770017826,1.1997476472138,1.26080096300825,-0.0716095580130995,0.262730983834421,0.33434054184752,"Fatty acids","Glycerophospholipids","Glycerophosphoethanolamines","[(2R)-3-[2-aminoethoxy(hydroxy)phosphoryl]oxy-2-[(E)-hexadec-7-enoyl]oxypropyl] icosanoate",NA,NA,"CCCCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCC=CCCCCCCCC",NA,NA,NA,NA,"KVPJVPTYCRRMOE","nan","nan","InChI=1S/C41H80NO8P/c1-3-5-7-9-11-13-15-17-18-19-20-22-23-25-27-29-31-33-40(43)47-37-39(38-49-51(45,46)48-36-35-42)50-41(44)34-32-30-28-26-24-21-16-14-12-10-8-6-4-2/h21,24,39H,3-20,22-23,25-38,42H2,1-2H3,(H,45,46)","FSMCOSYMENMYQB"
"2257_771.57_7.6",2257,771.572653922265,7.617039,0.0264544721608477,0.031868589018729,0.894828269830894,1.57750089940949,1.49663716448188,0.0482603039254051,1.03686401115864,1.29915975974404,1.25297025045001,0.0522266913622611,0.377578852200998,0.325352160838737,"Fatty acids","Spingolipids","Phosphosphingolipids","[2-[amino-[(Z)-octadec-9-enoyl]oxymethyl]-5-(diaminomethylideneamino)-3-oxopentyl] (Z)-octadec-9-enoate","CCCCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCCCCCC",NA,"CCCCCCCCC=CCCCCCCCC(=O)OCC(C(N)OC(=O)CCCCCCCC=CCCCCCCCC)C(=O)CCN=C(N)N","InChI=1S/C44H86NO7P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-39-49-41-43(42-51-53(47,48)50-40-38-45(3,4)5)52-44(46)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h21,23,36,39,43H,6-20,22,24-35,37-38,40-42H2,1-5H3/b23-21-,39-36-/t43-/m1/s1",NA,"DSWOVBIRJNAJAF-NVJOKYTBSA-N","DSWOVBIRJNAJAF",NA,NA,NA,"InChI=1S/C43H80N4O5/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-40(49)51-37-38(39(48)35-36-47-43(45)46)42(44)52-41(50)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h17-20,38,42H,3-16,21-37,44H2,1-2H3,(H4,45,46,47)","MFCAUMXEMCVVEL"
"1456_468.48_5.5",1456,468.477811083075,5.4755464,0.0307367703823359,0.201281969196295,0.8377405233955,1.51234176724668,0.696195127392907,0.0768904762474742,0.934561352916915,1.28951840147075,1.37981139220658,-0.0976387164776505,0.366832360580542,0.464471077058193,"Fatty acids","Fatty esters","Wax monoesters","Ethenyl octacosanoate",NA,NA,"CCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)OC=C",NA,NA,NA,NA,"CCDWXBORKKHUCD","nan","nan","InChI=1S/C30H58O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30(31)32-4-2/h4H,2-3,5-29H2,1H3","WNDIUQWZDRRWSG"
"2097_794.57_7.2",2097,794.569384092671,7.1999164,0.0317140258828388,0.051356000053613,0.962255503099339,1.49874862370227,1.28940880936079,0.0167095965141278,1.02824135020172,1.37993215247876,1.34203137445118,0.0401789356130894,0.464597335344948,0.424418399731859,"Fatty acids","Glycerophospholipids","Glycerophosphoethanolamines",NA,NA,NA,"CCCCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCC=CCC=CCC=CCC=CCC=CCCC",NA,NA,NA,NA,"DPRXQVIZBLENFV","nan","nan","InChI=1S/C45H80NO8P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35-37-44(47)51-41-43(42-53-55(49,50)52-40-39-46)54-45(48)38-36-34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h8,10,14,16,20,22,26,28,32,34,43H,3-7,9,11-13,15,17-19,21,23-25,27,29-31,33,35-42,46H2,1-2H3,(H,49,50)","VNLXORDQXXPODA"
"110_325.25_0.7",110,325.248375887699,0.6511773,0.032013400971254,0.0415933806598182,0.920720115356202,1.49466818575623,1.38097577926873,0.0358723685322666,0.936127933065576,0.672540181183558,0.718427639458597,-0.0952223900926151,-0.572307630247804,-0.477085240155189,"Alkaloids","Pseudoalkaloids (transamidation)","Open-chain polyketides","8,13-dihydroxy-N-(2-methylpropyl)tetradeca-2,4,9,11-tetraenamide",NA,NA,"CC(C)CNC(=O)C=CC=CCCC(C=CC=CC(C)O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C18H29NO3/c1-15(2)14-19-18(22)13-7-5-4-6-11-17(21)12-9-8-10-16(3)20/h4-5,7-10,12-13,15-17,20-21H,6,11,14H2,1-3H3,(H,19,22)","YBWQRWPZQDEHEI"
"178_244.26_0.9",178,244.263439383104,0.86785144,0.0345318380416018,0.0344812736894182,0.85890764592339,1.46178030464851,1.46241670032791,0.0660535311886989,1.05498636208774,1.39600253667053,1.32324225870365,0.0772243491925957,0.481301563065237,0.404077213872641,"Fatty acids","Spingolipids","Sphingoid bases","2-(Tridecylamino)ethanol",NA,NA,"CCCCCCCCCCCCCNCCO",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C15H33NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-16-14-15-17/h16-17H,2-15H2,1H3","UKFODRUPFZLKSY"
"2040_726.54_7.1",2040,726.543752106547,7.065915,0.0361067264123832,0.0143988563226859,0.569246515039554,1.44241188475193,1.8416720018264,0.24469961948089,1.08087745430022,1.32091559871354,1.22207711286634,0.112202965167664,0.40153828701812,0.289335321850457,"Fatty acids","Spingolipids","Neutral glycosphingolipids","Termitomycesphin A",NA,NA,"CCCCCCCCCCCCCCC(C(=O)NC(COC1C(C(C(C(O1)CO)O)O)O)C(C=CCCC(C(=C)CCCCCCCCC)O)O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C41H77NO10/c1-4-6-8-10-12-13-14-15-16-18-20-22-28-35(46)40(50)42-32(30-51-41-39(49)38(48)37(47)36(29-43)52-41)34(45)27-24-23-26-33(44)31(3)25-21-19-17-11-9-7-5-2/h24,27,32-39,41,43-49H,3-23,25-26,28-30H2,1-2H3,(H,42,50)","OJWZQESYKTYPLG"
"413_170.12_1.7",413,170.117665427277,1.6881417,0.0365578292600949,0.049738566609089,0.93578124247878,1.4370195998187,1.30330673460153,0.0288256643902638,0.946764999353755,0.698536558588838,0.737814092267507,-0.0789217223510881,-0.517592472431409,-0.438670750080321,"Fatty acids","Fatty acyls","Fatty aldehydes","2-methyl-5-(2-oxoethyl)cyclopent-1-ene-1-carbaldehyde",NA,"NCCc1ccc(O)cc1","CC1=C(C(CC1)CC=O)C=O",NA,NA,NA,NA,"DZGWFCGJZKJUFP","InChI=1S/C8H11NO/c9-6-5-7-1-3-8(10)4-2-7/h1-4,10H,5-6,9H2","DZGWFCGJZKJUFP-UHFFFAOYSA-N","InChI=1S/C9H12O2/c1-7-2-3-8(4-5-10)9(7)6-11/h5-6,8H,2-4H2,1H3","KBJJMMFFLYXMPU"
"1927_746.51_6.8",1927,746.512061442262,6.7942305,0.0369365707750352,0.155260888491931,0.945079156947168,1.43254342732055,0.80893793288316,0.0245318147863508,0.970214448792857,1.23622260874538,1.27417460158781,-0.0436244300458455,0.305938555229079,0.349562985274924,"Fatty acids","Glycerophospholipids","Glycerophosphocholines","1-(6-[3]-Ladderane-hexanoyl)-2-(8-[3]-ladderane-octanyl)-sn-glycerophosphoethanolamine",NA,NA,"C1CC2C(CC1CCCCCCCCOC(COC(=O)CCCCCC3CCC4C(C3)C5C4C6C5CC6)COP(=O)(O)OCCN)C7C2C8C7CC8",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C43H72NO7P/c44-21-23-50-52(46,47)51-27-30(26-49-39(45)12-8-5-7-11-29-14-16-36-38(25-29)43-34-20-18-32(34)41(36)43)48-22-9-4-2-1-3-6-10-28-13-15-35-37(24-28)42-33-19-17-31(33)40(35)42/h28-38,40-43H,1-27,44H2,(H,46,47)","RNZKRCZDBYPIQC"
