data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	superclass	Fatty esters	NPC superclass: Fatty esters	1505	PET	Untreated	392348.766666667	392348.766666667	2008375.15	1761768.25	2204549.53333333	1707404.6	1812200.76666667	1816131.9	0.000665957106286553	0.994405335407132	0.00152672869750185	(2E)-geranyl hexadecanoate_[1505_410.4_5.6]	(2E)-geranyl hexadecanoate	Hexadecanoic acid, (2E)-3,7-dimethyl-2,6-octadienyl ester	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.953	0.969	0.911
raw	superclass	Fatty esters	NPC superclass: Fatty esters	1969	PET	Untreated	390043.366666666	390043.366666666	1650963.78333333	1612299.95	1845985.46666667	1618975.4	1455942.1	1180687.2	0.000662044012520828	0.995067379419653	0.00125503135534775	NA_[1969_625.59_6.9]	NA	Tetratriacontanoic acid 3-(4-hydroxyphenyl)propyl ester	[M - H2O + H]+	102	Fatty acids	Fatty esters	Wax monoesters	0.978	0.91	0.448
raw	superclass	Fatty esters	NPC superclass: Fatty esters	1325	PET	Untreated	356988.6	356988.6	1869424.03333333	1676972.9	2047918.33333333	1889987.2	1690929.73333333	1463958.6	0.000605938173460011	0.995673317593113	0.00142110069400613	NA_[1325_382.37_4.9]	NA	15-Tetracosynoic acid	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.864	0.912	0.801
raw	superclass	Fatty esters	NPC superclass: Fatty esters	2072	PET	Untreated	316500.633333333	316500.633333333	1605624.25	1664124.1	1763874.56666667	1806353.2	1447373.93333333	1564308.6	0.000537215517977147	0.99621053311109	0.0012205651020328	NA_[2072_424.41_7.1]	NA	Methyl 5-(2-octadecylcycloprop-1-en-1-yl)pentanoate	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.971	0.974	0.91
raw	superclass	Fatty esters	NPC superclass: Fatty esters	1141	PET	Untreated	281638.166666667	281638.166666667	1154692.68333333	1013873.6	1295511.76666667	1013873.6	1013873.6	1013873.6	0.000478041361227294	0.996688574472317	0.000877775477574706	(5Z,9Z)-2-methoxy-hexacosadienoic acid_[1141_440.41_4.2]	(5Z,9Z)-2-methoxy-hexacosadienoic acid	2-methoxyhexacosa-5,9-dienoic acid	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.913	0.923	0.686
raw	superclass	Fatty esters	NPC superclass: Fatty esters	1018	PET	Untreated	272280.133333333	272280.133333333	1150013.66666667	1013873.6	1286153.73333333	1013873.6	1013873.6	1013873.6	0.000462157409680444	0.997150731881998	0.000874218577848532	NA_[1018_400.38_3.8]	NA	1-(2-Hydroxydodec-1-enoxy)dodec-1-en-2-ol	[M + H3N + H]+	-1	Fatty acids	Fatty esters	Wax monoesters	0.988	0.819	0.565
raw	superclass	Fatty esters	NPC superclass: Fatty esters	1465	Untreated	PET	243148.833333333	243148.833333333	7017535.08333333	6810042	6895960.66666667	6607565	7139109.5	7012519	0.00041271110603793	0.997563442988035	0.00533459707338595	acetylcholine_[1465_184.07_5.5]	acetylcholine	NA	[M + K]+	7	Fatty acids	Fatty esters	Fatty acyl carnitines	0.872	0.908	0.309
raw	superclass	Fatty esters	NPC superclass: Fatty esters	1988	PET	Untreated	216498.666666668	216498.666666668	10072012	10364810.5	10180261.3333333	10392332	9963762.66666667	10358419	0.000367476178893467	0.997930919166929	0.00765655249318488	4-(trimethylammonio)butanoate_[1988_184.07_6.9]	4-(trimethylammonio)butanoate	4-(trimethylazaniumyl)butanoate	[M + K]+	7	Fatty acids	Fatty esters	Fatty acyl carnitines	0.955	0.843	0.39
raw	superclass	Fatty esters	NPC superclass: Fatty esters	1313	PET	Untreated	164507.8	164507.8	1421213.86666667	1464954.85	1503467.76666667	1647752.2	1338959.96666667	1282157.5	0.000279228960958206	0.998210148127887	0.00108037982621303	NA_[1313_422.4_4.8]	NA	2-(henicos-12-en-1-yl)-6-methyl-3,4-dihydro-2H-pyran-4-one	[M + H3N + H]+	20	Fatty acids	Fatty esters	Wax monoesters	0.932	0.953	0.722
raw	superclass	Fatty esters	NPC superclass: Fatty esters	1912	PET	Untreated	161656.566666666	161656.566666666	2157755.01666667	1437567.7	2238583.3	1524987.5	2076926.73333333	1199382.4	0.000274389391520671	0.998484537519408	0.00164028443895235	9-[(9Z),(12Z)-octadecadienoyloxy]-octadecanoate_[1912_580.53_6.8]	9-[(9Z),(12Z)-octadecadienoyloxy]-octadecanoate	9-(9Z,12Z-octadecadienoyloxy)-octadecanoate	[M + H3N + H]+	102	Fatty acids	Fatty esters	Fatty acid estolides	0.999	0.996	0.995
