data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	superclass	Macrolides	NPC superclass: Macrolides	3058	Untreated	PET	204426.266666667	204426.266666667	1116086.73333333	1013873.6	1013873.6	1013873.6	1218299.86666667	1013873.6	0.000204927821135641	0.999280640256065	0.000559031175951832	NA_[3058_530.35_9.7]	NA	ethyl 2-{7-[2-(3-hydroxyoct-1-en-1-yl)-5-oxocyclopentyl]heptanamido}-3-(4-hydroxyphenyl)propanoate	[M + H]+	4	Polyketides	Macrolides	Open-chain polyketides	0.833	0.772	0.662
raw	superclass	Macrolides	NPC superclass: Macrolides	616	Untreated	PET	203643.666666667	203643.666666667	3697077	3705276	3595255.16666667	3581519.5	3798898.83333333	4073585.2	0.000204143301047123	0.999484783557113	0.0018518106533905	ibha#30_[616_576.35_2.4]	ibha#30	Ibha#30	[M + H]+	380	Polyketides	Macrolides	Open-chain polyketides	0.86	0.913	0.647
raw	superclass	Macrolides	NPC superclass: Macrolides	1337	Untreated	PET	180816.733333333	180816.733333333	3320223.63333333	3304296.65	3229815.26666667	3099564.5	3410632	3927458.2	0.000181260362433191	0.999666043919546	0.00166305043033877	Spinetoram J_[1337_730.49_4.9]	Spinetoram J	13-{[5-(dimethylamino)-6-methyloxan-2-yl]oxy}-2-[(4-ethoxy-3,5-dimethoxy-6-methyloxan-2-yl)oxy]-9-ethyl-14-methyl-1H,2H,3H,3aH,4H,5H,5aH,5bH,6H,7H,9H,10H,11H,12H,13H,14H,15H,16aH,16bH-as-indaceno[3,2-d]oxacyclododecane-7,15-dione	[M - H2O + H]+	73	Polyketides	Macrolides	Open-chain polyketides	0.821	0.796	0.222
raw	superclass	Macrolides	NPC superclass: Macrolides	1873	Untreated	PET	172462.766666667	172462.766666667	1100104.98333333	1013873.6	1013873.6	1013873.6	1186336.36666667	1013873.6	0.000172885899529013	0.999838929819075	0.000551026156064547	NA_[1873_507.27_6.7]	NA	ethyl 4-[4-oxo-4-[[(5R,9R,10S,12R,13R)-1,5,9-trimethyl-11,14,15,16-tetraoxatetracyclo[10.3.1.04,13.08,13]hexadecan-10-yl]oxy]butanoyl]piperazine-1-carboxylate	[M - H2O + H]+	-1	Amino acids and Peptides	Macrolides	Open-chain polyketides	0.513	0.807	0.54
raw	superclass	Macrolides	NPC superclass: Macrolides	747	PET	Untreated	76908.9666666668	76908.9666666668	3404845.25	3491217	3443299.73333333	3564400.2	3366390.76666667	3418033.8	7.70976607937222e-05	0.999916027479869	0.00170543613430179	Pamamycin-621C_[747_639.49_2.9]	Pamamycin-621C	Pamamycin-621C	[M + H3N + H]+	131	Polyketides	Macrolides	Open-chain polyketides	0.809	0.864	0.412
raw	superclass	Macrolides	NPC superclass: Macrolides	960	PET	Untreated	45743.3333333335	45743.3333333335	1747713.86666667	1824911.75	1770585.53333333	1778870.9	1724842.2	2042277.2	4.58555633986436e-05	0.999961883043267	0.000875403773676242	NA_[960_746.48_3.6]	NA	(1S,12S,13R,14S,17R,18E,21S,23S,24R,25S,27R)-12-[(E)-1-[(1R,3R)-3,4-dihydroxycyclohexyl]prop-1-en-2-yl]-17-ethyl-1,14-dihydroxy-23,25-dimethoxy-13,19,21,27-tetramethyl-11,28-dioxa-4-azatricyclo[22.3.1.04,9]octacos-18-ene-3,10,16-trione	[M - H2O + H]+	73	Polyketides	Macrolides	Polyene macrolides	0.935	0.988	0.845
raw	superclass	Macrolides	NPC superclass: Macrolides	706	Untreated	PET	38023.666666666	38023.666666666	9184988.83333333	9257603.5	9165977	9515493	9204000.66666667	8999714	3.81169567328323e-05	1	0.00460062372864819	NA_[706_516.33_2.8]	NA	(1S,3S,7S,10R,11S,12S,16R)-7,11-dihydroxy-3-[1-[5-(hydroxymethyl)pyridin-2-yl]prop-1-en-2-yl]-8,8,10,12,16-pentamethyl-4-oxabicyclo[14.1.0]heptadecane-5,9-dione	[M + H]+	4	Polyketides	Macrolides	Erythromycins	0.811	0.752	0.63
raw	superclass	Macrolides	NPC superclass: Macrolides	2969	PET	PET	0	0	1013873.6	1013873.6	1013873.6	1013873.6	1013873.6	1013873.6	0	1	0.000507834144020095	NA_[2969_904.51_9.5]	NA	NA	[M + K]+	194	Polyketides	Macrolides	Ansa macrolides	0.886	0.808	0.397
raw	superclass	Macrolides	NPC superclass: Macrolides	3020	PET	PET	0	0	1013873.6	1013873.6	1013873.6	1013873.6	1013873.6	1013873.6	0	1	0.000507834144020095	Naphthomycinol_[3020_726.3_9.5]	Naphthomycinol	Naphthomycinol	[M + K]+	-1	Polyketides	Macrolides	Open-chain polyketides	0.797	0.748	0.32
raw	superclass	Macrolides	NPC superclass: Macrolides	3079	PET	PET	0	0	1013873.6	1013873.6	1013873.6	1013873.6	1013873.6	1013873.6	0	1	0.000507834144020095	NA_[3079_848.45_9.7]	NA	11,16,17,20-tetrahydroxy-14-{[(2-hydroxypropyl)amino]methyl}-28-(3-methoxypropoxy)-17,19,31-trimethyl-36-oxa-7,10-diazanonacyclo[17.12.2.1¹,²⁰.1⁹,¹³.1¹²,¹⁵.1¹⁸,²¹.0⁵,⁷.0²⁶,³¹.0²⁴,³⁵]heptatriacont-24(35)-en-2-yne-8,25-dione	[M + K]+	194	Polyketides	Macrolides	Open-chain polyketides	0.65	0.836	0.38
raw	superclass	Macrolides	NPC superclass: Macrolides	3410	PET	PET	0	0	1013873.6	1013873.6	1013873.6	1013873.6	1013873.6	1013873.6	0	1	0.000507834144020095	12adt-asp_[3410_931.46_11.3]	12adt-asp	12Adt-asp	[M + K]+	10	Amino acids and Peptides	Macrolides	Polyene macrolides	0.404	0.86	0.702
