data_source	npc_level	npc_term	npc_label	feature_id	higher_mean_group	lower_mean_group	mean_difference_max_min	abs_mean_difference_max_min	average_intensity	median_intensity	mean_pet	median_pet	mean_untreated	median_untreated	contribution_fraction_of_term_difference	cumulative_contribution_fraction	average_intensity_fraction_of_term	feature_id_full_annotated	sirius_chebiasciiname	sirius_name	sirius_adduct	gnps_component	canopus_npc_pathway	canopus_npc_superclass	canopus_npc_class	canopus_npc_pathway_probability	canopus_npc_superclass_probability	canopus_npc_class_probability
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	1114	PET	Untreated	946233	946233	6128610.5	6399017.75	6601727	6342634	5655494	6455401.5	0.00622705941083268	0.87736343185333	0.00813050897618166	DG(18:2n6/0:0/18:2n6)_[1114_627.53_4.1]	DG(18:2n6/0:0/18:2n6)	1-Linoleoyl-3-linoleoyl-sn-glycerol	[M - H2O + H]+	426	Fatty acids	Glycerolipids	Diacylglycerols	1	0.999	0.995
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	3396	Untreated	PET	899414.133333333	899414.133333333	4149076.26666667	3950665	3699369.2	3570511.8	4598783.33333333	4319796.5	0.00591894939534898	0.883282381248679	0.00550436380791301	NA_[3396_950.82_11.3]	NA	1-Arachidonyl-2-eicsoatetraenoyl-3-a-linolenoyl-glycerol	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	1	1	1
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	645	PET	Untreated	795182.8	795182.8	4473530.76666667	4842696.25	4871122.16666667	4778562.5	4075939.36666667	4906830	0.00523301400191315	0.888515395250593	0.00593480072744192	2,3-dilinoleoyl-sn-glycerol_[645_639.49_2.5]	2,3-dilinoleoyl-sn-glycerol	1,2-Dilinoleoyl-Sn-Glycerol	[M + Na]+	131	Terpenoids	Glycerolipids	Diacylglycerols	0.55	0.814	0.457
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	3374	Untreated	PET	758654.266666667	758654.266666667	2633749.93333333	2571415.5	2254422.8	2130355.8	3013077.06666667	2579974	0.00499262358300232	0.893508018833595	0.00349405913036642	NA_[3374_820.74_11.1]	NA	[2-[(Z)-heptadec-9-enoyl]oxy-3-tetradecanoyloxypropyl] (Z)-heptadec-9-enoate	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	1	1	1
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	1832	Untreated	PET	735270.6	735270.6	2034588.9	1916956	1666953.6	1887453.5	2402224.2	2568139.8	0.00483873814297176	0.898346756976567	0.00269918333271295	NA_[1832_584.56_6.6]	NA	1,4-Butanediol dipalmitate	[M + H3N + H]+	24	Fatty acids	Glycerolipids	Diacylglycerols	1	0.996	0.938
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	3431	PET	Untreated	726784	726784	6621018.16666667	6712608.25	6984410.16666667	7095694.5	6257626.16666667	6329522	0.00478288872491513	0.903129645701482	0.00878376063147514	TG(18:2(9Z,12Z)/20:1(11Z)/18:2(9Z,12Z))_[3431_926.82_11.4]	TG(18:2(9Z,12Z)/20:1(11Z)/18:2(9Z,12Z))	NA	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	1	1	1
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	3034	PET	Untreated	666454.8	666454.8	1347101	1013873.6	1680328.4	1013873.6	1013873.6	1013873.6	0.00438586863302655	0.907515514334508	0.00178712887241297	NA_[3034_1014.06_9.6]	NA	18-Oxononahexacontanoic acid	[M + H]+	6	Fatty acids	Glycerolipids	Triacylglycerols	1	1	0.991
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	3483	PET	Untreated	646828.833333334	646828.833333334	7154109.75	7423911.75	7477524.16666667	7627595	6830695.33333333	7220228.5	0.00425671221972417	0.911772226554233	0.00949098552420059	NA_[3483_904.83_11.9]	NA	[2-[(Z)-icos-11-enoyl]oxy-3-tridecanoyloxypropyl] (Z)-henicos-9-enoate	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	0.998	1	1
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	3437	Untreated	PET	643312.5	643312.5	6456639.91666667	6397869.25	6134983.66666667	6250600.5	6778296.16666667	6545138	0.00423357160153081	0.916005798155763	0.00856568855182282	NA_[3437_908.81_11.4]	NA	[2-[(Z)-hexadec-9-enoyl]oxy-3-octadecoxypropyl] (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate	[M + H3N + H]+	198	Fatty acids	Glycerolipids	Triacylglycerols	1	1	1
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	1614	PET	Untreated	572230.733333334	572230.733333334	1734990.4	1774088.75	2021105.76666667	2135289.2	1448875.03333333	1237371.6	0.00376579000433405	0.919771588160097	0.00230172157633268	NA_[1614_528.5_6.1]	NA	9-Myristoyloxystearic acid	[M + H3N + H]+	318	Fatty acids	Glycerolipids	Diacylglycerols	1	0.999	0.938
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	1838	Untreated	PET	564315.633333333	564315.633333333	2983488.35	2934571.65	2701330.53333333	2832412.8	3265646.16666667	3248254	0.00371370156740289	0.9234852897275	0.0039580389078419	NA_[1838_605.55_6.6]	NA	NA	[M - H2O + H]+	19	Fatty acids	Glycerolipids	Diacylglycerols	1	1	0.999
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	3459	PET	Untreated	549806.666666667	549806.666666667	4811293.66666667	4912590	5086197	4916005	4536390.33333333	4333247.5	0.0036182195905292	0.927103509318029	0.00638289320946066	NA_[3459_928.83_11.6]	NA	[3-[(9Z,12Z)-heptadeca-9,12-dienoyl]oxy-2-[(9Z,12Z)-octadeca-9,12-dienoyl]oxypropyl] henicosanoate	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	1	1	1
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	3417	Untreated	PET	546822.166666667	546822.166666667	5187970.91666667	4939233.25	4914559.83333333	5194406.5	5461382	4684060	0.00359857891131845	0.930702088229348	0.00688261133679938	NA_[3417_950.82_11.3]	NA	NA	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	1	1	1
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	3341	Untreated	PET	527526.033333333	527526.033333333	4122610.31666667	3931752.7	3858847.3	3903928.2	4386373.33333333	3959577.2	0.00347159309633839	0.934173681325686	0.00546925280778693	NA_[3341_920.77_10.9]	NA	1,2-di-(9Z,12Z-heptadecadienoyl)-3-(7Z,10Z,13Z,16Z-docosatetraenoyl)-sn-glycerol	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	0.996	1	0.999
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	1616	Untreated	PET	519876.666666667	519876.666666667	3878078	3812827.5	3618139.66666667	3707609	4138016.33333333	4240695	0.00342125342240124	0.937594934748088	0.00514484449441397	1,2-dioleoylglycerol_[1616_603.54_6.1]	1,2-dioleoylglycerol	1,2-Dioleoyl-Sn-Glycerol	[M - H2O + H]+	19	Fatty acids	Glycerolipids	Diacylglycerols	0.999	0.999	0.998
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	2913	Untreated	PET	508511.4	508511.4	2038169.86666667	1469273.35	1783914.16666667	1924673.1	2292425.56666667	1013873.6	0.00334645980312006	0.940941394551208	0.00270393401504571	NA_[2913_628.58_9.3]	NA	1-Pentadecanoyl-3-arachidonyl-sn-glycerol	[M + H3N + H]+	-1	Fatty acids	Glycerolipids	Diacylglycerols	1	1	0.997
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	3393	Untreated	PET	504322.033333333	504322.033333333	2267155.38333333	2183060.5	2014994.36666667	1916420.8	2519316.4	2375543.5	0.00331889002366078	0.944260284574868	0.00300771719700416	TG(18:1(11Z)/18:2(9Z,12Z)/18:2(9Z,12Z))_[3393_898.79_11.2]	TG(18:1(11Z)/18:2(9Z,12Z)/18:2(9Z,12Z))	NA	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	1	1	1
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	3446	Untreated	PET	494003.866666667	494003.866666667	1526602.46666667	1013873.6	1279600.53333333	1013873.6	1773604.4	1013873.6	0.00325098725886161	0.94751127183373	0.00202526413748996	tripalmitin_[3446_824.77_11.5]	tripalmitin	1,3-bis(hexadecanoyloxy)propan-2-yl hexadecanoate	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	1	1	1
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	2680	PET	Untreated	459402.833333333	459402.833333333	3482854.98333333	1013873.6	3712556.4	1013873.6	3253153.56666667	1013873.6	0.00302328151382538	0.950534553347555	0.00462052266247475	NA_[2680_560.56_8.8]	NA	1-(1,2,2-Trioctoxyethoxy)octane	[M + H3N + H]+	79	Fatty acids	Glycerolipids	Diacylglycerols	1	1	0.981
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	3460	PET	Untreated	440051.866666667	440051.866666667	2144172.46666667	2200440	2364198.4	2251380	1924146.53333333	1791358.4	0.00289593484647138	0.953430488194027	0.00284456215429499	NA_[3460_954.85_11.6]	NA	1-Eicosadienoyl-2-vaccenoyl-3-eicosadienoyl-glycerol	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	1	1	1
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	3486	PET	Untreated	437047.833333333	437047.833333333	3318427.65	3338671.85	3536951.56666667	3482479.5	3099903.73333333	3136929.2	0.00287616562045751	0.956306653814484	0.00440238546651552	NA_[3486_930.85_11.9]	NA	1-Vaccenoyl-2-vaccenoyl-3-eicosenoyl-glycerol	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	0.999	1	1
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	3415	Untreated	PET	411283.966666667	411283.966666667	4205073.25	4142451.5	3999431.26666667	4084394	4410715.23333333	4200509	0.00270661633567659	0.959013270150161	0.00557865209489596	NA_[3415_924.8_11.3]	NA	1-Palmitoyl-2-docosahexaenoyl-3-stearoyl-glycerol	[M + H3N + H]+	483	Fatty acids	Glycerolipids	Triacylglycerols	1	1	1
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	1257	PET	Untreated	394529.1	394529.1	1569502.95	1675745.5	1766767.5	1816809.9	1372238.4	1013873.6	0.00259635432816479	0.961609624478326	0.00208217797869821	NA_[1257_544.48_4.6]	NA	2-[2-(3-Triheptylsilylpropoxy)ethoxy]ethyl prop-2-enoate	[M + H3N + H]+	120	Fatty acids	Glycerolipids	Monoacylglycerols	0.999	0.914	0.72
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	3452	Untreated	PET	383756.666666664	383756.666666664	26890075	25320399	26698196.6666667	25354126	27081953.3333333	25286672	0.00252546208242202	0.964135086560748	0.0356736647169368	NA_[3452_876.8_11.6]	NA	1-Myristoyl-2-eicosenoyl-3-oleoyl-glycerol	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	0.996	1	1
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	3443	Untreated	PET	373755.6	373755.6	2156931.33333333	2065919.05	1970053.53333333	1985966.6	2343809.13333333	2145871.5	0.00245964611922372	0.966594732679971	0.00286148867947704	NA_[3443_862.79_11.5]	NA	1-heptadecanoyl-2,3-di-(9Z-heptadecenoyl)-sn-glycerol	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	0.998	1	1
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	3337	PET	Untreated	372284.166666666	372284.166666666	5435814.25	5435018.75	5621956.33333333	5475551.5	5249672.16666667	5162804	0.00244996277190255	0.969044695451874	0.00721141220387251	TG(16:1(9Z)/18:2(9Z,12Z)/18:2(9Z,12Z))[iso3]_[3337_870.76_10.9]	TG(16:1(9Z)/18:2(9Z,12Z)/18:2(9Z,12Z))[iso3]	Triglyceride	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	0.995	0.999	0.999
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	332	PET	Untreated	345876.9	345876.9	1989741.68333333	1207608.2	2162680.13333333	1401342.8	1816803.23333333	1013873.6	0.00227617933969185	0.971320874791566	0.00263968686158542	3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestan-26-al_[332_468.37_1.3]	3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestan-26-al	3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestan-26-al	[M + H3N + H]+	102	Fatty acids	Glycerolipids	Fatty alcohols	0.962	0.727	0.571
raw	superclass	Glycerolipids	NPC superclass: Glycerolipids	3384	PET	Untreated	344078	344078	7321510.33333333	7332727	7493549.33333333	7502490.5	7149471.33333333	6504160	0.00226434096883166	0.973585215760397	0.00971306717638092	NA_[3384_924.8_11.1]	NA	[2-[(9Z,12Z)-nonadeca-9,12-dienoyl]oxy-3-[(9Z,12Z)-octadeca-9,12-dienoyl]oxypropyl] (9Z,12Z)-nonadeca-9,12-dienoate	[M + H3N + H]+	10	Fatty acids	Glycerolipids	Triacylglycerols	0.999	1	1
