"attribute_blood_donor"	"attribute_cell_type"	"attribute_cell_type_treatment"	"attribute_cell_type_treatment_concentration"	"attribute_collection_dates"	"attribute_concentration_ug_ml"	"attribute_treatment"	"filename"	"sample_id"	"sample_type"	"source_taxon"	"source_taxon_qid"
"ND"	"MDM"	"MDM_PET"	"MDM_PET_0.5"	"160526"	"0.5"	"PET"	"20260624_CVOL_Darleen_MDM_160526_PET05.mzML"	"MDM_160526_PET05"	"sample"	"Homo sapiens"	"Q15978631"
"ND"	"MDM"	"MDM_PET"	"MDM_PET_100"	"160526"	"100"	"PET"	"20260624_CVOL_Darleen_MDM_160526_PET100.mzML"	"MDM_160526_PET100"	"sample"	"Homo sapiens"	"Q15978631"
"ND"	"MDM"	"MDM_PS"	"MDM_PS_0.5"	"160526"	"0.5"	"PS"	"20260624_CVOL_Darleen_MDM_160526_PS05.mzML"	"MDM_160526_PS05"	"sample"	"Homo sapiens"	"Q15978631"
"ND"	"MDM"	"MDM_PS"	"MDM_PS_100"	"160526"	"100"	"PS"	"20260624_CVOL_Darleen_MDM_160526_PS100.mzML"	"MDM_160526_PS100"	"sample"	"Homo sapiens"	"Q15978631"
"ND"	"MDM"	"MDM_Untreated"	"MDM_Untreated_0"	"160526"	"0"	"Untreated"	"20260624_CVOL_Darleen_MDM_160526_untreated.mzML"	"MDM_160526_untreated"	"sample"	"Homo sapiens"	"Q15978631"
"A"	"MDM"	"MDM_PET"	"MDM_PET_0.5"	"190626"	"0.5"	"PET"	"20260624_CVOL_Darleen_MDM_A_190626_PET05.mzML"	"MDM_A_190626_PET05"	"sample"	"Homo sapiens"	"Q15978631"
"A"	"MDM"	"MDM_PET"	"MDM_PET_100"	"190626"	"100"	"PET"	"20260624_CVOL_Darleen_MDM_A_190626_PET100.mzML"	"MDM_A_190626_PET100"	"sample"	"Homo sapiens"	"Q15978631"
"A"	"MDM"	"MDM_PS"	"MDM_PS_0.5"	"190626"	"0.5"	"PS"	"20260624_CVOL_Darleen_MDM_A_190626_PS05.mzML"	"MDM_A_190626_PS05"	"sample"	"Homo sapiens"	"Q15978631"
"A"	"MDM"	"MDM_PS"	"MDM_PS_100"	"190626"	"100"	"PS"	"20260624_CVOL_Darleen_MDM_A_190626_PS100.mzML"	"MDM_A_190626_PS100"	"sample"	"Homo sapiens"	"Q15978631"
"A"	"MDM"	"MDM_Untreated"	"MDM_Untreated_0"	"190626"	"0"	"Untreated"	"20260624_CVOL_Darleen_MDM_A_190626_untreated.mzML"	"MDM_A_190626_untreated"	"sample"	"Homo sapiens"	"Q15978631"
"B"	"MDM"	"MDM_PS"	"MDM_PS_0.5"	"120626"	"0.5"	"PS"	"20260624_CVOL_Darleen_MDM_B_120626_PS05.mzML"	"MDM_B_120626_PS05"	"sample"	"Homo sapiens"	"Q15978631"
"B"	"MDM"	"MDM_PET"	"MDM_PET_0.5"	"190626"	"0.5"	"PET"	"20260624_CVOL_Darleen_MDM_B_190626_PET05.mzML"	"MDM_B_190626_PET05"	"sample"	"Homo sapiens"	"Q15978631"
"B"	"MDM"	"MDM_PET"	"MDM_PET_100"	"190626"	"100"	"PET"	"20260624_CVOL_Darleen_MDM_B_190626_PET100.mzML"	"MDM_B_190626_PET100"	"sample"	"Homo sapiens"	"Q15978631"
"B"	"MDM"	"MDM_PS"	"MDM_PS_100"	"190626"	"100"	"PS"	"20260624_CVOL_Darleen_MDM_B_190626_PS100_20260626090336.mzML"	"MDM_B_190626_PS100"	"sample"	"Homo sapiens"	"Q15978631"
"B"	"MDM"	"MDM_Untreated"	"MDM_Untreated_0"	"190626"	"0"	"Untreated"	"20260624_CVOL_Darleen_MDM_B_190626_untreated.mzML"	"MDM_B_190626_untreated"	"sample"	"Homo sapiens"	"Q15978631"
