"feature_id"	"feature"	"VIP"	"LV1"	"LV2"
733	"NA_[733_499.56_2.8]"	3.13116090104831	-0.0114583832204521	-0.0435168724975721
2465	"cyclosporin A metabolite M13_[2465_1226.81_8.2]"	2.85838701409428	-0.00977812077682557	0.0366551178448629
881	"NA_[881_432.24_3.4]"	2.78044012995095	-0.00941608299074049	-0.0504112548370714
1215	"NA_[1215_528.33_4.4]"	2.68959564009474	-0.00903859166231828	-0.044525972364796
1006	"NA_[1006_415.21_3.7]"	2.6825816392229	-0.0122900439456182	-0.0464110227863813
1025	"NA_[1025_432.24_3.8]"	2.6712218010569	-0.0102003292979209	-0.0452308406119694
908	"NA_[908_473.27_3.4]"	2.61836201041594	-0.00911235862574939	-0.0400449070603313
1216	"NA_[1216_558.38_4.4]"	2.59464463757331	-0.0130456752339387	-0.0498797447796069
1227	"NA_[1227_572.39_4.5]"	2.58962365579104	-0.0154252387393685	-0.0511849708389533
865	"NA_[865_432.24_3.4]"	2.57968607746326	-0.00848023757835983	-0.0495614523857209
3018	"NA_[3018_668.73_9.5]"	2.57818144978243	-0.00762857459197947	0.0236990749262505
1017	"NA_[1017_473.27_3.7]"	2.57405429499684	-0.0111495821107982	-0.0347478031427011
885	"NA_[885_415.21_3.4]"	2.56253839984411	-0.0119603755734889	-0.0520028179783224
1208	"NA_[1208_189.11_4.4]"	2.52850141369436	-0.00919599504835134	-0.044474872055744
1132	"NA_[1132_523.25_4.1]"	2.49107764283379	-0.0134491637167449	-0.050617507915962
870	"NA_[870_460.27_3.4]"	2.48352432943972	-0.0103296359380115	-0.0511254822524217
717	"chaetoviridin I_[717_505.1_2.8]"	2.46587971897981	-0.00828753666669665	-0.035520916046365
1191	"Ganoderic acid GS-1_[1191_516.33_4.4]"	2.45144910764725	-0.0121372939858738	-0.0479525254861895
2801	"NA_[2801_509.35_9]"	2.43593688244343	-0.0136416549000452	-0.0112222850978297
2957	"NA_[2957_550.57_9.4]"	2.41332258386856	-0.00716313935882035	-0.0482591651617796
1201	"NA_[1201_337.2_4.4]"	2.40853299355161	-0.0122561838069382	-0.0465016520442806
3136	"NA_[3136_563.6_10]"	2.38838648460421	-0.00597608908256585	-0.0491483769213101
3143	"NA_[3143_506.53_10]"	2.37601065339346	-0.00915413031542728	-0.0480965795306578
3111	"NA_[3111_564.58_9.8]"	2.36085054706495	-0.00828675466096423	-0.0460009661758726
933	"NA_[933_460.27_3.5]"	2.34117317435464	-0.00862816937652315	-0.0393387381493113
1196	"NA_[1196_572.39_4.4]"	2.33177237792717	-0.0158513225324617	-0.0509372355370881
1199	"Eerectquione B_[1199_502.32_4.4]"	2.3308367790282	-0.0141203712002152	-0.0479146609597816
1230	"NA_[1230_529.33_4.5]"	2.31187216157531	-0.0136213893754807	-0.0498539395506795
1176	"Aspereline E_[1176_991.55_4.3]"	2.30913650924017	-0.00734592045009072	-0.0460774869434507
1127	"Eerectquione B_[1127_507.27_4.1]"	2.30641772679242	-0.0145829567476669	-0.0515063213906874
1889	"batzelladine A_[1889_790.57_6.7]"	2.30556723738212	-0.0141824928467519	-0.0196828617498078
3029	"NA_[3029_1166.96_9.6]"	2.29300367265548	-0.00687347098441173	-0.0448800118211861
1205	"Talarazine A_[1205_486.29_4.4]"	2.2907369970495	-0.0139425768305232	-0.0473270538447238
1197	"Eerectquione B_[1197_485.29_4.4]"	2.28960333434061	-0.0138280923819267	-0.0470520124993469
1480	"NA_[1480_291.2_5.6]"	2.27635464538796	-0.00862484413942419	-0.00975883715469562
2928	"NA_[2928_494.53_9.4]"	2.24513233487643	-0.00565186518483495	-0.0473048437998831
2947	"NA_[2947_564.58_9.4]"	2.24288784466473	-0.00939942913484289	-0.0455843970575725
1180	"NA_[1180_543.34_4.4]"	2.23042705165224	-0.0145315018047568	-0.0492189367486914
993	"NA_[993_460.27_3.7]"	2.22815300829916	-0.0120576895624563	-0.0350970757707266
1218	"NA_[1218_530.35_4.4]"	2.22588094298845	-0.0157790999924421	-0.0491052826155327
2874	"NA_[2874_600.55_9.2]"	2.22440634315953	-0.00672499430183163	-0.0503790651966558
1183	"NA_[1183_530.35_4.4]"	2.22130093360944	-0.0158052049830588	-0.0473058911417957
754	"NA_[754_415.21_2.9]"	2.21513080388578	-0.0105018659896435	-0.0508259404281203
3210	"NA_[3210_565.59_10.2]"	2.21499750255808	-0.00676706153847975	-0.0426329906491025
1123	"NA_[1123_516.33_4.1]"	2.21311557659762	-0.00909430489818536	-0.047662650256567
2899	"NA_[2899_268.3_9.3]"	2.21175135612883	-0.00546957714250538	-0.0434304631995058
1496	"NA_[1496_626.44_5.6]"	2.21000462843828	-0.0205289127884569	-0.0149777217989961
2187	"Cer(d18:0/17:0)_[2187_554.55_7.4]"	2.20911423852917	-0.00888521483067613	0.0203480058286623
1105	"NA_[1105_507.27_4]"	2.20654038742181	-0.0152624562306347	-0.0550382735954966
3011	"NA_[3011_1369.95_9.5]"	2.18961508921556	-0.0247284162585313	0.0126129331184127
1065	"NA_[1065_432.24_3.9]"	2.18204556097254	-0.00996212707928631	-0.0525017691030318
1064	"NA_[1064_415.21_3.9]"	2.14545159791244	-0.011134901427948	-0.0538824394348118
1131	"NA_[1131_572.39_4.1]"	2.1367322281515	-0.0107186104908303	-0.0485708765950334
1211	"NA_[1211_986.6_4.4]"	2.13100740877492	-0.00592201988849999	-0.0406135928269721
675	"NA_[675_453.17_2.6]"	2.1158690644126	-0.00520802205187528	-0.0407588720267178
3182	"NA_[3182_564.58_10.2]"	2.11007870651034	-0.00787391680553537	-0.0390038867619253
967	"NA_[967_593.53_3.6]"	2.10223965177615	-0.00741923317029829	0.00309022494390234
1204	"NA_[1204_543.34_4.4]"	2.09433655841437	-0.0160417397318633	-0.0481359261548522
3051	"NA_[3051_1421.98_9.6]"	2.09108904850361	-0.0113157964329045	-0.0219649048651156
2974	"NA_[2974_1038.07_9.5]"	2.08765113652185	-0.00648145956287457	-0.0449866873420654
3013	"NA_[3013_667.71_9.5]"	2.0848545334454	-0.00633752701914821	0.0212157567274176
2870	"NA_[2870_986.04_9.2]"	2.0820458749455	-0.00526697093686454	-0.0397124756874637
684	"Acetyl tributyl citrate_[684_425.21_2.7]"	2.07680399971295	-0.010201357766423	3.27731674199274e-05
2999	"NA_[2999_659.27_9.5]"	2.07411197932056	-0.00824277057271167	-0.0160475932863206
3187	"NA_[3187_1168.98_10.2]"	2.0679576232476	-0.00782760812508974	-0.0375230275596949
1130	"NA_[1130_543.34_4.1]"	2.05268543115811	-0.0124513259845073	-0.0490393438174274
970	"NA_[970_415.21_3.6]"	2.05174175827561	-0.0105207341358054	-0.0415261007199504
2975	"NA_[2975_1039.07_9.5]"	2.0454301596923	-0.00677676670797419	-0.0443468647072572
2887	"NA_[2887_1013.06_9.2]"	2.04291518903406	-0.00647518446735254	-0.0448762745841642
673	"NA_[673_437.19_2.6]"	2.0407089072725	-0.00720458677804748	-0.0466823929462185
2211	"NA_[2211_745.59_7.5]"	2.03215201063044	-0.00668590791688459	0.0204422976382136
597	"NA_[597_453.17_2.4]"	2.02763616937834	-0.00515514627637363	-0.0378952936364843
1177	"NA_[1177_1007.53_4.3]"	2.01912076304995	-0.00514033826501248	-0.0443963079831404
1232	"NA_[1232_516.33_4.5]"	2.01726801520066	-0.00993861720443291	-0.04645575252509
2436	"NA_[2436_520.52_8.1]"	2.01638600538689	-0.0201462490109228	-0.00199927503516939
2621	"(3-((3R,5R,7S,8E,10E,12E)-3-amino-5-hydroxy-7-methoxyoctadeca-8,10,12-trienamido)propanoyl)-D-asparagine_[2621_507.32_8.7]"	2.01563938549074	-0.00867505555848973	0.00596104346023608
976	"2,6-dimethyl-4-[2-[3-[(2-methylpropan-2-yl)oxy]-3-oxoprop-1-enyl]phenyl]-3,4-dihydropyridine-3,5-dicarboxylic acid diethyl ester_[976_473.27_3.7]"	1.98603310453023	-0.0110690991983789	-0.0267757534835771
3036	"NA_[3036_1167.96_9.6]"	1.98593063928817	-0.00572887036351003	-0.0365356134604674
769	"NA_[769_283.45_2.9]"	1.97301653092492	-0.0156410076318974	-0.00816778840140302
