feature_id	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class
142	1.0	0.6885925	ISDB	http://www.wikidata.org/entity/Q105239745	RLBAFDJXAXIJCH-UHFFFAOYSA-N	InChI=1S/C18H31NO3/c1-15-18(22)13-12-16(19-15)9-5-3-2-4-6-10-17(21)11-7-8-14-20/h12-13,17,20-22H,2-11,14H2,1H3	Cc1nc(CCCCCCCC(O)CCCCO)ccc1O	C18H31NO3	nan	309.23039385199996	2-Methyl-6-(8,12-dihydroxydodecyl)pyridine-3-ol	RLBAFDJXAXIJCH	Alkaloids	Nicotinic acid alkaloids	Pyridine alkaloids	http://www.wikidata.org/entity/Q15537762	Senna multijuga	68519.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Fabales']	['Fabaceae']	['Unknown']	['Senna']	['Senna multijuga']	nan	['Eukaryota']	nan	nan	nan	nan	nan	nan	nan	nan	1	0	3.7543699741363525	1	-1	nan	nan	nan	nan	nan	nan
143	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q420028	PHMBVCPLDPDESM-FKSUSPILSA-N	InChI=1S/C9H15NO3/c1-10-5-2-3-6(10)8(9(12)13)7(11)4-5/h5-8,11H,2-4H2,1H3,(H,12,13)/t5-,6+,7-,8+/m0/s1	CN1[C@H]2CC[C@@H]1[C@@H](C(=O)O)[C@@H](O)C2	C9H15NO3	pos_2MH	185.10519334	(1R,2R,3S,5S)-3-hydroxy-8-methyl-8-azoniabicyclo[3.2.1]octane-2-carboxylate	PHMBVCPLDPDESM	Alkaloids	Ornithine alkaloids	Tropane alkaloids	http://www.wikidata.org/entity/Q15978631	Homo sapiens	770315.0	['Eukaryota']	['Metazoa']	['Chordata']	['Mammalia']	['Primates']	['Hominidae']	['Unknown']	['Homo']	['Homo sapiens']	nan	['Eukaryota']	['Metazoa']	['Chordata']	['Mammalia']	nan	['Hominidae']	nan	['Homo']	['Homo sapiens']	7	3	8.5	1	9	Alkaloids	0.3333333333333333	Ornithine alkaloids	0.3333333333333333	Tropane alkaloids	0.3333333333333333
282	1.0	0.6127614	ISDB	nan	nan	nan	nan	nan	nan	nan	nan	WVGALBKSWOUIEZ	nan	nan	nan	nan	nan	nan	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	2.451045513153076	1	-1	nan	nan	nan	nan	nan	nan
291	1.0	0.57137597	ISDB	nan	nan	nan	nan	nan	nan	nan	nan	UUYSKERSKRMYME	nan	nan	nan	nan	nan	nan	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	2.28550386428833	1	1	Fatty acids	0.16666666666666666	Glycerophospholipids	0.16666666666666666	Glycerophosphoethanolamines	0.16666666666666666
307	1.0	0.6595201	ISDB	http://www.wikidata.org/entity/Q27148167	XYYHNDVKALDFHQ-OXHZBIAZSA-N	InChI=1S/C45H78NO8P/c1-3-5-7-9-11-13-15-17-19-20-21-22-24-26-28-30-32-34-36-38-45(48)54-43(42-53-55(49,50)52-40-39-46)41-51-44(47)37-35-33-31-29-27-25-23-18-16-14-12-10-8-6-4-2/h5,7,11,13,17,19,21-22,26,28,32,34,43H,3-4,6,8-10,12,14-16,18,20,23-25,27,29-31,33,35-42,46H2,1-2H3,(H,49,50)/b7-5-,13-11-,19-17-,22-21-,28-26-,34-32-/t43-/m1/s1	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN	C45H78NO8P	nan	791.546505086	2-Docosahexaenoyl-1-stearoyl-sn-glycero-3-phosphoethanolamine	XYYHNDVKALDFHQ	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	http://www.wikidata.org/entity/Q33244	Trypanosoma brucei	494245.0	['Eukaryota']	['Unknown']	['Unknown']	['Unknown']	['Kinetoplastea']	['Unknown']	['Unknown']	['Trypanosoma']	['Trypanosoma brucei']	nan	['Eukaryota']	nan	nan	nan	nan	nan	nan	nan	nan	1	3	5.138080358505249	1	1	Fatty acids	0.16666666666666666	Glycerophospholipids	0.16666666666666666	Glycerophosphoethanolamines	0.16666666666666666
33	1.0|1.0|1.0	0.0|0.0|0.0	MS1_match|MS1_match|MS1_match	http://www.wikidata.org/entity/Q188017|http://www.wikidata.org/entity/Q27102079|http://www.wikidata.org/entity/Q2823213	OUYCCCASQSFEME-QMMMGPOBSA-N|VHVGNTVUSQUXPS-YUMQZZPRSA-N|WJXSWCUQABXPFS-UHFFFAOYSA-N	InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1|InChI=1S/C9H11NO3/c10-7(9(12)13)8(11)6-4-2-1-3-5-6/h1-5,7-8,11H,10H2,(H,12,13)/t7-,8-/m0/s1|InChI=1S/C7H7NO3/c8-6-4(7(10)11)2-1-3-5(6)9/h1-3,9H,8H2,(H,10,11)	N[C@@H](Cc1ccc(O)cc1)C(=O)O|N[C@H](C(=O)O)[C@@H](O)c1ccccc1|Nc1c(O)cccc1C(=O)O	C9H11NO3|C9H11NO3|C7H7NO3	pos_1_1proton1methanol|pos_1_1proton1methanol|pos_1_1proton1isopropanol	181.073893212|181.073893212|153.042593084	(2S)-2-ammonio-3-(4-hydroxyphenyl)propanoate|(2S,3S)-2-azaniumyl-3-hydroxy-3-phenylpropanoate|3-Hydroxyanthranilic acid	OUYCCCASQSFEME|VHVGNTVUSQUXPS|WJXSWCUQABXPFS	Amino acids and Peptides|Amino acids and Peptides|Amino acids and Peptides	Small peptides|Small peptides|Small peptides	Aminoacids|Aminoacids|Aminoacids	http://www.wikidata.org/entity/Q15978631|http://www.wikidata.org/entity/Q15978631|http://www.wikidata.org/entity/Q15978631	Homo sapiens|Homo sapiens|Homo sapiens	770315.0|770315.0|770315.0	['Eukaryota']|['Eukaryota']|['Eukaryota']	['Metazoa']|['Metazoa']|['Metazoa']	['Chordata']|['Chordata']|['Chordata']	['Mammalia']|['Mammalia']|['Mammalia']	['Primates']|['Primates']|['Primates']	['Hominidae']|['Hominidae']|['Hominidae']	['Unknown']|['Unknown']|['Unknown']	['Homo']|['Homo']|['Homo']	['Homo sapiens']|['Homo sapiens']|['Homo sapiens']	nan|nan|nan	['Eukaryota']|['Eukaryota']|['Eukaryota']	['Metazoa']|['Metazoa']|['Metazoa']	['Chordata']|['Chordata']|['Chordata']	['Mammalia']|['Mammalia']|['Mammalia']	nan|nan|nan	['Hominidae']|['Hominidae']|['Hominidae']	nan|nan|nan	['Homo']|['Homo']|['Homo']	['Homo sapiens']|['Homo sapiens']|['Homo sapiens']	7|7|7	3|3|3	8.5|8.5|8.5	1|1|1	10	Alkaloids	0.5	Phenolic acids (C6-C1)	0.5	Aminoacids	0.5
337	1.0	0.5504	ISDB	nan	nan	nan	nan	nan	nan	nan	nan	URPXXNCTXCOATD	nan	nan	nan	nan	nan	nan	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	2.2016000747680664	1	1	Fatty acids	0.16666666666666666	Glycerophospholipids	0.16666666666666666	Glycerophosphoethanolamines	0.16666666666666666
48	1.0	0.5896671	ISDB	http://www.wikidata.org/entity/Q82241493	TUUBOHWZSQXCSW-UHFFFAOYSA-N	InChI=1S/C8H8O4/c1-12-7-3-5(8(10)11)2-6(9)4-7/h2-4,9H,1H3,(H,10,11)	COc1cc(O)cc(C(=O)O)c1	C8H8O4	nan	168.042258736	3-Hydroxy-5-methoxybenzoic acid	TUUBOHWZSQXCSW	Shikimates and Phenylpropanoids	Phenolic acids (C6-C1)	Simple phenolic acids	http://www.wikidata.org/entity/Q15561815	Mikania haenkeana	7603971.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asterales']	['Asteraceae']	['Eupatorieae']	['Mikania']	['Mikania haenkeana']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	3	3.858668327331543	1	6	Shikimates and Phenylpropanoids	0.3333333333333333	Phenolic acids (C6-C1)	0.3333333333333333	Simple phenolic acids	0.3333333333333333
62	1.0	0.34141195	ISDB	http://www.wikidata.org/entity/Q110171643	BWCBHLCRUDRSNA-KJWHEZOQSA-N	InChI=1S/C15H22O6/c1-19-14-11(9-16)21-15(13(18)12(14)17)20-8-7-10-5-3-2-4-6-10/h2-6,11-18H,7-9H2,1H3/t11-,12-,13-,14-,15-/m1/s1	CO[C@H]1[C@H](O)[C@@H](O)[C@H](OCCc2ccccc2)O[C@@H]1CO	C15H22O6	nan	298.141638424	Phenethyl 4'-O-methylglucoside	BWCBHLCRUDRSNA	Shikimates and Phenylpropanoids	Phenylethanoids (C6-C2)	Phenylethanoids	http://www.wikidata.org/entity/Q107489784	Aschersonia confluens	691392.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Sordariomycetes']	['Hypocreales']	['Clavicipitaceae']	['Unknown']	['Aschersonia']	['Aschersonia confluens']	nan	['Eukaryota']	nan	nan	nan	nan	nan	nan	nan	nan	1	0	2.365647792816162	1	-1	nan	nan	nan	nan	nan	nan
64	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q170304	VYFYYTLLBUKUHU-UHFFFAOYSA-N	InChI=1S/C8H11NO2/c9-4-3-6-1-2-7(10)8(11)5-6/h1-2,5,10-11H,3-4,9H2	NCCc1ccc(O)c(O)c1	C8H11NO2	pos_1_1proton1isopropanol	153.078978592	Dopamine	VYFYYTLLBUKUHU	Alkaloids	Tyrosine alkaloids	Phenylethylamines	http://www.wikidata.org/entity/Q15978631	Homo sapiens	770315.0	['Eukaryota']	['Metazoa']	['Chordata']	['Mammalia']	['Primates']	['Hominidae']	['Unknown']	['Homo']	['Homo sapiens']	nan	['Eukaryota']	['Metazoa']	['Chordata']	['Mammalia']	nan	['Hominidae']	nan	['Homo']	['Homo sapiens']	7	1	7.5	1	10	Alkaloids	0.5	Phenolic acids (C6-C1)	0.5	Aminoacids	0.5
