#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance	ParentMassDiff	SpecMZ	ExactMass	LibrarySpectrumID
47	spectra_filtered.mgf	*..*		:142	588	-1	0	173.082	-1	0.952989	0	0	87938900.0	454910.0	Octanedioic acid CollisionEnergy:102040 M-H	BERKELEY-LAB	temp/spectra_filtered.mgf47	-1	BERKELEY-LAB.mgf	5692.01				6	0	0.985184	172.097	0	CCMSLIB00010102576
54	spectra_filtered.mgf	*..*		:470	470	-1	0	187.097	-1	0.944226	0	0	41080800.0	1464070.0	Azelaic acid - 40.0 eV M-H	BIRMINGHAM-UHPLC-MS-NEG	temp/spectra_filtered.mgf54	-1	BIRMINGHAM-UHPLC-MS-NEG.mgf	5261.47				6	0	0.984406	186.113	0	CCMSLIB00006113481
319	spectra_filtered.mgf	*..*		:11389	23388	-1	0	766.535	-1	0.798278	0	0	451121.0	483098.0	Massbank:LQB00586 PE 38:4 M-H	MASSBANK	temp/spectra_filtered.mgf319	-1	MASSBANK.mgf	6.68848				7	0	0.00512695	766.54	0	CCMSLIB00005736940
291	spectra_filtered.mgf	*..*		:12356	12356	-1	0	722.512	-1	0.752777	0	0	31631300.0	379893.0	PE(P-16:0/20:4); [M-H]- C41H73N1O7P1 M-H	PNNL-LIPIDS-NEGATIVE	temp/spectra_filtered.mgf291	-1	PNNL-LIPIDS-NEGATIVE.mgf	2.70324				6	0	0.00195312	722.514	0	CCMSLIB00010081150
337	spectra_filtered.mgf	*..*		:4886	4886	-1	0	750.544	-1	0.700479	0	0	363597.0	272062.0	PE(P-18:0/20:4); [M-H]- C43H77N1O7P1 M-H	PNNL-LIPIDS-NEGATIVE	temp/spectra_filtered.mgf337	-1	PNNL-LIPIDS-NEGATIVE.mgf	1.95171				6	0	0.00146484	750.545	0	CCMSLIB00010066909
