formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
4	C6H4Cl2N2O2S	[M - H2O + H]+	C6H3Cl2N2OS+	Alkaloids	0.377	Nicotinic acid alkaloids	0.019	Pyridine alkaloids	0.020	Benzenoids	0.996	Benzene and substituted derivatives	0.982	Benzenesulfonamides	0.906			Benzenesulfonamides	0.906	Organic compounds; Organosulfur compounds; Benzenesulfonamides; Halobenzenes; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Aryl chlorides; Chlorobenzenes; Sulfonyls; Organochlorides; Organosulfonamides; Benzene and substituted derivatives; Benzenoids; Dichlorobenzenes; Aryl halides; Aminosulfonyl compounds; Organic oxides; Hydrocarbon derivatives; Benzenesulfonyl compounds; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	220.935	32	0.525	845630580867927412	845630485321680102	845630485317485797	3	
8	C3H6NO4PS2	[M + K]+	C3H6KNO4PS2+	Alkaloids	0.357	Histidine alkaloids	0.054	Imidazole alkaloids	0.056	Organophosphorus compounds	0.626	Organothiophosphorus compounds	0.704					Organothiophosphorus compounds	0.704	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organophosphorus compounds; Organothiophosphorus compounds; Sulfenyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	253.910	32	0.525	845630581559987659	845630485430732010	845630485426537705	4	
3	C8H18N2O4S	[M + H]+	C8H19N2O4S+	Alkaloids	0.112	Diterpenoids	0.002	Sphingoid bases	0.035	Organoheterocyclic compounds	0.984	Diazinanes	0.997	Piperazines	0.997	N-alkylpiperazines	0.997	N-alkylpiperazines	0.997	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Alcohols and polyols; Piperazines; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Sulfonyls; Organosulfonic acids; 1,2-aminoalcohols; Trialkylamines; Diazinanes; Amines; Tertiary amines; Alkanolamines; Alkanesulfonic acids and derivatives; Alkanesulfonic acids; N-alkylpiperazines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	239.106	33	0.557	845630581065059723	845630485799830774	845630485736916213	7	
1	C8H18N2O4S	[M + Na]+	C8H18N2NaO4S+	Amino acids and Peptides	0.843	Histidine alkaloids	0.802	Imidazole alkaloids	0.804	Organic acids and derivatives	0.762	Carboxylic acids and derivatives	0.679	Carboxylic acids	0.633			Carboxylic acids	0.633	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	261.088	34	0.559	845630585708154580	845630485875328250	845630485875328249	8	
2	C2H4Cl2OSi	[M + H]+	C2H5Cl2OSi+	Fatty acids	0.967	Fatty Acids and Conjugates	0.750	Halogenated fatty acids	0.990	Organohalogen compounds	0.976	Organochlorides	0.825					Organochlorides	0.825	Organic compounds; Organohalogen compounds; Organooxygen compounds; Organochlorides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	142.948	36	0.608	845630584437280435	845630486072460550	845630486072460549	11	
2	C4H8Cl2O4	[M + H]+	C4H9Cl2O4+	Fatty acids	0.959	Fatty Acids and Conjugates	0.929	Halogenated fatty acids	0.985	Organohalogen compounds	0.999	Halohydrins	0.622	Chlorohydrins	0.649			Chlorohydrins	0.649	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Alkyl chlorides; Monocarboxylic acids and derivatives; Organochlorides; Carbonyl compounds; Halohydrins; Chlorohydrins; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	190.988	41	0.681	845630579848711325	845630486131180810	845630486126986505	12	
1	C4H7O3P	[M + K]+	C4H7KO3P+	Fatty acids	0.510	Fatty acyls	0.089	Oxygenated hydrocarbons	0.004	Organic acids and derivatives	0.727	Organic phosphonic acids and derivatives	0.676					Organic phosphonic acids and derivatives	0.676	Organic compounds; Organic acids and derivatives; Organooxygen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	172.977	41	0.685	845630598978933892	845630486252815634	845630486248621329	14	
1	C9H16FNO5S	[M - H2O + H]+	C9H15FNO4S+	Amino acids and Peptides	0.471	Small peptides	0.739	Aminoacids	0.525	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.949	Amino acids, peptides, and analogues	0.570	Amino acids and derivatives	0.570	Amino acids and derivatives	0.570	Organic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Alkyl fluorides; Monocarboxylic acids and derivatives; Sulfonyls; Carboxylic acids; Organofluorides; Carbonyl compounds; Aminosulfonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	252.071	54	0.904	845630587377487764	845630486605137194	845630486600942889	20	
1	C9H16FNO5S	[M - H2O + H]+	C9H15FNO4S+	Amino acids and Peptides	0.514	Small peptides	0.784	Aminoacids	0.606	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	0.974	Amino acids, peptides, and analogues	0.621	Amino acids and derivatives	0.620	Amino acids and derivatives	0.620	Organic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Alkyl fluorides; Monocarboxylic acids and derivatives; Sulfonyls; Carboxylic acids; Organofluorides; Organosulfonamides; Carbonyl compounds; Aminosulfonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	252.071	77	1.275	845630603223570054	845630487020373322	845630487020373321	28	
1	C8H10O2	[M + H3N + H]+	C8H14NO2+	Fatty acids	0.919	Fatty Acids and Conjugates	0.200	Unsaturated fatty acids	0.261	Organic oxygen compounds	1.000	Organooxygen compounds	0.999	Carbonyl compounds	0.886	Ketones	0.512	Ketones	0.512	Organic compounds; Ketones; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	156.102	99	1.651	845630577835445155	845630487070704974	845630487070704973	29	
