structurePerIdRank	formulaRank	ConfidenceScoreExact	ConfidenceScoreApproximate	CSI:FingerIDScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	4	0.039	0.039	-175.477	0.098	0.102	9.430	C6H4Cl2N2O2S	[M - H2O + H]+	C6H3Cl2N2OS+	ANVHDCBUVMKZJW	InChI=1S/C6H4Cl2N2O2S/c7-5-3-1-13(11,12)2-4(3)9-6(8)10-5/h1-2H2	2,4-Dichloro-5,7-dihydrothieno[3,4-d]pyrimidine 6,6-dioxide	C1C2=C(CS1(=O)=O)N=C(N=C2Cl)Cl	0.900	89487453	PUBCHEMANNOTATIONSAFETYANDTOXIC;PUBCHEM:(89487453)	67108866	220.935	32	0.525	845630580867927412	845630485321680102	845630485317485797	3	
1	8	-Infinity	-Infinity	-118.057	0.018	0.040	2.985	C3H6NO4PS2	[M + K]+	C3H6KNO4PS2+	IYOVMMPAYJHFOO	InChI=1S/C3H6NO4PS2/c5-3-4(1-2-11-3)8-9(6,7)10/h1-2H2,(H2,6,7,10)	3-Dihydroxyphosphinothioyloxy-1,3-thiazolidin-2-one	C1CSC(=O)N1OP(=S)(O)O	0.600	19781440	PUBCHEM:(19781440)	2	253.910	32	0.525	845630581559987659	845630485430732010	845630485426537705	4	
1	3	0.908	0.932	-8.338	0.324	0.333	41.176	C8H18N2O4S	[M + H]+	C8H19N2O4S+	JKMHFZQWWAIEOD	InChI=1S/C8H18N2O4S/c11-7-5-9-1-3-10(4-2-9)6-8-15(12,13)14/h11H,1-8H2,(H,12,13,14)	Hepes	C1CN(CCN1CCO)CCS(=O)(=O)O	-4.000	4099749;87826964;3275884;90874349;23830;23831;3725082;71309498;24941255	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0062295);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(23831);SUPERNATURAL:(SN0167890);MESH:(23831);PUBCHEM:(4099749 87826964 3275884 90874349 23830 23831 3725082 71309498 24941255);COCONUT:(CNP0212794);NORMAN:(NS00004939);METACYC:(HEPES);CHEBI:(46757 46758 46755 42334);DSSTox:(DTXSID00635730 DTXSID4044458 DTXSID5040382 DTXSID90859665);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)	137563998318	239.106	33	0.557	845630581065059723	845630485799830774	845630485736916213	7	
1	1	0.052	0.052	-155.425	1.000	1.000	71.396	C8H18N2O4S	[M + Na]+	C8H18N2NaO4S+	KVVUFJWCCZXRQA	InChI=1S/C8H18N2O4S/c1-8(2,3)15(12,13)5-4-10-14-6-7(9)11/h10H,4-6H2,1-3H3,(H2,9,11)	2-(2-Tert-butylsulfonylethylamino)oxyacetamide	CC(C)(C)S(=O)(=O)CCNOCC(=O)N	-0.900	106724282	PUBCHEM:(106724282)	2	261.088	34	0.559	845630585708154580	845630485875328250	845630485875328249	8	
1	2	0.005	0.005	-20.606	0.346	0.488	6.082	C2H4Cl2OSi	[M + H]+	C2H5Cl2OSi+	OJYNJELVKADCLY	InChI=1S/C2H4Cl2OSi/c1-2-6(3,4)5/h2,5H,1H2	Dichloro-ethenyl-hydroxysilane	C=C[Si](O)(Cl)Cl	1.750	87150635	PUBCHEM:(87150635)	2	142.948	36	0.608	845630584437280435	845630486072460550	845630486072460549	11	
1	2	0.075	0.075	-75.091	0.211	0.389	76.691	C4H8Cl2O4	[M + H]+	C4H9Cl2O4+	QROFCVCBEWFELB	InChI=1S/C4H8Cl2O4/c1-3(5)4(2)10-6(7,8)9/h3-4H,1-2H3	3-Chlorobutan-2-yl perchlorate	CC(C(C)Cl)OCl(=O)(=O)=O	4.200	119095894	PUBCHEM:(119095894)	2	190.988	41	0.681	845630579848711325	845630486131180810	845630486126986505	12	
1	1	0.035	0.035	-96.659	0.991	0.996	38.998	C4H7O3P	[M + K]+	C4H7KO3P+	LFMAOMQWCSTELR	InChI=1S/C4H7O3P/c1-8(6)3-2-4(5)7-8/h2-3H2,1H3	2-Methyl-1,2-oxaphospholan-5-one 2-oxide	CP1(=O)CCC(=O)O1	-0.800	92179518;92279078;84816	NORMAN:(NS00052265);PUBCHEM:(92179518 92279078 84816);DSSTox:(DTXSID40934335)	137439215618	172.977	41	0.685	845630598978933892	845630486252815634	845630486248621329	14	
1	1	0.081	0.081	-193.297	0.674	0.332	60.692	C9H16FNO5S	[M - H2O + H]+	C9H15FNO4S+	VCVNFKUQWVZZME	InChI=1S/C9H16FNO5S/c1-3-4-8(12)11-17(14,15)6-9(13)16-5-7(2)10/h7H,3-6H2,1-2H3,(H,11,12)	2-Fluoropropyl 2-(butanoylsulfamoyl)acetate	CCCC(=O)NS(=O)(=O)CC(=O)OCC(C)F	0.600	163848299	PUBCHEM:(163848299)	2	252.071	54	0.904	845630587377487764	845630486605137194	845630486600942889	20	
1	1	0.070	0.070	-195.572	0.666	0.333	64.686	C9H16FNO5S	[M - H2O + H]+	C9H15FNO4S+	VCVNFKUQWVZZME	InChI=1S/C9H16FNO5S/c1-3-4-8(12)11-17(14,15)6-9(13)16-5-7(2)10/h7H,3-6H2,1-2H3,(H,11,12)	2-Fluoropropyl 2-(butanoylsulfamoyl)acetate	CCCC(=O)NS(=O)(=O)CC(=O)OCC(C)F	0.600	163848299	PUBCHEM:(163848299)	2	252.071	77	1.275	845630603223570054	845630487020373322	845630487020373321	28	
1	1	0.099	0.099	-52.122	1.000	0.333	163.175	C8H10O2	[M + H3N + H]+	C8H14NO2+	FDZCRHSDRBSPBW	InChI=1S/C8H10O2/c1-7(6-9)4-3-5-8(2)10/h3-6H,1-2H3	(2Z,4Z)-2-methyl-6-oxohepta-2,4-dienal	CC(=O)C=CC=C(C)C=O	0.700	96842984;53395415;14443953;10129991;45085514	METACYC:(CPD-18726);CHEBI:(1283);KEGG:(C11480);LotusExpanded;PUBCHEM:(96842984 53395415 14443953 10129991 45085514)	8589936930	156.102	99	1.651	845630577835445155	845630487070704974	845630487070704973	29	
1	1	0.109	0.246	-48.882	1.000	0.333	81.182	C7H8O2	[M + H3N + H]+	C7H12NO2+	QXHJRNVPNQKMLR	InChI=1S/C7H8O2/c8-7(9)6-4-2-1-3-5-6/h2,4-5H,1,3H2,(H,8,9)	Cyclohexa-1,5-diene-1-carboxylate	C1CC=C(C=C1)C(=O)O	1.400	143020988;18330762;181650	PUBCHEMANNOTATIONBIO:(null);CHEBI:(49262);PUBCHEM:(143020988 18330762 181650);DSSTox:(DTXSID50960483);PUBMED:(null)	137455730786	142.086	104	1.727	845630576774286070	845630487188145494	845630487188145493	31	
1	1	0.167	0.222	-58.099	1.000	0.333	60.929	C7H12O2	[M + H3N + H]+	C7H16NO2+	YVHAIVPPUIZFBA	InChI=1S/C7H12O2/c8-7(9)5-6-3-1-2-4-6/h6H,1-5H2,(H,8,9)	2-cyclopentylacetic acid	C1CCC(C1)CC(=O)O	1.900	6950142;71606	PUBCHEMANNOTATIONBIO:(null);COCONUT:(CNP0381828);NORMAN:(NS00015791);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);CHEBI:(167737);SUPERNATURAL:(SN0461231);PUBCHEM:(6950142 71606);DSSTox:(DTXSID30149976)	137526247458	146.118	107	1.790	845630575700544092	845630487309780318	845630487309780317	33	
