formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C3H2ClO3	[M + Na]+	C3H2ClNaO3+	0.951	0.264	5.157	5.157	0.000	3	0.005	7.593	7.593	4.291		143.959	29	0.482	845630588035993595	845630485204239586	845630485195850977	2	
1	C6H5NOSi	[M + Na]+	C6H5NNaOSi+	0.992	0.992	13.462	13.462	0.000	3	0.012	-0.436	2.210	-1.146		158.003	29	0.484	845630581119585707	845630484914832606	845630484893861085	1	
1	C2H7BrNO4S	[M + H]+	C2H8BrNO4S+	0.356	0.355	10.681	10.681	0.000	2	0.337	-2.540	6.043	-2.364		220.935	32	0.525	845630580863733105	845630485321680102	845630485317485797	3	
1	C5H6Cl4FNO2	[M - H2O + H]+	C5H5Cl4FNO+	0.286	0.104	3.947	3.947	0.000	2	0.026	-2.220	2.220	-70935.754		253.910	32	0.525	845630581559987655	845630485430732010	845630485426537705	4	
1	C3H5O2PS	[M + Na]+	C3H5NaO2PS+	1.000	0.952	5.333	5.333	0.000	1	0.343	4.303	4.303	0.140		158.964	32	0.536	845630579999706354	845630485514618094	845630485510423789	5	
1	C4H11O5	[M + H]+	C4H12O5+	0.708	0.685	4.347	4.347	0.000	0	0.000	2.557	2.557	2.535		140.068	33	0.555	845630576161917550	845630485590115570	845630485585921265	6	
1	C8H15NO4S	[M + H3N + H]+	C8H19N2O4S+	0.347	0.333	41.176	36.595	4.582	21	0.807	2.707	2.893	-0.102		239.106	33	0.557	845630581065059724	845630485799830774	845630485736916213	7	
1	C8H18N2O4S	[M + Na]+	C8H18N2NaO4S+	1.000	1.000	71.396	71.396	0.000	18	0.424	-5.081	5.081	0.177		261.088	34	0.559	845630585708154580	845630485875328250	845630485875328249	8	
1	C2H3BrN2O3	[M - H2O + H]+	C2H2BrN2O2+	0.215	0.205	0.087	0.087	0.000	0	0.000	4.051	4.051	-109197.185		164.930	36	0.594	845630583715860051	845630485950825726	845630485946631421	9	
1	H2NP3	[M + Na]+	H2NNaP3+	0.332	0.329	-4.044	-4.044	0.000	0	0.000	5.324	5.324	5.233		131.930	36	0.598	845630576417770138	845630486017934594	845630486013740289	10	
1	C2H6Cl2O2Si	[M - H2O + H]+	C2H5Cl2OSi+	0.639	0.488	6.082	6.082	0.000	2	0.016	1.429	1.429	-125993.579		142.948	36	0.608	845630584437280436	845630486072460550	845630486072460549	11	
1	C5H13F2N2OS	[M + Na]+	C5H13F2N2NaOS+	0.969	0.627	7.567	7.567	0.000	3	0.119	-3.515	3.515	-1.672		210.061	40	0.675	845630579987123409	845630486185706766	845630486185706765	13	
1	C5H9ClO3	[M + K]+	C5H9ClKO3+	0.693	0.517	76.975	76.975	0.000	9	0.500	2.943	2.943	2.330		190.988	41	0.681	845630579848711324	845630486131180810	845630486126986505	12	
1	C7H17F2N2OS	[M + Na]+	C7H17F2N2NaOS+	1.000	0.285	28.641	28.641	0.000	12	0.288	-2.103	4.760	-2.001		238.092	41	0.684	845630580368805165	845630486370256154	845630486366061849	16	
1	C4H7O3P	[M + K]+	C4H7KO3P+	0.991	0.996	38.998	38.998	0.000	7	0.377	5.390	5.390	3.765		172.977	41	0.685	845630598978933892	845630486252815634	845630486248621329	14	
1	C4H11F2N2OS	[M + Na]+	C4H11F2N2NaOS+	0.779	0.327	6.149	6.149	0.000	3	0.048	-4.464	4.464	-1.791		196.045	41	0.686	845630578762386471	845630486424782110	845630486424782109	17	
1	C2H4Cl2O3	[M - H2O + H]+	C2H3Cl2O2+	0.347	0.244	0.179	0.179	0.000	0	0.000	3.737	3.737	-139665.920		128.951	42	0.693	845630608491616540	845630486311535894	845630486311535893	15	
1	C3H4ClO4	[M + Na]+	C3H4ClNaO4+	1.000	0.373	5.878	5.878	0.000	3	0.029	4.887	4.887	3.600		161.970	53	0.885	845630583929769566	845630486483502370	845630486483502369	18	
1	C9H16FNO5S	[M - H2O + H]+	C9H15FNO4S+	0.674	0.332	60.692	60.692	0.000	12	0.451	-3.636	4.249	-71446.509		252.071	54	0.904	845630587377487764	845630486605137194	845630486600942889	20	
1	C3H2ClO3	[M + Na]+	C3H2ClNaO3+	0.949	0.087	5.310	5.310	0.000	3	0.006	7.884	7.884	4.326		143.959	56	0.933	845630605425579866	845630486546416934	845630486542222629	19	
1	C6H15F2N2OS	[M + Na]+	C6H15F2N2NaOS+	1.000	1.000	22.705	22.705	0.000	7	0.176	-2.037	5.188	-1.925		224.076	57	0.956	845630599226397841	845630486659663150	845630486659663149	21	
1	C8H21F2N2O2Si	[M + Na]+	C8H21F2N2NaO2Si+	1.000	1.000	57.207	57.207	0.000	13	0.492	-2.289	3.272	-0.739		266.123	59	0.989	845630596919530469	845630486718383410	845630486718383409	22	
1	C4H5Cl2	[M + Na]+	C4H5Cl2Na+	0.993	0.995	5.914	5.914	0.000	4	0.002	2.706	2.706	0.471		145.966	61	1.012	845630580922453378	845630486772909366	845630486772909365	23	
1	C6H15F2N2OS	[M + Na]+	C6H15F2N2NaOS+	1.000	1.000	22.280	22.280	0.000	7	0.182	-2.037	5.318	-1.902		224.076	61	1.022	845630596479128445	845630486827435322	845630486823241017	24	
1	C6H15F2N2OS	[M + Na]+	C6H15F2N2NaOS+	1.000	1.000	22.374	22.374	0.000	7	0.178	-2.003	5.242	-1.902		224.076	75	1.254	845630608076380345	845630486923904322	845630486923904321	26	
