row ID,row m/z,row retention time,intensity_measure,ion_mobility,ion_mobility_unit,ccs,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20260505_CVOL_02_29_PET.mzML Peak area,20260505_CVOL_02_29_bl.mzML Peak area,20260505_CVOL_02_29_mock.mzML Peak area,20260505_CVOL_02_29_untreated.mzML Peak area,20260505_CVOL_bk_mapp_01.mzML Peak area,Unnamed: 18
1,158.00307846406625,0.47134495,height,,,,,,,,,,,513237.34,523178.5,521381.56,521977.97,850157.06,
2,143.9590866548498,0.47419286,height,,,,,,,,,,,567257.3,481338.2,525726.4,508262.44,603642.3,
3,220.93466861695944,0.5252089,height,,,,,,,,,,,0.0,0.0,933071.1,0.0,0.0,
4,253.9096708589168,0.5252089,height,,,,,,,,,,,0.0,0.0,1057128.4,0.0,0.0,
5,158.9640324789229,0.5358671,height,,,,,,,,,,,0.0,0.0,5477243.0,0.0,0.0,
6,140.06828213384014,0.55450994,height,,,,,,,,,,,0.0,0.0,0.0,0.0,801659.1,
7,239.10598284347424,0.556443,height,,,,,,,,,,,7564543.5,0.0,0.0,7436003.0,0.0,
8,261.0879949469329,0.55650026,height,,,,,,,,,,,695364.8,0.0,0.0,1034574.06,0.0,
9,164.9300847935338,0.59353966,height,,,,,,,,,,,0.0,0.0,2411687.8,0.0,0.0,
10,131.92991909609336,0.6028968,height,,,,,,,,,,,464354.25,469064.44,515155.0,550737.75,0.0,
11,142.94813822791946,0.6078292,height,,,,,,,,,,,0.0,0.0,724346.94,0.0,0.0,
12,190.9876240518932,0.68870676,height,,,,,,,,,,,0.0,462792.44,378115.38,0.0,0.0,
13,210.06053235343745,0.6753745,height,,,,,,,,,,,0.0,448803.84,310042.47,0.0,0.0,
14,172.97708574471932,0.68525994,height,,,,,,,,,,,1553543.4,3174676.0,2268078.8,1703931.0,0.0,
15,128.95097053051984,0.70201415,height,,,,,,,,,,,1089033.5,1740609.2,1291496.0,1168663.8,508239.38,
16,238.0917225645618,0.6830193,height,,,,,,,,,,,355195.56,650671.56,422414.97,432232.53,0.0,
17,196.0448859817787,0.6874454,height,,,,,,,,,,,405823.03,559377.6,380483.72,447222.62,0.0,
18,161.96961341792766,0.91348267,height,,,,,,,,,,,384069.97,354845.66,330116.88,382797.44,401961.94,
19,143.95908503754532,0.9147514,height,,,,,,,,,,,482661.88,464672.22,432375.7,491231.25,498994.1,
20,252.07099935271967,0.9511204,height,,,,,,,,,,,375113.3,444236.38,389557.06,379510.28,527250.2,
21,224.07610358945584,0.9695918,height,,,,,,,,,,,1052710.6,1224777.0,1003570.94,1069088.5,1417305.6,
22,266.1230456748533,0.9806547,height,,,,,,,,,,,589168.3,728156.0,612340.1,591602.94,840737.0,
23,145.96611636135714,1.0437418,height,,,,,,,,,,,346091.38,342809.22,351354.28,362999.2,388497.0,
