CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
1172	1218	-13.870	0.000	0.7207	0.5683	1
1172	1232	0.146	0.000	0.7380	0.5962	1
1172	1289	-13.870	0.000	0.7354	0.5770	1
1172	1294	0.146	0.000	0.7468	0.6309	1
1172	1332	-13.870	0.000	0.7176	0.5696	1
1172	1339	14.161	0.000	0.7216	0.5706	1
1172	1340	0.146	0.000	0.7383	0.6169	1
1172	1365	0.146	0.000	0.7398	0.6169	1
1172	1367	-13.870	0.000	0.7341	0.5770	1
1172	1395	-13.870	0.000	0.7292	0.5770	1
1172	1405	0.146	0.000	0.7353	0.6169	1
1172	1441	-13.870	0.000	0.7537	0.6206	1
1172	1447	0.146	0.000	0.7415	0.6169	1
1172	1476	-13.870	0.000	0.7255	0.5742	1
1172	1514	0.146	0.000	0.7547	0.6711	1
1172	1517	-13.870	0.000	0.7249	0.5851	1
1172	1547	0.146	0.000	0.7289	0.5665	1
1172	1549	-13.870	0.000	0.7243	0.5554	1
1172	1566	-11.856	0.000	0.7434	0.6232	1
1172	1584	0.146	0.000	0.7375	0.6169	1
1172	1592	-13.870	0.000	0.7229	0.5770	1
1172	1605	14.161	0.000	0.7081	0.5488	1
1172	1653	-13.870	0.000	0.7454	0.6406	1
1172	1712	-13.870	0.000	0.7305	0.5990	1
1172	1807	-13.870	0.000	0.7429	0.6206	1
1172	1840	14.161	0.000	0.7121	0.5296	1
1172	1895	-13.870	0.000	0.7452	0.6287	1
1172	1939	-13.870	0.000	0.7385	0.5770	1
1172	2067	-13.871	0.000	0.7143	0.5896	1
1172	2105	-13.870	0.000	0.7439	0.6198	1
1172	2132	-14.027	0.000	0.7387	0.6206	1
1172	2185	-13.870	0.000	0.7128	0.6406	1
1172	2219	14.161	0.000	0.7088	0.5425	1
1172	2220	-13.871	0.000	0.7444	0.6441	1
1172	2263	-13.871	0.000	0.7325	0.5990	1
1172	2372	-13.870	0.000	0.7207	0.5693	1
1172	2423	-13.871	0.000	0.7410	0.5770	1
1172	2447	-13.871	0.000	0.7352	0.5770	1
1172	2892	-13.871	0.000	0.7108	0.5770	1
1172	3058	-13.871	0.000	0.7353	0.5987	1
1172	3124	14.161	0.000	0.7114	0.5628	1
1172	3267	14.161	0.000	0.7082	0.5617	1
1172	3304	14.161	0.000	0.7160	0.5913	1
1173	1195	-28.031	0.000	0.7904	0.5829	1
1173	1244	-28.031	0.000	0.7777	0.5616	1
1173	1285	0.000	0.000	0.8208	0.5777	1
1173	1288	17.027	0.000	0.7430	0.5428	1
1173	1297	-28.031	0.000	0.7783	0.5640	1
1173	1352	17.027	0.000	0.7125	0.4155	1
1173	1355	-28.031	0.000	0.7881	0.5540	1
1173	1428	-28.031	0.000	0.8201	0.6251	1
1173	1430	-28.138	0.000	0.7922	0.5991	1
1173	1435	17.027	0.000	0.7248	0.4846	1
1173	1471	17.027	0.000	0.7431	0.5389	1
1173	1473	-0.000	0.000	0.8024	0.5264	1
1173	1474	-28.031	0.000	0.7980	0.6160	1
1173	1508	0.000	0.000	0.8483	0.5887	1
1173	1509	-28.031	0.000	0.8033	0.6139	1
1173	1510	17.027	0.000	0.7359	0.4969	1
1173	1546	0.000	0.000	0.8535	0.6175	1
1173	1554	17.027	0.000	0.7466	0.5628	1
1173	1555	-28.031	0.000	0.8065	0.6143	1
1173	1878	-238.230	0.000	0.7654	0.5540	1
1173	1879	-266.262	0.000	0.7102	0.5060	1
1173	2148	-266.262	0.000	0.7260	0.4897	1
1173	2151	-294.294	0.000	0.7095	0.4922	1
1173	2155	-294.299	0.000	0.7014	0.4745	1
1174	1702	-70.078	0.000	0.9486	0.5919	1
1174	2401	-119.313	0.000	0.9598	0.6690	1
1174	2793	-91.318	0.000	0.9484	0.5852	1
1174	3103	-121.365	0.000	0.9133	0.4089	1
1174	3190	-92.346	0.000	0.8239	0.3770	1
1175	1177	-464.055	0.000	0.8785	0.4500	1
1175	1192	75.057	0.000	0.9500	0.6452	1
1175	1196	-28.921	0.000	0.7991	0.4805	1
1175	1214	-0.997	0.000	0.8962	0.5261	1
1175	1250	0.000	0.000	0.9596	0.6141	1
1175	1257	-1.003	0.000	0.8871	0.6315	1
1175	1261	-12.995	0.000	0.9582	0.6385	1
1175	1266	-127.099	0.000	0.9675	0.6439	1
1175	1273	-28.921	0.000	0.8047	0.4863	1
1175	1296	0.130	0.000	0.9684	0.6494	1
1175	1298	70.208	0.000	0.9451	0.5511	1
1175	1301	-28.921	0.000	0.8245	0.5122	1
1175	1304	-109.089	0.000	0.9611	0.6491	1
1175	1316	-109.089	0.000	0.9666	0.6439	1
1175	1322	-28.884	0.000	0.8099	0.5358	1
1175	1333	-14.905	0.000	0.8656	0.5267	1
1175	1362	-28.979	0.000	0.7372	0.4139	1
1175	1371	-28.921	0.000	0.7959	0.4724	1
1175	1393	47.026	0.000	0.9619	0.6707	1
1175	1445	0.130	0.000	0.9521	0.5963	1
1175	1452	-119.037	0.000	0.9660	0.6438	1
1175	1477	-28.921	0.000	0.8248	0.5057	1
1175	1492	-110.121	0.000	0.9273	0.4893	1
1175	1498	-119.037	0.000	0.9613	0.6006	1
1175	1503	-85.089	0.000	0.9598	0.6904	1
1175	1520	-28.921	0.000	0.8179	0.5175	1
1175	1556	70.208	0.000	0.9683	0.6653	1
1175	1567	-14.905	0.000	0.7627	0.4090	1
1175	1568	-28.884	0.000	0.8233	0.5012	1
1175	1573	-41.063	0.000	0.9637	0.6730	1
1175	1593	-28.921	0.000	0.8284	0.5180	1
1175	1598	-67.079	0.000	0.9648	0.6450	1
1175	1613	12.122	0.000	0.9449	0.5635	1
1175	1662	-67.079	0.000	0.9632	0.6448	1
1175	1707	-55.115	0.000	0.9630	0.6696	1
1175	1714	-28.921	0.000	0.8333	0.5831	1
1175	1776	-49.068	0.000	0.9620	0.6374	1
1175	1779	-53.099	0.000	0.9710	0.7214	1
1175	1787	-33.073	0.000	0.9596	0.6660	1
1175	1800	-168.022	0.000	0.9694	0.6757	1
1175	1816	-53.099	0.000	0.9698	0.6438	1
1175	1831	0.130	0.000	0.9692	0.6439	1
1175	1833	-33.023	0.000	0.7453	0.4020	1
1175	1850	-95.110	0.000	0.9721	0.6758	1
1175	1851	-67.079	0.000	0.9671	0.6696	1
1175	1862	-53.099	0.000	0.9512	0.6068	1
1175	1874	-28.922	0.000	0.8386	0.5230	1
1175	1882	-168.022	0.000	0.9601	0.6432	1
1175	1888	-69.095	0.000	0.9679	0.6689	1
1175	1910	-95.110	0.000	0.9647	0.6649	1
1175	1919	-53.099	0.000	0.9638	0.6454	1
1175	1925	-0.872	0.000	0.8775	0.5997	1
1175	1935	-51.084	0.000	0.9683	0.6700	1
1175	1940	0.130	0.000	0.9701	0.6439	1
1175	1949	-17.909	0.000	0.9659	0.6723	1
1175	1955	-35.089	0.000	0.9552	0.5866	1
1175	1967	-95.110	0.000	0.9669	0.6649	1
1175	1990	-33.074	0.000	0.9137	0.4433	1
1175	2024	89.001	0.000	0.8819	0.6250	1
1175	2036	-33.073	0.000	0.9335	0.5344	1
1175	2038	70.209	0.000	0.9533	0.6325	1
1175	2042	-28.921	0.000	0.8425	0.5500	1
1175	2085	-53.099	0.000	0.9644	0.6405	1
1175	2091	-0.872	0.000	0.7988	0.6165	1
1175	2100	-65.063	0.000	0.9720	0.6993	1
1175	2108	-1.033	0.000	0.8740	0.6264	1
1175	2115	-28.922	0.000	0.8145	0.4651	1
1175	2117	-2.036	0.000	0.7609	0.4632	1
1175	2176	-35.089	0.000	0.9533	0.6549	1
1175	2199	-246.017	0.000	0.9407	0.5954	1
1175	2232	-39.120	0.000	0.9598	0.6392	1
1175	2236	-35.089	0.000	0.9626	0.6439	1
1175	2237	-0.872	0.000	0.8675	0.5469	1
1175	2241	-13.047	0.000	0.9326	0.5480	1
1175	2247	-1.048	0.000	0.9162	0.6571	1
1175	2255	48.969	0.000	0.8822	0.4977	1
1175	2262	-21.110	0.000	0.7697	0.3018	1
1175	2269	-47.089	0.000	0.9752	0.6933	1
1175	2274	-81.130	0.000	0.9640	0.6432	1
1175	2285	-0.999	0.000	0.7064	0.3379	1
1175	2297	60.969	0.000	0.9263	0.6550	1
1175	2304	-16.044	0.000	0.8847	0.4492	1
1175	2320	-1.048	0.000	0.8688	0.5609	1
1175	2330	-93.094	0.000	0.9607	0.6309	1
1175	2337	-35.089	0.000	0.9664	0.6686	1
1175	2349	-1.033	0.000	0.7806	0.4498	1
1175	2353	34.953	0.000	0.9417	0.6390	1
1175	2401	-49.104	0.000	0.9629	0.6444	1
1175	2420	-69.094	0.000	0.9602	0.6457	1
1175	2430	-28.921	0.000	0.8377	0.5053	1
1175	2464	0.130	0.000	0.9550	0.6714	1
1175	2490	-17.078	0.000	0.9613	0.6684	1
1175	2504	0.130	0.000	0.9611	0.6050	1
1175	2521	-260.033	0.000	0.9217	0.5651	1
1175	2531	-5.080	0.000	0.7948	0.3790	1
1175	2534	0.130	0.000	0.9591	0.6284	1
1175	2541	-17.078	0.000	0.9620	0.6649	1
1175	2580	-121.971	0.000	0.8996	0.3863	1
1175	2593	-17.078	0.000	0.9673	0.6758	1
1175	2606	-19.093	0.000	0.9603	0.6416	1
1175	2667	0.131	0.000	0.9545	0.5735	1
1175	2668	-135.987	0.000	0.9688	0.6664	1
1175	2684	-266.130	0.000	0.9614	0.6439	1
1175	2739	-101.018	0.000	0.9697	0.6758	1
1175	2755	0.131	0.000	0.9746	0.6758	1
1175	2789	-1.012	0.000	0.8048	0.5973	1
1175	2808	-228.007	0.000	0.9668	0.6523	1
1175	2867	4.906	0.000	0.8789	0.5736	1
1175	2924	-47.125	0.000	0.9178	0.5815	1
1175	2930	0.130	0.000	0.9709	0.6972	1
1175	2947	-21.110	0.000	0.9522	0.6164	1
1175	2949	-19.094	0.000	0.9615	0.6311	1
1175	2954	70.208	0.000	0.9709	0.7102	1
1175	2973	-49.141	0.000	0.9330	0.5168	1
1175	3065	-28.921	0.000	0.8439	0.5138	1
1175	3067	70.208	0.000	0.9545	0.6472	1
1175	3085	-0.872	0.000	0.8886	0.6339	1
1175	3089	-192.049	0.000	0.9586	0.6432	1
1175	3130	-220.081	0.000	0.9545	0.6128	1
1175	3140	0.130	0.000	0.9373	0.5825	1
1175	3189	-21.135	0.000	0.8850	0.4496	1
1175	3197	-0.872	0.000	0.9000	0.7157	1
1175	3247	-20.097	0.000	0.7789	0.3678	1
1175	3250	-28.922	0.000	0.8454	0.5496	1
1175	3271	-21.110	0.000	0.9657	0.6506	1
1175	3284	4.906	0.000	0.9051	0.5450	1
1175	3291	-21.110	0.000	0.9600	0.6385	1
1175	3322	-19.094	0.000	0.9263	0.5198	1
1175	3428	0.130	0.000	0.9670	0.6741	1
1175	3444	0.130	0.000	0.9610	0.6670	1
1176	1400	0.000	0.000	0.9563	0.5321	1
1176	1596	-0.000	0.000	0.9605	0.5451	1
1177	1196	435.134	0.000	0.7467	0.3972	1
1177	1273	435.134	0.000	0.7533	0.4138	1
