data_source	value	npc_label	plot_label	test	contrast	group_1	group_2	n_group_1	n_group_2	mean_group_1	mean_group_2	mean_difference	abs_mean_difference	median_group_1	median_group_2	median_difference	abs_median_difference	p_value	q_value	significance
filtered	log10_summed_intensity_plus_1	NPC superclass: Eicosanoids	Eicosanoids	pairwise_wilcoxon_rank_sum	PET_vs_Untreated	PET	Untreated	3	3	0.0140611113449744	0.198561293404273	0.184500182059298	0.184500182059298	0	0.294653884548837	0.294653884548837	0.294653884548837	0.353678517318465	0.923184419686965	ns
filtered	log10_summed_intensity_plus_1	NPC superclass: Eicosanoids	Eicosanoids	pairwise_wilcoxon_rank_sum	PS_vs_Untreated	PS	Untreated	3	3	0	0.198561293404273	0.198561293404273	0.198561293404273	0	0.294653884548837	0.294653884548837	0.294653884548837	0.196705602458947	0.904393177530872	ns
filtered	log10_summed_intensity_plus_1	NPC superclass: Fatty Acids and Conjugates	Fatty Acids and Conjugates	kruskal_wallis	overall	NA	NA	NA	NA	NA	NA	NA	0.149490389694793	NA	NA	NA	0.0638989641194214	0.56114396864749	0.851437732778007	ns
filtered	log10_summed_intensity_plus_1	NPC superclass: Fatty Acids and Conjugates	Fatty Acids and Conjugates	pairwise_wilcoxon_rank_sum	PET_vs_PS	PET	PS	3	3	1.59004818946719	1.58602127945147	-0.00402691001571354	0.00402691001571354	1.60300014049017	1.64488496743759	0.041884826947427	0.041884826947427	1	1	ns
filtered	log10_summed_intensity_plus_1	NPC superclass: Fatty Acids and Conjugates	Fatty Acids and Conjugates	pairwise_wilcoxon_rank_sum	PET_vs_Untreated	PET	Untreated	3	3	1.59004818946719	1.44055779977239	-0.149490389694793	0.149490389694793	1.60300014049017	1.58098600331817	-0.0220141371719944	0.0220141371719944	0.662520583540057	0.923184419686965	ns
filtered	log10_summed_intensity_plus_1	NPC superclass: Fatty Acids and Conjugates	Fatty Acids and Conjugates	pairwise_wilcoxon_rank_sum	PS_vs_Untreated	PS	Untreated	3	3	1.58602127945147	1.44055779977239	-0.14546347967908	0.14546347967908	1.64488496743759	1.58098600331817	-0.0638989641194214	0.0638989641194214	0.382733088885226	0.904393177530872	ns
filtered	log10_summed_intensity_plus_1	NPC superclass: Fatty acyl glycosides	Fatty acyl glycosides	kruskal_wallis	overall	NA	NA	NA	NA	NA	NA	NA	0.224298303306288	NA	NA	NA	0.312506806391881	0.182473663623152	0.851437732778007	ns
filtered	log10_summed_intensity_plus_1	NPC superclass: Fatty acyl glycosides	Fatty acyl glycosides	pairwise_wilcoxon_rank_sum	PET_vs_PS	PET	PS	3	3	0.0758695057895732	0.0763989220294286	0.000529416239855349	0.000529416239855349	0.0935138287873749	0	-0.0935138287873749	0.0935138287873749	1	1	ns
filtered	log10_summed_intensity_plus_1	NPC superclass: Fatty acyl glycosides	Fatty acyl glycosides	pairwise_wilcoxon_rank_sum	PET_vs_Untreated	PET	Untreated	3	3	0.0758695057895732	0.300167809095861	0.224298303306288	0.224298303306288	0.0935138287873749	0.312506806391881	0.218992977604506	0.218992977604506	0.190430263825524	0.923184419686965	ns
filtered	log10_summed_intensity_plus_1	NPC superclass: Fatty acyl glycosides	Fatty acyl glycosides	pairwise_wilcoxon_rank_sum	PS_vs_Untreated	PS	Untreated	3	3	0.0763989220294286	0.300167809095861	0.223768887066433	0.223768887066433	0	0.312506806391881	0.312506806391881	0.312506806391881	0.184038627196425	0.904393177530872	ns
