	PET_vs_PS_fold_change_log2	PET_vs_PS_p_value	PET_vs_Untreated_fold_change_log2	PET_vs_Untreated_p_value	PS_vs_Untreated_fold_change_log2	PS_vs_Untreated_p_value
bacteriohopane-32,33, 34-triol-35-carbamate	0.0533384884517269	0.956882637828829	0.033021385985084	0.988926119441263	-0.020317102466643	0.995632820566996
Eerectquione B	-0.142361330326821	0.621672054328546	0.360249694432165	0.0886298222730595	0.502611024758986	0.0227128608243843
farnesyl acetone	-0.0480376854321107	0.968350587308271	-0.116377616556308	0.88766934042713	-0.0683399311241978	0.960782988957169
stearolic acid	-0.0806028168788702	0.905750540507162	-0.0687419712576122	0.952553933232829	0.011860845621258	0.998627033184244
(11E,15Z)-9,10,13-trihydroxyoctadeca-11,15-dienoic acid	-0.0613125929081076	0.95030354454275	0.0169088051174275	0.99726401107867	0.0782213980255353	0.945592618082155
DG(18:2n6/0:0/18:2n6)	-0.0919261591143553	0.872800861477569	-0.00444362156807515	0.999772217711656	0.0874825375462802	0.921018715026306
7R-hydroxy-hexadecanoic acid	0.34992489065037	0.0779976014888376	0.436722334480957	0.0629241294740192	0.0867974438305871	0.839833420355352
11-dodecen-1-ol	0.265516368777266	0.260479872704278	0.408069740634071	0.11336921606078	0.142553371856805	0.688470732106353
(9Z,11E,13E)-octadeca-9,11,13-trienoic acid	-0.0729129448454342	0.912549979885302	-0.0897110184246006	0.912743999472468	-0.0167980735791665	0.996938636766668
8,10-hexadecadiynoic acid	-0.0404963787936774	0.976565861755781	-0.10261138756393	0.907888569843835	-0.0621150087702521	0.965982870320493
(3S,4S,7R,9R,12S,13S,16R,18R)-3,9,12-Trimethyl-18-ethyl-4,7:13,16-diepoxy-1,10-dioxacyclooctadecane-2,11-dione	0.123299121413146	0.836003640096522	0.119094705575308	0.894275210673718	-0.00420441583783829	0.999846913153676
2,3-dinor-8-epi-prostaglandin F2alpha	-0.0763643840237368	0.91753001337058	-0.134773953614059	0.843284949003004	-0.0584095695903223	0.969745347027885
3,6,9,12,15-octadecapentaenoic acid	-0.0758815629151001	0.90374515622219	-0.0312369890945404	0.988186563093616	0.0446445738205598	0.977253366453382
Cytospolide C	0.000566388436230271	0.999995478799919	0.046338791452997	0.979424946952801	0.0457724030167668	0.979911157672374
dimyristoyl phosphatidylcholine	0.167914644312109	0.435899561020137	0.455731451703584	0.0220250583330425	0.287816807391475	0.133942828295459
acetylcholine	0.191684179228806	0.397776922550421	0.262969954832908	0.304759381392822	0.0712857756041021	0.896317242456461
N-hexadecanoylsphingosine-1-phosphocholine	0.246405709398789	0.130999015358062	0.146553348452637	0.599381875795332	-0.0998523609461519	0.750223243900493
Ximenynic acid	-0.0805724502272636	0.887719622901905	-0.11953851832852	0.844161311452886	-0.0389660681012569	0.982903939031552
N-hexadecanoylphytosphingosine-1-phosphocholine	0.203935361668711	0.323063176542556	0.289888665870833	0.210704570249096	0.0859533042021223	0.83713473735919
bis(2-ethylhexyl) phthalate	-0.0394542070874782	0.962735234168439	0.28661840670633	0.228004551694806	0.326072613793808	0.163847589514571
diisononyl phthalate	-0.191312491292279	0.633215278097207	0.00754224812182247	0.999435248766649	0.198854739414102	0.715705504639326
N-(2-hydroxytetradecanoyl)icosasphinganine	0.413197609601611	0.0940080266008271	0.377301759940309	0.247129639406772	-0.0358958496613022	0.981241630497111
N-oleoyl-(4E,14Z)-sphingadienine-1-phosphocholine	0.0419122630890596	0.979600924887748	0.555418351421804	0.065054350084743	0.513506088332745	0.0853559370130819
N-(docosanoyl)ethanolamine	0.151553390348248	0.643663980106658	0.107427093880172	0.863444960968289	-0.044126296468076	0.97258763214316
Fusaridioic acid C	-0.108251532251614	0.823661276617416	-0.141273948465565	0.806573612835843	-0.033022416213951	0.988976491524149
1,2-dipalmitoleoyl-sn-glycero-3-phosphocholine	0.109202711403993	0.628923080365206	0.424548313020982	0.0154502554729037	0.315345601616989	0.0602405058611621
N-octadecanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine	0.10238644250268	0.75308174298429	0.276090682048155	0.24494437543674	0.173704239545475	0.527803913345937
6-{(1S,5S)-4-oxo-5-[(2Z)-pent-2-en-1-yl]cyclopent-2-en-1-yl}hexanoate	-0.0823200773706739	0.89696973081775	-0.186967135596054	0.710985826944573	-0.10464705822538	0.902151376723146
N-(2R-methyl-3-hydroxy-ethyl)-16,16-dimethyl-5Z,8Z,11Z,14Z-docosatetraenoyl amine	-0.0458187618238476	0.969854281571444	-0.196042203400704	0.720077321241866	-0.150223441576856	0.827792879073725
1,2-dioleoylglycerol	0.235783116321062	0.238957627490577	0.36806535341079	0.0951692257229828	0.132282237089729	0.654762573996631
1-stearoyl-2-arachidonoyl-sn-glycerol	0.191678035141975	0.237119704679361	0.367370874546851	0.0349523069335158	0.175692839404876	0.341566024357174
N-palmitoylhexadecasphinganine	0.388136680361669	0.0857020710731899	0.359525060942888	0.22281600038847	-0.0286116194187814	0.985968698995117
soblidotin	0.0312664315641932	0.980937349530253	0.258510972035556	0.38742525713297	0.227244540471363	0.467239242234308
PC(18:1(9Z)/13:0)	0.00912824529783118	0.997905942424201	0.207099261558444	0.461999459161563	0.197971016260613	0.489831011844279
HexCer(d18:1/16:0)	-0.223185825582879	0.233752951778774	-0.377933725186431	0.0986072139026454	-0.154747899603552	0.674623124870149
N-tetradecanoylsphinganine	0.0189664959509848	0.991112846138376	-0.245528136030562	0.45950464204207	-0.264494631981547	0.404780003452589
1,2-di-O-pentadecanoyl-sn-glycero-3-phosphocholine	0.121542278910512	0.738815785221661	0.178045942351773	0.640808333822197	0.0565036634412608	0.950822355785419
C16 phytosphingosine	0.0307476943560251	0.984907846511564	0.0536863804025005	0.969126081694083	0.0229386860464757	0.994156026895016
cholesterol-2,2,3,4,4,6-d6	-0.300870576344072	0.0791114203755813	-0.340278249466904	0.113314667467564	-0.0394076731228325	0.971802898862707
1-stearoyl-2-arachidonoyl-sn-glycero-3-phosphoserine(1-)	0.0510082455307671	0.902601848858611	0.326154091526097	0.0679134178216484	0.27514584599533	0.123451993101057
1,2-dioleoyl-sn-glycero-3-phospho-L-serine	0.0827701184667043	0.858731116251582	0.1818847568941	0.600858130442736	0.0991146384273956	0.847903088526278
PC(16:1(9Z)/17:1(9Z))	0.124307134468171	0.689718511398307	0.263257414731479	0.31845397253369	0.138950280263309	0.689746565965101
1-hexadecanoyl-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphoethanolamine zwitterion	0.213051977890701	0.237230413978067	0.324940093457042	0.105791682611697	0.111888115566341	0.694765149314471
(9E)-10-nitrooctadecenoic acid	-0.0993972695555021	0.842178712045513	-0.0119439760587298	0.998219065780788	0.0874532934967721	0.915257588861371
1,2-di-O-palmitoyl-sn-glycero-3-phosphocholine	0.179978013906273	0.403508945573137	0.348435049822168	0.104011898320904	0.168457035915895	0.502553896783173
Cer(d16:1/18:0)	0.00278831623591208	0.999899918302569	-0.120695106736635	0.892533751106901	-0.123483422972547	0.88764752451425
1-hexadecanoyl-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine	0.307136180512473	0.0639276745661257	0.187222815640781	0.472589144514171	-0.119913364871692	0.675481565665102
4-(trimethylammonio)butanoate	0.15202875203352	0.507307733499016	0.328387621658861	0.121800457563543	0.176358869625342	0.468026304862999
PC(P-16:0/20:5(5Z,8Z,11Z,14Z,17Z))	0.153429565428753	0.387452352075263	0.313298544957578	0.0777751413866147	0.159868979528825	0.423346720454487
N-nonadecanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine	0.0283660191284159	0.981353829009256	0.113806530748325	0.809919214370401	0.0854405116199089	0.885053980919638
3-alpha-D-glucuronosyl-2-palmitoyl-1-stearoyl-sn-glycerol	0.220070787971341	0.349877297476236	0.303762442276213	0.252749756417258	0.0836916543048719	0.87343849791344
11E,17-Octadecadien-9-ynoic acid	-0.118586453912735	0.769857212400071	-0.151013269951407	0.758647176514399	-0.0324268160386727	0.988075205130403
PC(15:0/17:1(9Z))	0.324775049382966	0.0972519683880126	0.277139252811331	0.298198310029365	-0.047635796571635	0.951723295841167
1,2-bis-[(9Z,11Z)-octadecadienoyl]-sn-glycero-3-phosphoethanolamine	0.180169760885116	0.213531930601902	0.455615517879651	0.0039835945177108	0.275445756994536	0.0541557418443841
(9E)-9-nitrooctadecenoic acid	-0.132812284197559	0.733024862882035	-0.0201758039914794	0.994710828173397	0.11263648020608	0.861628711541963
1-pentadecanoyl-2-hexadecanoyl-sn-glycero-3-phosphocholine	0.169081263238716	0.493315412020972	0.0931561447378883	0.867198879096957	-0.0759251185008275	0.898757242364267
DG(20:0/18:3(6Z,9Z,12Z)/0:0)	0.283997915271932	0.139280930362224	0.293994593492987	0.227060867350163	0.00999667822105475	0.997630517121408
1-(1Z-hexadecenyl)-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphocholine	0.121857860909352	0.550910458710563	0.309711088208242	0.084034279469184	0.18785322729889	0.326791868927415
1-(1Z-hexadecenyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine	0.226049071851507	0.234674098220927	0.242487594983089	0.314982993419622	0.0164385231315818	0.993164550972684
PC(17:1(9Z)/17:1(9Z))	0.187477404007828	0.541540584712009	0.268096783908251	0.420684162736326	0.0806193799004235	0.909185236095578
N-[(9Z)-hexadecenoyl]glycinate	-0.150402796876223	0.695282848928723	-0.0764468689503345	0.93465028246494	0.0739559279258882	0.944555828028653
N-(2-hydroxyhexadecanoyl)sphinganine	0.123481878036779	0.778158478800257	-0.0176847947518672	0.996828307471812	-0.141166672788646	0.805272972808391
PE(18:2(9Z,12Z)/20:3(8Z,11Z,14Z))	0.179769158533576	0.246349861446564	0.382593124052033	0.0204458956489443	0.202823965518457	0.216034749267005
batzelladine A	0.231593214122117	0.358059868325375	0.0706469206932048	0.939925925382184	-0.160946293428912	0.692248728121297
PC(18:2(9Z,12Z)/20:3(8Z,11Z,14Z))	0.111818932474017	0.733147839916628	0.187033712417088	0.551393836489245	0.0752147799430713	0.897201968465282
LysoPA(22:5(4Z,7Z,10Z,13Z,16Z)/0:0)	0.0461240570633895	0.970942985248136	0.118412110534522	0.873691869218202	0.0722880534711322	0.949026758369998
9-[(9Z),(12Z)-octadecadienoyloxy]-octadecanoate	-0.0517651552724888	0.965765057622192	-0.172719258762927	0.79146137081752	-0.120954103490438	0.894241136216676
N-stearoylhexadecasphinganine	-0.0688101901334856	0.934424953363721	-0.18835875635105	0.736551193337817	-0.119548566217565	0.887557569242206
1-hexadecyl-2-[(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl]-sn-glycero-3-phosphocholine	0.194261118345687	0.185481623717818	0.426295109337969	0.00833981638445636	0.232033990992281	0.125047516278004
1-[(9Z)-octadecenoyl]-2-[(6Z,9Z)-octadecadienoyl]-sn-glycero-3-phosphocholine	0.0507250312909499	0.942381214076066	0.132101873705129	0.756813957039758	0.081376842414179	0.89484935132694
1-heptadecanoyl-2-arachidonoyl-sn-glycero-3-phosphoethanolamine zwitterion	0.222044671512548	0.107140702224217	0.404507445174164	0.01065538322052	0.182462773661615	0.239195856116653
PC(P-18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	0.142211898483888	0.529778177168868	0.220760708451709	0.353207263785328	0.0785488099678212	0.854716480202656
12-(octadecanoyloxy)octadecanoate	0.389625813730306	0.108705742594507	0.219723570102223	0.614695628102403	-0.169902243628083	0.680896441714702
PC(P-18:1(9Z)/18:3(6Z,9Z,12Z))	0.160033757201834	0.582467186013618	0.29360466621888	0.28599492662729	0.133570909017046	0.730670300043581
1-(1Z-hexadecenyl)-2-hexadecanoyl-sn-glycero-3-phosphocholine	0.239810421538543	0.176561475409844	0.331479820204355	0.105345558023359	0.0916693986658115	0.784777590597612
PC(19:0/18:4(6Z,9Z,12Z,15Z))	0.129330244377199	0.561261165836917	0.284931546257563	0.155599179161001	0.155601301880364	0.509914001139291
11-Oxooctadecanoic acid	-0.0966183898787734	0.83592440700007	-0.124631487577216	0.823030385029814	-0.0280130976984429	0.990695707985957
PC(P-16:0/20:3(5Z,8Z,11Z))	0.14022704915267	0.341750510399753	0.409532299997871	0.00612576902152773	0.269305250845201	0.05181356184675
PC(P-18:1(9Z)/18:2(9Z,12Z))	0.145558390280307	0.446679930265276	0.420897299643576	0.017251868991323	0.275338909363269	0.104131274400641
PC(P-18:1(9Z)/16:1(9Z))	0.184249386733703	0.259090825088701	0.340915595014457	0.0511328856393173	0.156666208280754	0.422707618380426
Cer(d18:0/15:0)	0.34692058903056	0.167165659690941	0.282071120232687	0.440093403527164	-0.0648494687978731	0.942854033019383
(1R,4aR,5S)-5-(3-hydroxy-3-methylpent-4-enyl)-1,4a-dimethyl-6-methylidene-3,4,5,7,8,8a-hexahydro-2H-naphthalene-1-carboxylic acid	-0.108758339985154	0.78808668185995	-0.100785012390092	0.870840484962047	0.00797332759506166	0.999188188063992
1-octadecanoyl-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphoethanolamine zwitterion	0.268299505158629	0.132145955005608	0.211675518598078	0.409410693633372	-0.0566239865605511	0.92076446239332
PC(17:1(9Z)/14:0)	0.283798389407745	0.129946585979399	0.329283738859649	0.147475112833411	0.0454853494519038	0.949064321041116
PC(P-18:0/20:5(5Z,8Z,11Z,14Z,17Z))	0.124865890510091	0.544962712196335	0.287516848127434	0.121848579366188	0.162650957617343	0.439299254981103
1-[(1Z)-hexadecenyl]-2-[(9Z)-octadecenoyl]-sn-glycero-3-phosphocholine	0.172258076532679	0.320459070142639	0.32433800043541	0.0727657312231155	0.152079923902731	0.465223226452608
Termitomycesphin A	0.289335321850457	0.036106726412383	0.40153828701812	0.0143988563226861	0.112202965167664	0.569246515039554
PC(P-18:1(9Z)/20:3(5Z,8Z,11Z))	0.107963960040596	0.588532457076259	0.283878936368287	0.0953852202041494	0.175914976327691	0.336936301128372
