"samples"	"PC1"	"PC2"	"PC3"
"20260624_CVOL_Darleen_A549_110626_PET05.mzML"	-0.237099698403458	-0.297972210666823	0.194797051077304
"20260624_CVOL_Darleen_A549_110626_PET100.mzML"	-0.12179875515987	0.0284926258227379	0.252534344041101
"20260624_CVOL_Darleen_A549_110626_PS05.mzML"	-0.101719936102604	-0.00372939774521263	0.0639357738797842
"20260624_CVOL_Darleen_A549_110626_PS100.mzML"	-0.211253339472747	0.154343970862403	0.174554629480884
"20260624_CVOL_Darleen_A549_110626_untreated.mzML"	0.142657276879309	0.198210011669264	0.143754183929903
"20260624_CVOL_Darleen_A549_180626_PET05.mzML"	-0.621401402119811	-0.495632946279174	-0.158424206252587
"20260624_CVOL_Darleen_A549_180626_PET100.mzML"	0.0496928352822535	0.165055510290885	0.138252152177198
"20260624_CVOL_Darleen_A549_180626_PS05.mzML"	0.467160975143889	-0.108487693402895	0.0349202417570292
"20260624_CVOL_Darleen_A549_180626_PS100.mzML"	0.226989434515219	0.0246036953225529	-0.0869977167807568
"20260624_CVOL_Darleen_A549_180626_untreated.mzML"	0.462469833603127	-0.0860723534340145	-0.00435815990711432
"20260624_CVOL_Darleen_A549_210626_PET05.mzML"	-0.385912784323544	0.336872621972747	-0.297988840648576
"20260624_CVOL_Darleen_A549_210626_PET100.mzML"	-0.098303819420626	0.014640966559195	0.173430606502111
"20260624_CVOL_Darleen_A549_210626_PS05.mzML"	0.447097483445372	-0.353783426528409	-0.238953631185686
"20260624_CVOL_Darleen_A549_210626_PS100.mzML"	-0.0332834911042082	0.231804512025971	-0.303493334462507
"20260624_CVOL_Darleen_A549_210626_untreated.mzML"	0.0147053872376998	0.191654113530773	-0.0859630936080871
