data_source	value	npc_label	plot_label	test	contrast	group_1	group_2	n_group_1	n_group_2	mean_group_1	mean_group_2	mean_difference	abs_mean_difference	median_group_1	median_group_2	median_difference	abs_median_difference	p_value	q_value	significance
raw	pathway_normalized_ratio	NPC superclass: Triterpenoids / NPC pathway: Terpenoids	Triterpenoids	kruskal_wallis	overall	NA	NA	NA	NA	NA	NA	NA	0.000714545957639163	NA	NA	NA	0.00200084050262929	0.670320046035639	0.75852005209296	ns
raw	pathway_normalized_ratio	NPC superclass: Triterpenoids / NPC pathway: Terpenoids	Triterpenoids	pairwise_wilcoxon_rank_sum	PET_vs_PS	PET	PS	3	3	0.0124605364833753	0.0117459905257361	-0.000714545957639163	0.000714545957639163	0.012583762654924	0.0121906802436674	-0.000393082411256677	0.000393082411256677	0.662520583540057	0.837893679183014	ns
raw	pathway_normalized_ratio	NPC superclass: Triterpenoids / NPC pathway: Terpenoids	Triterpenoids	pairwise_wilcoxon_rank_sum	PET_vs_Untreated	PET	Untreated	3	3	0.0124605364833753	0.0124023038922849	-5.82325910903764e-05	5.82325910903764e-05	0.012583762654924	0.0141915207462967	0.00160775809137261	0.00160775809137261	0.662520583540057	0.825750292528188	ns
raw	pathway_normalized_ratio	NPC superclass: Triterpenoids / NPC pathway: Terpenoids	Triterpenoids	pairwise_wilcoxon_rank_sum	PS_vs_Untreated	PS	Untreated	3	3	0.0117459905257361	0.0124023038922849	0.000656313366548786	0.000656313366548786	0.0121906802436674	0.0141915207462967	0.00200084050262929	0.00200084050262929	0.662520583540057	0.78050370115678	ns
raw	pathway_normalized_ratio	NPC superclass: Tryptophan alkaloids / NPC pathway: Alkaloids	Tryptophan alkaloids	kruskal_wallis	overall	NA	NA	NA	NA	NA	NA	NA	0.00167943723995377	NA	NA	NA	0.000933379341987622	0.491098229502156	0.700716317748094	ns
raw	pathway_normalized_ratio	NPC superclass: Tryptophan alkaloids / NPC pathway: Alkaloids	Tryptophan alkaloids	pairwise_wilcoxon_rank_sum	PET_vs_PS	PET	PS	3	3	0.00182289755842716	0.0026247940295559	0.000801896471128749	0.000801896471128749	0.00130238728951963	0.00196379034667217	0.000661403057152542	0.000661403057152542	0.662520583540057	0.837893679183014	ns
raw	pathway_normalized_ratio	NPC superclass: Tryptophan alkaloids / NPC pathway: Alkaloids	Tryptophan alkaloids	pairwise_wilcoxon_rank_sum	PET_vs_Untreated	PET	Untreated	3	3	0.00182289755842716	0.000945356789602131	-0.000877540768825024	0.000877540768825024	0.00130238728951963	0.00103041100468455	-0.00027197628483508	0.00027197628483508	0.662520583540057	0.825750292528188	ns
raw	pathway_normalized_ratio	NPC superclass: Tryptophan alkaloids / NPC pathway: Alkaloids	Tryptophan alkaloids	pairwise_wilcoxon_rank_sum	PS_vs_Untreated	PS	Untreated	3	3	0.0026247940295559	0.000945356789602131	-0.00167943723995377	0.00167943723995377	0.00196379034667217	0.00103041100468455	-0.000933379341987622	0.000933379341987622	0.382733088885226	0.68573011758603	ns
raw	pathway_normalized_ratio	NPC superclass: Tyrosine alkaloids / NPC pathway: Alkaloids	Tyrosine alkaloids	kruskal_wallis	overall	NA	NA	NA	NA	NA	NA	NA	0.172767816236355	NA	NA	NA	0.138075168846888	0.0664629179866731	0.487705583987765	ns
raw	pathway_normalized_ratio	NPC superclass: Tyrosine alkaloids / NPC pathway: Alkaloids	Tyrosine alkaloids	pairwise_wilcoxon_rank_sum	PET_vs_PS	PET	PS	3	3	0.318469093580855	0.305572246863721	-0.0128968467171334	0.0128968467171334	0.379666744277077	0.321904996283936	-0.0577617479931412	0.0577617479931412	1	1	ns
raw	pathway_normalized_ratio	NPC superclass: Tyrosine alkaloids / NPC pathway: Alkaloids	Tyrosine alkaloids	pairwise_wilcoxon_rank_sum	PET_vs_Untreated	PET	Untreated	3	3	0.318469093580855	0.478340063100077	0.159870969519222	0.159870969519222	0.379666744277077	0.459980165130824	0.0803134208537467	0.0803134208537467	0.0808555983700523	0.496684389987464	ns
raw	pathway_normalized_ratio	NPC superclass: Tyrosine alkaloids / NPC pathway: Alkaloids	Tyrosine alkaloids	pairwise_wilcoxon_rank_sum	PS_vs_Untreated	PS	Untreated	3	3	0.305572246863721	0.478340063100077	0.172767816236355	0.172767816236355	0.321904996283936	0.459980165130824	0.138075168846888	0.138075168846888	0.0808555983700523	0.386310081101361	ns
