feature_id	sources_IK2D	sources_number_IK2D	sources_npc_pathway	sources_npc_superclass	sources_npc_class	canopus_formulaRank	canopus_molecularFormula	canopus_adduct	canopus_precursorFormula	canopus_npc_pathway	canopus_NPC#pathway Probability	canopus_npc_superclass	canopus_NPC#superclass Probability	canopus_npc_class	canopus_NPC#class Probability	canopus_ClassyFire#superclass	canopus_ClassyFire#superclass probability	canopus_ClassyFire#class	canopus_ClassyFire#class Probability	canopus_ClassyFire#subclass	canopus_ClassyFire#subclass Probability	canopus_ClassyFire#level 5	canopus_ClassyFire#level 5 Probability	canopus_ClassyFire#most specific class	canopus_ClassyFire#most specific class Probability	canopus_ClassyFire#all classifications	canopus_ionMass	canopus_retentionTimeInSeconds	canopus_retentionTimeInMinutes	canopus_formulaId	canopus_alignedFeatureId	canopus_compoundId	canopus_overallFeatureQuality	gnps_SpectrumID	gnps_SpectrumFile	gnps_LibraryName	gnps_MQScore	gnps_TIC_Query	gnps_RT_Query	gnps_MZErrorPPM	gnps_SharedPeaks	gnps_MassDiff	gnps_SpecMZ	gnps_SpecCharge	gnps_FileScanUniqueID	gnps_NumberHits	gnps_Compound_Name	gnps_Ion_Source	gnps_Instrument	gnps_Compound_Source	gnps_PI	gnps_Data_Collector	gnps_Adduct	gnps_Precursor_MZ	gnps_ExactMass	gnps_Charge	gnps_CAS_Number	gnps_Pubmed_ID	gnps_SMILES	gnps_INCHI	gnps_INCHI_AUX	gnps_Library_Class	gnps_IonMode	gnps_Organism	gnps_LibMZ	gnps_UpdateWorkflowName	gnps_LibraryQualityString	gnps_tags	gnps_molecular_formula	gnps_InChIKey	gnps_IK2D	gnps_superclass	gnps_class	gnps_subclass	gnps_npc_superclass	gnps_npc_class	gnps_npc_pathway	gnps_library_usi	isdb_component_id	isdb_structure_taxonomy_npclassifier_01pathway_consensus	isdb_freq_structure_taxonomy_npclassifier_01pathway	isdb_structure_taxonomy_npclassifier_02superclass_consensus	isdb_freq_structure_taxonomy_npclassifier_02superclass	isdb_structure_taxonomy_npclassifier_03class_consensus	isdb_freq_structure_taxonomy_npclassifier_03class	isdb_rank_spec	isdb_msms_score	isdb_libname	isdb_structure_wikidata	isdb_structure_inchikey	isdb_structure_inchi	isdb_SMILES	isdb_structure_molecular_formula	isdb_adduct	isdb_structure_exact_mass	isdb_structure_nameTraditional	isdb_IK2D	isdb_npc_pathway	isdb_npc_superclass	isdb_npc_class	isdb_organism_wikidata	isdb_organism_name	isdb_organism_taxonomy_ottid	isdb_organism_taxonomy_01domain	isdb_organism_taxonomy_02kingdom	isdb_organism_taxonomy_03phylum	isdb_organism_taxonomy_04class	isdb_organism_taxonomy_05order	isdb_organism_taxonomy_06family	isdb_organism_taxonomy_07tribe	isdb_organism_taxonomy_08genus	isdb_organism_taxonomy_09species	isdb_organism_taxonomy_10varietas	isdb_matched_domain	isdb_matched_kingdom	isdb_matched_phylum	isdb_matched_class	isdb_matched_order	isdb_matched_family	isdb_matched_tribe	isdb_matched_genus	isdb_matched_species	isdb_score_taxo	isdb_score_max_consistency	isdb_final_score	isdb_rank_final	sirius_structurePerIdRank	sirius_formulaRank	sirius_ConfidenceScoreExact	sirius_ConfidenceScoreApproximate	sirius_CSI:FingerIDScore	sirius_ZodiacScore	sirius_SiriusScoreNormalized	sirius_SiriusScore	sirius_molecularFormula	sirius_adduct	sirius_precursorFormula	sirius_IK2D	sirius_InChI	sirius_name	sirius_SMILES	sirius_xlogp	sirius_pubchemids	sirius_links	sirius_dbflags	sirius_ionMass	sirius_retentionTimeInSeconds	sirius_retentionTimeInMinutes	sirius_formulaId	sirius_alignedFeatureId	sirius_compoundId	sirius_overallFeatureQuality	gnps_mn_parent mass	gnps_mn_RTMean	gnps_mn_ATTRIBUTE_treatment:GNPSGROUP:nan	gnps_mn_ATTRIBUTE_treatment:GNPSGROUP:mock	gnps_mn_ATTRIBUTE_treatment:GNPSGROUP:untreated	gnps_mn_ATTRIBUTE_treatment:GNPSGROUP:PET	gnps_mn_ATTRIBUTE_sample_name:GNPSGROUP:blank	gnps_mn_ATTRIBUTE_sample_name:GNPSGROUP:mock	gnps_mn_ATTRIBUTE_sample_name:GNPSGROUP:untreated	gnps_mn_ATTRIBUTE_sample_name:GNPSGROUP:PET	gnps_mn_ATTRIBUTE_sample_name:GNPSGROUP:bk_mapp	gnps_mn_component	gnps_mn_#Scan#	gnps_mn_Compound_Name
11	sirius	1.0	canopus	canopus	canopus	2.0	C2H4Cl2OSi	[M + H]+	C2H5Cl2OSi+	Fatty acids	0.967	Fatty Acids and Conjugates	0.75	Halogenated fatty acids	0.99	Organohalogen compounds	0.976	Organochlorides	0.825					Organochlorides	0.825	Organic compounds; Organohalogen compounds; Organooxygen compounds; Organochlorides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	142.948	36.0	0.608	8.456305844372804e+17	8.456304860724605e+17	8.456304860724605e+17																																																																																															1.0	2.0	0.005	0.005	-20.606	0.346	0.488	6.082	C2H4Cl2OSi	[M + H]+	C2H5Cl2OSi+	OJYNJELVKADCLY	InChI=1S/C2H4Cl2OSi/c1-2-6(3,4)5/h2,5H,1H2	Dichloro-ethenyl-hydroxysilane	C=C[Si](O)(Cl)Cl	1.75	87150635	PUBCHEM:(87150635)	2.0	142.948	36.0	0.608	8.456305844372804e+17	8.456304860724605e+17	8.456304860724605e+17		142.94813822791946	0.6078292	0	724346.94	0.0	0.0	0.0	724346.94	0.0	0.0	0.0	-1		
12	sirius	1.0	canopus	canopus	canopus	2.0	C4H8Cl2O4	[M + H]+	C4H9Cl2O4+	Fatty acids	0.959	Fatty Acids and Conjugates	0.929	Halogenated fatty acids	0.985	Organohalogen compounds	0.999	Halohydrins	0.622	Chlorohydrins	0.649			Chlorohydrins	0.649	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Alkyl chlorides; Monocarboxylic acids and derivatives; Organochlorides; Carbonyl compounds; Halohydrins; Chlorohydrins; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	190.988	41.0	0.681	8.456305798487113e+17	8.456304861311808e+17	8.456304861269865e+17																																																																																															1.0	2.0	0.075	0.075	-75.091	0.211	0.389	76.691	C4H8Cl2O4	[M + H]+	C4H9Cl2O4+	QROFCVCBEWFELB	InChI=1S/C4H8Cl2O4/c1-3(5)4(2)10-6(7,8)9/h3-4H,1-2H3	3-Chlorobutan-2-yl perchlorate	CC(C(C)Cl)OCl(=O)(=O)=O	4.2	119095894	PUBCHEM:(119095894)	2.0	190.988	41.0	0.681	8.456305798487113e+17	8.456304861311808e+17	8.456304861269865e+17		190.9876240518932	0.68870676	0	378115.38	0.0	0.0	462792.44	378115.38	0.0	0.0	0.0	-1		
13	isdb	1.0	isdb	isdb	isdb																																																																										9.0	Fatty acids	0.1818181818181818	Fatty Acids and Conjugates	0.1818181818181818	Oxo fatty acids	0.1818181818181818	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q1225282	GJQWCDSAOUMKSE-STHAYSLISA-N	InChI=1S/C6H8O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-3,7-9H,1H2,(H,12,13)/t2-,3+/m0/s1	O=C(O)C(=O)C(=O)[C@H](O)[C@@H](O)CO	C6H8O7	pos_1_1proton1ammonium	192.027002596	2,3-Diketogulonic acid	GJQWCDSAOUMKSE	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	http://www.wikidata.org/entity/Q15978631	Homo sapiens	770315.0	['Eukaryota']	['Metazoa']	['Chordata']	['Mammalia']	['Primates']	['Hominidae']	['Unknown']	['Homo']	['Homo sapiens']		['Eukaryota']	['Metazoa']	['Chordata']	['Mammalia']		['Hominidae']		['Homo']	['Homo sapiens']	7.0	3.0	8.5	1.0																											210.06053235343745	0.6753745	0	310042.47	0.0	0.0	448803.84	310042.47	0.0	0.0	0.0	9		
14	sirius	1.0	canopus	canopus	canopus	1.0	C4H7O3P	[M + K]+	C4H7KO3P+	Fatty acids	0.51	Fatty acyls	0.089	Oxygenated hydrocarbons	0.004	Organic acids and derivatives	0.727	Organic phosphonic acids and derivatives	0.676					Organic phosphonic acids and derivatives	0.676	Organic compounds; Organic acids and derivatives; Organooxygen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	172.977	41.0	0.685	8.456305989789339e+17	8.456304862528156e+17	8.456304862486213e+17																																																																																															1.0	1.0	0.035	0.035	-96.659	0.991	0.996	38.998	C4H7O3P	[M + K]+	C4H7KO3P+	LFMAOMQWCSTELR	InChI=1S/C4H7O3P/c1-8(6)3-2-4(5)7-8/h2-3H2,1H3	2-Methyl-1,2-oxaphospholan-5-one 2-oxide	CP1(=O)CCC(=O)O1	-0.8	92179518;92279078;84816	NORMAN:(NS00052265);PUBCHEM:(92179518 92279078 84816);DSSTox:(DTXSID40934335)	137439215618.0	172.977	41.0	0.685	8.456305989789339e+17	8.456304862528156e+17	8.456304862486213e+17		172.97708574471932	0.68525994	0	2268078.8	1703931.0	1553543.4	3174676.0	2268078.8	1703931.0	1553543.4	0.0	-1		
15																																																																																																																																																									128.95097053051984	0.70201415	0	1291496.0	1168663.8	1089033.5	1740609.2	1291496.0	1168663.8	1089033.5	508239.38	-1		
16	isdb	1.0	isdb	isdb	isdb																																																																										9.0	Fatty acids	0.1818181818181818	Fatty Acids and Conjugates	0.1818181818181818	Oxo fatty acids	0.1818181818181818	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q1225282	GJQWCDSAOUMKSE-STHAYSLISA-N	InChI=1S/C6H8O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-3,7-9H,1H2,(H,12,13)/t2-,3+/m0/s1	O=C(O)C(=O)C(=O)[C@H](O)[C@@H](O)CO	C6H8O7	pos_1_1proton1ethylamine	192.027002596	2,3-Diketogulonic acid	GJQWCDSAOUMKSE	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	http://www.wikidata.org/entity/Q15978631	Homo sapiens	770315.0	['Eukaryota']	['Metazoa']	['Chordata']	['Mammalia']	['Primates']	['Hominidae']	['Unknown']	['Homo']	['Homo sapiens']		['Eukaryota']	['Metazoa']	['Chordata']	['Mammalia']		['Hominidae']		['Homo']	['Homo sapiens']	7.0	3.0	8.5	1.0																											238.0917225645618	0.6830193	0	422414.97	432232.53	355195.56	650671.56	422414.97	432232.53	355195.56	0.0	9		
17																																																																																																																																																									196.0448859817787	0.6874454	0	380483.72	447222.62	405823.03	559377.6	380483.72	447222.62	405823.03	0.0	9		
18																																																																																																																																																									161.96961341792766	0.91348267	0	330116.88	382797.44	384069.97	354845.66	330116.88	382797.44	384069.97	401961.94	8		
19																																																																																																																																																									143.95908503754532	0.9147514	0	432375.7	491231.25	482661.88	464672.22	432375.7	491231.25	482661.88	498994.1	8		
20	gnps & sirius	1.0	canopus & gnps	canopus & gnps	canopus & gnps	1.0	C9H16FNO5S	[M - H2O + H]+	C9H15FNO4S+	Amino acids and Peptides	0.471	Small peptides	0.739	Aminoacids	0.525	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.949	Amino acids, peptides, and analogues	0.57	Amino acids and derivatives	0.57	Amino acids and derivatives	0.57	Organic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Alkyl fluorides; Monocarboxylic acids and derivatives; Sulfonyls; Carboxylic acids; Organofluorides; Carbonyl compounds; Aminosulfonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	252.071	54.0	0.904	8.456305873774877e+17	8.456304866051372e+17	8.456304866009428e+17		CCMSLIB00016348371	spectra_filtered.mgf	GNPS-ALKYLAMINES-LIBRARY.mgf	0.706908	208072.0	0.0	3651.11	6.0	0.916992	252.071	1.0	temp/spectra_filtered.mgf20	1.0	Tryptamine_Benzaldehyde (known isomers: 0; isobaric peaks in run: 1)	LC-ESI	Orbitrap	Crude	Pieter Dorrestein	Julius	[M+H]+	251.154	250.147	1.0		Benzaldehyde_Amine_batch2_P2_F10.mzML:scan:711	c1ccc(CNCCc2c[nH]c3ccccc23)cc1	InChI=1S/C17H18N2/c1-2-6-14(7-3-1)12-18-11-10-15-13-19-17-9-5-4-8-16(15)17/h1-9,13,18-19H,10-12H2		1.0	Positive	GNPS-ALKYLAMINES-LIBRARY	251.154	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C17H18N2	PRRZWJAGZHENJJ-UHFFFAOYSA-N	PRRZWJAGZHENJJ	Organoheterocyclic compounds	Indoles and derivatives	Tryptamines and derivatives	Tryptophan alkaloids	Simple indole alkaloids	Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00016348371																																																	1.0	1.0	0.081	0.081	-193.297	0.674	0.332	60.692	C9H16FNO5S	[M - H2O + H]+	C9H15FNO4S+	VCVNFKUQWVZZME	InChI=1S/C9H16FNO5S/c1-3-4-8(12)11-17(14,15)6-9(13)16-5-7(2)10/h7H,3-6H2,1-2H3,(H,11,12)	2-Fluoropropyl 2-(butanoylsulfamoyl)acetate	CCCC(=O)NS(=O)(=O)CC(=O)OCC(C)F	0.6	163848299	PUBCHEM:(163848299)	2.0	252.071	54.0	0.904	8.456305873774877e+17	8.456304866051372e+17	8.456304866009428e+17		252.07099935271967	0.9511204	0	389557.06	379510.28	375113.3	444236.38	389557.06	379510.28	375113.3	527250.2	9	20.0	Tryptamine_Benzaldehyde (known isomers: 0; isobaric peaks in run: 1)
