feature_id	IK2D	Sources	SMILES	gnps_SpectrumID	gnps_SpectrumFile	gnps_LibraryName	gnps_MQScore	gnps_TIC_Query	gnps_RT_Query	gnps_MZErrorPPM	gnps_SharedPeaks	gnps_MassDiff	gnps_SpecMZ	gnps_SpecCharge	gnps_FileScanUniqueID	gnps_NumberHits	gnps_Compound_Name	gnps_Ion_Source	gnps_Instrument	gnps_Compound_Source	gnps_PI	gnps_Data_Collector	gnps_Adduct	gnps_Precursor_MZ	gnps_ExactMass	gnps_Charge	gnps_CAS_Number	gnps_Pubmed_ID	gnps_SMILES	gnps_INCHI	gnps_INCHI_AUX	gnps_Library_Class	gnps_IonMode	gnps_Organism	gnps_LibMZ	gnps_UpdateWorkflowName	gnps_LibraryQualityString	gnps_tags	gnps_molecular_formula	gnps_InChIKey	gnps_superclass	gnps_class	gnps_subclass	gnps_npclassifier_superclass	gnps_npclassifier_class	gnps_npclassifier_pathway	gnps_library_usi	isdb_component_id	isdb_structure_taxonomy_npclassifier_01pathway_consensus	isdb_freq_structure_taxonomy_npclassifier_01pathway	isdb_structure_taxonomy_npclassifier_02superclass_consensus	isdb_freq_structure_taxonomy_npclassifier_02superclass	isdb_structure_taxonomy_npclassifier_03class_consensus	isdb_freq_structure_taxonomy_npclassifier_03class	isdb_rank_spec	isdb_msms_score	isdb_libname	isdb_structure_wikidata	isdb_structure_inchikey	isdb_structure_inchi	isdb_SMILES	isdb_structure_molecular_formula	isdb_adduct	isdb_structure_exact_mass	isdb_structure_nameTraditional	isdb_structure_taxonomy_npclassifier_01pathway	isdb_structure_taxonomy_npclassifier_02superclass	isdb_structure_taxonomy_npclassifier_03class	isdb_organism_wikidata	isdb_organism_name	isdb_organism_taxonomy_ottid	isdb_organism_taxonomy_01domain	isdb_organism_taxonomy_02kingdom	isdb_organism_taxonomy_03phylum	isdb_organism_taxonomy_04class	isdb_organism_taxonomy_05order	isdb_organism_taxonomy_06family	isdb_organism_taxonomy_07tribe	isdb_organism_taxonomy_08genus	isdb_organism_taxonomy_09species	isdb_organism_taxonomy_10varietas	isdb_matched_domain	isdb_matched_kingdom	isdb_matched_phylum	isdb_matched_class	isdb_matched_order	isdb_matched_family	isdb_matched_tribe	isdb_matched_genus	isdb_matched_species	isdb_score_taxo	isdb_score_max_consistency	isdb_final_score	isdb_rank_final	sirius_structurePerIdRank	sirius_formulaRank	sirius_ConfidenceScoreExact	sirius_ConfidenceScoreApproximate	sirius_CSI:FingerIDScore	sirius_ZodiacScore	sirius_SiriusScoreNormalized	sirius_SiriusScore	sirius_molecularFormula	sirius_adduct	sirius_precursorFormula	sirius_InChI	sirius_name	sirius_SMILES	sirius_xlogp	sirius_pubchemids	sirius_links	sirius_dbflags	sirius_ionMass	sirius_retentionTimeInSeconds	sirius_retentionTimeInMinutes	sirius_formulaId	sirius_alignedFeatureId	sirius_compoundId	sirius_overallFeatureQuality
3	ANVHDCBUVMKZJW	sirius	C1C2=C(CS1(=O)=O)N=C(N=C2Cl)Cl																																																																																												1.0	4.0	0.039	0.039	-175.477	0.098	0.102	9.43	C6H4Cl2N2O2S	[M - H2O + H]+	C6H3Cl2N2OS+	InChI=1S/C6H4Cl2N2O2S/c7-5-3-1-13(11,12)2-4(3)9-6(8)10-5/h1-2H2	2,4-Dichloro-5,7-dihydrothieno[3,4-d]pyrimidine 6,6-dioxide	C1C2=C(CS1(=O)=O)N=C(N=C2Cl)Cl	0.9	89487453	PUBCHEMANNOTATIONSAFETYANDTOXIC;PUBCHEM:(89487453)	67108866.0	220.935	32.0	0.525	8.456305808679274e+17	8.456304853216801e+17	8.456304853174858e+17	
4	IYOVMMPAYJHFOO	sirius	C1CSC(=O)N1OP(=S)(O)O																																																																																												1.0	8.0	-inf	-inf	-118.057	0.018	0.04	2.985	C3H6NO4PS2	[M + K]+	C3H6KNO4PS2+	InChI=1S/C3H6NO4PS2/c5-3-4(1-2-11-3)8-9(6,7)10/h1-2H2,(H2,6,7,10)	3-Dihydroxyphosphinothioyloxy-1,3-thiazolidin-2-one	C1CSC(=O)N1OP(=S)(O)O	0.6	19781440	PUBCHEM:(19781440)	2.0	253.91	32.0	0.525	8.456305815599877e+17	8.45630485430732e+17	8.456304854265377e+17	
7	JKMHFZQWWAIEOD	sirius	C1CN(CCN1CCO)CCS(=O)(=O)O																																																																																												1.0	3.0	0.908	0.932	-8.338	0.324	0.333	41.176	C8H18N2O4S	[M + H]+	C8H19N2O4S+	InChI=1S/C8H18N2O4S/c11-7-5-9-1-3-10(4-2-9)6-8-15(12,13)14/h11H,1-8H2,(H,12,13,14)	Hepes	C1CN(CCN1CCO)CCS(=O)(=O)O	-4.0	4099749;87826964;3275884;90874349;23830;23831;3725082;71309498;24941255	PUBCHEMANNOTATIONBIO:(null);HMDB:(HMDB0062295);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);BloodExposome:(23831);SUPERNATURAL:(SN0167890);MESH:(23831);PUBCHEM:(4099749 87826964 3275884 90874349 23830 23831 3725082 71309498 24941255);COCONUT:(CNP0212794);NORMAN:(NS00004939);METACYC:(HEPES);CHEBI:(46757 46758 46755 42334);DSSTox:(DTXSID00635730 DTXSID4044458 DTXSID5040382 DTXSID90859665);PUBCHEMANNOTATIONDRUG:(null);PUBMED:(null)	137563998318.0	239.106	33.0	0.557	8.456305810650597e+17	8.456304857998308e+17	8.456304857369162e+17	
8	KVVUFJWCCZXRQA	sirius	CC(C)(C)S(=O)(=O)CCNOCC(=O)N																																																																																												1.0	1.0	0.052	0.052	-155.425	1.0	1.0	71.396	C8H18N2O4S	[M + Na]+	C8H18N2NaO4S+	InChI=1S/C8H18N2O4S/c1-8(2,3)15(12,13)5-4-10-14-6-7(9)11/h10H,4-6H2,1-3H3,(H2,9,11)	2-(2-Tert-butylsulfonylethylamino)oxyacetamide	CC(C)(C)S(=O)(=O)CCNOCC(=O)N	-0.9	106724282	PUBCHEM:(106724282)	2.0	261.088	34.0	0.559	8.456305857081546e+17	8.456304858753283e+17	8.456304858753283e+17	
11	OJYNJELVKADCLY	sirius	C=C[Si](O)(Cl)Cl																																																																																												1.0	2.0	0.005	0.005	-20.606	0.346	0.488	6.082	C2H4Cl2OSi	[M + H]+	C2H5Cl2OSi+	InChI=1S/C2H4Cl2OSi/c1-2-6(3,4)5/h2,5H,1H2	Dichloro-ethenyl-hydroxysilane	C=C[Si](O)(Cl)Cl	1.75	87150635	PUBCHEM:(87150635)	2.0	142.948	36.0	0.608	8.456305844372804e+17	8.456304860724605e+17	8.456304860724605e+17	
12	QROFCVCBEWFELB	sirius	CC(C(C)Cl)OCl(=O)(=O)=O																																																																																												1.0	2.0	0.075	0.075	-75.091	0.211	0.389	76.691	C4H8Cl2O4	[M + H]+	C4H9Cl2O4+	InChI=1S/C4H8Cl2O4/c1-3(5)4(2)10-6(7,8)9/h3-4H,1-2H3	3-Chlorobutan-2-yl perchlorate	CC(C(C)Cl)OCl(=O)(=O)=O	4.2	119095894	PUBCHEM:(119095894)	2.0	190.988	41.0	0.681	8.456305798487113e+17	8.456304861311808e+17	8.456304861269865e+17	
13	GJQWCDSAOUMKSE	isdb	O=C(O)C(=O)C(=O)[C@H](O)[C@@H](O)CO																																													9.0	Fatty acids	0.1818181818181818	Fatty Acids and Conjugates	0.1818181818181818	Oxo fatty acids	0.1818181818181818	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q1225282	GJQWCDSAOUMKSE-STHAYSLISA-N	InChI=1S/C6H8O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-3,7-9H,1H2,(H,12,13)/t2-,3+/m0/s1	O=C(O)C(=O)C(=O)[C@H](O)[C@@H](O)CO	C6H8O7	pos_1_1proton1ammonium	192.027002596	2,3-Diketogulonic acid	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	http://www.wikidata.org/entity/Q15978631	Homo sapiens	770315.0	['Eukaryota']	['Metazoa']	['Chordata']	['Mammalia']	['Primates']	['Hominidae']	['Unknown']	['Homo']	['Homo sapiens']		['Eukaryota']	['Metazoa']	['Chordata']	['Mammalia']		['Hominidae']		['Homo']	['Homo sapiens']	7.0	3.0	8.5	1.0																									
14	LFMAOMQWCSTELR	sirius	CP1(=O)CCC(=O)O1																																																																																												1.0	1.0	0.035	0.035	-96.659	0.991	0.996	38.998	C4H7O3P	[M + K]+	C4H7KO3P+	InChI=1S/C4H7O3P/c1-8(6)3-2-4(5)7-8/h2-3H2,1H3	2-Methyl-1,2-oxaphospholan-5-one 2-oxide	CP1(=O)CCC(=O)O1	-0.8	92179518;92279078;84816	NORMAN:(NS00052265);PUBCHEM:(92179518 92279078 84816);DSSTox:(DTXSID40934335)	137439215618.0	172.977	41.0	0.685	8.456305989789339e+17	8.456304862528156e+17	8.456304862486213e+17	
16	GJQWCDSAOUMKSE	isdb	O=C(O)C(=O)C(=O)[C@H](O)[C@@H](O)CO																																													9.0	Fatty acids	0.1818181818181818	Fatty Acids and Conjugates	0.1818181818181818	Oxo fatty acids	0.1818181818181818	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q1225282	GJQWCDSAOUMKSE-STHAYSLISA-N	InChI=1S/C6H8O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-3,7-9H,1H2,(H,12,13)/t2-,3+/m0/s1	O=C(O)C(=O)C(=O)[C@H](O)[C@@H](O)CO	C6H8O7	pos_1_1proton1ethylamine	192.027002596	2,3-Diketogulonic acid	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	http://www.wikidata.org/entity/Q15978631	Homo sapiens	770315.0	['Eukaryota']	['Metazoa']	['Chordata']	['Mammalia']	['Primates']	['Hominidae']	['Unknown']	['Homo']	['Homo sapiens']		['Eukaryota']	['Metazoa']	['Chordata']	['Mammalia']		['Hominidae']		['Homo']	['Homo sapiens']	7.0	3.0	8.5	1.0																									
20	PRRZWJAGZHENJJ	gnps	c1ccc(CNCCc2c[nH]c3ccccc23)cc1	CCMSLIB00016348371	spectra_filtered.mgf	GNPS-ALKYLAMINES-LIBRARY.mgf	0.706908	208072.0	0.0	3651.11	6.0	0.916992	252.071	1.0	temp/spectra_filtered.mgf20	1.0	Tryptamine_Benzaldehyde (known isomers: 0; isobaric peaks in run: 1)	LC-ESI	Orbitrap	Crude	Pieter Dorrestein	Julius	[M+H]+	251.154	250.147	1.0		Benzaldehyde_Amine_batch2_P2_F10.mzML:scan:711	c1ccc(CNCCc2c[nH]c3ccccc23)cc1	InChI=1S/C17H18N2/c1-2-6-14(7-3-1)12-18-11-10-15-13-19-17-9-5-4-8-16(15)17/h1-9,13,18-19H,10-12H2		1.0	Positive	GNPS-ALKYLAMINES-LIBRARY	251.154	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C17H18N2	PRRZWJAGZHENJJ-UHFFFAOYSA-N	Organoheterocyclic compounds	Indoles and derivatives	Tryptamines and derivatives	Tryptophan alkaloids	Simple indole alkaloids	Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00016348371																																																																								
20	VCVNFKUQWVZZME	sirius	CCCC(=O)NS(=O)(=O)CC(=O)OCC(C)F																																																																																												1.0	1.0	0.081	0.081	-193.297	0.674	0.332	60.692	C9H16FNO5S	[M - H2O + H]+	C9H15FNO4S+	InChI=1S/C9H16FNO5S/c1-3-4-8(12)11-17(14,15)6-9(13)16-5-7(2)10/h7H,3-6H2,1-2H3,(H,11,12)	2-Fluoropropyl 2-(butanoylsulfamoyl)acetate	CCCC(=O)NS(=O)(=O)CC(=O)OCC(C)F	0.6	163848299	PUBCHEM:(163848299)	2.0	252.071	54.0	0.904	8.456305873774877e+17	8.456304866051372e+17	8.456304866009428e+17	
28	VCVNFKUQWVZZME	sirius	CCCC(=O)NS(=O)(=O)CC(=O)OCC(C)F																																																																																												1.0	1.0	0.07	0.07	-195.572	0.666	0.333	64.686	C9H16FNO5S	[M - H2O + H]+	C9H15FNO4S+	InChI=1S/C9H16FNO5S/c1-3-4-8(12)11-17(14,15)6-9(13)16-5-7(2)10/h7H,3-6H2,1-2H3,(H,11,12)	2-Fluoropropyl 2-(butanoylsulfamoyl)acetate	CCCC(=O)NS(=O)(=O)CC(=O)OCC(C)F	0.6	163848299	PUBCHEM:(163848299)	2.0	252.071	77.0	1.275	8.4563060322357e+17	8.456304870203734e+17	8.456304870203734e+17	
29	FDZCRHSDRBSPBW	sirius	CC(=O)C=CC=C(C)C=O																																																																																												1.0	1.0	0.099	0.099	-52.122	1.0	0.333	163.175	C8H10O2	[M + H3N + H]+	C8H14NO2+	InChI=1S/C8H10O2/c1-7(6-9)4-3-5-8(2)10/h3-6H,1-2H3	(2Z,4Z)-2-methyl-6-oxohepta-2,4-dienal	CC(=O)C=CC=C(C)C=O	0.7	96842984;53395415;14443953;10129991;45085514	METACYC:(CPD-18726);CHEBI:(1283);KEGG:(C11480);LotusExpanded;PUBCHEM:(96842984 53395415 14443953 10129991 45085514)	8589936930.0	156.102	99.0	1.651	8.456305778354451e+17	8.45630487070705e+17	8.45630487070705e+17	
31	BVJSUAQZOZWCKN	isdb	OCc1ccc(O)cc1																																													1.0	Shikimates and Phenylpropanoids	0.3333333333333333					1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q5526828	BVJSUAQZOZWCKN-UHFFFAOYSA-N	InChI=1S/C7H8O2/c8-5-6-1-3-7(9)4-2-6/h1-4,8-9H,5H2	OCc1ccc(O)cc1	C7H8O2	pos_1_1proton1ammonium	124.052429496	4-Hydroxybenzyl alcohol	Shikimates and Phenylpropanoids			http://www.wikidata.org/entity/Q15978631	Homo sapiens	770315.0	['Eukaryota']	['Metazoa']	['Chordata']	['Mammalia']	['Primates']	['Hominidae']	['Unknown']	['Homo']	['Homo sapiens']		['Eukaryota']	['Metazoa']	['Chordata']	['Mammalia']		['Hominidae']		['Homo']	['Homo sapiens']	7.0	1.0	7.5	1.0																									
31	QXHJRNVPNQKMLR	sirius	C1CC=C(C=C1)C(=O)O																																																																																												1.0	1.0	0.109	0.246	-48.882	1.0	0.333	81.182	C7H8O2	[M + H3N + H]+	C7H12NO2+	InChI=1S/C7H8O2/c8-7(9)6-4-2-1-3-5-6/h2,4-5H,1,3H2,(H,8,9)	Cyclohexa-1,5-diene-1-carboxylate	C1CC=C(C=C1)C(=O)O	1.4	143020988;18330762;181650	PUBCHEMANNOTATIONBIO:(null);CHEBI:(49262);PUBCHEM:(143020988 18330762 181650);DSSTox:(DTXSID50960483);PUBMED:(null)	137455730786.0	142.086	104.0	1.727	8.456305767742861e+17	8.456304871881455e+17	8.456304871881455e+17	
33	YVHAIVPPUIZFBA	sirius	C1CCC(C1)CC(=O)O																																																																																												1.0	1.0	0.167	0.222	-58.099	1.0	0.333	60.929	C7H12O2	[M + H3N + H]+	C7H16NO2+	InChI=1S/C7H12O2/c8-7(9)5-6-3-1-2-4-6/h6H,1-5H2,(H,8,9)	2-cyclopentylacetic acid	C1CCC(C1)CC(=O)O	1.9	6950142;71606	PUBCHEMANNOTATIONBIO:(null);COCONUT:(CNP0381828);NORMAN:(NS00015791);PUBCHEMANNOTATIONSAFETYANDTOXIC:(null);CHEBI:(167737);SUPERNATURAL:(SN0461231);PUBCHEM:(6950142 71606);DSSTox:(DTXSID30149976)	137526247458.0	146.118	107.0	1.79	8.456305757005441e+17	8.456304873097804e+17	8.456304873097804e+17	
36	DMDPGPKXQDIQQG	sirius	COCCOCCOCCOCCOCCOC																																																																																												1.0	1.0	0.046	0.067	-54.434	0.996	0.988	68.731	C12H26O6	[M + H3N + H]+	C12H30NO6+	InChI=1S/C12H26O6/c1-13-3-5-15-7-9-17-11-12-18-10-8-16-6-4-14-2/h3-12H2,1-2H3	2,5,8,11,14,17-Hexaoxaoctadecane	COCCOCCOCCOCCOCCOC	-0.303	70931	PUBCHEMANNOTATIONBIO:(null);NORMAN:(NS00041929);CHEBI:(44934);PUBCHEM:(70931);DSSTox:(DTXSID80152319)	137455992866.0	284.207	119.0	1.991	8.456305958499828e+17	8.45630487456581e+17	8.45630487456581e+17	
37	GCGCKIUIBPEAQE	sirius	C1CCC(C(C1)CC(=O)O)C(=O)O																																																																																												1.0	1.0	0.098	0.098	-89.726	0.385	0.308	33.163	C9H14O4	[M + H3N + H]+	C9H18NO4+	InChI=1S/C9H14O4/c10-8(11)5-6-3-1-2-4-7(6)9(12)13/h6-7H,1-5H2,(H,10,11)(H,12,13)	(1R,2R)-2-Carboxycyclohexaneacetic acid	C1CCC(C(C1)CC(=O)O)C(=O)O	1.3	22214633;20846190;156030906;557126;656884;13445075;13445076;11963964	CHEBI:(35078);KEGG:(C14112);PUBCHEM:(22214633 20846190 156030906 557126 656884 13445075 13445076 11963964);DSSTox:(DTXSID60349664);PUBMED:(null)	137438953826.0	204.123	120.0	2.004	8.456305785442826e+17	8.456304875027183e+17	8.456304875027183e+17	
