	PET_vs_PS_fold_change_log2	PET_vs_PS_p_value	PET_vs_Untreated_fold_change_log2	PET_vs_Untreated_p_value	PS_vs_Untreated_fold_change_log2	PS_vs_Untreated_p_value
bacteriohopane-32,33, 34-triol-35-carbamate	0.048299420416126	0.872254647097175	-0.00267342111758906	0.999729081027465	-0.0509728415337152	0.903533623415216
(9E)-9-nitrooctadecenoic acid	0.0177038144268518	0.969615401735546	0.0400010871062808	0.899131191803071	0.022297272679429	0.967012594638916
Precorallopyronin A	-0.216865093116375	0.224668150886595	0.0852463075049495	0.818985018489104	0.302111400621325	0.134019041704709
DG(13:0/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)[iso2]	0.110184612961264	0.696913485855109	-0.0824063810376661	0.887827163240027	-0.192590993998931	0.503544070172122
Eerectquione B	-0.183185265261466	0.319994475739251	0.103503562226312	0.736481001580341	0.286688827487778	0.143986305658563
(5Z,9Z)-2-methoxy-hexacosadienoic acid	0.12342896206393	0.560412347399559	-0.0527504184275047	0.938274507128087	-0.176179380491435	0.470779871700548
farnesyl acetone	0.0476156786035924	0.906930329095396	-0.0612259541698545	0.90497254719217	-0.108841632773447	0.723785846309157
22-keto-26-Hexacosanolide	0.0596992477604263	0.837544712399999	-0.101729267402032	0.736885673607379	-0.161428515162458	0.455617582361725
Aspereline E	-0.132605141300876	0.521818483951821	0.179444105604914	0.377815631977517	0.31204924690579	0.0800408772081345
(11Z,14Z)-eicosadienoylcarnitine	0.115728560468332	0.588323402470635	0.136194218762593	0.608008255730567	0.0204656582942614	0.987666478750204
(13Z,16Z)-docosadienoylcarnitine	0.136566349104294	0.406050444822043	0.0393641067162108	0.952845616073522	-0.0972022423880829	0.725957644568844
stearolic acid	0.0493292893363671	0.881092740576998	-0.0232010696839474	0.98232606240411	-0.0725303590203146	0.835961641021286
(2E)-18-hydroxyoctadec-2-enoic acid	0.0584388160189859	0.858753200019098	-0.0323117797166696	0.971136664396633	-0.0907505957356555	0.787741265048387
Hexacosanoyl Carnitine	0.217159106125051	0.315741242881624	0.242604184726068	0.373974113828735	0.0254450786010167	0.987025537486966
5-Pentyl-3h-furan-2-one	-0.0870602402318391	0.713010154371885	-0.098932518236603	0.74869466108745	-0.0118722780047638	0.996039140307069
2,6-Nonadienoic acid	-0.056981538796182	0.875158083469037	-0.108103354699643	0.73584067379179	-0.0511218159034611	0.935595990789581
Ganoderic acid GS-1	-0.182211301514103	0.378897259388703	0.0133765521630954	0.995858927082698	0.195587853677198	0.46806567518423
12Z-Nonadecen-9-one	0.0894973323516915	0.377855608895857	0.144081125780831	0.183398825019882	0.0545837934291391	0.760013787097621
(11E,15Z)-9,10,13-trihydroxyoctadeca-11,15-dienoic acid	0.0355045438553421	0.924345062703644	-0.0146225130831438	0.991420390944253	-0.0501270569384858	0.901776685232027
DG(18:2n6/0:0/18:2n6)	-0.00889130548553579	0.995975649006574	-0.0351266983094258	0.959693087115102	-0.0262353928238903	0.977432813652692
2,6-dimethyl-4-[2-[3-[(2-methylpropan-2-yl)oxy]-3-oxoprop-1-enyl]phenyl]-3,4-dihydropyridine-3,5-dicarboxylic acid diethyl ester	0.0408412809891834	0.955135070146278	0.331038219638755	0.104932447637033	0.290196938649572	0.163147007514108
gabapentin	-0.0752748837207743	0.838712544399635	-0.0953482199711748	0.83069966542853	-0.0200733362504007	0.992173171020413
Chivosazole F	0.0969825344643331	0.384552838954652	0.147759560619764	0.223406620815137	0.0507770261554312	0.819102725546576
N-[1-hydroxy-3-(4-hydroxyphenyl)propan-2-yl]-9-octadecenamide	0.0938147322162068	0.697057643493654	-0.0672739937655036	0.894251567199986	-0.161088725981711	0.512234455838177
olaflur	0.306864941231443	0.193005204135335	0.415783081188548	0.118292069683709	0.108918139957105	0.822829741019291
7R-hydroxy-hexadecanoic acid	0.191960518983239	0.280793234924454	0.25422136403567	0.215356063523703	0.0622608450524319	0.894683960263383
11E,17-Octadecadien-9-ynoic acid	0.103238400866053	0.697262844275438	0.152628039469873	0.582748895969136	0.0493896386038198	0.939981491422864
11-dodecen-1-ol	0.14521708524629	0.481480054572133	0.231421571638374	0.276465531112456	0.0862044863920844	0.813937520878144
(22R)-(17bH,21bH)-bis-Homohopan-32-ol acetate	0.211701901249026	0.126512958656184	0.176897781958183	0.374623030415318	-0.0348041192908431	0.955340860484508
Talarazine A	-0.211627556033663	0.302392075399929	0.187905981372645	0.431241776950015	0.399533537406308	0.048951267280977
2Z,4E-nonadienoic acid	-0.0202844755840266	0.984078020786771	-0.0951081572546253	0.801285704329735	-0.0748236816705986	0.873137508933391
(9Z,11E,13E)-octadeca-9,11,13-trienoic acid	0.016576511414417	0.984961505936412	-0.0572117424073239	0.892362460331843	-0.0737882538217411	0.826104214394239
C20 sphingosine	0.145082782228765	0.380237211758749	0.232121640575889	0.182196027666968	0.0870388583471241	0.755651638449144
Cer(d16:1/18:0)	0.10593560841405	0.649414342219496	-0.0457491990152084	0.952118776615384	-0.151684807429259	0.566278385667926
8,10-hexadecadiynoic acid	0.0578176640120077	0.801659530542639	-0.0371694007136302	0.944206793710613	-0.0949870647256378	0.680350860219443
2,5-di-tert-Butyl-1,4-benzoquinone	0.0175421820251624	0.977002828778761	0.0439147050594172	0.90601859439213	0.0263725230342549	0.964523703340647
N-tetradecanoylicosaphytosphingosine	0.0977719596137577	0.686529970842823	-0.0618841989694268	0.91304772554371	-0.159656158583184	0.530382455807367
7Z-Eicosen-11-one	0.102144315069357	0.235176109201651	0.103699221706166	0.362917679721565	0.00155490663680881	0.999745121126449
YM-32890 A	0.0181659597339145	0.99233458685806	0.290063299233174	0.225224130307666	0.27189733949926	0.263314131232436
N-(2-Hydroxyisobutyl)-2,4,8,10,12-tetradecapentaenamide	-0.118755736545897	0.567463628284783	-0.158460669298391	0.520875304968466	-0.0397049327524936	0.96209459987884
Erucoylacetone	0.0547196856280694	0.865495177050809	-0.0537652665593921	0.917187625615698	-0.108484952187461	0.696591357878168
Spinetoram J	0.0645317101824205	0.732166751208671	0.15209520581529	0.305939977110366	0.0875634956328698	0.654872769121552
benzonatate	0	1	0.222392421336448	0.158819383437808	0.222392421336448	0.158819383437808
Kurilensoside H	0	1	0.222392421336448	0.158819383437808	0.222392421336448	0.158819383437808
boceprevir	-0.102998786665296	0.822822411686151	0.285278017633781	0.285569216271665	0.388276804299077	0.123209110043454
