"features"	"PC1"	"PC2"	"PC3"
1	-0.00127739413033405	-0.011037495905529	0.00533677418659057
10	-6.07806574595182e-06	0.00512782484968447	0.022577726392931
100	-0.0195164254750016	-0.007717390678838	0.0230356118107683
1000	-0.0227279780930343	0.02530411022233	-0.0185880673553185
1001	-0.0237829975782681	0.0193225877090685	-0.0214714745549455
1002	-0.0156075070696602	-0.000743249049873469	-0.0199338469145311
1003	-0.0145976128633962	-0.00170053737682324	-0.0328391531598818
1004	-0.0177128169765646	0.0046953989851266	-0.0371561183374711
1005	-0.0145476778917099	-0.00740605694736535	-0.0149059775662989
1006	-0.00353714440281347	-0.030605416704615	-0.0168084221164184
1007	-1.71870870205578e-06	0.00684149907087046	0.0217238301716333
1008	-0.0172636993720322	-0.00699696615182879	0.0270789984979769
1009	-0.000460562556440379	-0.0255660790789458	0.000829966649521822
101	-0.0177476725718826	-0.00584156958538633	0.0173649269265243
1010	-0.00245630313043868	0.0101675314136936	0.0277630937838748
1011	-0.00016142795956726	-0.02344471196336	0.00219491353834476
1012	-0.00187340664363689	-0.026986005545635	-0.00396198863531889
1013	-0.0012815052433632	-0.0273913467695138	-0.00192333586202256
1014	-0.00122717183448271	-0.024978264638729	-0.000738808045070872
1015	-0.0195127850371569	-0.0110491649044273	0.0105079111233676
1016	-0.00220643143686745	-0.0280441464865216	-0.00431930222328418
1017	-0.00426294197404473	-0.0248983863360175	-0.0225173687996295
1018	-0.000329609221684714	0.00724499361153768	0.0227256201739791
1019	-1.71870870206139e-06	0.00684149907087046	0.0217238301716332
102	-0.016984078243255	-0.00747051672461177	0.020933625283834
1020	7.21729469177816e-05	-0.0197640354493296	0.00365597236116445
1021	-0.000486999776085795	-0.0210407477626625	0.00191448957408206
1022	-0.000581340259467504	-0.0217025865363456	0.00168855874692464
1023	-1.71870870206139e-06	0.00684149907087046	0.0217238301716332
1024	-0.00332502708150664	-0.0322573896970011	-0.0102235590682657
1025	-0.00196310828871273	-0.0292360188231062	-0.00986974245495472
1026	-0.00432209186089872	0.00578300908878752	0.0280415269277239
1027	-0.00344749970852281	0.00636366668234543	0.0258724364782466
1028	-0.00305118816054084	0.00426754582350991	0.0260218955872971
1029	-0.00535135976249438	0.00254052591541059	0.0262904735856797
103	-0.0190481150529966	0.0133366188295121	0.0185317944878354
1030	-0.00991150807846922	0.00265155320924886	0.0206241590024681
1031	-0.000477263143079803	0.00647496863057445	0.0234734407093794
1033	-1.71870870206139e-06	0.00684149907087046	0.0217238301716332
1034	-0.0032770840087229	-0.0116073414033226	-0.0298628281464041
1035	0.000729262243793994	-0.0196596127100353	0.00315530656439433
1036	-0.0123159968915598	0.0109996283719435	0.0282981888911616
1037	-0.00300723754030205	-0.0306736414171013	-0.0109955249761728
1038	-0.0179012613644873	-0.0132114144945464	0.0111148112965925
1039	-0.0156708618564588	0.00989739465862012	-0.0228382074790836
104	-0.0185771408119021	0.0131844690134182	0.0199294704105101
1040	-0.0044869095822322	-0.0356978695420232	-0.0154263025902318
1041	0.00139551188807947	-0.01517079714713	0.00673608562941245
1042	-0.0200814441067578	0.0113051308592926	-0.021386462653435
1043	-0.0163175849955359	0.00762648050531042	-0.0192216189245571
1044	-0.0208733241667577	0.00756490938424227	-0.018819451131355
1045	-0.0209723320548696	0.00761553869465834	-0.0204007600563299
1046	-0.0149294193671997	-0.000902465870265289	-0.00720669342422916
1047	-0.00573509444588975	0.00703135638504397	0.0180287254230647
1048	-0.0138199192003979	0.00872663131595291	-0.00679538699235878
1049	-0.0030150718973268	0.0175523848688032	0.024486771456719
1050	-0.00198066349382106	0.00803386151872322	0.0258110727476995
1051	-0.00232762888063416	-0.0216941857361954	0.00525086016340825
1052	-1.71870870206139e-06	0.00684149907087046	0.0217238301716332
1053	-0.000341412010347488	-0.0258927459534237	0.00369692245298169
1054	-0.00142583948110613	-0.0119783319229805	0.0103988697837075
1055	-0.000421789597449623	0.00680725930056961	0.0220861341489097
1056	-0.0045419008305657	0.00252796366118537	0.0273899090874362
1057	-0.00154918782851783	-0.0151671500000335	0.00699478022699157
1058	-0.00238453579507284	-0.029178589338599	-0.00420082682114835
1059	-0.00301189488731357	0.00573053196743971	0.0259449552151603
106	-0.0201761217128537	0.00678925909458843	0.0134132062084004
1060	-0.00412029045952491	0.0045974497510209	0.0280454413803165
1061	-0.0168316887679704	0.00335406555003847	0.0240085940886944
1062	-0.0108034001412795	0.00865579192387315	0.0222623472105694
1063	-0.00186755989030992	0.00518865070930547	0.026326993464125
1064	-0.00159328929854401	-0.0367804908669146	-0.00154293592120711
1065	-0.000244956700640229	-0.0359177354971814	0.00090189894899648
1066	-0.00168407262456688	-0.0319526475600403	-0.00328126022555793
