"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"1_283.14_0.5",1,283.143436175043,0.48865008,"C17H18N2O2"
"10_216.12_0.5",10,216.123249054089,0.5239706,"C10H17NO4"
"100_181.12_0.6",100,181.122310466315,0.62905955,"C11H16O2"
"1000_715.49_3.7",1000,715.489422418892,3.73669,NA
"1001_702.49_3.7",1001,702.494814328186,3.7377226,"C41H64O8"
"1002_674.46_3.7",1002,674.463237244073,3.737775,"C39H63NO8"
"1003_679.42_3.7",1003,679.418174928901,3.738032,"C37H51N5O6"
"1004_695.39_3.7",1004,695.391950338426,3.7382586,NA
"1005_615.51_3.7",1005,615.507532780452,3.7406437,"C36H68N2O4"
"1006_415.21_3.7",1006,415.211577545276,3.7220728,"C24H30O6"
"1007_419.36_3.7",1007,419.363158766227,3.740163,"C26H43NO2"
"1008_607.5_3.7",1008,607.504853190133,3.742204,"C36H63NO5"
"1009_558.38_3.7",1009,558.378982003964,3.7282312,"C33H51NO6"
"101_350.23_0.7",101,350.230101999836,0.66242445,"C18H33NO4"
"1010_667.57_3.7",1010,667.573384794233,3.7154667,"C36H76NO6P"
"1011_516.33_3.7",1011,516.332327395433,3.7254343,"C30H45NO6"
"1012_530.35_3.7",1012,530.347871521916,3.7113104,"C31H44O6"
"1013_572.39_3.7",1013,572.394852058457,3.7354972,"C34H50O6"
"1014_529.33_3.7",1014,529.328306199616,3.701485,"C30H41NO6"
"1015_629.49_3.7",1015,629.486723111522,3.749127,"C38H64N2O5"
"1016_543.34_3.7",1016,543.34304998433,3.7116256,"C31H46N2O6"
"1017_473.27_3.7",1017,473.265110025317,3.7427704,NA
"1018_400.38_3.8",1018,400.378567405563,3.7657602,"C24H46O3"
"1019_590.48_3.8",1019,590.476746117685,3.7722428,"C36H60O5"
"102_198.15_0.6",102,198.148937254157,0.63064283,"C11H16O2"
"1020_337.2_3.7",1020,337.200838735973,3.7393548,"C15H27FN4O2"
"1021_485.29_3.7",1021,485.290171292058,3.7356741,"C29H40O6"
"1022_502.32_3.7",1022,502.31677152841,3.734649,"C29H40O6"
"1023_440.41_3.8",1023,440.410038221615,3.7687242,"C27H50O3"
"1024_507.27_3.8",1024,507.271813845732,3.7949147,"C27H36N6O5"
"1025_432.24_3.8",1025,432.238320343807,3.7550774,"C24H30O6"
"1026_454.4_3.8",1026,454.400633987303,3.7866752,"C26H51N3O3"
"1027_441.4_3.8",1027,441.40480399557,3.786834,"C26H49NO3"
"1028_263.24_3.8",1028,263.237034756655,3.7782683,"C18H30O"
"1029_281.27_3.8",1029,281.267135569925,3.784043,NA
"103_172.13_0.6",103,172.133207871453,0.6322066,"C9H14O2"
"1030_280.26_3.8",1030,280.263772002162,3.7825055,"C18H30O"
"1031_426.39_3.8",1031,426.394186924794,3.8119998,"C26H48O3"
"1033_532.47_3.8",1033,532.472209457734,3.8142815,"C34H58O3"
"1034_437.19_3.8",1034,437.193655660863,3.8087778,NA
"1035_991.55_3.8",1035,991.554727265224,3.8203816,"C45H80N10O12"
"1036_418.33_3.8",1036,418.32924564356,3.8235497,"C24H45NO3"
"1037_523.25_3.8",1037,523.246425685534,3.8051229,"C29H40O6"
"1038_629.49_3.8",1038,629.486751055558,3.768029,"C38H61NO5"
"1039_591.58_3.8",1039,591.582799379756,3.8258862,"C38H71NO2"
"104_155.11_0.6",104,155.106692027645,0.63329947,"C9H14O2"
"1040_507.27_3.8",1040,507.271843631742,3.826091,"C29H40O6"
"1041_986.6_3.8",1041,986.599244739182,3.7663512,"C59H76N4O8"
"1042_293.28_3.8",1042,293.28396317208,3.8321488,"C20H36O"
"1043_619.61_3.8",1043,619.614057347187,3.832151,"C40H75NO2"
"1044_310.31_3.8",1044,310.310584784066,3.8324177,"C20H36O"
"1045_311.31_3.8",1045,311.312775747585,3.8313344,NA
"1046_615.51_3.8",1046,615.507606672605,3.7757409,"C33H63N3O6"
"1047_593.53_3.8",1047,593.525525030202,3.833868,"C36H65NO4"
"1048_382.37_3.8",1048,382.368074383601,3.8455272,"C24H44O2"
"1049_517.43_3.8",1049,517.434287401415,3.849592,"C32H53NO3"
"1050_463.43_3.9",1050,463.425960552567,3.8582873,"C29H51NO2"
"1051_474.36_3.9",1051,474.355834727577,3.8548985,"C27H49NO4"
"1052_553.51_3.9",1052,553.505335330761,3.8643687,"C32H61N3O3"
"1053_558.38_3.9",1053,558.378997822584,3.9052339,"C33H48O6"
"1054_497.43_3.9",1054,497.431834139357,3.8791625,"C29H53NO4"
"1055_437.41_3.9",1055,437.410067651563,3.8848102,"C27H49NO2"
"1056_298.27_3.9",1056,298.274087566608,3.918497,"C18H32O2"
"1057_510.43_3.9",1057,510.426647592441,3.897621,"C29H52N2O4"
"1058_530.35_3.9",1058,530.347885559673,3.9225173,"C31H44O6"
"1059_441.41_3.9",1059,441.405003613172,3.8997018,"C26H49NO3"
"106_368.24_0.6",106,368.240790770973,0.64059377,"C18H35NO5"
"1060_454.4_3.9",1060,454.400630185711,3.9044223,"C26H48N2O3"
"1061_617.52_3.9",1061,617.52298961455,3.9055989,"C33H68N4O6"
"1062_618.53_3.9",1062,618.526452927239,3.8982224,NA
"1063_316.28_3.9",1063,316.284407829991,3.9189808,"C18H34O3"
"1064_415.21_3.9",1064,415.21158813614,3.8882308,"C24H30O6"
"1065_432.24_3.9",1065,432.238317806353,3.881484,"C24H30O6"
"1066_473.27_4",1066,473.265105271731,3.9867675,NA
"1067_764.65_3.9",1067,764.651364373886,3.9353962,"C45H91NO5"
"1068_460.27_4",1068,460.269517789966,3.9539776,"C26H34O6"
"1069_786.63_3.9",1069,786.633408917455,3.9410083,"C45H85N3O6"
"107_379.26_0.6",107,379.257145573354,0.64717215,"C21H31NO4"
"1070_543.34_3.9",1070,543.343069183121,3.9478445,"C31H46N2O6"
"1071_298.27_3.9",1071,298.274046788373,3.9410074,"C18H32O2"
"1072_298.31_3.9",1072,298.310335037147,3.9480064,"C19H36O"
"1073_619.61_4",1073,619.613852894123,3.9504926,"C40H80N2O3"
"1074_420.38_4",1074,420.38347101382,3.9678051,"C27H46O2"
"1075_562.48_4",1075,562.48315887848,3.9673738,"C33H65NO4"
"1076_748.62_4",1076,748.619427298889,3.9922545,"C42H83O7P"
"1077_609.52_4",1077,609.520406916477,4.0371456,"C36H65NO5"
"1078_433.38_4",1078,433.37899266625,3.9888167,"C27H45NO2"
"1079_780.65_4",1079,780.646513213628,4.0073223,"C50H82O5"
"108_137.1_0.6",108,137.096140399265,0.64824235,"C9H14O2"
"1080_467.38_4",1080,467.384652421431,4.005477,"C27H47NO4"
"1081_802.63_4",1081,802.628998917982,4.0060363,"C47H85N3O8"
"1082_172.13_4",1082,172.133217584502,4.0088067,"C9H14O2"
"1083_627.53_4",1083,627.531026356406,4.01287,"C36H67NO6"
"1084_649.51_4",1084,649.513565477042,4.020845,NA
"1085_685.58_4",1085,685.584173567441,4.0255895,"C38H73N3O6"
"1086_615.51_4",1086,615.507575918327,4.021309,"C33H63N3O6"
"1087_548.31_4",1087,548.313815813738,4.0267553,"C32H47NO4"
"1088_503.26_4",1088,503.256554818114,4.02606,"C22H36N6O6"
"1089_561.31_4",1089,561.309092841445,4.027362,NA
"109_240.16_0.7",109,240.157503264866,0.65217197,"C13H18O3"
"1090_520.28_4",1090,520.283099595532,4.026093,"C30H34N2O5"
"1091_543.34_4",1091,543.343063747633,4.005651,"C31H46N2O6"
"1092_189.11_4",1092,189.112175551915,3.994694,"C9H18O5"
"1093_337.2_4",1093,337.200841126971,4.000124,"C15H27FN4O2"
"1094_991.55_4",1094,991.554575021815,4.0049863,NA
"1095_1007.53_4",1095,1007.52826871371,4.027531,"C54H67N7O11"
"1096_529.33_4",1096,529.328442354748,4.0419664,"C30H41NO6"
"1097_530.35_4",1097,530.347755683473,4.001333,"C31H47NO6"
"1098_523.25_4",1098,523.246631362545,4.0384502,NA
