formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C13H18O6	[M + Cl]-	C13H18ClO6-	0.920	0.951	7.805	7.805	0.000	1	0.166	-0.259	4.033	-4.374		305.078	29	0.480	849250676891044531	849250566719259063	849250566715064758	2	
1	CH7NOP2S5	[M - H]-	CH6NOP2S5-	0.716	0.615	1.390	1.390	0.000	2	0.051	2.249	2.249	6.872		269.855	30	0.493	849250676714883731	849250567398736339	849250567394542034	9	
1	H4IN3O	[M + Br]-	BrH4IN3O-	0.277	0.255	0.479	0.479	0.000	1	0.030	-3.803	3.803	-2.223		267.858	30	0.496	849250681555111084	849250567319044559	849250567319044558	8	
1	OPS	[M + Br]-	BrOPS-	1.000	1.000	-7.926	-7.926	0.000	0	0.000	12.283	12.283	12.714		157.862	30	0.497	849250670536673523	849250567637811675	849250567633617370	11	
1	C3HNS4	[M + Br]-	C3HBrNS4-	0.862	0.874	-0.823	-0.823	0.000	0	0.000	2.429	2.429	2.468		257.819	30	0.498	849250690480590761	849250567180632519	849250567176438214	6	
1	C8H20N2O5S	[M - H2O - H]-	C8H17N2O4S-	0.605	0.358	10.336	7.779	2.557	2	0.030	-1.878	1.878	-75967.770		237.091	30	0.501	849250675917965898	849250567818166759	849250567818166758	14	
1	H2NO4PS4	[M - H2O - H]-	-HNO3PS4-	0.950	0.326	-4.151	-4.151	0.000	0	0.000	9.315	9.315	-81914.767		219.845	30	0.502	849250674378656163	849250566912197051	849250566912197050	3	
1	C13H10ClNO6P2	[M - H2O - H]-	C13H7ClNO5P2-	0.780	0.454	15.298	9.222	6.076	1	0.076	-1.561	1.561	-50885.879		353.949	30	0.502	849250674521262529	849250568061436407	849250568061436406	18	
1	C2H3NO11	[M + Br]-	C2H3BrNO11-	0.226	0.187	0.248	0.248	0.000	0	0.000	-1.134	1.134	-0.762		295.889	30	0.503	849250674324130196	849250567994327539	849250567994327538	17	
1	CN3PS3	[M + Br]-	CBrN3PS3-	0.869	0.874	-2.219	-2.219	0.000	0	0.000			-9.092		259.816	30	0.504	849250686596664968	849250567251935691	849250567247741386	7	
1	NPS4	[M + Cl]-	ClNPS4-	0.911	0.950	-2.884	-2.884	0.000	0	0.000	6.520	6.520	6.828		207.836	31	0.509	849250683815841225	849250568183071231	849250568183071230	20	
1	C7H21NO2P4S3	[M - H2O - H]-	C7H18NOP4S3-	0.161	0.027	-0.317	-0.317	0.000	3	0.182	3.079	3.079	-51169.303		351.952	31	0.512	849250735816825623	849250569177121351	849250569172927046	38	
1	HNOS3	[M + Br]-	BrHNOS3-	0.878	0.916	-1.703	-1.703	0.000	0	0.000	-9.640	9.640	-9.582		205.839	31	0.516	849250727721818133	849250568728330791	849250568724136486	30	
1	C2P5S	[M - H]-	C2-HP5S-	0.509	0.500	-12.272	-12.272	0.000	0	0.000	-3.344	3.344	-2.920		209.833	31	0.518	849250673208445320	849250568128545275	849250568124350970	19	
1	NP3S	[M - H]-	-HNP3S-	0.499	0.496	-5.860	-5.860	0.000	0	0.000	9.236	9.236	9.548		137.890	31	0.518	849250678564572043	849250568799633963	849250568799633962	31	
1	C8H17N4O4	[M - H2O - H]-	C8H14N4O3-	1.000	0.500	22.005	22.005	0.000	5	0.135	1.193	1.193	-84116.663		214.108	31	0.519	849250675364317720	849250568925463091	849250568925463090	33	
1	C4H8O7	[M - H]-	C4H7O7-	0.491	0.487	4.410	4.410	0.000	0	0.000	1.298	1.298	1.400		167.020	31	0.523	849250706557359030	849250569026126395	849250569026126394	35	
1	C9H19N4O4	[M - H2O - H]-	C9H16N4O3-	1.000	0.500	48.118	48.118	0.000	10	0.239	1.947	1.947	-78948.840		228.123	32	0.528	849250671115487535	849250569340699219	849250569340699218	41	
1	C10H19N4O4	[M - H2O - H]-	C10H16N4O3-	1.000	0.500	49.369	49.369	0.000	12	0.250	2.004	2.004	-75003.066		240.123	32	0.530	849250674684840435	849250569474916959	849250569474916958	44	
