formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C8H20N2O5S	[M - H2O - H]-	C8H17N2O4S-	Fatty acids	0.187	Pseudoalkaloids (transamidation)	0.011	Sphingoid bases	0.017	Organic acids and derivatives	0.941	Organic sulfonic acids and derivatives	0.950	Organosulfonic acids and derivatives	0.950	Alkanesulfonic acids and derivatives	0.905	Alkanesulfonic acids	0.882	Organic compounds; Organosulfur compounds; Alcohols and polyols; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Sulfonyls; Organosulfonic acids; 1,2-aminoalcohols; Dialkylamines; Amines; Secondary amines; Alkanolamines; Alkanesulfonic acids and derivatives; Alkanesulfonic acids; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	237.091	30	0.501	849250675917965898	849250567818166759	849250567818166758	14	
2	C11H13N3O4S	[M + Br]-	C11H13BrN3O4S-	Amino acids and Peptides	0.907	Small peptides	0.976	Aminoacids	0.743	Organic acids and derivatives	0.937	Carboxylic acids and derivatives	0.765	Amino acids, peptides, and analogues	0.871	Amino acids and derivatives	0.870	Amino acids	0.845	Organic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Aniline and substituted anilines; Organooxygen compounds; Amino acids and derivatives; Sulfones; Monocarboxylic acids and derivatives; Sulfonyls; Carboxylic acids; Carbonyl compounds; Aminobenzenesulfonamides; Benzene and substituted derivatives; Benzenoids; Amines; Primary amines; Aminosulfonyl compounds; Organic oxides; Hydrocarbon derivatives; Amino acids; Benzenesulfonyl compounds; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	361.981	34	0.571	849250685204155992	849250570057925267	849250570053730962	57	
1	C17H22N2OS2	[M - H]-	C17H21N2OS2-	Amino acids and Peptides	0.599	Nicotinic acid alkaloids	0.125	Pyridine alkaloids	0.124	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.764	Aralkylamines	0.802	Aralkylamines	0.802	Organic compounds; Organoheterocyclic compounds; Thiazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Trialkylamines; Amines; Aralkylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	333.111	35	0.585	849250679470541787	849250570225697443	849250570225697442	61	
3	C11H20N6O5	[M - H2O - H]-	C11H17N6O4-	Carbohydrates	0.923	Aminosugars and aminoglycosides	0.264	Aminoglycosides	0.088	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Guanidines	0.504			Guanidines	0.504	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Guanidines; Organic nitro compounds; Secondary alcohols; Polyols; Amines; Primary amines; Carboximidamides; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	297.134	35	0.589	849250683060866339	849250570276029095	849250570276029094	62	
3	C12H20N6O6	[M - H]-	C12H19N6O6-	Carbohydrates	0.994	Nucleosides	0.987	Purine nucleosides	0.667	Organic oxygen compounds	1.000	Organooxygen compounds	0.998	Carbohydrates and carbohydrate conjugates	0.923	Glycosyl compounds	0.828	Glycosylamines	0.905	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monoalkylamines; Aminopyrimidines and derivatives; Diazines; Pentoses; Monosaccharides; Secondary alcohols; Glycosyl compounds; Glycosylamines; Polyols; Amines; Primary amines; 1,2-diols; Tetrahydrofurans; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Imidolactams; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	343.139	35	0.590	849250693043310652	849250570322166443	849250570317972138	63	
2	C22H28F3NO2	[M - H]-	C22H27F3NO2-	Alkaloids	0.754	Pseudoalkaloids (transamidation)	0.060	Chalcones	0.013	Organic acids and derivatives	0.447	Carboxylic acids and derivatives	0.535	Amino acids, peptides, and analogues	0.620	Amino acids and derivatives	0.621	Amino acids and derivatives	0.621	Organic compounds; Amino acids, peptides, and analogues; Alcohols and polyols; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Alkyl fluorides; Organofluorides; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Trialkylamines; Benzene and substituted derivatives; Benzenoids; Amines; Tertiary amines; Alkyl halides; Aromatic alcohols; Aralkylamines; Hydrocarbon derivatives; Trifluoromethylbenzenes; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	394.200	37	0.611	849250684436598274	849250570427024051	849250570427024050	65	
9	C15H25N9O2	[M - H]-	C15H24N9O2-	Alkaloids	0.529	Nucleosides	0.108	Purine alkaloids	0.064	Organic acids and derivatives	0.992	Carboxylic acids and derivatives	0.964	Carboxylic acid derivatives	0.894	Carboxylic acid amides	0.867	2-heteroaryl carboxamides	0.784	Organic compounds; Organoheterocyclic compounds; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Diazines; Secondary carboxylic acid amides; Carbonyl compounds; Substituted imidazoles; N-substituted imidazoles; Amines; Imidolactams; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; 2-heteroaryl carboxamides; Chemical entities	362.209	39	0.651	849250675888605760	849250570561241791	849250570561241790	68	
2	C19H37NO9	[M - H2O - H]-	C19H34NO8-	Fatty acids	0.914	Spingolipids	0.438	Sphingoid bases	0.545	Lipids and lipid-like molecules	0.937	Fatty Acyls	0.946	Fatty acids and conjugates	0.953	Long-chain fatty acids	0.527	Long-chain fatty acids	0.527	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Medium-chain hydroxy acids and derivatives; Organooxygen compounds; Branched fatty acids; Hydroxy fatty acids; Hydroxy acids and derivatives; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Beta hydroxy acids and derivatives; Carbonyl compounds; Polyols; Amines; Long-chain fatty acids; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	404.228	39	0.654	849250689423626076	849250570624156355	849250570619962050	69	
2	C20H39NO2S2	[M - H]-	C20H38NO2S2-	Fatty acids	0.618	Fatty amides	0.089	Sphingoid bases	0.054	Organosulfur compounds	0.980	Sulfenyl compounds	0.820					Sulfenyl compounds	0.820	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Sulfenyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	388.234	41	0.677	849250712613934387	849250570796122835	849250570796122834	73	
6	C13H27N7O3	[M - H]-	C13H26N7O3-	Carbohydrates	0.643	Nucleosides	0.503	Pyrimidine nucleosides	0.149	Organic acids and derivatives	0.885	Carboxylic acids and derivatives	0.800	Amino acids, peptides, and analogues	0.595	Amino acids and derivatives	0.586	Amino acids and derivatives	0.586	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Imines; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Carbonyl compounds; Amines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	328.212	42	0.693	849250700228153965	849250570842260183	849250570838065878	74	
