	PET_vs_PS_fold_change_log2	PET_vs_PS_p_value	PET_vs_Untreated_fold_change_log2	PET_vs_Untreated_p_value	PS_vs_Untreated_fold_change_log2	PS_vs_Untreated_p_value
Eerectquione B	-0.179700630019875	0.793771581955012	0.330881049903489	0.375139501477126	0.510581679923364	0.167092500848156
7R-hydroxy-hexadecanoic acid	0.48429328813623	0.16566587797206	0.58798324576167	0.0817922060321701	0.10368995762544	0.848283144186505
11-dodecen-1-ol	0.37115423947456	0.306799673571431	0.455961301409344	0.179263259773175	0.084807061934784	0.903153422846735
2,3-dinor-8-epi-prostaglandin F2alpha	0.229828413647601	0.575896669285544	-0.087164005046456	0.93316355404302	-0.316992418694057	0.395951444210689
acetylcholine	-0.172716834969487	0.88614580817292	0.103976547327742	0.947768436584936	0.276693382297229	0.724306177370699
N-hexadecanoylsphingosine-1-phosphocholine	0.0627757056070335	0.968354414528444	-0.102223048335819	0.927272170069271	-0.164998753942852	0.817753821618796
N-hexadecanoylphytosphingosine-1-phosphocholine	-0.0745576869638401	0.968037585088185	0.210936351247938	0.738675775689559	0.285494038211778	0.601082649970279
N-(docosanoyl)ethanolamine	0.0656071286445105	0.97808451928902	0.0893896279993951	0.959170864560851	0.0237824993548848	0.996897168451346
Fusaridioic acid C	0.230655966899283	0.601248424426039	-0.0639347468907666	0.966051246676476	-0.29459071379005	0.467470513529806
1,2-dipalmitoleoyl-sn-glycero-3-phosphocholine	-0.114905547194491	0.902028609625412	0.444736271240578	0.179358517906152	0.559641818435068	0.102850574165552
6-{(1S,5S)-4-oxo-5-[(2Z)-pent-2-en-1-yl]cyclopent-2-en-1-yl}hexanoate	0.260541958100086	0.495820727746068	-0.12119613897859	0.879400586866198	-0.381738097078676	0.28442081836841
1-stearoyl-2-arachidonoyl-sn-glycerol	0.346523631266169	0.326946545259201	0.634736554018942	0.0426408382024935	0.288212922752772	0.305854387606607
N-palmitoylhexadecasphinganine	0.498069680636238	0.17812836501725	0.423337558817519	0.277899510746749	-0.0747321218187193	0.93301097526602
PC(18:1(9Z)/13:0)	-0.260974408656498	0.523771769810356	0.156699390403148	0.71983746052273	0.417673799059647	0.208032754946024
N-(2R-methyl-3-hydroxy-ethyl)-16,16-dimethyl-5Z,8Z,11Z,14Z-docosatetraenoyl amine	0.204336809728709	0.632831855852656	-0.236350625983028	0.636520939959035	-0.440687435711737	0.221759671105567
HexCer(d18:1/16:0)	-0.498203717911838	0.044804737131211	-0.538077493250539	0.0348106947604475	-0.0398737753387009	0.976368411068827
N-tetradecanoylsphinganine	0.309258313046557	0.293433143226201	-0.0959442289488674	0.897435502350794	-0.405202541995424	0.168119066844431
1,2-di-O-pentadecanoyl-sn-glycero-3-phosphocholine	-0.320283028982021	0.452929661842194	-0.240438803280602	0.608861349340146	0.0798442257014188	0.953820677960811
C16 phytosphingosine	-0.144822084213281	0.917280555340242	0.0415895589751383	0.99182737448881	0.18641164318842	0.864318609660094
cholesterol-2,2,3,4,4,6-d6	-0.515313731193661	0.0663260631469591	-0.262393052844954	0.326299399385824	0.252920678348707	0.461023202412457
1-stearoyl-2-arachidonoyl-sn-glycero-3-phosphoserine(1-)	-0.279255203879759	0.536482448950861	0.238874855793574	0.522580885964059	0.518130059673333	0.136899644000247
1,2-dioleoyl-sn-glycero-3-phospho-L-serine	-0.299525566557841	0.659457366031305	-0.0019922618351804	0.99997575579958	0.297533304722661	0.663225418509616
1-hexadecanoyl-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphoethanolamine zwitterion	0.0915702480485265	0.94210310994525	0.274633815195109	0.571343331397534	0.183063567146583	0.757345669172587
1,2-di-O-palmitoyl-sn-glycero-3-phosphocholine	-0.249381516555449	0.667501404952583	0.220207024435317	0.647963400752708	0.469588540990766	0.245346874798247
PC(P-16:0/20:5(5Z,8Z,11Z,14Z,17Z))	0.0322399725010581	0.994097121715298	0.330706291919425	0.50475218717567	0.298466319418367	0.560144798492762
N-nonadecanoyl-4-hydroxy-15-methylhexadecasphinganine-1-phosphocholine	-0.487855207612634	0.207890661810731	-0.250036426412284	0.561192326754401	0.23781878120035	0.68020564715754
3-alpha-D-glucuronosyl-2-palmitoyl-1-stearoyl-sn-glycerol	-0.39468607090989	0.205755668437047	0.104521692167007	0.819208882930273	0.499207763076896	0.0944713276693319
PC(15:0/17:1(9Z))	-0.0613277601171444	0.976370043695977	0.100002046551375	0.931875256171323	0.16132980666852	0.841125800415417
1,2-bis-[(9Z,11Z)-octadecadienoyl]-sn-glycero-3-phosphoethanolamine	0.056784149397213	0.963916381214526	0.526169379803438	0.0664492497923123	0.469385230406225	0.09215403005345
4-(trimethylammonio)butanoate	-0.123563618451299	0.931348766642527	0.172654689590533	0.845536077853612	0.296218308041832	0.648018996837678
1-(1Z-hexadecenyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine	0.172143430882139	0.853006987471963	0.162629850784635	0.868160052376822	-0.00951358009750466	0.999442235280044
1-pentadecanoyl-2-hexadecanoyl-sn-glycero-3-phosphocholine	-0.00115869752818066	0.999991683984256	0.0807132044621362	0.958477568661097	0.0818719019903168	0.957344559670896
PC(17:1(9Z)/17:1(9Z))	-0.205747930592213	0.684500374108113	0.0422433814186855	0.98004082757562	0.247991312010898	0.576552991125132
N-[(9Z)-hexadecenoyl]glycinate	0.0619252963175775	0.958412311081071	-0.121686822900764	0.867598310305426	-0.183612119218342	0.720996824225729
PE(18:2(9Z,12Z)/20:3(8Z,11Z,14Z))	0.0214678748073819	0.996720308886772	0.485383959506882	0.178865420352156	0.4639160846995	0.197201848104669
batzelladine A	-0.0040915394053645	0.99978551820945	-0.166492278109401	0.73964083552058	-0.162400738704037	0.750619970018897
PC(18:2(9Z,12Z)/20:3(8Z,11Z,14Z))	-0.277713069608625	0.408949787590136	0.0188761667878097	0.994107764713962	0.296589236396434	0.363445521420283
1-hexadecyl-2-[(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl]-sn-glycero-3-phosphocholine	-0.0253031801728898	0.993188646787138	0.495113468919192	0.0872380496182954	0.520416649092082	0.0757710024408117
1-heptadecanoyl-2-arachidonoyl-sn-glycero-3-phosphoethanolamine zwitterion	0.190112582934678	0.701417404087118	0.517474879548329	0.0978392635231953	0.327362296613651	0.277958848769391
12-(octadecanoyloxy)octadecanoate	0.493972621424595	0.179302469978618	0.258090262365572	0.610572672549952	-0.235882359059023	0.564313670574536
N-stearoylhexadecasphinganine	0.314661914766362	0.456356164240477	-0.075198453673502	0.961932749215497	-0.389860368439864	0.337745462874875
PC(P-18:1(9Z)/18:3(6Z,9Z,12Z))	-0.0511338938704259	0.985851511923113	0.299349933635929	0.566939142023928	0.350483827506356	0.481663821792216
1-(1Z-hexadecenyl)-2-hexadecanoyl-sn-glycero-3-phosphocholine	0.0836797389117493	0.930376533000001	0.276403691421706	0.451512916880452	0.192723952509957	0.646757996584722
PC(19:0/18:4(6Z,9Z,12Z,15Z))	-0.0268130198783113	0.997106122133072	0.244445898407967	0.757400471712	0.271258918286278	0.716878862006648
PC(P-16:0/20:3(5Z,8Z,11Z))	-0.00274844598993243	0.999907374269917	0.518523956277011	0.0582086152612579	0.521272402266943	0.0572783143500859
PC(P-18:1(9Z)/16:1(9Z))	0.105292481662904	0.926252173076464	0.416010027153639	0.295261935946809	0.310717545490735	0.454507949058496
1-octadecanoyl-2-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycero-3-phosphoethanolamine zwitterion	0.253185446909922	0.58284018234732	0.00558755169107839	0.999757420125212	-0.247597895218844	0.594502502402023
PC(17:1(9Z)/14:0)	0.264251837282214	0.560832377023706	0.224478419078428	0.658820458887612	-0.0397734182037857	0.983308602037941
soblidotin	0.296778087610866	0.490495394787153	0.220229714160855	0.675116054680676	-0.0765483734500111	0.940213914965103
PC(P-18:0/20:5(5Z,8Z,11Z,14Z,17Z))	-0.0604240333021715	0.977382888012862	0.255901465683038	0.62274079992096	0.31632549898521	0.511087623923076
1-[(1Z)-hexadecenyl]-2-[(9Z)-octadecenoyl]-sn-glycero-3-phosphocholine	-0.0526540709117469	0.976356312601136	0.324484128846739	0.368388616807348	0.377138199758487	0.287713720009755
Termitomycesphin A	0.536649923339041	0.167897636296645	0.639827033242601	0.0883761153655653	0.10317710990356	0.872372176846608
PC(P-18:1(9Z)/20:3(5Z,8Z,11Z))	-0.0478619419623808	0.978485873504368	0.270627386573843	0.465872378689725	0.318489328536224	0.373466445773854
PC(20:3(8Z,11Z,14Z)/20:3(8Z,11Z,14Z))	-0.382996138078657	0.32032983397512	-0.407745279378985	0.287919915026025	-0.0247491413003283	0.995659671845403
Cer(d18:0/15:0)	0.437392750668748	0.234640286365153	0.251750620818597	0.607613796934549	-0.185642129850151	0.687662555971314
phosphocholine	0.131712256087827	0.896396327807094	0.146713438227516	0.872401627915224	0.0150011821396889	0.998402331849335
PC(12:0/22:1(11Z))	0.0401018718554437	0.989852895921414	0.116330724913457	0.914570421539568	0.0762288530580136	0.961028577424032
Trichodecenin-II	0.131854862195825	0.868457870295513	0.484437529511602	0.162670963311436	0.352582667315778	0.307477544356559
PE(20:0/18:4(6Z,9Z,12Z,15Z))	0.128063434745253	0.88100315882248	0.492984980755419	0.164323563232836	0.364921546010166	0.300405926694979
aleplasinin	0.154134508408278	0.89398954646569	-0.0520956677341483	0.988782344657272	-0.206230176142426	0.826117274423682
