"feature_id_full","feature_id","feature_mz","feature_rt","PET_vs_PS_p_value","PET_vs_Untreated_p_value","PS_vs_Untreated_p_value","PET_vs_PS_p_value_minus_log10","PET_vs_Untreated_p_value_minus_log10","PS_vs_Untreated_p_value_minus_log10","PS_vs_Untreated_fold_change","PET_vs_Untreated_fold_change","PET_vs_PS_fold_change","PS_vs_Untreated_fold_change_log2","PET_vs_Untreated_fold_change_log2","PET_vs_PS_fold_change_log2","canopus_npc_pathway","canopus_npc_superclass","canopus_npc_class","sirius_name","gnps_smiles","met_annot_structure_smiles","sirius_smiles","gnps_inchi","gnps_inchi_aux","gnps_inchikey","gnps_inchikey_planar","met_annot_short_inchikey","met_annot_structure_inchi","met_annot_structure_inchikey","sirius_inchi","sirius_inchikey2d"
"3376_922.79_11.1",3376,922.786507144659,11.099665,0.0113905073396486,0.297249902176368,0.0789566103592166,1.94345693176788,0.526878279633646,1.1026115043846,0.777033882109623,1.21255708854397,1.56049448609875,-0.363950587006259,0.278052672594958,0.642003259601217,"Fatty acids","Glycerolipids","Triacylglycerols","1-Palmitoyl-2-meadoyl-3-eicsoatetraenoyl-glycerol",NA,NA,"CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCC=CCC=CCC=CCC=CCC)OC(=O)CCCC=CCC=CCC=CCCCCCCCC",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C59H100O6/c1-4-7-10-13-16-19-22-25-27-29-31-34-37-40-43-46-49-52-58(61)64-55-56(54-63-57(60)51-48-45-42-39-36-33-24-21-18-15-12-9-6-3)65-59(62)53-50-47-44-41-38-35-32-30-28-26-23-20-17-14-11-8-5-2/h7,10,16,19,25-28,31-32,34-35,41,44,56H,4-6,8-9,11-15,17-18,20-24,29-30,33,36-40,42-43,45-55H2,1-3H3","WPOTWZWCJSINBM"
"3381_948.8_11.1",3381,948.801990300517,11.134366,0.0429770817109627,0.602437054978477,0.151605803023343,1.36676307790588,0.220088323198876,0.819284174872946,0.777129997060768,1.15100768311467,1.48110057193515,-0.363772144352422,0.202897463665134,0.566669608017556,"Fatty acids","Glycerolipids","Triacylglycerols","1-Vaccenoyl-2-vaccenoyl-3-docosahexaenoyl-glycerol",NA,NA,"CCCCCCC=CCCCCCCCCCC(=O)OCC(COC(=O)CCC=CCC=CCC=CCC=CCC=CCC=CCC)OC(=O)CCCCCCCCCC=CCCCCCC",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C61H102O6/c1-4-7-10-13-16-19-22-25-28-29-30-31-34-36-39-42-45-48-51-54-60(63)66-57-58(67-61(64)55-52-49-46-43-40-37-33-27-24-21-18-15-12-9-6-3)56-65-59(62)53-50-47-44-41-38-35-32-26-23-20-17-14-11-8-5-2/h7,10,16,19-21,23-25,28,30-31,36,39,45,48,58H,4-6,8-9,11-15,17-18,22,26-27,29,32-35,37-38,40-44,46-47,49-57H2,1-3H3","VULLTLRIKFDMHX"
"1641_700.57_6.1",1641,700.572696834861,6.1288466,0.044804737131211,0.0348106947604475,0.976368411068827,1.34867606633259,1.45828730887263,0.0103862799722008,0.972740050922605,0.688688029852102,0.707987739580486,-0.0398737753387009,-0.538077493250539,-0.498203717911838,"Fatty acids","Spingolipids","Neutral glycosphingolipids","Beta-D-Glucosyl-N-Hexadecanoylsphingosine",NA,NA,"CCCCCCCCCCCCCCCC(=O)NC(COC1C(C(C(C(O1)CO)O)O)O)C(C=CCCCCCCCCCCCCC)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C40H77NO8/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-34(43)33(32-48-40-39(47)38(46)37(45)35(31-42)49-40)41-36(44)30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h27,29,33-35,37-40,42-43,45-47H,3-26,28,30-32H2,1-2H3,(H,41,44)","VJLLLMIZEJJZTE"
"1646_722.55_6.1",1646,722.554215825063,6.1322184,0.0674449301203334,0.0227521158878415,0.659279122395682,1.17105069096639,1.64297820886691,0.180930676981784,0.886495108589823,0.653705024579659,0.737403983671753,-0.173815424093543,-0.613288308668027,-0.439472884574484,"Fatty acids","Spingolipids","Neutral glycosphingolipids","Beta-D-Glucosyl-N-Hexadecanoylsphingosine",NA,NA,"CCCCCCCCCCCCCCCC(=O)NC(COC1C(C(C(C(O1)CO)O)O)O)C(C=CCCCCCCCCCCCCC)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C40H77NO8/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-34(43)33(32-48-40-39(47)38(46)37(45)35(31-42)49-40)41-36(44)30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h27,29,33-35,37-40,42-43,45-47H,3-26,28,30-32H2,1-2H3,(H,41,44)","VJLLLMIZEJJZTE"
"3060_650.65_9.6",3060,650.645619022754,9.646085,0.131108897811675,0.0082457667845186,0.12227489768147,0.882367833562528,2.08376895253599,0.912662691920228,1.23351258585691,1.59802910353747,1.29551098372242,0.302772435914254,0.676293683076172,0.373521247161918,"Fatty acids","Spingolipids","Ceramides","N-(1,3-dihydroxyhenicos-4-en-2-yl)henicosanamide",NA,NA,"CCCCCCCCCCCCCCCCCCCCC(=O)NC(CO)C(C=CCCCCCCCCCCCCCCCC)O",NA,NA,NA,NA,"ZJVVOYPTFQEGPH","nan","nan","InChI=1S/C42H83NO3/c1-3-5-7-9-11-13-15-17-19-21-22-24-26-28-30-32-34-36-38-42(46)43-40(39-44)41(45)37-35-33-31-29-27-25-23-20-18-16-14-12-10-8-6-4-2/h35,37,40-41,44-45H,3-34,36,38-39H2,1-2H3,(H,43,46)","TURCGDDLSDFLSQ"
"3061_632.63_9.6",3061,632.634664465668,9.646989,0.184678284799967,0.0338815635255323,0.419503492664971,0.733584167613256,1.47003655658091,0.377264419009752,1.16781345105545,1.56147008477353,1.33708862777895,0.223809833522729,0.64290492993338,0.419095096410651,"Fatty acids","Spingolipids","Ceramides","N-(1,3-dihydroxyhenicos-4-en-2-yl)henicosanamide",NA,NA,"CCCCCCCCCCCCCCCCCCCCC(=O)NC(CO)C(C=CCCCCCCCCCCCCCCCC)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C42H83NO3/c1-3-5-7-9-11-13-15-17-19-21-22-24-26-28-30-32-34-36-38-42(46)43-40(39-44)41(45)37-35-33-31-29-27-25-23-20-18-16-14-12-10-8-6-4-2/h35,37,40-41,44-45H,3-34,36,38-39H2,1-2H3,(H,43,46)","TURCGDDLSDFLSQ"
"1542_705.59_5.8",1542,705.590536794749,5.789677,0.22972194362382,0.00686089788856536,0.00130168749153192,0.638797517910943,2.16361904427403,2.88549326845124,1.64801264128619,1.39678860609769,0.847559400398512,0.720727308935542,0.482113695757108,-0.238613613178434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1541_706.59_5.8",1541,706.593955681172,5.789245,0.230091055301647,0.0241851482482486,0.00353571138450026,0.638100264028631,1.61645124616269,2.45152319310315,1.62011472932486,1.34078903424677,0.827588941682855,0.696095981978546,0.423082254998273,-0.273013726980273,"Fatty acids","Fatty esters","Fatty acyl carnitines","3,4-dihydroxy-N-(1,3,6-trihydroxynonacos-4-en-2-yl)dodecanamide",NA,NA,"CCCCCCCCCCCCCCCCCCCCCCCC(C=CC(C(CO)NC(=O)CC(C(CCCCCCCC)O)O)O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C41H81NO6/c1-3-5-7-9-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-28-30-36(44)32-33-38(45)37(35-43)42-41(48)34-40(47)39(46)31-29-27-10-8-6-4-2/h32-33,36-40,43-47H,3-31,34-35H2,1-2H3,(H,42,48)","UZGYBDZGERJBMR"
"1622_904.59_6.1",1622,904.590956922058,6.105131,0.313704863936543,0.0498123287090674,0.36998208510362,0.503478747593536,1.30266315467682,0.431819304389774,1.19586465638447,1.52272865229666,1.27332858628034,0.258054119793625,0.606658878881202,0.348604759087576,"Fatty acids","Glycerolipids","Glycerophosphoserines","2-(6-{3-[20-(2-amino-3-hydroxypropoxy)-8-hydroxyicosyl]oxiran-2-yl}-2,6-dihydroxyhexanamido)-1-[4-(3-hydroxy-2-propanamidopropoxy)phenyl]ethyl acetate",NA,NA,"CCC(=O)NC(CO)COC1=CC=C(C=C1)C(CNC(=O)C(CCCC(C2C(O2)CCCCCCCC(CCCCCCCCCCCCOCC(CO)N)O)O)O)OC(=O)C",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C47H83N3O12/c1-3-45(57)50-38(32-52)34-60-40-27-25-36(26-28-40)44(61-35(2)53)30-49-47(58)42(56)23-19-22-41(55)46-43(62-46)24-17-13-10-12-16-21-39(54)20-15-11-8-6-4-5-7-9-14-18-29-59-33-37(48)31-51/h25-28,37-39,41-44,46,51-52,54-56H,3-24,29-34,48H2,1-2H3,(H,49,58)(H,50,57)","LEZOKLPWUALSPR"
"1623_627.53_6.1",1623,627.534681843621,6.106268,0.326946545259201,0.0426408382024935,0.305854387606607,0.485523247329486,1.37017426685344,0.514485284989064,1.22112672156284,1.55265419883837,1.27149309848139,0.288212922752772,0.634736554018942,0.346523631266169,"Fatty acids","Glycerolipids","Diacylglycerols","1-hydroxy-3-(octadecanoyloxy)propan-2-yl icosa-5,8,11,14-tetraenoate",NA,"CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCc1cc(=O)c2c(O)cc(O)c(C)c2o1","CCCCCCCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCC=CCC=CCC=CCC=CCCCCC",NA,NA,NA,NA,"MJYQBVQGXNMYSG","InChI=1S/C41H70O4/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-36-33-38(43)40-39(44)34-37(42)35(2)41(40)45-36/h33-34,42,44H,3-32H2,1-2H3","MJYQBVQGXNMYSG-UHFFFAOYSA-N","InChI=1S/C41H72O5/c1-3-5-7-9-11-13-15-17-19-20-22-24-26-28-30-32-34-36-41(44)46-39(37-42)38-45-40(43)35-33-31-29-27-25-23-21-18-16-14-12-10-8-6-4-2/h11,13,17,19,22,24,28,30,39,42H,3-10,12,14-16,18,20-21,23,25-27,29,31-38H2,1-2H3","NSXLMTYRMFVYNT"
"1358_502.34_5",1358,502.343970411795,5.0344105,0.466803395525746,0.00285276864799577,0.00958786621628116,0.33086599355912,2.54473344705054,2.01827803449823,0.65362368056376,0.596181056271559,0.912116672023486,-0.613467842105995,-0.746177560647312,-0.132709718541317,"Fatty acids","Spingolipids","Sphingoid bases","Hexadecyl 6-(trimethylazaniumyl)hexyl phosphate",NA,"CC[C@H]1O[C@@H](/C(C)=C/[C@H](C)/C=C/[C@H]2[C@@H](C)[C@@H]2/C=C/[C@@H]2O[C@H](CC(=O)O)C[C@H](N(C)C)[C@H]2O)CC=C1C","CCCCCCCCCCCCCCCCOP(=O)(O)OCCCCCC[N+](C)(C)C",NA,NA,NA,NA,"KLTHMLORYIRDPP","InChI=1S/C30H47NO5/c1-8-26-19(3)10-13-27(36-26)20(4)15-18(2)9-11-23-21(5)24(23)12-14-28-30(34)25(31(6)7)16-22(35-28)17-29(32)33/h9-12,14-15,18,21-28,30,34H,8,13,16-17H2,1-7H3,(H,32,33)/b11-9+,14-12+,20-15+/t18-,21-,22+,23+,24+,25+,26-,27-,28+,30-/m1/s1","KLTHMLORYIRDPP-COTDPOAQSA-N","InChI=1S/C25H54NO4P/c1-5-6-7-8-9-10-11-12-13-14-15-16-18-21-24-29-31(27,28)30-25-22-19-17-20-23-26(2,3)4/h5-25H2,1-4H3/p+1","LMQPNDKSTFMVIQ"
