"features"	"PC1"	"PC2"	"PC3"
1012	-0.0845658929677065	0.0663780929880509	-0.0832807692702582
1016	-0.0824035482777915	0.0663573661615215	-0.0738064527517778
1021	-0.0701575622626781	0.0687147553808085	-0.0674083490960389
1022	-0.0678706310051938	0.0675150763416914	-0.0670063837291697
1036	-0.011866994180277	-0.0543472447011729	0.0846760180952857
1144	0.0443369819791891	0.0861485233647765	0.017787167719301
1147	0.0445638119579925	0.0837802735936145	0.0206885305464369
115	0.0439956337658047	0.0881376030026187	0.0076737264875162
117	0.0400169168297249	0.072007953438935	0.003010408125787
1224	-0.0543834616736003	0.0275614505815515	0.053884560356636
124	0.0550512836831396	0.0744860007510547	0.00179271917056411
1270	0.0239343741826347	0.0778606252253439	0.0444555545620819
1282	0.0297068144290034	0.0255142860193191	-0.0426014880629271
1303	-0.0339705814625925	-0.0105213406670788	0.0730365001803703
1320	-0.0243116669032424	-0.0038660263387734	0.0741631738538225
1335	0.0427233745588236	0.0209933764481431	-0.0550522677165138
1358	-0.102784411437248	-0.0778983730786043	0.0415165844348455
1374	0.04501778847179	0.0141759124716037	-0.0398451243349158
1379	0.0358336747234132	0.0743289588180376	0.0306172507291544
1381	0.0382933689241438	0.07520276297166	0.0283048600915622
1382	0.0383191972629907	0.0768842717433562	0.0271042234916046
139	-0.028285200334818	0.00691443765760032	0.062268919433893
1393	-0.038194266816287	-0.0280059321292609	0.0844510370182333
1465	0.0606180597806415	-0.0448281507060645	-0.00495220500005836
1466	0.0583325714770456	-0.0306642184168502	-0.0133504877581159
1469	-0.014601974257885	-0.0452119279729988	-0.000859243791418789
1470	0.0554910314879139	-0.031191365393053	-0.011840089257155
1490	0.0342955666022445	0.0740974067231948	0.0355589238926007
1500	0.0381386483862446	0.0106312857868266	-0.0605538117282218
1512	0.0380796173596589	0.00988274735662895	-0.0592522926970058
1541	0.0126202911329559	0.0183144398770077	-0.0625605036730031
1542	0.0145485556615256	0.0240481368702163	-0.0675256111554118
1550	0.02275301892586	0.00407094306055009	0.0339055149132214
157	-0.0308097541719174	0.010163420948028	0.0604351493909508
1575	0.0609994031412785	0.0035104158305004	-0.0636200913772172
1579	0.0332956838920406	0.0714574866644126	0.0394325800396882
159	0.0555140181290308	0.0829186488832663	-0.00145587914272581
1599	-0.0174830788278077	0.00527469856014502	0.0804075831140696
160	-0.0210557200324393	0.00118429181928444	0.0721810858326281
1601	-0.0453912724308658	-0.010535071417945	0.0695416082896255
1602	-0.030009460879202	-0.0079970057630055	0.0754013615866032
161	-0.0332268181353889	-0.00427451784357243	0.0691433715053172
1615	0.0219928439783711	-0.0100360577734323	-0.0894383491870186
162	0.0561182039171224	0.0862355937352771	0.00835262050377582
1621	0.0298552328931819	0.0319260476445129	-0.0172837359102875
1622	0.027300213087845	0.0597761840407405	-0.0231385493271345
1623	0.0305299897246515	0.0457170970358338	-0.0117716394000003
1624	0.0388559912933718	0.0796016075035777	0.0276484308136702
1627	0.0344614792656518	0.0799854631398631	0.0288996775806773
1628	0.0359937932135515	0.0787187229839273	0.0302696670622047
1629	0.0379210618035089	0.0776461120284963	0.0286399855982553
1634	-0.0239156474870188	-0.0466570754964508	-0.101294626332123
1635	-0.0234067789403167	-0.00963379883877541	0.0713350710329292
1639	-0.0381818521051947	-0.0284514296370173	0.088004252107368
1641	-0.090670043520456	-0.076958508819322	-0.0390419373471416
1642	-0.0413326424881636	-0.0319719608062245	0.0839637616573192
1643	-0.0165872135609755	0.0193766632111449	0.0624136473839176
1646	-0.0704635473917423	-0.101600885533741	-0.0208606929606362
1647	-0.0605764439262981	-0.0728702620194108	-0.0719829847890501
166	-0.025910975395598	0.0148942827612245	0.0578794108063167
1661	-0.0342930217223264	-0.0917386565655047	-0.0530031289352411
1668	0.00226442238581968	-0.0904499170951904	0.00280362031403238
1669	0.0198738805580962	-0.071484788707844	-0.0843502476020095
167	0.0497757707587573	0.000524846465319555	-0.00708245158999351
1671	0.0111600782818865	-0.0730705333227847	-0.0213326819991838
1674	-0.0565153171051718	-0.0699804421982004	-0.0568025929751679
1675	-0.0272569006220892	0.0151817133350504	-0.0690548924629272
