#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance	ParentMassDiff	SpecMZ	ExactMass	LibrarySpectrumID
114	spectra_filtered.mgf	*..*		:1083	4012	-1	0	135.117	1	0.994676	0	0	221009.0	418312.0	Adamantylidene M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf114	-1	GNPS-NIST14-MATCHES.mgf	0.677581				7	0	9.15527e-05	135.117	0	CCMSLIB00003138499
15	spectra_filtered.mgf	*..*		:20	565	-1	0	204.123	1	0.994344	0	0	33468200.0	902501.0	O-ACETYLCARNITINE M+H	GNPS-MSMLS	temp/spectra_filtered.mgf15	-1	GNPS-MSMLS.mgf	1.04654				6	0	0.000213623	204.123	0	CCMSLIB00005464316
14	spectra_filtered.mgf	*..*		:1	11312	-1	0	162.113	1	0.990658	0	0	16415400.0	1076010.0	L-Carnitine M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf14	-1	GNPS-LIBRARY.mgf	2.72961				6	0	0.000442505	162.113	0	CCMSLIB00008851519
12	spectra_filtered.mgf	*..*		:26	260	-1	0	138.055	1	0.986423	0	0	1625920.0	284455.0	TRIGONELLINE M+H	GNPS-MSMLS	temp/spectra_filtered.mgf12	-1	GNPS-MSMLS.mgf	0.331581				6	0	4.57764e-05	138.055	0	CCMSLIB00005464011
185	spectra_filtered.mgf	*..*		:10702	11148	-1	0	415.212	1	0.986192	0	0	4896590.0	2689980.0	1-({[2-(2-furylmethyl)-5-methylpyrrolidinyl]amino}methylene)-7-[8-({[2-(2-fury lmethyl)pyrrolidinyl]amino}methylene)-1,6-dihydroxy-3-methyl-5-(methylethyl)-7 -oxo(2-naphthyl)]-3,8-dihydroxy-6-methyl-4-(methylethyl)naphthalen-2-one CollisionEnergy:102040 M+2H]	BERKELEY-LAB	temp/spectra_filtered.mgf185	-1	BERKELEY-LAB.mgf	1.10248				6	0	0.000457764	415.212	0	CCMSLIB00010113136
992	spectra_filtered.mgf	*..*		:755	1201	-1	0	731.606	1	0.985401	0	0	33576000.0	2584540.0	Sphingomyelin (d18:1/18:0) CollisionEnergy:102040 M	BERKELEY-LAB	temp/spectra_filtered.mgf992	-1	BERKELEY-LAB.mgf	1.33482				7	0	0.000976562	731.607	0	CCMSLIB00010103189
223	spectra_filtered.mgf	*..*		:10702	11148	-1	0	415.212	1	0.982399	0	0	4896590.0	372928000.0	1-({[2-(2-furylmethyl)-5-methylpyrrolidinyl]amino}methylene)-7-[8-({[2-(2-fury lmethyl)pyrrolidinyl]amino}methylene)-1,6-dihydroxy-3-methyl-5-(methylethyl)-7 -oxo(2-naphthyl)]-3,8-dihydroxy-6-methyl-4-(methylethyl)naphthalen-2-one CollisionEnergy:102040 M+2H]	BERKELEY-LAB	temp/spectra_filtered.mgf223	-1	BERKELEY-LAB.mgf	0.58799				7	0	0.000244141	415.212	0	CCMSLIB00010113136
1047	spectra_filtered.mgf	*..*		:2483	2100	-1	0	732.553	1	0.978649	0	0	127845000.0	1796090.0	Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf1047	-1	GNPS-NIST14-MATCHES.mgf	1457.32				8	0	1.06757	733.621	0	CCMSLIB00003136587
883	spectra_filtered.mgf	*..*		:1415	5144	-1	0	391.287	1	0.976787	0	0	29825.5	3287610.0	Spectral Match to Dioctyl phthalate from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf883	-1	GNPS-NIST14-MATCHES.mgf	6.86337				7	0	0.00268555	391.284	0	CCMSLIB00003139631
949	spectra_filtered.mgf	*..*		:755	1201	-1	0	731.606	1	0.976258	0	0	33576000.0	6647610.0	Sphingomyelin (d18:1/18:0) CollisionEnergy:102040 M	BERKELEY-LAB	temp/spectra_filtered.mgf949	-1	BERKELEY-LAB.mgf	1459.04				8	0	1.06744	730.539	0	CCMSLIB00010103189
