CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
2	19	0.000	0.000	0.9750	0.9171	1
2	130	0.000	0.000	0.9723	0.9337	1
2	242	0.000	0.000	0.9983	0.9817	1
5	92	-0.193	0.000	0.7074	0.9466	1
13	17	14.016	0.000	0.8062	0.6538	1
13	28	-42.010	0.000	0.7094	0.5990	1
16	17	42.047	0.000	0.7220	0.6271	1
16	21	14.016	0.000	0.7828	0.6254	1
16	22	-28.031	0.000	0.7213	0.5321	1
16	24	14.016	0.000	0.7911	0.6180	1
16	26	14.016	0.000	0.7789	0.6002	1
16	27	-28.031	0.000	0.7491	0.6258	1
18	130	18.011	0.000	0.7441	0.6475	1
18	164	0.000	0.000	0.7064	0.6420	1
18	247	-22.920	0.000	0.7595	0.6306	1
18	252	-22.919	0.000	0.7609	0.6351	1
19	130	0.000	0.000	0.9487	0.9171	1
19	242	0.000	0.000	0.9745	0.9171	1
20	28	0.000	0.000	0.9038	0.6992	1
21	22	-42.047	0.000	0.7497	0.5753	1
21	24	-0.000	0.000	0.9571	0.8413	1
21	26	-0.000	0.000	0.9397	0.8375	1
21	27	-42.047	0.000	0.7418	0.5661	1
21	30	-42.047	0.000	0.7152	0.5952	1
22	24	42.047	0.000	0.7484	0.5736	1
22	26	42.047	0.000	0.7768	0.6587	1
22	27	0.000	0.000	0.8761	0.6722	1
22	30	0.000	0.000	0.8417	0.6634	1
23	108	3.983	0.000	0.7068	0.7244	1
24	26	0.000	0.000	0.9380	0.8247	1
24	27	-42.047	0.000	0.7446	0.5661	1
24	30	-42.047	0.000	0.7095	0.5583	1
26	27	-42.047	0.000	0.7420	0.5919	1
27	30	0.000	0.000	0.8411	0.6480	1
29	54	-14.016	0.000	0.7026	0.5997	1
29	68	-12.036	0.000	0.7039	0.6320	1
31	108	0.103	0.000	0.9456	0.8737	1
37	49	-14.016	0.000	0.9215	0.7877	1
38	52	-0.984	0.000	0.7890	0.6587	1
41	43	18.011	0.000	0.8251	0.8243	1
41	44	13.979	0.000	0.8265	0.7711	1
41	52	-14.016	0.000	0.8154	0.7663	1
43	51	-20.026	0.000	0.7160	0.6905	1
43	54	-14.016	0.000	0.8790	0.7990	1
43	81	-56.063	0.000	0.7425	0.5987	1
43	83	-70.078	0.000	0.7145	0.5790	1
44	52	-27.995	0.000	0.7094	0.6049	1
44	54	-9.984	0.000	0.8800	0.8112	1
44	56	18.011	0.000	0.7494	0.7195	1
49	116	-126.104	0.000	0.7560	0.5167	1
52	54	18.011	0.000	0.7232	0.6713	1
52	61	-42.011	0.000	0.7009	0.6317	1
52	63	-54.010	0.000	0.7003	0.5704	1
52	65	-14.016	0.000	0.8890	0.8127	1
52	74	-28.031	0.000	0.8472	0.7893	1
54	64	-14.016	0.000	0.8420	0.8121	1
54	69	-26.016	0.000	0.8340	0.7465	1
54	73	-28.031	0.000	0.7636	0.7103	1
58	61	14.016	0.000	0.8306	0.7855	1
61	63	-12.000	0.000	0.7704	0.7429	1
64	65	-18.010	0.000	0.8513	0.7525	1
64	69	-12.000	0.000	0.8608	0.8178	1
64	73	-14.016	0.000	0.8989	0.8161	1
64	81	-28.031	0.000	0.8160	0.7260	1
64	83	-42.047	0.000	0.7566	0.6651	1
65	74	-14.016	0.000	0.8436	0.7718	1
65	81	-10.021	0.000	0.7065	0.6947	1
65	83	-24.036	0.000	0.7065	0.6627	1
65	84	-42.047	0.000	0.7359	0.6854	1
68	69	-27.995	0.000	0.8835	0.7727	1
69	73	-2.016	0.000	0.7140	0.7082	1
73	74	-18.011	0.000	0.8889	0.8320	1
73	81	-14.016	0.000	0.8207	0.7323	1
73	83	-28.031	0.000	0.7620	0.6714	1
74	84	-28.031	0.000	0.8120	0.7590	1
78	87	-28.031	0.000	0.9566	0.7943	1
78	103	-56.062	0.000	0.9586	0.8742	1
81	83	-14.016	0.000	0.8478	0.7756	1
83	84	-18.011	0.000	0.8985	0.8346	1
87	103	-28.031	0.000	0.9529	0.8211	1
93	139	-52.068	0.000	0.8450	0.7145	1
93	146	-52.068	0.000	0.8097	0.6709	1
93	153	-52.068	0.000	0.7179	0.6125	1
93	167	-70.078	0.000	0.7464	0.6350	1
93	175	-52.068	0.000	0.8437	0.7153	1
93	176	-70.078	0.000	0.8143	0.7272	1
93	192	-52.068	0.000	0.7838	0.6479	1
93	220	-54.083	0.000	0.7003	0.6045	1
94	215	-12.073	0.000	0.7537	0.7415	1
95	99	-0.000	0.000	0.8021	0.6188	1
107	125	-14.016	0.000	0.8381	0.5825	1
107	170	-70.078	0.000	0.7423	0.4705	1
109	115	26.016	0.000	0.7963	0.6763	1
110	125	-14.016	0.000	0.8117	0.5978	1
110	138	-42.047	0.000	0.7709	0.5011	1
110	170	-70.078	0.000	0.7512	0.5306	1
119	121	14.016	0.000	0.7687	0.5430	1
119	124	-14.016	0.000	0.8397	0.5510	1
120	121	-17.027	0.000	0.7831	0.5488	1
120	124	-45.058	0.000	0.8133	0.5337	1
121	124	-28.031	0.000	0.8117	0.5514	1
125	138	-28.031	0.000	0.8419	0.6207	1
125	170	-56.063	0.000	0.7351	0.4875	1
130	242	0.000	0.000	0.9709	0.9337	1
132	139	-0.000	0.000	0.7408	0.6414	1
132	146	-0.000	0.000	0.7857	0.6877	1
132	153	-0.000	0.000	0.7984	0.6933	1
132	175	-0.000	0.000	0.7169	0.6027	1
132	192	-0.000	0.000	0.8219	0.7262	1
135	139	-0.000	0.000	0.7491	0.6609	1
135	146	-0.000	0.000	0.7995	0.7299	1
135	153	-0.000	0.000	0.7173	0.6445	1
135	166	-0.000	0.000	0.7140	0.6995	1
135	175	-0.000	0.000	0.7565	0.6712	1
135	176	-18.011	0.000	0.7436	0.6791	1
135	192	-0.000	0.000	0.7523	0.6598	1
135	199	12.000	0.000	0.7132	0.6449	1
135	220	-2.016	0.000	0.7077	0.6314	1
135	221	-3.019	0.000	0.7082	0.6293	1
135	224	-2.016	0.000	0.7073	0.6174	1
135	239	-30.047	0.000	0.7116	0.6247	1
135	258	-58.078	0.000	0.7075	0.5970	1
138	170	-28.031	0.000	0.7428	0.5656	1
139	146	0.000	0.000	0.9429	0.9255	1
