CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
31	108	1	0.9456	0.103
23	108	1	0.7068	3.983
203	249	2	0.7597	-165.065
232	249	2	0.7974	-74.019
249	265	2	0.9175	-74.019
249	277	2	0.8601	-148.038
249	286	2	0.8472	-222.057
265	286	2	0.8417	-148.038
277	286	2	0.8133	-74.019
174	231	2	0.8074	0.000
200	231	2	0.921	-0.000
201	231	2	0.8061	74.019
203	265	2	0.7297	-239.084
232	265	2	0.7411	-148.038
265	273	2	0.7117	18.011
265	277	2	0.8679	-74.019
174	201	2	0.7202	-74.019
200	201	2	0.8117	-74.019
201	273	2	0.723	-239.083
174	200	2	0.7968	0.000
178	185	3	0.9285	-0.000
185	230	3	0.7238	0.000
65	84	4	0.7359	-42.047
74	84	4	0.812	-28.031
83	84	4	0.8985	-18.011
54	73	4	0.7636	-28.031
64	73	4	0.8989	-14.016
69	73	4	0.714	-2.016
73	74	4	0.8889	-18.011
73	81	4	0.8207	-14.016
73	83	4	0.762	-28.031
38	52	4	0.789	-0.984
54	69	4	0.834	-26.016
64	69	4	0.8608	-12.000
68	69	4	0.8835	-27.995
41	44	4	0.8265	13.979
44	52	4	0.7094	-27.995
44	54	4	0.88	-9.984
44	56	4	0.7494	18.011
52	61	4	0.7009	-42.011
58	61	4	0.8306	14.016
61	63	4	0.7704	-12.000
41	52	4	0.8154	-14.016
52	54	4	0.7232	18.011
52	63	4	0.7003	-54.010
52	65	4	0.889	-14.016
52	74	4	0.8472	-28.031
65	74	4	0.8436	-14.016
41	43	4	0.8251	18.011
29	54	4	0.7026	-14.016
29	68	4	0.7039	-12.036
43	51	4	0.716	-20.026
43	54	4	0.879	-14.016
43	81	4	0.7425	-56.063
43	83	4	0.7145	-70.078
54	64	4	0.842	-14.016
64	65	4	0.8513	-18.010
64	81	4	0.816	-28.031
64	83	4	0.7566	-42.047
65	81	4	0.7065	-10.021
81	83	4	0.8478	-14.016
65	83	4	0.7065	-24.036
95	99	5	0.8021	-0.000
119	124	6	0.8397	-14.016
120	124	6	0.8133	-45.058
121	124	6	0.8117	-28.031
120	121	6	0.7831	-17.027
119	121	6	0.7687	14.016
222	224	7	0.7142	1.003
93	192	7	0.7838	-52.068
132	192	7	0.8219	-0.000
135	192	7	0.7523	-0.000
139	192	7	0.8627	-0.000
146	192	7	0.8656	-0.000
153	192	7	0.8712	-0.000
175	192	7	0.8167	0.000
191	192	7	0.7211	-17.027
135	221	7	0.7082	-3.019
166	221	7	0.7099	-3.019
184	221	7	0.8413	-29.034
199	221	7	0.722	-15.019
220	221	7	0.8062	-1.003
221	224	7	0.7381	1.003
221	239	7	0.8209	-27.028
221	258	7	0.7955	-55.059
139	199	7	0.7634	12.000
146	199	7	0.7635	12.000
175	199	7	0.746	12.000
184	199	7	0.9249	-14.016
199	220	7	0.8383	-14.016
199	224	7	0.8044	-14.016
199	235	7	0.7856	-28.031
199	239	7	0.8477	-42.047
199	258	7	0.8482	-70.078
93	176	7	0.8143	-70.078
135	176	7	0.7436	-18.011
139	176	7	0.7559	-18.011
146	176	7	0.7549	-18.011
167	176	7	0.8551	0.000
175	176	7	0.7378	-18.010
176	184	7	0.7285	44.026
176	220	7	0.7737	15.995
176	239	7	0.7908	-12.036
176	258	7	0.7171	-40.068
191	226	7	0.715	-7.042
214	226	7	0.7204	-13.013
181	186	7	0.738	-0.000
186	189	7	0.8062	0.000
186	218	7	0.7335	-24.036
186	223	7	0.746	-28.031
93	139	7	0.845	-52.068
132	139	7	0.7408	-0.000
135	139	7	0.7491	-0.000
139	146	7	0.9429	0.000
139	153	7	0.8196	0.000
139	166	7	0.7061	0.000
139	175	7	0.9359	-0.000
193	213	7	0.8452	-14.016
213	215	7	0.7638	0.000
213	223	7	0.7066	-14.016
157	159	7	0.7308	0.000
153	184	7	0.7097	26.016
184	220	7	0.938	-28.031
184	224	7	0.8878	-28.031
184	235	7	0.7923	-42.047
184	239	7	0.9544	-56.062
184	258	7	0.9136	-84.094
94	215	7	0.7537	-12.073
93	167	7	0.7464	-70.078
181	218	7	0.7387	-24.036
189	218	7	0.7405	-24.036
191	218	7	0.7255	15.995
215	218	7	0.7266	-10.021
135	239	7	0.7116	-30.047
220	239	7	0.9065	-28.031
224	239	7	0.8239	-28.031
239	258	7	0.8995	-28.031
159	193	7	0.8013	-28.031
135	166	7	0.714	-0.000
166	258	7	0.7167	-58.078
93	146	7	0.8097	-52.068
132	146	7	0.7857	-0.000
135	146	7	0.7995	-0.000
146	153	7	0.8297	0.000
146	175	7	0.8942	-0.000
146	191	7	0.7465	17.027
220	224	7	0.8951	0.000
224	235	7	0.7766	-14.016
224	258	7	0.8643	-56.062
219	258	7	0.7215	225.210
93	153	7	0.7179	-52.068
132	153	7	0.7984	-0.000
135	153	7	0.7173	-0.000
153	175	7	0.7799	-0.000
159	189	7	0.7362	-28.031
220	258	7	0.9064	-56.062
235	258	7	0.7821	-42.047
135	175	7	0.7565	-0.000
189	223	7	0.7788	-28.031
191	223	7	0.7074	12.000
215	223	7	0.7316	-14.016
93	175	7	0.8437	-52.068
93	220	7	0.7003	-54.083
220	235	7	0.7338	-14.016
191	215	7	0.7695	26.016
132	175	7	0.7169	-0.000
18	130	8	0.7441	18.011
18	164	8	0.7064	0.000
18	247	8	0.7595	-22.920
18	252	8	0.7609	-22.919
2	19	8	0.975	0.000
2	130	8	0.9723	0.000
2	242	8	0.9983	0.000
247	252	8	0.9997	0.000
19	242	8	0.9745	0.000
130	242	8	0.9709	0.000
19	130	8	0.9487	0.000
20	28	9	0.9038	0.000
21	30	9	0.7152	-42.047
22	30	9	0.8417	0.000
24	30	9	0.7095	-42.047
27	30	9	0.8411	0.000
13	17	9	0.8062	14.016
16	17	9	0.722	42.047
16	26	9	0.7789	14.016
21	26	9	0.9397	-0.000
22	26	9	0.7768	42.047
24	26	9	0.938	0.000
26	27	9	0.742	-42.047
16	21	9	0.7828	14.016
16	22	9	0.7213	-28.031
