cluster index	parent mass	RTMean	ATTRIBUTE_treatment:GNPSGROUP:nan	ATTRIBUTE_treatment:GNPSGROUP:mock	ATTRIBUTE_treatment:GNPSGROUP:untreated	ATTRIBUTE_treatment:GNPSGROUP:PET	ATTRIBUTE_sample_name:GNPSGROUP:blank	ATTRIBUTE_sample_name:GNPSGROUP:mock	ATTRIBUTE_sample_name:GNPSGROUP:untreated	ATTRIBUTE_sample_name:GNPSGROUP:PET	ATTRIBUTE_sample_name:GNPSGROUP:bk_mapp
193	223.2057138550831	8.671298	0	472472.78	504783.47	493349.6	493102.6	472472.78	504783.47	493349.6	590861.75
194	321.1824075138628	8.756767	0	0.0	0.0	0.0	358440.5	0.0	0.0	0.0	1197700.8
195	321.1824058328345	8.793262	0	0.0	0.0	0.0	358440.5	0.0	0.0	0.0	1048299.1
196	299.20053493447654	8.793262	0	0.0	0.0	0.0	490944.0	0.0	0.0	0.0	1598810.5
197	243.8842190704816	8.845796	0	364431.34	347386.72	363950.44	351396.72	364431.34	347386.72	363950.44	360153.28
198	286.90624283091387	8.851998	0	351099.9	354495.78	357670.16	349517.75	351099.9	354495.78	357670.16	344665.34
199	268.2635241544244	8.864349	0	0.0	2236695.0	0.0	0.0	0.0	2236695.0	0.0	0.0
200	371.1012628031457	8.878003	0	635203.4	530891.9	521581.78	548430.1	635203.4	530891.9	521581.78	865141.94
201	445.120124790436	8.880727	0	992769.8	908866.75	891690.0	825123.5	992769.8	908866.75	891690.0	1314802.2
202	485.11274351476703	8.881419	0	3246124.2	3157765.5	3064662.2	3364534.0	3246124.2	3157765.5	3064662.2	5285385.0
203	463.1306799351166	8.880045	0	1265759.4	969581.8	931577.5	1173972.9	1265759.4	969581.8	931577.5	1893874.4
204	508.1887303096021	8.880045	0	1025859.56	1009616.7	1046223.3	815744.9	1025859.56	1009616.7	1046223.3	1011666.56
205	286.906233896248	9.034121	0	368900.53	376759.78	352131.2	373248.34	368900.53	376759.78	352131.2	374730.06
206	165.99100598128476	9.007133	0	372208.3	375520.53	368995.88	375782.72	372208.3	375520.53	368995.88	433552.2
207	243.88421106357168	9.061759	0	368793.84	351854.3	396064.75	358480.78	368793.84	351854.3	396064.75	352587.75
