"samples"	"PC1"	"PC2"	"PC3"
"20260624_CVOL_Darleen_A549_110626_PET05.mzML"	-0.162577952568053	0.0263891423262505	-0.0409802703475285
"20260624_CVOL_Darleen_A549_110626_PET100.mzML"	-0.187520840359286	0.0879279436184558	0.00495987345938064
"20260624_CVOL_Darleen_A549_110626_PS05.mzML"	-0.182757085614114	0.0110642131304428	-0.145288232412275
"20260624_CVOL_Darleen_A549_110626_PS100.mzML"	-0.194128149677574	0.0705848355618906	-0.222164135870385
"20260624_CVOL_Darleen_A549_110626_untreated.mzML"	-0.193192674856833	0.154415401411643	0.132225672872468
"20260624_CVOL_Darleen_A549_180626_PET05.mzML"	-0.0668221633367184	-0.0116558945188903	-0.149709286103824
"20260624_CVOL_Darleen_A549_180626_PET100.mzML"	-0.199080337245469	0.0706205356258912	-0.0628093484597244
"20260624_CVOL_Darleen_A549_180626_PS05.mzML"	-0.225548591092538	0.179904928895973	0.11110922587803
"20260624_CVOL_Darleen_A549_180626_PS100.mzML"	-0.237331690451429	0.14695461779564	0.0495369638041067
"20260624_CVOL_Darleen_A549_180626_untreated.mzML"	-0.183462359222171	0.212875087859566	0.220849062514813
"20260624_CVOL_Darleen_A549_210626_PET05.mzML"	-0.139844152461917	0.183794033749273	-0.2215834219919
"20260624_CVOL_Darleen_A549_210626_PET100.mzML"	-0.206800213021988	0.0912080788764092	-0.20644932827405
"20260624_CVOL_Darleen_A549_210626_PS05.mzML"	-0.210821767964024	0.162794156802109	0.11727888131736
"20260624_CVOL_Darleen_A549_210626_PS100.mzML"	-0.196083929434768	0.213645129730936	-0.0937108046162103
"20260624_CVOL_Darleen_A549_210626_untreated.mzML"	-0.214694321341171	0.193205338321928	-0.0639267000164448
"20260624_CVOL_Darleen_MDM_160526_PET05.mzML"	0.164073421291113	-0.353715073557357	-0.144349897988765
"20260624_CVOL_Darleen_MDM_160526_PET100.mzML"	0.0957189366255282	-0.274805452130172	-0.161014158136887
"20260624_CVOL_Darleen_MDM_160526_PS05.mzML"	0.218611626580791	-0.377640318038853	-0.0577850750446032
"20260624_CVOL_Darleen_MDM_160526_PS100.mzML"	0.19571528934693	-0.0995328638115146	-0.521190076656327
"20260624_CVOL_Darleen_MDM_160526_untreated.mzML"	0.202417759227711	-0.351449585454353	-0.156298006374587
"20260624_CVOL_Darleen_MDM_A_190626_PET05.mzML"	1.01592166019703	0.704904997686665	-0.068100080238482
"20260624_CVOL_Darleen_MDM_A_190626_PET100.mzML"	0.13076488535824	0.117490048004784	0.109523684124087
"20260624_CVOL_Darleen_MDM_A_190626_PS05.mzML"	0.0596511341711649	-0.120103052175678	0.248813289996753
"20260624_CVOL_Darleen_MDM_A_190626_PS100.mzML"	0.0726827664088016	-0.091140251448372	0.197435629726344
"20260624_CVOL_Darleen_MDM_A_190626_untreated.mzML"	0.0699489002555547	-0.0482947570361034	0.221186234677947
"20260624_CVOL_Darleen_MDM_B_120626_PS05.mzML"	0.112085901198616	-0.262410197675382	-0.0895354195137093
"20260624_CVOL_Darleen_MDM_B_190626_PET05.mzML"	0.212977004225804	-0.123388943073937	0.330556405484219
"20260624_CVOL_Darleen_MDM_B_190626_PET100.mzML"	0.0271431203324284	-0.160037221157434	0.178753699385521
"20260624_CVOL_Darleen_MDM_B_190626_PS100_20260626090336.mzML"	0.081480697106553	-0.160573700302538	0.233848843003049
"20260624_CVOL_Darleen_MDM_B_190626_untreated.mzML"	0.141473126321787	-0.193031179017273	0.248816775801619
