"samples"	"LV1"	"LV2"
"20260624_CVOL_Darleen_A549_110626_PET05.mzML"	-23.082530927948	-1.36557611702834
"20260624_CVOL_Darleen_A549_110626_PET100.mzML"	-26.2803040485111	-3.8266118042141
"20260624_CVOL_Darleen_A549_110626_PS05.mzML"	-24.0366024965472	1.38494163104428
"20260624_CVOL_Darleen_A549_110626_PS100.mzML"	-26.5283325355422	-0.00605499068955615
"20260624_CVOL_Darleen_A549_110626_untreated.mzML"	-28.1279648695528	-0.240955023931113
"20260624_CVOL_Darleen_A549_180626_PET05.mzML"	-18.2031590745945	-3.62473199071942
"20260624_CVOL_Darleen_A549_180626_PET100.mzML"	-25.6315143160278	-0.906560982007842
"20260624_CVOL_Darleen_A549_180626_PS05.mzML"	-24.5459827862922	3.39450014244
"20260624_CVOL_Darleen_A549_180626_PS100.mzML"	-26.7669880309695	3.14109123986755
"20260624_CVOL_Darleen_A549_180626_untreated.mzML"	-27.2064826436429	-0.909252205444757
"20260624_CVOL_Darleen_A549_210626_PET05.mzML"	-22.1899061796009	-1.1377938956093
"20260624_CVOL_Darleen_A549_210626_PET100.mzML"	-28.1036754433506	-0.470963318349498
"20260624_CVOL_Darleen_A549_210626_PS05.mzML"	-22.2519607723941	6.20484694657404
"20260624_CVOL_Darleen_A549_210626_PS100.mzML"	-26.5765293424624	5.35257971226093
"20260624_CVOL_Darleen_A549_210626_untreated.mzML"	-23.5986909973225	-1.59592690125207
"20260624_CVOL_Darleen_MDM_160526_PET05.mzML"	-18.3975253310184	-0.885011223599575
"20260624_CVOL_Darleen_MDM_160526_PET100.mzML"	-23.0177133748284	0.202457919500755
"20260624_CVOL_Darleen_MDM_160526_PS05.mzML"	-18.1434070756949	1.13565431830464
"20260624_CVOL_Darleen_MDM_160526_PS100.mzML"	-21.8039092909845	2.41509132709628
"20260624_CVOL_Darleen_MDM_160526_untreated.mzML"	-19.3342984170902	-2.43488385318141
"20260624_CVOL_Darleen_MDM_A_190626_PET05.mzML"	-0.0175843773157711	-0.0156773664198902
"20260624_CVOL_Darleen_MDM_A_190626_PET100.mzML"	-20.9739432901162	-14.4206072549687
"20260624_CVOL_Darleen_MDM_A_190626_PS05.mzML"	-20.0762998891483	-1.33670945080776
"20260624_CVOL_Darleen_MDM_A_190626_PS100.mzML"	-17.916385445884	1.14767627794036
"20260624_CVOL_Darleen_MDM_A_190626_untreated.mzML"	-19.8938966172191	-1.47958306515772
"20260624_CVOL_Darleen_MDM_B_120626_PS05.mzML"	-20.6832817496672	0.950980835909951
"20260624_CVOL_Darleen_MDM_B_190626_PET05.mzML"	-17.2955498182562	-5.29833477791618
"20260624_CVOL_Darleen_MDM_B_190626_PET100.mzML"	-21.8800712959428	0.536289068796329
"20260624_CVOL_Darleen_MDM_B_190626_PS100_20260626090336.mzML"	-22.5925355885032	7.48618834899305
"20260624_CVOL_Darleen_MDM_B_190626_untreated.mzML"	-18.4165320980349	3.41090152236212
