"features"	"LV1"	"LV2"
1	-0.00119078170333751	0.00255074310634861
10	-0.00510401123892358	0.00868629546730659
100	-0.026003824269485	-0.0201056007118235
1000	-0.0222385230842827	0.0304218820714637
1001	-0.0276674270138483	0.0252626901959805
1002	-0.0242784764234952	0.025067929431051
1003	-0.0220259541653004	0.03699202996075
1004	-0.0233146001586519	0.0330160700563128
1005	-0.0201706596898998	0.0155519266298542
1006	-0.00846040464758525	-0.0260161974575433
1007	-0.0035123699471148	0.0131214666316039
1008	-0.0227984825696885	-0.00479317446800653
1009	-0.0112644308274843	-0.0491379578204216
101	-0.0277291745343627	-0.0143389452335929
1010	-0.00399897252467303	0.00875451201134712
1011	-0.00979815616679983	-0.0449372312573275
1012	-0.0133037889889208	-0.0473705276292178
1013	-0.0122790436545126	-0.0460222480322786
1014	-0.0112117597370358	-0.0449228358581936
1015	-0.0251630800775212	-0.00152688292984572
1016	-0.0135345090229625	-0.0462644214783027
1017	-0.00768889217406932	-0.0224005331473374
1018	-0.00328349272279067	0.00666615789807528
1019	-0.00375025982518625	0.0120750434316452
102	-0.0285622398430821	-0.0187102557944335
1020	-0.00845384984790099	-0.0421754037101454
1021	-0.00978421558271977	-0.0418298261505732
1022	-0.0101590790731563	-0.0423744748589034
1023	-0.00309501556009444	0.0108834069129097
1024	-0.0143263036735853	-0.0376391234644561
1025	-0.00582805365238177	-0.0256405267458715
1026	-0.00972675590288374	0.000880265114938833
1027	-0.00871007673571723	0.00175168220355516
1028	-0.00903090512936125	0.00222334701505111
1029	-0.0123074416916783	0.00164862630881505
103	-0.0252695550680452	-0.0265274962364909
1030	-0.0181979015085675	-0.000267064915578603
1031	-0.0039778377358694	0.00351641995092899
1033	-0.00262827304662764	0.00790535830664559
1034	-0.00437091329363872	-0.00561067454967096
1035	-0.00507886118047096	-0.0335538057682671
1036	-0.0200513037560446	0.00740732439267203
1037	-0.0117787102952696	-0.0346945621086335
1038	-0.0223748648450311	-0.00848337123565994
1039	-0.017726762181573	0.0219246066186731
104	-0.0245112230993911	-0.0281677544530415
1040	-0.0136949405985022	-0.0337856092295517
1041	-0.00418061511741947	-0.0391089411112514
1042	-0.0245724955829865	0.0161308406592367
1043	-0.0193752227329156	0.0181967463134157
1044	-0.0273471550874673	0.0117983378205957
1045	-0.0273595995751615	0.0130437499093315
1046	-0.0173430275145508	0.0168951628000551
1047	-0.00708848606049859	-0.000462745826265898
1048	-0.0183083834016627	0.0216260506743537
1049	-0.00809677981631846	-0.0118478651338478
105	-0.00265089614867052	0.00525631192846291
1050	-0.00817514039169127	-0.0113458154562425
1051	-0.00273035115549613	-0.00209515173325387
1052	-0.0038585217521133	-0.0031748250818453
1053	-0.00858438620929279	-0.0455849829452657
1054	-0.00168763211207751	0.00303249356551509
1055	-0.00442637982242928	0.000363761399103701
1056	-0.0106617215382845	-0.00265016829995926
1057	-0.00159345561233218	0.00154927171715264
1058	-0.0133920863369821	-0.0455250851091191
1059	-0.00867002000916917	0.000916032110934721
106	-0.0282267325118498	-0.0134646789221558
1060	-0.0103831914365069	-0.000204077492064575
1061	-0.0255577222425246	0.00223440973508288
1062	-0.0152702987367446	0.0150426984934662
1063	-0.00603270431839849	0.00224924196477708
1064	-0.00930145621411176	-0.032324532660627
1065	-0.00692019092403027	-0.0259301550466796
1066	-0.0071445634166795	-0.0194698216569039
1067	-0.00396641274220303	0.00855691126107385
1068	-0.00780622648445895	-0.0210508414861125
1069	-0.00703727918044205	0.00537967625797667
107	-0.00844730446991225	-0.0399212721519797
1070	-0.0150550002046615	-0.0462696982930195
1071	-0.00994232333090683	-0.0014511329610269
1072	-0.0238997579533973	0.0165064128349852
1073	-0.00454159211838567	0.0205269445352827
1074	-0.00297605871821976	0.00766305443524653
1075	-0.0105484249128667	0.0413243314741475
1076	-0.00245543139136792	0.00656145268794207
1077	-0.00643180800638739	0.00186146081918018
1078	-0.00468405702778416	0.00552115545606304
1079	-0.00504427459226422	-0.000262528768755201
108	-0.0220248943106784	-0.0125009886598803
1080	-0.00439628782283497	0.00393822513188452
1081	-0.00834315746416654	-0.00164906730705135
1082	-0.0101949497447572	-0.01453439797339
1083	-0.0175184598609752	-0.01270587868378
1084	-0.0174233775268858	-0.0101183012540222
1085	-0.0137477590302467	-0.00472052855035823
1086	-0.0155642295045342	0.0141603578203221
1087	-0.0180579565295283	0.023717132954816
1088	-0.0206941289924983	0.029612999604945
1089	-0.0187738427013988	0.0338589040633155
109	-0.0170726321408702	-0.00139097429632638
1090	-0.0202006237559902	0.0320697987684719
1091	-0.0168559298849759	-0.0461400950234649
1092	-0.00831372504317274	-0.0431290300246629
1093	-0.0111246133110449	-0.0444202491352261
1094	-0.00777230142838443	-0.0390163221194933
1095	-0.00693957515725754	-0.0333979586753331
1096	-0.0153869497097724	-0.0452762151254619
1097	-0.0152960414060768	-0.0451484017176755
1098	-0.0158461994694617	-0.0446569574758257
1099	-0.0148876743779402	-0.0452956277115834
11	-0.00546141707798242	0.00746784226270581
110	-0.0123548422632121	-0.0474257818616933
1100	-0.0108583730010605	-0.0432700819149642
1101	-0.0116363218785896	-0.0452683250192903
1102	-0.0122761840778175	-0.0431800241752673
1103	-0.0126307401004401	-0.0438248190341408
1104	-0.0247173556474165	0.0125271251027724
1105	-0.0185176330214408	-0.0457997034485503
1106	-0.0229563654256214	0.00425104991453933
1107	-0.0162338803127843	0.0354900680937864
1108	-0.00818446813763222	-0.0199544295394976
1109	-0.0183230046577511	-0.0427072824913683
111	-0.0158810163867901	-0.00497988101304692
1110	-0.00313420484540363	0.00886928746678684
1111	-0.0102923180008854	0.00119607365832668
1112	-0.0178058311436053	0.00403462336437417
1113	-0.00907305951182384	0.00684943257065492
1114	-0.0192302122619411	-0.0116012585313915
1115	-0.0126457970964686	-0.0249334388612796
1116	-0.0234691750243606	-0.00684898793918164
1117	-0.0169852001431484	-0.00544730488304402
1118	-0.00703469021553519	-0.0188613549898297
1119	-0.00712118010586063	-0.0143260311108754
112	-0.0201682922578533	-0.00054611391152742
1120	-0.0260671792314373	0.00430799645909597
1121	-0.0245051616280163	0.0128894261415451
1122	-0.0253682364446699	0.00782842773010452
1123	-0.0134555234334624	-0.0447399522250471
1124	-0.0119424405559479	-0.0434914203365378
1125	-0.00354478216578109	0.00598047904369675
1126	-0.0107639501483613	-0.00955410145340909
1127	-0.0159419297381493	-0.0370619871988541
1128	-0.0135802551506755	-0.0428988203043137
1129	-0.0137074221077366	-0.0421991001853176
113	-0.0197605299667562	0.00766593191075093
1130	-0.0170234097953728	-0.0431486448281874
1131	-0.0143918566912103	-0.044336970785043
1132	-0.0163196058409634	-0.0406212877911138
1133	-0.00594645467683013	0.0224720833923954
1134	-0.0146672374652805	-0.0421991312628522
1135	-0.00463061129179819	-0.0300846372107335
1136	-0.00646020470206451	-0.0338826035375667
1137	-0.00607559617430619	-0.0239865312458978
1138	-0.00478381916122318	-0.0282867808870636
1139	-0.0317823565882905	0.0046223227511079
114	-0.00186786238862515	-0.00104672934407859
1140	-0.00416194888490715	-0.0300543796095197
1141	-0.00305851645974688	0.00542813586308387
1142	-0.00920415616933361	-0.0360487826209592
1143	-0.00375218812089107	-0.0269522592408627
1144	-0.0208861278331263	0.0263328097148794
1145	-0.0113097725628608	0.0473046106688549
1146	-0.00581085917452881	0.00523647312629153
1147	-0.02169834265222	0.0257411996337692
1148	-0.00318446182147439	0.0254086161942972
1149	-0.0057943419195567	-0.0265888453413841
115	-0.021366250107041	0.026757988147976
1150	-0.00921431056462308	-0.039985376341924
1151	-0.0043156867209018	0.00537390124852167
1152	-0.0036257549159032	0.00765755902959553
1153	-0.00283830780504467	0.0096731315371776
1154	-0.0258365096188212	0.00997808982414971
1155	-0.0225561307266259	0.0101811729480871
1156	-0.0135112040328626	0.00789025114072898
1157	-0.00637091594046985	-0.0204333352425641
1159	-0.00377770679029501	0.00277169955582243
116	-0.0250595225714192	-0.0156168855989398
1160	-0.00631952185180277	0.0395912834735459
1161	-0.0158261914454023	0.0162863578184349
1162	-0.0202988478879639	0.0232924768388183
1163	-0.0025603571712816	0.00272046034034951
1164	-0.00224085044461718	0.00724402217264526
1165	-0.00551174035023505	0.00979368709773654
1166	-0.00488235238198855	0.00733883648901721
1167	-0.00782186548044865	0.00256603741963333
1168	-0.00258643409334025	0.0085692159917999
1169	-0.0178207114107621	0.014614720382122
117	-0.0236257455199773	0.0217353643363076
1170	-0.0027713222405379	0.00920417260336987
1171	-0.00348286457533274	0.0101225639504056
1172	-0.022927264483639	0.028534028882442
1173	-0.00340192200559981	-0.00698466006567248
1174	-0.00447024475379796	-0.0113432614639514
1175	-0.0206836727816687	0.00799127856953677
1176	-0.00472428634818165	-0.0392314143722673
1177	-0.00367346573818507	-0.0414373095553034
1178	-0.0222216861259405	0.0163155945157132
1179	-0.0242340511961027	0.0147043115449066
118	-0.0168663850386958	-0.00505971295384574
1180	-0.0142571349115154	-0.0420784133949734
