"feature_id"	"feature"	"VIP"	"LV1"	"LV2"
2211	"NA_[2211_745.59_7.5]"	2.92824588315146	-0.0325777092788446	0.107181727839798
1889	"batzelladine A_[1889_790.57_6.7]"	2.82883160082001	-0.0411340133597679	-0.0544017124672186
2396	"NA_[2396_815.64_8]"	2.34428026086319	-0.0246938719178554	0.0890393491958069
1674	"cholesterol-2,2,3,4,4,6-d6_[1674_369.35_6.2]"	2.33201676883085	-0.0482142658992645	-0.0687028197923782
208	"aleplasinin_[208_443.23_1]"	2.10400655960999	-0.0327079199095807	0.131229401856114
2187	"Cer(d18:0/17:0)_[2187_554.55_7.4]"	2.03628624953365	-0.0229346813436443	0.0819681173347909
947	"NA_[947_507.27_3.6]"	2.00359425852983	-0.0318175081765904	-0.129411296347606
2215	"NA_[2215_744.59_7.5]"	1.94212397812807	-0.0466033742606834	0.0819624673352655
1996	"PC(P-18:1(9Z)/16:1(9Z))_[1996_742.57_6.9]"	1.91720883429706	-0.0330444749133771	0.0713309456846623
1829	"1-(1Z-hexadecenyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine_[1829_690.54_6.6]"	1.8898976273925	-0.0219148539709613	0.0758584398171216
977	"NA_[977_543.34_3.7]"	1.81743295063061	-0.027077689179458	-0.11904894033559
1016	"NA_[1016_543.34_3.7]"	1.80670613839443	-0.0269091187341048	-0.118930828944528
2033	"1-[(1Z)-hexadecenyl]-2-[(9Z)-octadecenoyl]-sn-glycero-3-phosphocholine_[2033_744.59_7]"	1.78616664669892	-0.0442057639319966	0.0770817966935851
895	"Eerectquione B_[895_507.27_3.4]"	1.77940339590771	-0.0314260561879199	-0.124743312682204
1012	"NA_[1012_530.35_3.7]"	1.77294510737802	-0.0254026888411442	-0.118383889767628
978	"NA_[978_530.35_3.7]"	1.76741291989643	-0.0254128297154769	-0.1183675890578
812	"NA_[812_543.34_3.2]"	1.72680522025551	-0.0297938985327682	-0.11612694646172
823	"Eerectquione B_[823_523.25_3.1]"	1.71971988086612	-0.0369463601701386	-0.12309888132617
926	"NA_[926_531.35_3.5]"	1.7040553931036	-0.0251009257180308	-0.115786709031989
927	"NA_[927_530.35_3.5]"	1.69841037135131	-0.0253424440634974	-0.115695398418481
818	"NA_[818_337.2_3.1]"	1.66210704049667	-0.0283414051909717	-0.113900045789614
2118	"PC(P-18:1(9Z)/18:1(9Z))_[2118_770.61_7.3]"	1.66127517827679	-0.0475673933408527	0.0826154674035549
909	"NA_[909_543.34_3.4]"	1.6603191566374	-0.0254905441798814	-0.113767811916214
794	"Precorallopyronin A_[794_529.33_3.1]"	1.65660267009476	-0.0280272182934326	-0.112401414754351
724	"NA_[724_147.08_2.8]"	1.65492181753324	-0.0441526926089589	-0.129170501599128
810	"Precorallopyronin A_[810_529.33_3.1]"	1.65455076620491	-0.0279838103071301	-0.112939306342123
816	"NA_[816_530.35_3.2]"	1.65047613008571	-0.0252132134891671	-0.114087951530256
2252	"PC(P-16:0/20:1(11Z))_[2252_794.61_7.6]"	1.63658105646999	-0.0472447230365142	0.0741385438823416
847	"NA_[847_543.34_3.2]"	1.63502480064576	-0.0268748150486884	-0.113466699084579
1022	"Eerectquione B_[1022_502.32_3.7]"	1.61676360680714	-0.0219289220722153	-0.112296784287241
1794	"NA_[1794_716.52_6.5]"	1.60024570918602	-0.053560218069057	-0.0291075552816785
1021	"Eerectquione B_[1021_485.29_3.7]"	1.59519721784592	-0.0213088209376482	-0.111881702536302
965	"Eerectquione B_[965_485.29_3.5]"	1.58650732975839	-0.0217848568787285	-0.111292419102307
894	"Eerectquione B_[894_502.32_3.4]"	1.5862089576141	-0.0230601472814033	-0.111177640178999
807	"NA_[807_507.27_3]"	1.58419027177559	-0.0381477503066791	-0.119403867312622
848	"Precorallopyronin A_[848_529.33_3.2]"	1.58283256151448	-0.0234583714010089	-0.111377828332285
966	"Eerectquione B_[966_502.32_3.6]"	1.58084290199466	-0.0220207622420885	-0.110955357453098
893	"Eerectquione B_[893_485.29_3.4]"	1.57598967752921	-0.0225785733587548	-0.111215427915998
2209	"1-octadecyl-2-[(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl]-sn-glycero-3-phosphocholine_[2209_820.62_7.5]"	1.57469209139539	-0.0177227499507879	0.065321761844876
1892	"NA_[1892_790.57_6.7]"	1.56913471597144	-0.053968511150595	-0.0170178517230837
2270	"NA_[2270_794.61_7.6]"	1.56707135499387	-0.0457132159898724	0.071010897260976
850	"NA_[850_530.35_3.3]"	1.55392866945325	-0.022847708631629	-0.111256070938459
783	"NA_[783_507.27_3]"	1.54389402615224	-0.0380727539299775	-0.117862870166337
819	"Eerectquione B_[819_485.29_3.1]"	1.54116263148056	-0.030837055512471	-0.110329144897599
2069	"PC(12:0/22:1(11Z))_[2069_782.57_7.1]"	1.53242709985738	-0.0636707935438385	-0.00834555694218628
853	"Eerectquione B_[853_485.29_3.3]"	1.52723149375282	-0.0229398377081583	-0.110257055248537
866	"Dibutyl decanedioate_[866_315.25_3.3]"	1.52166646303813	-0.0216317256402397	0.0500314999215328
854	"Eerectquione B_[854_502.32_3.3]"	1.51804935230917	-0.0230075355738487	-0.109650985360995
791	"NA_[791_523.25_3]"	1.51357136145392	-0.0362372520422924	-0.114702443276434
1962	"NA_[1962_767.58_6.9]"	1.50962125889359	-0.0537512768680482	0.0889746923081989
2434	"NA_[2434_787.67_8]"	1.49537138719741	-0.0580279875471653	0.05818037558155
729	"Diapolic acid A_[729_153.09_2.8]"	1.48676853966036	-0.0529636553965691	-0.121091181430284
1983	"1,2-di-O-palmitoyl-sn-glycero-3-phosphocholine_[1983_756.55_6.9]"	1.47187665055663	-0.0608555498000878	-0.00581748644368965
809	"Eerectquione B_[809_502.32_3.1]"	1.44899451797546	-0.0324028578145954	-0.107569815930305
2404	"NA_[2404_814.63_8]"	1.44219740074131	-0.0464695655698061	0.0469978853402595
1973	"PC(P-18:1(9Z)/18:3(6Z,9Z,12Z))_[1973_766.57_6.9]"	1.4293735843469	-0.0529775818624282	0.0852410137831874
634	"NA_[634_483.27_2.5]"	1.42892660958398	-0.0521963907784202	-0.127948167011842
