row ID,row m/z,row retention time,intensity_measure,ion_mobility,ion_mobility_unit,ccs,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20260624_CVOL_Darleen_A549_110626_PET05.mzML Peak area,20260624_CVOL_Darleen_A549_110626_PET100.mzML Peak area,20260624_CVOL_Darleen_A549_110626_PS05.mzML Peak area,20260624_CVOL_Darleen_A549_110626_PS100.mzML Peak area,20260624_CVOL_Darleen_A549_110626_untreated.mzML Peak area,20260624_CVOL_Darleen_A549_180626_PET05.mzML Peak area,20260624_CVOL_Darleen_A549_180626_PET100.mzML Peak area,20260624_CVOL_Darleen_A549_180626_PS05.mzML Peak area,20260624_CVOL_Darleen_A549_180626_PS100.mzML Peak area,20260624_CVOL_Darleen_A549_180626_untreated.mzML Peak area,20260624_CVOL_Darleen_A549_210626_PET05.mzML Peak area,20260624_CVOL_Darleen_A549_210626_PET100.mzML Peak area,20260624_CVOL_Darleen_A549_210626_PS05.mzML Peak area,20260624_CVOL_Darleen_A549_210626_PS100.mzML Peak area,20260624_CVOL_Darleen_A549_210626_untreated.mzML Peak area,20260624_CVOL_Darleen_MDM_160526_PET05.mzML Peak area,20260624_CVOL_Darleen_MDM_160526_PET100.mzML Peak area,20260624_CVOL_Darleen_MDM_160526_PS05.mzML Peak area,20260624_CVOL_Darleen_MDM_160526_PS100.mzML Peak area,20260624_CVOL_Darleen_MDM_160526_untreated.mzML Peak area,20260624_CVOL_Darleen_MDM_A_190626_PET05.mzML Peak area,20260624_CVOL_Darleen_MDM_A_190626_PET100.mzML Peak area,20260624_CVOL_Darleen_MDM_A_190626_PS05.mzML Peak area,20260624_CVOL_Darleen_MDM_A_190626_PS100.mzML Peak area,20260624_CVOL_Darleen_MDM_A_190626_untreated.mzML Peak area,20260624_CVOL_Darleen_MDM_B_120626_PS05.mzML Peak area,20260624_CVOL_Darleen_MDM_B_190626_PET05.mzML Peak area,20260624_CVOL_Darleen_MDM_B_190626_PET100.mzML Peak area,20260624_CVOL_Darleen_MDM_B_190626_PS100_20260626090336.mzML Peak area,20260624_CVOL_Darleen_MDM_B_190626_untreated.mzML Peak area,20260624_CVOL_Darleen_QC_01.mzML Peak area,20260624_CVOL_Darleen_QC_02.mzML Peak area,20260624_CVOL_Darleen_QC_03.mzML Peak area,20260624_CVOL_Darleen_QC_04.mzML Peak area,20260624_CVOL_Darleen_QC_05.mzML Peak area,20260624_CVOL_Darleen_QC_06.mzML Peak area,20260624_CVOL_Darleen_QC_07.mzML Peak area,20260624_CVOL_Darleen_QC_08.mzML Peak area,20260624_CVOL_Darleen_QC_09.mzML Peak area,20260624_CVOL_Darleen_bk.mzML Peak area,20260624_CVOL_Darleen_mock.mzML Peak area,20260624_CVOL_bk_mapp_pre_04.mzML Peak area,Unnamed: 55
2156,566.5491836182883,7.345625,height,,,,,,,,,,,2467770.0,1853272.5,1578513.2,0.0,3215381.8,1780455.0,0.0,2151577.8,3676262.0,2701772.5,1519521.9,1947910.2,4795633.0,4633581.0,1965578.0,0.0,0.0,0.0,0.0,0.0,0.0,1595991.4,1407406.4,1490628.2,1501038.4,0.0,0.0,3664283.5,3832771.2,4392174.5,2370281.0,2472147.2,2327725.5,2344014.0,2273045.2,1954176.4,1885094.2,2164434.5,1935678.0,0.0,0.0,0.0,
2157,758.6059249309802,7.3525867,height,,,,,,,,,,,2921524.2,3541679.2,3678696.0,4181296.8,4580546.5,1790765.9,4316940.0,4877770.0,4495837.5,5067381.5,3344958.0,4261471.5,3928462.5,3480020.5,3738514.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2562717.0,2570251.0,2612800.2,2599038.5,2444046.2,2309902.0,1939543.2,1942798.1,1901486.5,0.0,0.0,0.0,
2158,786.6513577746899,7.3605022,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1479833.5,3272079.8,0.0,1636344.2,1308780.4,0.0,3192625.8,2206309.5,5637959.5,4327439.0,0.0,0.0,1926144.5,2630667.5,0.0,1740826.6,1536451.9,1664495.8,1579453.6,1533594.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2159,748.5856873797676,7.298536,height,,,,,,,,,,,17269832.0,0.0,21042072.0,2234339.5,21473450.0,13205222.0,22578958.0,25375320.0,22865498.0,0.0,18699494.0,27372014.0,23781576.0,22590800.0,20734562.0,9353652.0,20548120.0,6124875.5,8140672.5,8113027.0,0.0,14964049.0,11792284.0,26822544.0,20450198.0,3520353.8,3689667.5,10583611.0,16545207.0,3408328.0,24253240.0,4018769.8,23201520.0,23459242.0,22054800.0,19685694.0,16960134.0,18340230.0,16918690.0,0.0,0.0,0.0,
2160,576.5315009375994,7.3569446,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1535736.0,0.0,2082423.2,5431371.0,1831566.8,0.0,0.0,0.0,0.0,0.0,2201454.0,0.0,0.0,0.0,1473196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3088974.2,4249565.5,0.0,
2161,598.5885139777506,7.363146,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1833110.0,0.0,0.0,0.0,0.0,1505764.1,0.0,1757981.5,4182571.0,1767776.5,0.0,0.0,0.0,0.0,0.0,1898020.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1699529.5,2104447.8,0.0,
2162,554.5510143217479,7.3584175,height,,,,,,,,,,,3399514.8,2465094.5,11665008.0,7028184.5,1294818.0,7964166.0,7418664.5,1627394.5,5586432.0,3894755.2,14829761.0,8208807.5,3926225.5,4476454.0,9468416.0,10215417.0,8655606.0,11914569.0,35540804.0,11588769.0,0.0,0.0,0.0,0.0,0.0,11511371.0,0.0,5860973.0,3404565.0,7055578.5,3661931.5,3545656.8,3563495.8,3380005.8,3482353.8,3357480.2,3565337.8,3802892.8,3855254.5,9027095.0,13024006.0,0.0,
2163,634.5521124285967,7.360607,height,,,,,,,,,,,0.0,1454706.0,1310060.1,2236019.0,1715631.5,0.0,1835474.5,0.0,1161823.9,0.0,0.0,0.0,0.0,0.0,0.0,2045094.4,3649924.5,1592887.2,1972565.6,1560165.5,0.0,2321906.8,2419175.2,1950215.5,2566173.8,2825758.0,1467371.0,2941092.8,0.0,0.0,1802966.9,1751699.8,1654480.6,1861729.4,1715975.5,1711914.2,1673924.8,1488483.5,1544727.6,0.0,2958197.2,0.0,
2164,702.543849034006,7.3592434,height,,,,,,,,,,,24211624.0,26675016.0,27338388.0,32054190.0,37122484.0,15346327.0,27954054.0,40267416.0,35900516.0,36469936.0,29113346.0,32084712.0,32369606.0,31665310.0,27921234.0,3275957.0,7619997.5,2337759.2,4051733.2,2715437.2,0.0,5981542.5,5183586.0,9771659.0,8927016.0,1835108.6,2042761.1,4186377.5,7477729.5,1757870.2,24022472.0,23322608.0,22285386.0,22649442.0,22752780.0,21665012.0,19403886.0,19256922.0,19997856.0,0.0,0.0,0.0,
2165,732.5543068422359,7.359786,height,,,,,,,,,,,4590375.0,5264294.0,5755828.0,6144040.0,6533920.0,3647055.8,5931343.5,7306904.5,7091363.5,6814553.5,5494476.5,7075110.0,6517723.5,6408755.5,6180065.0,0.0,2770625.0,0.0,1552705.4,0.0,0.0,3174692.8,2192419.2,3645394.0,3527735.0,0.0,0.0,1875808.4,2499150.2,0.0,5221602.5,5323061.0,4936549.0,5184033.0,4925983.5,4857297.0,4539772.5,4610030.5,4534197.5,0.0,0.0,0.0,
