"features"	"PC1"	"PC2"	"PC3"
10	0.0226349335318071	-0.0126948172280877	-0.0260769201551126
100	0.00341210912098999	0.0153081074420073	0.0220860272048759
1000	0.00844888553666214	0.0227761315039613	0.0161607986979884
1001	-0.00231717308903334	0.0226129186425173	0.0184592922543872
1002	-0.00832277937568853	0.0195711472550319	-0.0101554458424101
1003	-0.0110530012791049	0.0161270723262109	-0.0132240033646147
1004	-0.0155222116085147	0.0138012843508856	-0.00703221802825029
1005	-0.0132289786883767	0.0140604568836339	0.0138803356415376
1006	-0.0292159087380577	0.00133524522335831	-0.0100393956794634
1007	0.016383575125745	0.00435758641351109	-0.0310191810853625
1008	0.0175657006178304	0.0128356471666993	0.0115007804961144
1009	-0.00796898788553587	-0.0397270133815338	0.00742879110046868
101	0.0164828205293256	0.00990526329721285	0.0192329700749619
1010	0.0259630371815388	0.0222368625001778	-0.001531243441744
1011	-0.00636846640346697	-0.0396951458987279	0.00482534186452959
1012	-0.0108489514997604	-0.038833498857165	0.0056614962929589
1013	-0.0073621815920424	-0.0401493232400748	0.00445953836423132
1014	-0.00531381903902758	-0.0400716573983144	0.00362208669679264
1015	0.0158154485911438	0.012675110214067	0.011929068469003
1016	-0.00669928335584348	-0.0392633112258351	0.00443659753114961
1017	-0.0299096026818327	0.00189441816754053	-0.00698168609870496
1018	0.0297473988875713	0.0244047374708645	-0.0158735950321838
1019	0.016383575125745	0.00435758641351109	-0.0310191810853625
102	0.00640092750729745	0.0142629648542944	0.00992765777517673
1020	-0.00428372404996451	-0.0398807127486184	0.00300401450908694
1021	-0.00370002880109327	-0.040157710510675	0.00264733952974195
1022	-0.00330876570729212	-0.040485784029905	0.00247742180186487
1023	0.016383575125745	0.00435758641351109	-0.0310191810853625
1024	-0.0132110829293905	-0.040520584008519	0.00112637707795374
1025	-0.0285436811797238	0.00191262443635087	-0.0134439678391222
1026	0.030587202693285	0.0163742437624374	-0.0022013484914233
1027	0.0302938007465327	0.0220087983583737	0.00093258459841673
1028	0.0268760264525639	0.0205321902757036	0.00264034653109439
1029	0.0284720172673388	0.0162369632071429	-0.000640553076532712
103	0.0179236526630168	0.00947321690605362	0.0345131997733449
1030	0.0277466932790655	0.0135693817265052	0.0020101862212749
1031	0.0229402670433861	0.0213546365256284	-0.0178344947164002
1033	0.016383575125745	0.00435758641351109	-0.0310191810853625
1034	-0.0283239448942098	0.00260648241741467	-0.0130326379101924
1035	-0.000323933495618666	-0.0438471526274488	0.00224919655821706
1036	0.0270615952338646	0.0209268014837374	0.00501727581936724
1037	-0.00954600961196218	-0.0400367257328231	0.00266577020925908
1038	0.0105608992911577	0.0119452425431442	0.0312721266793089
1039	-0.0212068669841476	0.00658051821269311	0.0110092216081378
104	0.018262848726282	0.0130030198225813	0.0350774726176671
1040	-0.0153986623103479	-0.0414357438321411	0.0024508128518614
1041	-0.00296976155399575	-0.0442798495568969	-0.00280513040549124
1042	-0.0221248039491498	0.0271563533833476	0.0160293410898242
1043	-0.0250100219167849	0.020948530774327	0.0138014827851503
1044	-0.0258027540953926	0.0226564729649693	0.0111355165814441
1045	-0.0214701791099554	0.0245595494191603	0.00962677092272383
1046	-0.00088967377917877	0.0119437365770956	0.0205423311808373
1047	-0.00174256821707729	0.0225477587997044	0.0181910460879622
1048	-0.0136002009941203	0.0182033536295516	0.00179075726210868
1049	0.0142430654305318	0.0277212067590453	0.0241361065398034
105	-0.00701079638378051	-0.00311515184081731	-0.00584795710954098
1050	0.0216026550156562	0.0219736838817907	0.0218920051742902
1051	-0.0131508933450171	0.00833570962769064	-0.00554646241268487
1052	0.0114462273299584	0.0198212997825699	0.0141581850127662
1053	-0.0144724002476709	-0.0435565525293727	0.0102711903814224
1055	0.0269312888651357	0.0180957952134516	0.00836465641748466
1056	0.0248077952327436	0.0120364563723073	0.00255090666788277
1058	-0.0133356519583327	-0.0417085570789201	0.0078704849063201
1059	0.0289078081951279	0.0154667040238065	-0.00121348043624552
106	0.00965960759724947	-0.00479562685401782	0.026197137820359
1060	0.0297870797730202	0.00972270873444973	-0.00402654258952496
