cluster index	parent mass	RTMean	ATTRIBUTE_treatment:GNPSGROUP:nan	ATTRIBUTE_treatment:GNPSGROUP:PET	ATTRIBUTE_treatment:GNPSGROUP:PS	ATTRIBUTE_treatment:GNPSGROUP:Untreated	ATTRIBUTE_concentration_ug_ml:GNPSGROUP:nan	ATTRIBUTE_concentration_ug_ml:GNPSGROUP:0.5	ATTRIBUTE_concentration_ug_ml:GNPSGROUP:100.0	ATTRIBUTE_concentration_ug_ml:GNPSGROUP:0.0	ATTRIBUTE_collection_dates:GNPSGROUP:nan	ATTRIBUTE_collection_dates:GNPSGROUP:110626.0	ATTRIBUTE_collection_dates:GNPSGROUP:180626.0	ATTRIBUTE_collection_dates:GNPSGROUP:210626.0	ATTRIBUTE_collection_dates:GNPSGROUP:160526.0	ATTRIBUTE_collection_dates:GNPSGROUP:190626.0	ATTRIBUTE_collection_dates:GNPSGROUP:120626.0	ATTRIBUTE_cell_type:GNPSGROUP:nan	ATTRIBUTE_cell_type:GNPSGROUP:A549	ATTRIBUTE_cell_type:GNPSGROUP:MDM	ATTRIBUTE_blood_donor:GNPSGROUP:nan	ATTRIBUTE_blood_donor:GNPSGROUP:A	ATTRIBUTE_blood_donor:GNPSGROUP:B	ATTRIBUTE_cell_type_treatment:GNPSGROUP:nan	ATTRIBUTE_cell_type_treatment:GNPSGROUP:A549_PET	ATTRIBUTE_cell_type_treatment:GNPSGROUP:A549_PS	ATTRIBUTE_cell_type_treatment:GNPSGROUP:A549_Untreated	ATTRIBUTE_cell_type_treatment:GNPSGROUP:MDM_PET	ATTRIBUTE_cell_type_treatment:GNPSGROUP:MDM_PS	ATTRIBUTE_cell_type_treatment:GNPSGROUP:MDM_Untreated	ATTRIBUTE_cell_type_treatment_concentration:GNPSGROUP:nan	ATTRIBUTE_cell_type_treatment_concentration:GNPSGROUP:A549_PET_0.5	ATTRIBUTE_cell_type_treatment_concentration:GNPSGROUP:A549_PET_100	ATTRIBUTE_cell_type_treatment_concentration:GNPSGROUP:A549_PS_0.5	ATTRIBUTE_cell_type_treatment_concentration:GNPSGROUP:A549_PS_100	ATTRIBUTE_cell_type_treatment_concentration:GNPSGROUP:A549_Untreated_0	ATTRIBUTE_cell_type_treatment_concentration:GNPSGROUP:MDM_PET_0.5	ATTRIBUTE_cell_type_treatment_concentration:GNPSGROUP:MDM_PET_100	ATTRIBUTE_cell_type_treatment_concentration:GNPSGROUP:MDM_PS_0.5	ATTRIBUTE_cell_type_treatment_concentration:GNPSGROUP:MDM_PS_100	ATTRIBUTE_cell_type_treatment_concentration:GNPSGROUP:MDM_Untreated_0	component	#Scan#	Compound_Name
11	238.1050825930636	0.52957934	0	623283.0499999999	1108972.7583333333	1075820.7	0	483361.875	1248893.933333333	1075820.7	0	474164.36	0.0	2862147.46	1281435.7	461472.9222222223	0.0	0	1112103.94	704028.9866666667	0	830651.26	0.0	0	966723.75	1150082.433333333	1326907.3333333333	279842.35000000003	1067863.0833333333	824734.0666666668	0	1933447.5	0.0	0.0	2300164.8666666667	1326907.3333333333	0.0	559684.7000000001	0.0	2135726.1666666665	824734.0666666668	573		
12	121.03986204584322	0.5273011	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1		
13	139.0502720405685	0.5273011	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	429		
14	256.17547038788973	0.53618443	0	250811.625	225653.35	195705.31666666665	0	113898.78333333333	362566.19166666665	195705.31666666665	0	234846.38	0.0	265023.22000000003	273357.08	336186.4666666667	0.0	0	166623.2	292830.9066666666	0	0.0	605135.64	0	220852.68333333332	0.0	391410.6333333333	280770.56666666665	451306.7	0.0	0	0.0	441705.3666666667	0.0	0.0	391410.6333333333	0.0	561541.1333333333	455595.1333333333	447018.26666666666	0.0	133		
15	233.1859403291793	0.5293649	0	3217976.8833333333	2700540.3833333333	3614795.116666666	0	2382955.466666667	3535561.8000000003	3614795.116666666	0	3728955.26	2853224.32	4176340.06	3156700.76	2357564.7	1916793.6	0	3586173.2133333334	2594558.646666667	0	2294166.1	2332809.08	0	4130704.216666667	2556193.5500000003	4557070.533333333	2305249.5500000003	2844887.216666667	2672519.7	0	4158949.7	4102458.733333333	1347568.8666666667	3764818.233333333	4557070.533333333	1503596.2	3106902.9	2521707.1	3168067.333333333	2672519.7	-1		
16	240.18054065083845	0.5339212	0	845592.4083333333	1174377.9666666666	911992.3166666668	0	1225196.925	794773.4500000001	911992.3166666668	0	707501.3400000001	1513465.16	1064979.6800000002	1271105.1	577041.4333333333	1732969.1	0	1095315.3933333333	885457.8333333334	0	0.0	1385268.4	0	1127330.5333333334	1344684.4833333334	532546.9333333333	563854.2833333333	1004071.45	1291437.7	0	750033.8333333334	1504627.2333333334	2139672.333333333	549696.6333333333	532546.9333333333	563820.1666666666	563888.4	1447261.3666666665	560881.5333333333	1291437.7	773		
17	289.21217282018245	0.5297773	0	1473127.566666667	1606717.433333333	1551106.0833333333	0	1442783.058333333	1637061.941666667	1551106.0833333333	0	2099933.98	1721573.7600000002	1667874.86	1787080.88	829973.3444444444	2412699.0	0	1829794.2	1254524.2333333334	0	511362.14	1465129.6800000002	0	1871039.9166666667	1748040.7166666668	1910809.7333333332	1075215.2166666666	1465394.15	1191402.433333333	0	1585895.1000000003	2156184.7333333334	1473390.5333333332	2022690.9	1910809.7333333332	636902.5333333333	1513527.9	2074944.066666667	855844.2333333334	1191402.433333333	-1		
18	230.1387406896825	0.5341896	0	1881432.3333333333	2080447.3583333332	1956639.683333333	0	1133855.1583333334	2828024.533333333	1956639.683333333	0	2016580.82	1096768.6	4228621.34	2677321.3	860469.3666666667	1441709.8	0	2447323.5866666664	1504836.04	0	983773.54	853413.28	0	2456379.8666666667	2131148.5	3061561.2	1306484.8	2029746.2166666668	851718.1666666666	0	2502022.333333333	2410737.4	487680.4666666666	3774616.533333333	3061561.2	587278.0666666667	2025691.5333333327	958439.7666666666	3101052.6666666665	851718.1666666666	16		
19	218.13898961320453	0.5340806	0	1704612.675	1806794.6083333332	1509046.1666666667	0	913955.4	2597451.8833333333	1509046.1666666667	0	1534358.3	472414.64	3718345.020000001	2548907.12	955245.7555555556	1223827.2	0	1908372.653333333	1504371.64	0	1211525.7	752682.1	0	2177172.216666667	1499941.75	2187635.333333333	1232053.1333333335	2113647.466666667	830457.0	0	2280472.0	2073872.4333333336	0.0	2999883.5	2187635.333333333	548739.0666666667	1915367.2	826610.5333333332	3400684.4	830457.0	21		
20	174.1125303653874	0.5346965	0	2165917.625	2308222.625	2149851.45	0	1183305.5	3290834.75	2149851.45	0	1629818.84	545682.6	5914882.2	3280043.4	1081850.7222222222	0.0	0	2696794.546666667	1742458.2333333334	0	1448823.9	498507.4	0	3027836.25	2265903.9166666665	2896492.4	1303999.0	2350541.333333333	1403210.5	0	4242290.333333333	1813382.1666666667	0.0	4531807.833333333	2896492.4	490931.6666666667	2117066.333333333	0.0	4701082.666666667	1403210.5	16	20.0	SUBERIC ACID
