#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance	ParentMassDiff	SpecMZ	ExactMass	LibrarySpectrumID
836	spectra_filtered.mgf	*..*		:10702	11148	-1	0	415.212	1	0.99089	0	0	4896590.0	3026490.0	1-({[2-(2-furylmethyl)-5-methylpyrrolidinyl]amino}methylene)-7-[8-({[2-(2-fury lmethyl)pyrrolidinyl]amino}methylene)-1,6-dihydroxy-3-methyl-5-(methylethyl)-7 -oxo(2-naphthyl)]-3,8-dihydroxy-6-methyl-4-(methylethyl)naphthalen-2-one CollisionEnergy:102040 M+2H]	BERKELEY-LAB	temp/spectra_filtered.mgf836	-1	BERKELEY-LAB.mgf	1.02898				8	0	0.000427246	415.212	0	CCMSLIB00010113136
451	spectra_filtered.mgf	*..*		:10702	11148	-1	0	415.212	1	0.989903	0	0	4896590.0	15999400.0	1-({[2-(2-furylmethyl)-5-methylpyrrolidinyl]amino}methylene)-7-[8-({[2-(2-fury lmethyl)pyrrolidinyl]amino}methylene)-1,6-dihydroxy-3-methyl-5-(methylethyl)-7 -oxo(2-naphthyl)]-3,8-dihydroxy-6-methyl-4-(methylethyl)naphthalen-2-one CollisionEnergy:102040 M+2H]	BERKELEY-LAB	temp/spectra_filtered.mgf451	-1	BERKELEY-LAB.mgf	0.808487				7	0	0.000335693	415.212	0	CCMSLIB00010113136
1465	spectra_filtered.mgf	*..*		:1145	50386	-1	0	184.074	1	0.989333	0	0	99.2	1257560.0	PHOSPHOCHOLINE M	MONA	temp/spectra_filtered.mgf1465	-1	MONA.mgf	3.39869				6	0	0.00062561	184.073	0	CCMSLIB00006679415
6	spectra_filtered.mgf	*..*		:26	260	-1	0	138.055	1	0.987121	0	0	1625920.0	836319.0	TRIGONELLINE M+H	GNPS-MSMLS	temp/spectra_filtered.mgf6	-1	GNPS-MSMLS.mgf	0.331581				6	0	4.57764e-05	138.055	0	CCMSLIB00005464011
754	spectra_filtered.mgf	*..*		:10702	11148	-1	0	415.212	1	0.986357	0	0	4896590.0	3033260.0	1-({[2-(2-furylmethyl)-5-methylpyrrolidinyl]amino}methylene)-7-[8-({[2-(2-fury lmethyl)pyrrolidinyl]amino}methylene)-1,6-dihydroxy-3-methyl-5-(methylethyl)-7 -oxo(2-naphthyl)]-3,8-dihydroxy-6-methyl-4-(methylethyl)naphthalen-2-one CollisionEnergy:102040 M+2H]	BERKELEY-LAB	temp/spectra_filtered.mgf754	-1	BERKELEY-LAB.mgf	1.46998				9	0	0.000610352	415.211	0	CCMSLIB00010113136
1471	spectra_filtered.mgf	*..*		:10702	11148	-1	0	415.212	1	0.984839	0	0	4896590.0	4455550.0	1-({[2-(2-furylmethyl)-5-methylpyrrolidinyl]amino}methylene)-7-[8-({[2-(2-fury lmethyl)pyrrolidinyl]amino}methylene)-1,6-dihydroxy-3-methyl-5-(methylethyl)-7 -oxo(2-naphthyl)]-3,8-dihydroxy-6-methyl-4-(methylethyl)naphthalen-2-one CollisionEnergy:102040 M+2H]	BERKELEY-LAB	temp/spectra_filtered.mgf1471	-1	BERKELEY-LAB.mgf	1.02898				7	0	0.000427246	415.212	0	CCMSLIB00010113136
1006	spectra_filtered.mgf	*..*		:10702	11148	-1	0	415.212	1	0.98381	0	0	4896590.0	2770530.0	1-({[2-(2-furylmethyl)-5-methylpyrrolidinyl]amino}methylene)-7-[8-({[2-(2-fury lmethyl)pyrrolidinyl]amino}methylene)-1,6-dihydroxy-3-methyl-5-(methylethyl)-7 -oxo(2-naphthyl)]-3,8-dihydroxy-6-methyl-4-(methylethyl)naphthalen-2-one CollisionEnergy:102040 M+2H]	BERKELEY-LAB	temp/spectra_filtered.mgf1006	-1	BERKELEY-LAB.mgf	1.02898				7	0	0.000427246	415.212	0	CCMSLIB00010113136
1867	spectra_filtered.mgf	*..*		:2483	2100	-1	0	732.553	1	0.983768	0	0	127845000.0	8062910.0	Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf1867	-1	GNPS-NIST14-MATCHES.mgf	1456.16				8	0	1.06671	733.62	0	CCMSLIB00003136587
1575	spectra_filtered.mgf	*..*		:755	1201	-1	0	731.606	1	0.983279	0	0	33576000.0	9973370.0	Sphingomyelin (d18:1/18:0) CollisionEnergy:102040 M	BERKELEY-LAB	temp/spectra_filtered.mgf1575	-1	BERKELEY-LAB.mgf	1458.96				8	0	1.06738	730.539	0	CCMSLIB00010103189
1288	spectra_filtered.mgf	*..*		:10702	11148	-1	0	415.212	1	0.983167	0	0	4896590.0	3479610.0	1-({[2-(2-furylmethyl)-5-methylpyrrolidinyl]amino}methylene)-7-[8-({[2-(2-fury lmethyl)pyrrolidinyl]amino}methylene)-1,6-dihydroxy-3-methyl-5-(methylethyl)-7 -oxo(2-naphthyl)]-3,8-dihydroxy-6-methyl-4-(methylethyl)naphthalen-2-one CollisionEnergy:102040 M+2H]	BERKELEY-LAB	temp/spectra_filtered.mgf1288	-1	BERKELEY-LAB.mgf	1.02898				7	0	0.000427246	415.212	0	CCMSLIB00010113136
1510	spectra_filtered.mgf	*..*		:10702	11148	-1	0	415.212	1	0.982857	0	0	4896590.0	5136510.0	1-({[2-(2-furylmethyl)-5-methylpyrrolidinyl]amino}methylene)-7-[8-({[2-(2-fury lmethyl)pyrrolidinyl]amino}methylene)-1,6-dihydroxy-3-methyl-5-(methylethyl)-7 -oxo(2-naphthyl)]-3,8-dihydroxy-6-methyl-4-(methylethyl)naphthalen-2-one CollisionEnergy:102040 M+2H]	BERKELEY-LAB	temp/spectra_filtered.mgf1510	-1	BERKELEY-LAB.mgf	1.10248				7	0	0.000457764	415.212	0	CCMSLIB00010113136
