"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"1012_530.35_3.7",1012,530.347871521916,3.7113104,"C31H44O6"
"1016_543.34_3.7",1016,543.34304998433,3.7116256,"C31H46N2O6"
"1021_485.29_3.7",1021,485.290171292058,3.7356741,"C29H40O6"
"1022_502.32_3.7",1022,502.31677152841,3.734649,"C29H40O6"
"1036_418.33_3.8",1036,418.32924564356,3.8235497,"C24H45NO3"
"1144_458.45_4.2",1144,458.446557256657,4.1767826,NA
"1147_456.44_4.2",1147,456.441427609226,4.17706,"C28H54O3"
"115_290.27_0.7",115,290.268898997332,0.671533,"C16H32O3"
"117_202.22_0.7",117,202.216536836585,0.67278785,"C12H24O"
"1224_396.38_4.5",1224,396.3835934544,4.473599,"C25H46O2"
"124_260.26_0.7",124,260.258401012825,0.70469195,"C15H33NO2"
"1270_558.44_4.6",1270,558.43682384509,4.6021194,"C31H56O7"
"1282_675.54_4.7",1282,675.543874862313,4.6662803,"C44H67NO3"
"1303_482.43_4.7",1303,482.43211148427,4.740994,NA
"1320_482.43_4.9",1320,482.432120168194,4.871314,NA
"1335_701.56_4.9",1335,701.55958905021,4.9015775,"C39H79N2O7P"
"1358_502.34_5",1358,502.343970411795,5.0344105,"C25H54NO4P"
"1374_689.56_5.1",1374,689.559472263953,5.108895,"C45H69NO3"
"1379_486.48_5.1",1379,486.477315811685,5.1460695,"C32H59N3"
"1381_485.47_5.1",1381,485.474355426264,5.147683,NA
"1382_484.47_5.1",1382,484.473234441081,5.1473503,"C30H58O3"
"139_344.24_0.8",139,344.243075483767,0.7785253,"C18H30O5"
"1393_496.45_5.2",1393,496.447171797162,5.184817,NA
"1465_184.07_5.5",1465,184.073381603809,5.4985294,"C7H15NO2"
"1466_704.58_5.5",1466,704.577699181409,5.4984517,"C38H74N2O8"
"1469_725.56_5.5",1469,725.556714473563,5.4988246,"C39H79N2O6P"
"1470_703.58_5.5",1470,703.575899549564,5.5000415,"C39H81N2O7P"
"1490_498.49_5.6",1490,498.488349415679,5.607508,"C31H63NO3"
"1541_706.59_5.8",1541,706.593955681172,5.789245,"C41H81NO6"
"1542_705.59_5.8",1542,705.590536794749,5.789677,NA
"1550_366.37_5.8",1550,366.37305284296,5.767747,"C24H49NO2"
"157_344.24_0.8",157,344.243068255467,0.78885067,"C18H30O5"
"1575_730.54_5.9",1575,730.538652841058,5.9136157,"C40H76NO8P"
"1579_556.53_5.9",1579,556.53009683654,5.933079,"C34H66O4"
"159_318.3_0.8",159,318.29995329765,0.79346377,"C18H39NO3"
"1599_770.64_6",1599,770.638732924336,6.0148635,"C45H85N3O5"
"160_282.21_0.8",160,282.206169319444,0.7953744,"C16H24O3"
"1601_806.71_6",1601,806.709582288187,6.015578,"C47H88N4O5"
"1602_748.66_6",1602,748.656677116673,6.01538,"C45H82N2O5"
"161_264.2_0.8",161,264.195798742193,0.8071135,"C16H22O2"
"1615_780.55_6.1",1615,780.554000629554,6.094099,"C44H78NO8P"
"162_319.3_0.8",162,319.30335257066,0.79271173,NA
"1621_887.56_6.1",1621,887.564644629879,6.1054053,"C55H76N4O7"
"1622_904.59_6.1",1622,904.590956922058,6.105131,"C47H83N3O12"
"1623_627.53_6.1",1623,627.534681843621,6.106268,"C41H72O5"
"1624_513.51_6.1",1624,513.505444413214,6.1114473,"C36H64O"
"1627_515.51_6.1",1627,515.511149059629,6.1108403,NA
"1628_514.51_6.1",1628,514.508370265597,6.111813,NA
"1629_512.5_6.1",1629,512.504600063826,6.1127415,"C32H65NO3"
"1634_718.54_6.1",1634,718.538317039962,6.1230035,"C39H76NO8P"
"1635_806.71_6.1",1635,806.709288512953,6.0890293,"C47H91N5O5"
"1639_435.39_6.1",1639,435.394115394524,6.128814,"C27H47NO2"
"1641_700.57_6.1",1641,700.572696834861,6.1288466,"C40H77NO8"
"1642_748.66_6.1",1642,748.656479244722,6.1290083,"C45H82N2O5"
"1643_534.49_6.1",1643,534.486890904099,6.129947,"C32H65NO3"
"1646_722.55_6.1",1646,722.554215825063,6.1322184,"C40H77NO8"
