feature_id	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final
283	17							1.0	0.26535836	ISDB									XQQARSOXXGMYHZ							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	1.0614334344863892	1
281	-1							1.0	0.71088636	ISDB									ITDCWBRGZUMNOD							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	2.843545436859131	1
270	-1							1.0	0.6344456	ISDB	http://www.wikidata.org/entity/Q105225453	QPLGXXNSCABWOF-RGKXCGFSSA-N	InChI=1S/C30H40O2/c1-18-11-14-28(6,23-15-21(4)29(25(31)17-23)12-7-9-19(29)2)26-24(18)16-22(5)30(27(26)32)13-8-10-20(30)3/h15-17,19-20,26H,7-14H2,1-6H3/t19-,20-,26-,28-,29+,30+/m1/s1	CC1=CC([C@@]2(C)CCC(C)=C3C=C(C)[C@@]4(CCC[C@H]4C)C(=O)[C@@H]32)=CC(=O)[C@]12CCC[C@H]2C	C30H40O2		432.30283052	(2S,2'R,8S,8aR)-8-[(4R,5S)-4,6-dimethyl-10-oxospiro[4.5]deca-6,8-dien-8-yl]-2',3,5,8-tetramethylspiro[7,8a-dihydro-6H-naphthalene-2,1'-cyclopentane]-1-one	QPLGXXNSCABWOF	Terpenoids	Diterpenoids	Trinervitane diterpenoids	http://www.wikidata.org/entity/Q2360058	Cineraria	353345.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asterales']	['Asteraceae']	['Senecioneae']	['Cineraria']	['Unknown']											0	0	2.5377824306488037	1
258	7	Fatty acids	0.6285714285714286	Fatty amides	0.42857142857142855	Primary amides	0.37142857142857144	1.0	0.8037233	ISDB	http://www.wikidata.org/entity/Q27231146	UAUDZVJPLUQNMU-KTKRTIGZSA-N	InChI=1S/C22H43NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h9-10H,2-8,11-21H2,1H3,(H2,23,24)/b10-9-	CCCCCCCC/C=C\CCCCCCCCCCCC(N)=O	C22H43NO		337.334464996	Erucamide	UAUDZVJPLUQNMU	Fatty acids	Fatty amides	Primary amides	http://www.wikidata.org/entity/Q309852	Euglena gracilis	1073327.0	['Eukaryota']	['Unknown']	['Euglenida']	['Euglenophyceae']	['Unknown']	['Euglenaceae']	['Unknown']	['Euglena']	['Euglena gracilis']		['Eukaryota']									1	3	5.714893102645874	1
250	-1							1.0	0.43541306	ISDB									QHOIQOLIYVGNEJ							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	1.741652250289917	1
244	-1							2.0	0.24290925	ISDB	http://www.wikidata.org/entity/Q105176174	NACRYBSGHPQZTL-UVYZFVDISA-N	InChI=1S/C28H40O3/c1-17(2)7-8-18(3)23-11-12-24-22-10-9-20-15-21(30)13-14-27(20,5)25(22)16-26(28(23,24)6)31-19(4)29/h7-8,13-15,17-18,22-26H,9-12,16H2,1-6H3/b8-7+/t18-,22-,23+,24-,25-,26+,27-,28+/m0/s1	CC(=O)O[C@@H]1C[C@H]2[C@@H](CCC3=CC(=O)C=C[C@@]32C)[C@@H]2CC[C@H]([C@@H](C)/C=C/C(C)C)[C@@]12C	C28H40O3		424.29774514	[(8R,9S,10R,12R,13R,14S,17R)-10,13-dimethyl-17-[(E,2S)-5-methylhex-3-en-2-yl]-3-oxo-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-12-yl] acetate	NACRYBSGHPQZTL	Terpenoids	Steroids	Cholestane steroids	http://www.wikidata.org/entity/Q2006197	Gersemia rubiformis	463880.0	['Eukaryota']	['Metazoa']	['Cnidaria']	['Anthozoa']	['Alcyonacea']	['Nephtheidae']	['Unknown']	['Gersemia']	['Gersemia rubiformis']		['Eukaryota']	['Metazoa']								2	0	2.971637010574341	1
239	7	Fatty acids	0.6285714285714286	Fatty amides	0.42857142857142855	Primary amides	0.37142857142857144	1.0	0.8065552	ISDB	http://www.wikidata.org/entity/Q105149280	LBHQTVBKPMHICN-MDZDMXLPSA-N	InChI=1S/C20H39NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h9-10H,2-8,11-19H2,1H3,(H2,21,22)/b10-9+	CCCCCCCC/C=C/CCCCCCCCCC(N)=O	C20H39NO		309.303164868	trans-11-Icosenamide	LBHQTVBKPMHICN	Fatty acids	Fatty amides	Primary amides	http://www.wikidata.org/entity/Q1144013	Streptomyces	772892.0	['Bacteria']	['Unknown']	['Actinobacteria']	['Unknown']	['Streptomycetales']	['Streptomycetaceae']	['Unknown']	['Streptomyces']	['Unknown']											0	3	4.7262208461761475	1
235	7	Fatty acids	0.6285714285714286	Fatty amides	0.42857142857142855	Primary amides	0.37142857142857144	1.0	0.6727194	ISDB									XCADPUVJDQXSTQ							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	2.690877676010132	1
230	3	Terpenoids	1.0	Diterpenoids	1.0	Serrulatane and Biflorane diterpenoids	0.6666666666666666	1.0	0.48859543	ISDB	http://www.wikidata.org/entity/Q105385481	ZXEVPUOHSXARBR-VIPLHTEESA-N	InChI=1S/C20H28O2/c1-12-14-10-13-6-7-17-19(2,3)8-5-9-20(17,4)15(13)11-16(14)22-18(12)21/h10,15-17H,5-9,11H2,1-4H3/t15-,16-,17-,20+/m1/s1	CC1=C2C=C3CC[C@@H]4C(C)(C)CCC[C@@]4(C)[C@@H]3C[C@H]2OC1=O	C20H28O2		300.208930136	Jolkinolide E	ZXEVPUOHSXARBR	Terpenoids	Diterpenoids	Cycloabietane diterpenoids	http://www.wikidata.org/entity/Q5851852	Euphorbia plumerioides	1009375.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']	['Euphorbiaceae']	['Euphorbieae']	['Euphorbia']	['Euphorbia plumerioides']											0	2	2.9543817043304443	1
226	7	Fatty acids	0.6285714285714286	Fatty amides	0.42857142857142855	Primary amides	0.37142857142857144	1.0	0.64773184	ISDB	http://www.wikidata.org/entity/Q27155104	AMLDBWWQKYLAHJ-UHFFFAOYSA-N	InChI=1S/C17H35NO/c1-16(2)14-12-10-8-6-4-5-7-9-11-13-15-18-17(3)19/h16H,4-15H2,1-3H3,(H,18,19)	CC(=O)NCCCCCCCCCCCCC(C)C	C17H35NO		269.27186474	N-(13-Methyltetradecyl)acetamide	AMLDBWWQKYLAHJ	Fatty acids	Fatty amides	N-acyl amines	http://www.wikidata.org/entity/Q1380	Capsicum annuum	473836.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Capsiceae']	['Capsicum']	['Capsicum annuum']		['Eukaryota']									1	2	4.590927362442017	1
