cluster index	parent mass	RTMean	ATTRIBUTE_treatment:GNPSGROUP:nan	ATTRIBUTE_treatment:GNPSGROUP:mock	ATTRIBUTE_treatment:GNPSGROUP:untreated	ATTRIBUTE_treatment:GNPSGROUP:PET	ATTRIBUTE_phase:GNPSGROUP:inf_1	ATTRIBUTE_phase:GNPSGROUP:inf_2	ATTRIBUTE_phase:GNPSGROUP:nan	ATTRIBUTE_sample_name:GNPSGROUP:blank_inf_1	ATTRIBUTE_sample_name:GNPSGROUP:blank_inf_2	ATTRIBUTE_sample_name:GNPSGROUP:mock_inf_1	ATTRIBUTE_sample_name:GNPSGROUP:mock_inf_2	ATTRIBUTE_sample_name:GNPSGROUP:untreated_inf_1	ATTRIBUTE_sample_name:GNPSGROUP:untreated_inf_2	ATTRIBUTE_sample_name:GNPSGROUP:PET_inf_1	ATTRIBUTE_sample_name:GNPSGROUP:PET_inf_2	ATTRIBUTE_sample_name:GNPSGROUP:bk_mapp	component	#Scan#	Compound_Name
327	340.2959624698872	1.4023169	0	15577540.6	15956407.25	0	26852101.33333333	2757105.9	0	25759726.0	0.0	29114322.0	2040759.2	25682256.0	6230558.5	0	0	0.0	-1		
328	325.2008492654555	1.4017663	0	640885.95	611931.025	0	161557.41666666666	984674.9833333334	0	0.0	933063.25	0.0	1281771.9	484672.25	739189.8	0	0	0.0	-1		
329	341.3003512727824	1.4085723	0	2615087.28	2522029.0	0	4502610.666666667	502977.52	0	4742532.0	0.0	4858641.0	371533.56	3906659.0	1137399.0	0	0	0.0	113		
330	370.25883495742937	1.4097974	0	216098.5	0.0	0	0.0	144065.66666666666	0	0.0	0.0	0.0	432197.0	0.0	0.0	0	0	0.0	-1		
331	266.2480229260997	1.4125915	0	3209836.75	2532772.5	0	4786512.666666667	0.0	0	2874319.5	0.0	6419673.5	0.0	5065545.0	0.0	0	0	0.0	64	331.0	Spectral Match to cis,cis-9,12-Octadecadien-1-ol from NIST14
332	341.316175093415	1.4126025	0	36870021.25	44462463.0	0	63043958.66666666	3747050.8333333335	0	37708060.0	0.0	71326000.0	2414042.5	80097816.0	8827110.0	0	0	0.0	113		
333	430.2589509347697	1.4249287	0	0.0	270679.625	0	180453.0833333333	0.0	0	0.0	0.0	0.0	0.0	541359.25	0.0	0	0	0.0	364		
334	342.3200567916724	1.4099253	0	7823064.25	9525046.1	0	13601071.333333334	774887.5666666668	0	8431656.0	0.0	15115616.0	530512.5	17255942.0	1794150.2	0	0	0.0	113		
335	251.12815299510785	1.4305496	0	554857.9	732663.3	0	1259233.8333333333	0.0	0	1202659.1	0.0	1109715.8	0.0	1465326.6	0.0	0	0	0.0	44		
336	261.2215295391918	1.4332002	0	6131342.5	4920445.0	0	8858747.5	0.0	0	4472667.5	0.0	12262685.0	0.0	9840890.0	0.0	0	0	0.0	10	336.0	NCGC00381425-01!8-hydroxy-8-(3-octyloxiran-2-yl)octanoic acid [IIN-based on: CCMSLIB00000846585]
337	355.3317573673097	1.428252	0	1905815.5	1724370.125	0	3371704.1	119993.58333333331	0	3214721.8	0.0	3811631.0	0.0	3088759.5	359980.75	0	0	0.0	249		
338	224.1647135155773	1.4431348	0	3289427.25	1991778.4	0	3520803.766666667	0.0	0	0.0	0.0	6578854.5	0.0	3983556.8	0.0	0	0	0.0	32		
339	226.21665190130705	1.4570824	0	2301179.5	3533834.0	0	6203267.5	0.0	0	6939775.5	0.0	4602359.0	0.0	7067668.0	0.0	0	0	0.0	15	339.0	Spectral Match to Myristoleic acid from NIST14
340	233.22654858798057	1.4570824	0	5052443.0	2828205.5	0	6155451.333333333	0.0	0	2705057.0	0.0	10104886.0	0.0	5656411.0	0.0	0	0	0.0	10		
341	364.2459355665531	1.4653817	0	2425244.5	1802454.0	0	2818465.6666666665	0.0	0	0.0	0.0	4850489.0	0.0	3604908.0	0.0	0	0	0.0	-1		
342	387.3217356866696	1.4654416	0	1374269.4	1711387.0	0	2057104.2666666664	0.0	0	0.0	0.0	2748538.8	0.0	3422774.0	0.0	0	0	0.0	-1		
343	306.2789498831038	1.4696771	0	483295.3	760633.95	0	1308703.0333333334	0.0	0	1438250.6	0.0	966590.6	0.0	1521267.9	0.0	0	0	0.0	10	343.0	Spectral Match to 9Z,11E,13E-Octadecatrienoic acid ethyl ester from NIST14
344	322.2725136255343	1.5133674	0	1362815.5	1491825.75	0	2675767.6666666665	119889.76666666666	0	2677689.8	0.0	2725631.0	0.0	2623982.2	359669.3	0	0	0.0	-1		
345	345.34752305742705	1.4795114	0	513201.72	1002762.4	0	1403342.08	0.0	0	1178098.0	0.0	1026403.44	0.0	2005524.8	0.0	0	0	0.0	15		
346	283.28256507956183	1.4816873	0	2476845.5	2453579.5	0	4350216.266666667	0.0	0	3189798.8	0.0	4953691.0	0.0	4907159.0	0.0	0	0	0.0	-1	346.0	Spectral Match to 9-Octadecenamide, (Z)- from NIST14
347	292.2275996759589	1.4998529	0	11762176.0	5564479.5	0	12120609.666666666	0.0	0	1708518.0	0.0	23524352.0	0.0	11128959.0	0.0	0	0	0.0	11		
348	169.12244153953378	1.5237114	0	2301152.25	1799674.25	0	3230630.6	0.0	0	1490238.8	0.0	4602304.5	0.0	3599348.5	0.0	0	0	0.0	210		
349	453.3689726061439	1.5255489	0	2075719.9	924080.3	0	2221417.6133333333	0.0	0	664652.44	0.0	4151439.8	0.0	1848160.6	0.0	0	0	0.0	226		
350	475.3509409592482	1.523272	0	3515439.5	1574519.4	0	3825745.6	0.0	0	1297319.0	0.0	7030879.0	0.0	3149038.8	0.0	0	0	0.0	169		
351	402.3577253370108	1.54975	0	347759.0	464949.85	0	309966.56666666665	231839.3333333333	0	0.0	0.0	0.0	695518.0	929899.7	0.0	0	0	0.0	243	351.0	eudesmin
352	334.2506512029885	1.5594416	0	2810869.25	1314712.5	0	2853224.51	0.0	0	308510.03	0.0	5621738.5	0.0	2629425.0	0.0	0	0	0.0	15		
353	460.2694736637832	1.5429798	0	1886455.25	2796927.25	0	3122255.0	0.0	0	0.0	0.0	3772910.5	0.0	5593854.5	0.0	0	0	0.0	39	353.0	spermidine-C20:1
354	276.23258773594046	1.5675335	0	780735.8	795767.1	0	1421910.6	0.0	0	1112726.0	0.0	1561471.6	0.0	1591534.2	0.0	0	0	0.0	-1	354.0	Spectral Match to 9-OxoOTrE from NIST14
355	497.3949233020836	1.5675335	0	3762527.5	4434279.5	0	6808443.333333333	0.0	0	4031716.0	0.0	7525055.0	0.0	8868559.0	0.0	0	0	0.0	-1		
356	519.3773914708095	1.5675335	0	2196009.0	2938947.25	0	4499921.899999999	0.0	0	3229853.2	0.0	4392018.0	0.0	5877894.5	0.0	0	0	0.0	14		
357	295.2106919268135	1.6077895	0	1303972.4	1730539.75	0	2471819.3666666667	0.0	0	1346433.8	0.0	2607944.8	0.0	3461079.5	0.0	0	0	0.0	77		
358	322.23751124840976	1.6059453	0	1839475.5	3520075.94	0	3964091.533333333	173212.62666666668	0	1692809.6	0.0	3678951.0	0.0	6520514.0	519637.88	0	0	0.0	231	358.0	Spectral Match to 15-OxoEDE from NIST14
359	232.2061467200301	1.6077635	0	1242444.0	1226799.5	0	2312833.333333333	0.0	0	2000013.0	0.0	2484888.0	0.0	2453599.0	0.0	0	0	0.0	-1		
360	294.2070135067455	1.6077712	0	7398153.5	9982134.75	0	13709940.5	194189.8333333333	0	6951814.5	0.0	14796307.0	0.0	19381700.0	582569.5	0	0	0.0	77		
361	277.180274269239	1.6084375	0	865307.9	1087316.9	0	1596507.95	0.0	0	884274.25	0.0	1730615.8	0.0	2174633.8	0.0	0	0	0.0	77		
362	203.1068391975685	1.6107124	0	906224.75	1033911.95	0	1593847.066666667	0.0	0	901267.8	0.0	1812449.5	0.0	2067823.9	0.0	0	0	0.0	-1		
363	221.11738635696705	1.6096601	0	5388887.5	6495160.95	0	9668015.5	149235.30000000002	0	5683655.5	0.0	10777775.0	0.0	12542616.0	447705.9	0	0	0.0	77	363.0	alminoprofen
364	184.1697510239593	1.6250316	0	2903515.0	2029198.6	0	4115737.0666666655	0.0	0	2481784.0	0.0	5807030.0	0.0	4058397.2	0.0	0	0	0.0	15		
365	310.27395837074914	1.634681	0	3634966.25	2044613.1	0	4393593.733333333	0.0	0	1821622.5	0.0	7269932.5	0.0	4089226.2	0.0	0	0	0.0	10		
366	253.2527566133199	1.6506778	0	2965543.5	2499026.75	0	4663534.566666666	0.0	0	3061463.2	0.0	5931087.0	0.0	4998053.5	0.0	0	0	0.0	407		
367	299.2584047684011	1.6512268	0	3265106.75	3256647.25	0	5561751.266666667	0.0	0	3641745.8	0.0	6530213.5	0.0	6513294.5	0.0	0	0	0.0	15		
368	321.25930033223227	1.6641332	0	12052987.55	10099243.7	0	19127878.666666668	783991.5	0	15431148.0	0.0	23522918.0	583057.1	18429570.0	1768917.4	0	0	0.0	-1		
