CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
647	920	1	0.799	-180.151
1745	1809	1	0.8309	-28.057
920	1745	1	0.7586	86.976
1745	1763	1	0.8161	29.010
282	1140	3	0.9513	-282.256
629	1140	3	0.9757	-49.256
863	1140	3	0.9759	23.927
1077	1140	3	0.9665	72.912
1140	1229	3	0.9773	63.185
1140	1265	3	0.9688	-150.907
1140	1339	3	0.9727	2.016
1140	1377	3	0.9769	26.016
1140	1537	3	0.9657	-5.909
1140	1768	3	0.9627	74.000
231	603	3	0.9305	-52.210
603	1632	3	0.9356	-39.109
764	1476	3	0.9297	-94.115
780	1476	3	0.9368	-80.136
972	1476	3	0.9396	-31.196
1222	1476	3	0.9491	18.011
1367	1476	3	0.9327	50.000
1401	1476	3	0.9452	-2.016
764	1367	3	0.9259	-144.115
1367	1401	3	0.9475	52.016
1367	1680	3	0.9268	47.985
691	1642	3	0.9358	-138.214
888	1642	3	0.9356	69.896
972	1642	3	0.9406	-61.243
1339	1642	3	0.9443	43.953
1348	1642	3	0.933	-12.036
1606	1642	3	0.9377	-14.016
728	1372	3	0.9481	-124.162
728	1451	3	0.9456	-197.028
282	1222	3	0.9508	-224.251
863	1222	3	0.9641	81.933
934	1222	3	0.9475	29.974
1131	1222	3	0.9638	-2.016
1222	1303	3	0.9481	2.016
1222	1451	3	0.9669	-84.867
1222	1594	3	0.9498	-10.021
1222	1622	3	0.961	13.979
1222	1768	3	0.9635	15.995
629	1339	3	0.9648	-47.240
713	1339	3	0.9429	49.016
863	1339	3	0.9643	25.943
1229	1339	3	0.9702	-61.170
1249	1339	3	0.9441	-58.005
1339	1377	3	0.97	24.000
1339	1537	3	0.963	-7.924
1339	1768	3	0.9578	71.985
543	744	3	0.9452	74.927
543	1300	3	0.9304	37.894
774	1096	3	0.9374	31.989
431	629	3	0.9551	-201.011
431	691	3	0.9462	-66.083
431	1077	3	0.9464	-323.178
431	1265	3	0.9468	-401.173
431	1348	3	0.9536	-192.261
431	1537	3	0.9464	-256.175
431	1594	3	0.9468	-202.282
431	1622	3	0.9461	-178.282
823	1088	3	0.9313	39.011
823	1348	3	0.9282	71.001
1282	1851	3	0.9396	-220.686
737	1210	3	0.9302	-52.068
1210	1239	3	0.926	-130.990
691	934	3	0.9408	-156.152
934	1067	3	0.9347	65.165
934	1258	3	0.9331	-2.052
934	1451	3	0.9459	-54.892
163	1077	3	0.953	-341.189
716	1077	3	0.9395	21.948
888	1077	3	0.9464	-48.984
1010	1077	3	0.9337	-164.129
1077	1111	3	0.9636	116.938
1077	1265	3	0.9546	-77.995
1077	1303	3	0.9439	132.933
1077	1380	3	0.9511	118.917
669	691	3	0.934	261.089
691	764	3	0.9393	-14.052
691	780	3	0.9534	-28.031
691	972	3	0.9457	-76.971
691	1199	3	0.9585	-142.172
737	1614	3	0.9263	-6.099
282	1622	3	0.9517	-210.271
629	1622	3	0.9531	22.729
863	1622	3	0.9574	95.912
1377	1622	3	0.9618	45.969
1537	1622	3	0.9504	77.893
1594	1622	3	0.9435	24.000
