CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
1	5	-0.074	0.000	0.9284	0.6842	1
3	299	47.800	0.000	0.8055	0.7755	1
6	431	-91.158	0.000	0.8065	0.4736	1
6	665	-368.399	0.000	0.7781	0.3824	1
6	918	-297.398	0.000	0.7990	0.4401	1
7	20	-0.043	0.000	0.8086	0.6781	1
15	351	-198.235	0.000	0.7638	0.4178	1
17	64	17.027	0.000	0.7966	0.7314	1
17	66	-0.984	0.000	0.8835	0.8553	1
17	153	17.027	0.000	0.7833	0.7314	1
21	34	-28.031	0.000	0.7901	0.7415	1
21	44	-26.015	0.000	0.8099	0.6994	1
21	45	13.979	0.000	0.7728	0.6851	1
21	60	15.995	0.000	0.8121	0.7213	1
21	61	-14.016	0.000	0.8389	0.7464	1
21	63	3.995	0.000	0.7986	0.7721	1
21	66	27.995	0.000	0.8457	0.7663	1
21	69	1.979	0.000	0.7139	0.6359	1
21	85	-10.020	0.000	0.7707	0.6850	1
21	423	46.006	0.000	0.7183	0.5860	1
23	40	-14.016	0.000	0.7227	0.6121	1
23	42	-26.016	0.000	0.8066	0.7081	1
23	114	3.959	0.000	0.8522	0.8037	1
23	422	3.995	0.000	0.9165	0.8320	1
24	36	13.979	0.000	0.7836	0.7264	1
24	41	18.010	0.000	0.8518	0.8437	1
24	66	-14.016	0.000	0.8148	0.7261	1
24	94	-10.021	0.000	0.7038	0.5534	1
24	443	-14.016	0.000	0.7442	0.7622	1
26	27	-44.026	0.000	0.7422	0.6476	1
33	37	9.982	0.000	0.7751	0.7769	1
33	62	-28.032	0.000	0.7560	0.6985	1
33	64	25.977	0.000	0.8251	0.7584	1
33	69	-18.049	0.000	0.7091	0.6228	1
33	76	-0.039	0.000	0.9745	0.9566	1
33	94	11.961	0.000	0.8269	0.7784	1
33	127	-4.070	0.000	0.7194	0.7780	1
33	153	25.977	0.000	0.8034	0.7150	1
33	159	-28.070	0.000	0.7389	0.6885	1
33	338	-28.070	0.000	0.7596	0.7113	1
33	423	25.977	0.000	0.7419	0.7107	1
33	572	-82.155	0.000	0.7057	0.6633	1
34	61	14.016	0.000	0.7780	0.6899	1
34	63	32.026	0.000	0.7588	0.6967	1
34	69	30.011	0.000	0.7238	0.6730	1
34	85	18.011	0.000	0.7407	0.6741	1
36	37	-25.979	0.000	0.7672	0.6089	1
36	60	-39.995	0.000	0.7926	0.6455	1
36	64	-9.984	0.000	0.8428	0.7503	1
36	66	-27.995	0.000	0.7572	0.6680	1
36	89	-12.000	0.000	0.8017	0.7086	1
36	104	-38.016	0.000	0.7588	0.5771	1
36	210	-12.000	0.000	0.7925	0.7200	1
36	305	-12.000	0.000	0.7887	0.7062	1
36	364	-24.036	0.000	0.7454	0.7031	1
36	384	-12.000	0.000	0.7876	0.7200	1
36	423	-9.984	0.000	0.7859	0.6735	1
36	424	-12.000	0.000	0.7928	0.7200	1
36	440	-12.000	0.000	0.7900	0.7197	1
36	443	-27.995	0.000	0.9312	0.8812	1
36	484	-24.036	0.000	0.7514	0.7261	1
36	557	-24.036	0.000	0.7853	0.7523	1
36	568	-52.068	0.000	0.7820	0.6712	1
36	768	-12.000	0.000	0.7444	0.6727	1
37	45	-16.031	0.000	0.7331	0.7189	1
37	60	-14.016	0.000	0.7721	0.7228	1
37	76	-10.021	0.000	0.7912	0.7840	1
37	89	13.979	0.000	0.7980	0.7148	1
37	92	-24.036	0.000	0.8087	0.7590	1
37	93	-22.018	0.000	0.7131	0.6542	1
37	104	-12.036	0.000	0.7717	0.7372	1
37	127	-14.052	0.000	0.7975	0.7826	1
37	201	-66.120	0.000	0.7441	0.6590	1
37	210	13.979	0.000	0.7697	0.6921	1
37	249	-80.135	0.000	0.7411	0.6278	1
37	265	-66.120	0.000	0.7424	0.6434	1
37	284	-14.052	0.000	0.8185	0.8359	1
37	287	-94.151	0.000	0.7446	0.6038	1
37	305	13.979	0.000	0.7660	0.6921	1
37	317	-94.124	0.000	0.7533	0.6363	1
37	331	-80.135	0.000	0.7534	0.6350	1
37	384	13.979	0.000	0.7427	0.6115	1
37	388	-94.151	0.000	0.7038	0.5549	1
37	389	-95.154	0.000	0.7211	0.5984	1
37	398	-122.182	0.000	0.7059	0.5844	1
37	399	-66.120	0.000	0.7455	0.6516	1
37	424	13.979	0.000	0.7481	0.6115	1
37	440	13.979	0.000	0.7604	0.6921	1
37	489	-94.151	0.000	0.7312	0.6254	1
37	491	-24.073	0.000	0.7355	0.7556	1
37	492	-38.088	0.000	0.7759	0.7217	1
37	572	-92.136	0.000	0.7292	0.6399	1
37	765	-94.151	0.000	0.7169	0.5600	1
37	797	-94.151	0.000	0.7186	0.6113	1
38	70	75.068	0.000	0.7766	0.4661	1
38	310	75.068	0.000	0.7751	0.4661	1
38	345	-112.162	0.000	0.7472	0.4797	1
38	397	-234.199	0.000	0.7596	0.5093	1
38	607	-218.204	0.000	0.7514	0.5449	1
40	42	-12.000	0.000	0.8321	0.8913	1
40	64	-17.027	0.000	0.7417	0.7045	1
40	101	15.995	0.000	0.7021	0.6607	1
40	114	17.974	0.000	0.8116	0.8267	1
40	153	-17.026	0.000	0.7829	0.7411	1
40	422	18.011	0.000	0.8139	0.8267	1
40	423	-17.027	0.000	0.8235	0.8066	1
40	425	0.000	0.000	0.8435	0.8707	1
41	64	-14.016	0.000	0.8759	0.7971	1
41	153	-14.016	0.000	0.8368	0.7679	1
41	364	-28.068	0.000	0.7717	0.6918	1
41	443	-32.026	0.000	0.7279	0.7431	1
41	484	-28.068	0.000	0.7836	0.7305	1
41	557	-28.068	0.000	0.7876	0.6998	1
42	101	27.995	0.000	0.7126	0.6612	1
42	103	-16.031	0.000	0.7547	0.7814	1
42	425	12.000	0.000	0.8493	0.8707	1
44	60	42.010	0.000	0.7234	0.5888	1
44	61	12.000	0.000	0.8021	0.7449	1
44	62	18.012	0.000	0.7421	0.6086	1
44	63	30.010	0.000	0.7110	0.6869	1
44	66	54.010	0.000	0.7069	0.5632	1
44	129	3.958	0.000	0.7201	0.6772	1
45	60	2.016	0.000	0.7877	0.7814	1
45	61	-27.995	0.000	0.7194	0.6251	1
45	63	-9.984	0.000	0.8288	0.8181	1
45	69	-12.000	0.000	0.7671	0.7482	1
45	85	-24.000	0.000	0.7345	0.6297	1
45	104	3.995	0.000	0.7929	0.7406	1
47	70	-14.016	0.000	0.8973	0.7642	1
47	310	-14.016	0.000	0.9000	0.7624	1
49	52	-45.058	0.000	0.7749	0.6163	1
49	54	-191.059	0.000	0.7628	0.5675	1
53	311	-70.068	0.000	0.8917	0.5799	1
53	469	-28.057	0.000	0.8956	0.6132	1
53	615	-238.360	0.000	0.8921	0.5448	1
53	658	-51.203	0.000	0.7456	0.3694	1
53	661	-222.365	0.000	0.8673	0.5225	1
53	674	-53.254	0.000	0.8585	0.5299	1
53	693	-208.386	0.000	0.8418	0.4512	1
53	720	-236.345	0.000	0.8068	0.3953	1
53	726	-218.334	0.000	0.7952	0.3638	1
53	751	-9.229	0.000	0.8979	0.5930	1
53	752	-209.371	0.000	0.8278	0.4050	1
53	753	-222.365	0.000	0.8738	0.4575	1
53	755	-208.350	0.000	0.7999	0.4319	1
53	1067	-100.179	0.000	0.8940	0.5824	1
53	1210	-163.328	0.000	0.8894	0.5885	1
53	1392	-77.328	0.000	0.7255	0.3718	1
53	1436	-115.344	0.000	0.8850	0.5482	1
53	1642	-147.406	0.000	0.8911	0.5481	1
54	55	-191.058	0.000	0.7782	0.6174	1
56	86	-14.016	0.000	0.7520	0.6594	1
58	67	-14.016	0.000	0.8711	0.5223	1
58	183	-4.070	0.000	0.7634	0.5880	1
59	107	25.977	0.000	0.7039	0.5755	1
60	61	-30.010	0.000	0.7029	0.5786	1
60	62	-23.998	0.000	0.7291	0.6683	1
60	63	-12.000	0.000	0.7481	0.7361	1
60	66	12.000	0.000	0.8305	0.7950	1
60	69	-14.016	0.000	0.8955	0.8262	1
60	76	3.995	0.000	0.7223	0.8104	1
60	92	-10.021	0.000	0.7394	0.7488	1
60	104	1.979	0.000	0.7736	0.7451	1
60	126	-84.094	0.000	0.7010	0.6213	1
60	129	-38.052	0.000	0.7395	0.6374	1
60	145	-108.093	0.000	0.7240	0.5698	1
61	63	18.011	0.000	0.8169	0.7154	1
61	66	42.011	0.000	0.7095	0.6110	1
61	85	3.995	0.000	0.7309	0.7229	1
61	104	31.990	0.000	0.7159	0.6353	1
62	63	11.998	0.000	0.7533	0.7635	1
62	69	9.982	0.000	0.7797	0.7644	1
62	76	27.993	0.000	0.7525	0.6985	1
62	85	-2.018	0.000	0.7226	0.7076	1
62	92	13.977	0.000	0.8131	0.8518	1
62	93	15.995	0.000	0.7451	0.7532	1
62	94	39.993	0.000	0.7384	0.6500	1
62	159	-0.038	0.000	0.7029	0.6731	1
62	338	-0.039	0.000	0.7156	0.6873	1
62	423	54.008	0.000	0.7534	0.6944	1
63	66	24.000	0.000	0.7206	0.6670	1
63	70	54.011	0.000	0.7676	0.6450	1
63	76	15.995	0.000	0.7047	0.6778	1
63	85	-14.015	0.000	0.9534	0.9005	1
63	93	3.997	0.000	0.7646	0.7643	1
63	104	13.979	0.000	0.7268	0.6815	1
63	310	54.011	0.000	0.7600	0.6450	1
63	423	42.011	0.000	0.7306	0.6217	1
63	443	24.000	0.000	0.8230	0.8049	1
64	66	-18.011	0.000	0.7160	0.6659	1
64	76	-26.016	0.000	0.8133	0.7253	1
64	94	-14.016	0.000	0.9509	0.9397	1
64	153	0.000	0.000	0.9671	0.9516	1
64	423	0.000	0.000	0.7080	0.7089	1
64	443	-18.011	0.000	0.7948	0.7761	1
66	75	-28.031	0.000	0.7923	0.7229	1
66	104	-10.021	0.000	0.7517	0.7190	1
66	153	18.011	0.000	0.7490	0.7041	1
66	443	-0.000	0.000	0.7305	0.6600	1
69	76	18.011	0.000	0.7420	0.6835	1
69	92	3.995	0.000	0.7357	0.7593	1
69	127	13.979	0.000	0.7345	0.7535	1
69	145	-94.078	0.000	0.7698	0.6309	1
70	74	17.027	0.000	0.8584	0.7968	1
70	89	-14.016	0.000	0.8596	0.7427	1
70	107	3.995	0.000	0.7104	0.7008	1
70	210	-14.016	0.000	0.8691	0.7948	1
70	305	-14.016	0.000	0.8727	0.7820	1
70	310	-0.000	0.000	0.9983	0.9794	1
70	384	-14.016	0.000	0.8757	0.8206	1
70	423	-12.000	0.000	0.7039	0.7666	1
70	424	-14.016	0.000	0.8747	0.8225	1
70	440	-14.016	0.000	0.8760	0.7983	1
70	768	-14.016	0.000	0.8025	0.6401	1
73	338	13.977	0.000	0.7306	0.6817	1
74	91	-14.016	0.000	0.8765	0.8078	1
74	304	-14.016	0.000	0.8732	0.8162	1
74	310	-17.027	0.000	0.8579	0.7804	1
74	425	-12.000	0.000	0.7104	0.5751	1
74	444	-14.016	0.000	0.8768	0.8134	1
75	85	-9.984	0.000	0.7360	0.7131	1
76	94	12.000	0.000	0.8031	0.7396	1
76	127	-4.031	0.000	0.7535	0.8272	1
76	153	26.016	0.000	0.8090	0.7253	1
76	159	-28.031	0.000	0.7345	0.6885	1
76	338	-28.031	0.000	0.7562	0.7113	1
76	423	26.016	0.000	0.7359	0.7160	1
76	572	-82.116	0.000	0.7119	0.6633	1
80	232	18.010	0.000	0.8871	0.7992	1
81	230	0.000	0.000	0.9896	0.9449	1
85	104	27.995	0.000	0.7694	0.7003	1
85	130	-64.068	0.000	0.7056	0.6188	1
85	184	-16.068	0.000	0.7016	0.7810	1
85	384	54.010	0.000	0.7022	0.6433	1
85	423	56.026	0.000	0.7208	0.5526	1
85	424	54.010	0.000	0.7026	0.6433	1
85	443	38.015	0.000	0.7722	0.6345	1
86	503	-66.120	0.000	0.8096	0.5021	1
86	532	-92.136	0.000	0.8180	0.5473	1
86	582	-68.136	0.000	0.8085	0.5021	1
86	601	-94.151	0.000	0.8126	0.5021	1
86	935	-94.151	0.000	0.7345	0.4785	1
88	117	-28.031	0.000	0.9432	0.8024	1
88	168	-56.062	0.000	0.8557	0.6691	1
89	91	17.027	0.000	0.8042	0.7262	1
89	104	-26.016	0.000	0.7310	0.6100	1
89	210	-0.000	0.000	0.9577	0.8700	1
89	304	17.026	0.000	0.7983	0.7262	1
89	305	-0.000	0.000	0.9580	0.8700	1
89	310	14.016	0.000	0.8562	0.7427	1
89	384	-0.000	0.000	0.9600	0.8700	1
