row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20260513_CVOL_mapp_02_29_bl_inf_1_neg.mzML Peak height,20260513_CVOL_mapp_02_29_bl_inf_2_neg.mzML Peak height,20260513_CVOL_mapp_02_29_mock_inf_1_neg.mzML Peak height,20260513_CVOL_mapp_02_29_mock_inf_2_neg.mzML Peak height,20260513_CVOL_mapp_02_29_pet_inf_1_neg.mzML Peak height,20260513_CVOL_mapp_02_29_pet_inf_2_neg.mzML Peak height,20260513_CVOL_mapp_02_29_untreated_inf_1_neg.mzML Peak height,20260513_CVOL_mapp_02_29_untreated_inf_2_neg.mzML Peak height,
1,170.83215310156828,0.5085635,,,,,,,,,,,843126.3,966881.5,851976.4,1212582.5,1191077.0,0,1327869.5,1121903.0,
2,305.0783868246557,0.48040196,,,,,,,,,,,0,0,0,0,0,879126.9,0,766268.7,
3,219.84462867991394,0.5014242,,,,,,,,,,,829282.6,652042.94,676405.25,575851.2,604221.6,632891.7,524239.66,575550.56,
4,164.83499590039946,0.49663165,,,,,,,,,,,1546199.5,363436.06,1929124.5,353730.03,0,530859.75,0,788011.7,
5,255.82172553140987,0.50374293,,,,,,,,,,,2254797.8,2551758.2,2124451.5,2588249.5,2915564.8,2925702.5,2338640.5,2674730.5,
6,257.81868904975704,0.50374293,,,,,,,,,,,2195829.0,2538479.5,2074855.1,2487787.2,2776878.5,2696576.5,2372072.5,2898534.5,
7,259.81571551056015,0.50374293,,,,,,,,,,,774114.25,902719.06,759471.06,830380.25,977221.25,883461.9,814140.2,863932.25,
8,267.8582039531708,0.49565238,,,,,,,,,,,952038.1,825792.5,948209.56,684269.0,802909.44,707184.7,721091.2,790282.8,
9,269.8552236877972,0.49293935,,,,,,,,,,,982642.06,748575.9,931516.3,740584.25,774959.5,665011.06,720542.56,698042.1,
10,153.86740329050755,0.49620914,,,,,,,,,,,0,3136153.8,0,5395141.0,3399572.8,1.1313684E7,3515748.2,1.3907443E7,
11,157.86164354715638,0.49685034,,,,,,,,,,,237972.12,503371.22,0,682902.44,407149.5,1345192.2,409804.62,1669129.9,
12,122.8927776836719,0.50866395,,,,,,,,,,,501590.75,0,449083.2,390495.7,0,0,0,0,
13,162.83795494886067,0.50086117,,,,,,,,,,,4989919.0,1252698.4,6290843.0,1542229.2,849371.25,2910315.5,913449.6,3673312.5,
14,237.09076099822784,0.50105804,,,,,,,,,,,0,0,0,0,0,5284469.0,0,5131512.5,
15,163.8454679607616,0.50511557,,,,,,,,,,,775484.06,385831.38,635598.75,459390.34,327401.28,388659.72,379472.03,408711.84,
16,160.84089387203514,0.5035908,,,,,,,,,,,5407953.5,1424742.1,6755479.5,1739077.2,933342.8,3382966.0,1068503.5,4041048.5,
17,295.8892685086444,0.50319475,,,,,,,,,,,680567.0,612834.25,737460.25,509833.53,579764.6,646668.7,507345.12,588572.2,
18,353.94891299540126,0.50153404,,,,,,,,,,,1675647.4,1533721.2,1855782.9,1310253.0,1475326.4,1577196.0,1238940.0,1680018.4,
19,209.83299249321493,0.5174866,,,,,,,,,,,1553459.6,803064.1,1258395.5,845435.75,624176.44,766303.0,702904.75,757408.2,
20,207.83594478704134,0.5092684,,,,,,,,,,,4900514.5,2392683.2,3998033.2,2856668.5,1898100.1,2303985.8,2180442.5,2495431.5,
21,197.8070911827246,0.51049185,,,,,,,,,,,2.394295E7,2.1351862E7,2.2519654E7,2.4488358E7,1.3300699E7,1.775257E7,1.5672489E7,2.0882578E7,
22,199.80406098538526,0.51049185,,,,,,,,,,,1.1219969E7,9997426.0,1.0618478E7,1.1309905E7,6140808.0,8587522.0,7657841.5,9843528.0,
23,125.87182894500992,0.5106129,,,,,,,,,,,1857481.8,933567.5,1724652.6,1067615.5,741941.4,906609.5,857001.56,915353.8,
24,195.81020814230658,0.5120298,,,,,,,,,,,1.9870488E7,1.7748714E7,1.8689398E7,2.0124398E7,1.0928274E7,1.4348141E7,1.3176647E7,1.7248008E7,
25,127.86891164977803,0.5218277,,,,,,,,,,,1304666.1,630975.0,1240648.8,729474.3,514138.03,714767.25,556056.75,660553.06,
26,162.8413294139712,0.5109691,,,,,,,,,,,0,386419.53,0,625198.1,442595.25,1793328.5,461754.9,1603949.5,
27,201.80111495943794,0.5107559,,,,,,,,,,,2334558.0,2034401.5,2230964.5,2438494.5,1291129.5,1805983.5,1538453.0,2122458.5,
28,193.8147844911598,0.5121202,,,,,,,,,,,1153774.5,1110355.0,1112931.8,1150601.5,697051.75,845554.94,845379.8,1060113.9,
29,167.83311895646338,0.52304614,,,,,,,,,,,0,402372.3,0,475667.22,464726.0,1631826.2,422238.03,1394415.8,
30,205.83894135571683,0.51612484,,,,,,,,,,,5179139.0,2495275.5,4131577.5,2917000.0,2013801.2,2410633.8,2252552.2,2557244.0,
31,137.8904704822836,0.51805377,,,,,,,,,,,0,0,0,0,0,1488412.8,0,1245165.1,
32,164.8382350403874,0.5095292,,,,,,,,,,,0,377223.22,0,596377.75,382873.2,1771069.1,419568.8,1589566.4,
33,214.10767575026205,0.5184551,,,,,,,,,,,0,0,0,442510.25,0,0,0,0,
34,163.83917882528075,0.5210712,,,,,,,,,,,290507.7,1314872.0,239162.47,1621777.8,1701972.0,4737596.0,1444987.8,4394685.5,
35,167.0199643592922,0.52320457,,,,,,,,,,,0,0,0,0,0,1001332.3,0,0,
36,132.89891451002916,0.53842354,,,,,,,,,,,0,0,0,281282.4,236763.38,1962743.6,0,1734970.8,
37,166.83446813290024,0.52228886,,,,,,,,,,,0,0,0,291813.8,0,955089.7,0,747115.8,
38,351.9520704011218,0.5114655,,,,,,,,,,,1615836.8,1478292.8,1843845.4,1388960.6,1384045.5,1484558.9,1225902.0,1628344.0,
39,234.81912036366018,0.53534555,,,,,,,,,,,0,467980.03,0,0,893937.56,0,456867.84,0,
40,165.83624744436102,0.5267666,,,,,,,,,,,0,1192002.8,0,1497636.1,1599639.6,4684237.5,1371271.2,4177852.2,
41,228.12331110707257,0.5268009,,,,,,,,,,,0,0,0,732675.6,0,0,0,238122.28,
42,217.8647743679774,0.5515351,,,,,,,,,,,777756.5,0,656669.06,0,0,0,0,251946.58,
43,215.86772847647634,0.53333646,,,,,,,,,,,1090027.5,405049.5,1074755.2,397416.53,321263.88,316009.66,345523.6,351662.78,
44,240.1233910529236,0.5317444,,,,,,,,,,,0,462083.12,0,1661631.4,0,0,0,638228.94,
45,346.9546231723678,0.54815173,,,,,,,,,,,0,0,0,1478999.5,0,0,0,395925.62,
46,125.09582847072164,0.54985905,,,,,,,,,,,0,0,0,539505.0,0,0,0,0,
47,172.09682496314716,0.55313236,,,,,,,,,,,0,604397.06,0,5151344.0,0,0,0,820341.7,
48,167.03387679173903,0.554746,,,,,,,,,,,0,0,0,0,0,1225924.0,0,0,
49,190.05005618765247,0.554746,,,,,,,,,,,0,0,0,0,0,742769.9,0,0,
50,170.8321747487654,0.5584056,,,,,,,,,,,1210779.2,1175675.0,1534228.2,1197834.0,1170355.5,1217345.0,1306683.0,1203309.6,
51,363.9778117163886,0.55977106,,,,,,,,,,,432278.9,0,455171.38,0,0,0,0,0,
52,198.11273389667926,0.5675479,,,,,,,,,,,0,0,274030.38,702700.5,0,0,0,0,
53,305.0121718516479,0.5608673,,,,,,,,,,,0,0,0,686592.94,0,0,0,0,
54,186.11259412150653,0.56007206,,,,,,,,,,,270876.62,3500898.5,899321.06,2.1151568E7,0,373789.34,514310.88,3948041.5,
55,172.82930856096934,0.56948805,,,,,,,,,,,848527.94,697900.56,917357.0,708233.94,741128.25,626320.2,797058.94,692494.4,
56,168.8351753565592,0.5709224,,,,,,,,,,,802431.3,803713.25,1020316.7,794317.1,761491.6,747742.75,804598.3,775363.1,
57,361.98105534792296,0.5713314,,,,,,,,,,,608952.7,0,710299.5,0,0,0,0,0,
58,286.0384010060572,0.5719506,,,,,,,,,,,0,0,0,2009342.1,0,0,0,0,
59,200.1283942622268,0.60121864,,,,,,,,,,,0,307921.38,290112.94,2733869.8,0,0,0,400751.62,
60,212.12849015562097,0.5864004,,,,,,,,,,,0,0,0,1086567.1,0,0,0,230923.08,
61,333.11070444668286,0.58517146,,,,,,,,,,,0,0,1197351.4,0,687955.4,0,548409.94,0,
62,297.13389123150324,0.58915406,,,,,,,,,,,0,0,1661596.8,0,2257509.8,0,1513222.2,0,
63,343.1394289594718,0.5897465,,,,,,,,,,,298782.9,0,2570970.8,0,3327980.0,0,2295577.5,0,
64,214.1441575614981,0.59868217,,,,,,,,,,,0,393652.53,346413.72,2667277.2,0,0,0,426181.28,
65,394.19962338179556,0.6105408,,,,,,,,,,,0,0,505887.97,0,0,0,0,0,
66,228.15980300466182,0.62716734,,,,,,,,,,,0,0,253639.62,946091.0,0,0,0,0,
67,209.08458000279361,0.6331281,,,,,,,,,,,0,0,497995.62,0,0,0,0,0,
68,362.20944410845453,0.6510184,,,,,,,,,,,318995.84,0,1538132.6,0,0,0,312631.06,0,
69,404.2284989958901,0.65291584,,,,,,,,,,,0,0,1100527.4,0,0,0,598546.8,0,
70,346.22327824337685,0.65537417,,,,,,,,,,,0,0,1215126.5,0,0,0,585033.75,0,
71,378.20476658906136,0.65291584,,,,,,,,,,,0,0,1215736.4,0,0,0,333433.34,0,
72,358.2235551200029,0.6910971,,,,,,,,,,,0,0,337956.5,355426.38,0,0,0,0,
73,388.23393240330114,0.6773265,,,,,,,,,,,518776.22,0,3045176.0,0,0,0,1623463.0,0,
74,328.21249356991075,0.6930312,,,,,,,,,,,0,0,1056222.8,0,0,0,398964.5,0,
75,169.086003983187,0.6963039,,,,,,,,,,,0,0,0,360646.28,0,0,0,0,
76,314.19699803487947,0.6963039,,,,,,,,,,,0,0,0,366404.03,0,0,0,0,
77,386.21824216995867,0.71465814,,,,,,,,,,,0,0,1571610.4,0,0,0,506118.5,0,
78,322.2019982733227,0.75196826,,,,,,,,,,,0,0,778492.44,0,0,0,287360.25,0,
79,340.21253800484067,0.7339362,,,,,,,,,,,0,0,1162835.8,0,0,0,350605.12,0,
80,344.2077178919458,0.71465814,,,,,,,,,,,0,0,873630.1,0,0,0,390206.75,0,
81,360.1941041333242,0.7246754,,,,,,,,,,,0,0,703332.7,0,0,0,0,0,
82,376.1890848509727,0.7246754,,,,,,,,,,,0,0,1072224.0,0,0,0,0,0,
83,377.27336440271387,0.7246754,,,,,,,,,,,0,0,851192.0,0,0,0,0,0,
