CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
15	34	0.006	0.000	0.9359	0.7735	1
19	115	1.997	0.000	0.7043	0.6062	1
20	30	1.997	0.000	0.8680	0.7899	1
20	114	1.997	0.000	0.7973	0.6651	1
20	115	-0.000	0.000	0.8028	0.5452	1
21	27	-3.994	0.000	0.8091	0.6799	1
30	43	-10.029	0.000	0.8126	0.6405	1
30	114	-0.000	0.000	0.8846	0.7205	1
30	115	-1.997	0.000	0.7237	0.5415	1
30	116	-10.029	0.000	0.7518	0.6003	1
33	64	-0.036	0.000	0.8533	0.6674	1
35	37	0.185	0.000	0.9400	0.8502	1
35	48	-0.014	0.000	0.8944	0.7834	1
37	48	-0.199	0.000	0.9231	0.8018	1
42	116	1.997	0.000	0.7582	0.5269	1
114	115	-1.997	0.000	0.7508	0.6094	1
127	143	18.010	0.000	0.7061	0.5087	1
143	167	-217.168	0.000	0.7335	0.4677	1
208	257	-56.063	0.000	0.7053	0.5488	1
261	347	-110.110	0.000	0.8094	0.4962	1
262	347	-108.094	0.000	0.7913	0.4649	1
274	279	-50.015	0.000	0.7654	0.5312	1
274	315	-28.031	0.000	0.7826	0.5280	1
279	296	48.000	0.000	0.7130	0.5886	1
279	315	21.984	0.000	0.8209	0.5743	1
279	325	-28.031	0.000	0.7998	0.5340	1
291	302	-26.015	0.000	0.8313	0.6574	1
291	319	-44.026	0.000	0.7004	0.5400	1
291	337	-28.031	0.000	0.7812	0.4913	1
296	315	-26.015	0.000	0.7444	0.5584	1
302	319	-18.011	0.000	0.7071	0.5733	1
302	337	-2.016	0.000	0.8087	0.5390	1
307	319	24.000	0.000	0.7422	0.5562	1
315	327	-26.016	0.000	0.7002	0.5165	1
319	342	21.984	0.000	0.8033	0.5507	1
345	362	-28.031	0.000	0.7065	0.4243	1
