formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
3	C9H16ClNO2SSi	[M + H3N + H]+	C9H20ClN2O2SSi+	Fatty acids	0.515	Fatty amides	0.208	Halogenated fatty acids	0.111	Organic acids and derivatives	0.969	Carboxylic acids and derivatives	0.897	Carboxylic acid derivatives	0.657	Carboxylic acid amides	0.612	Carboxylic acid amides	0.612	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Alkyl chlorides; Carboxylic acid derivatives; Organochlorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	283.070	29	0.475	847477418242078151	847477215023845812	847477214998679987	1	
1	C9H16O4Si2	[M + H3N + H]+	C9H20NO4Si2+	Fatty acids	0.806	Fatty Acids and Conjugates	0.641	Halogenated fatty acids	0.492	Lipids and lipid-like molecules	0.580							Lipids and lipid-like molecules	0.580	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	262.091	30	0.493	847477409987687071	847477215208395192	847477215204200887	2	
3	C9H19N3O4S	[M + H3N + H]+	C9H23N4O4S+	Amino acids and Peptides	0.909	Small peptides	0.921	Tripeptides	0.305	Organic acids and derivatives	0.989	Carboxylic acids and derivatives	0.962	Amino acids, peptides, and analogues	0.793	Amino acids and derivatives	0.788	Alpha amino acids	0.719	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Thia fatty acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	283.143	30	0.495	847477410818159379	847477215514579396	847477215510385091	5	
3	C10H21N3O4S	[M + H3N + H]+	C10H25N4O4S+	Amino acids and Peptides	0.793	Small peptides	0.836	Tripeptides	0.324	Organic acids and derivatives	0.927	Carboxylic acids and derivatives	0.881	Amino acids, peptides, and analogues	0.653	Amino acids and derivatives	0.647	Alpha amino acids	0.534	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Thia fatty acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Sulfenyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	297.159	30	0.495	847477413464765344	847477215590076872	847477215585882567	6	
1	C8H18N2O4S	[M + Na]+	C8H18N2NaO4S+	Alkaloids	0.108	Small peptides	0.003	Sphingoid bases	0.030	Organoheterocyclic compounds	0.981	Diazinanes	0.996	Piperazines	0.997	N-alkylpiperazines	0.997	N-alkylpiperazines	0.997	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Alcohols and polyols; Piperazines; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Sulfonyls; Organosulfonic acids; 1,2-aminoalcohols; Trialkylamines; Diazinanes; Amines; Tertiary amines; Alkanolamines; Alkanesulfonic acids and derivatives; Alkanesulfonic acids; N-alkylpiperazines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	261.088	30	0.501	847477412332303182	847477215669768652	847477215665574347	7	
1	C5H11NO2	[M + Na]+	C5H11NNaO2+	Amino acids and Peptides	0.975	Small peptides	0.980	Aminoacids	0.969	Organic acids and derivatives	0.995	Carboxylic acids and derivatives	0.992	Amino acids, peptides, and analogues	0.918	Amino acids and derivatives	0.917	Alpha amino acids and derivatives	0.752	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Quaternary ammonium salts; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Amines; Primary amines; Methyl esters; Organic cations; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	140.068	30	0.503	847477428509735489	847477215736877520	847477215732683215	8	
2	C8H18N2O4S	[M + H]+	C8H19N2O4S+	Alkaloids	0.123	Diterpenoids	0.002	Sphingoid bases	0.034	Organoheterocyclic compounds	0.985	Diazinanes	0.997	Piperazines	0.997	N-alkylpiperazines	0.997	N-alkylpiperazines	0.997	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Alcohols and polyols; Piperazines; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Sulfonyls; Organosulfonic acids; 1,2-aminoalcohols; Trialkylamines; Diazinanes; Amines; Tertiary amines; Alkanolamines; Alkanesulfonic acids and derivatives; Alkanesulfonic acids; N-alkylpiperazines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	239.106	30	0.505	847477410201596592	847477215808180692	847477215808180691	9	
2	C9H13N5O3	[M + H]+	C9H14N5O3+	Carbohydrates	0.627	Pseudoalkaloids (transamidation)	0.912	Purine alkaloids	0.771	Organoheterocyclic compounds	0.999	Imidazopyrimidines	0.998	Purines and purine derivatives	0.998	Xanthines	0.754	Xanthines	0.754	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Oxazinanes; Alcohols and polyols; Lactams; Purines and purine derivatives; Hypoxanthines; Xanthines; Ethers; Organic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Pyrimidones; Organooxygen compounds; Organic carbonic acids and derivatives; Morpholines; Azoles; Ureas; Purinones; Dialkyl ethers; Aminoimidazoles; Aminopyrimidines and derivatives; Diazines; 6-oxopurines; Imidazopyrimidines; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Vinylogous amides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	240.109	30	0.508	847477408360296942	847477215430693312	847477215426499007	4	
2	C10H21NO4	[M + K]+	C10H21KNO4+	Amino acids and Peptides	0.796	Small peptides	0.665	Aminoacids	0.439	Organic acids and derivatives	0.985	Carboxylic acids and derivatives	0.977	Amino acids, peptides, and analogues	0.625	Amino acids and derivatives	0.622	Amino acids and derivatives	0.622	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Branched fatty acids; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	258.110	30	0.508	847477413187941252	847477215879483864	847477215875289559	10	
2	C5H13NO2	[M + H]+	C5H14NO2+	Fatty acids	0.547	Aminosugars and aminoglycosides	0.055	Sphingoid bases	0.241	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.999	Alkanolamines	0.982	1,2-aminoalcohols	0.962	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Dialkylamines; Amines; Secondary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	120.102	31	0.509	847477404514119851	847477215942398428	847477215942398427	11	
