formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C36H73N3O4	[M + H]+	C36H74N3O4+	1.000	0.333	6.537	6.537	0.000	3	0.713	2.557	2.557	0.581		612.568	394	6.563	847477522332132672	847477257528926764	847477257528926763	1056	
1	C36H73N3O3	[M + H]+	C36H74N3O3+	1.000	0.330	5.836	5.836	0.000	2	0.680	4.271	8.247	0.001		596.572	394	6.569	847477528615200709	847477257965134432	847477257965134431	1069	
1	C38H73N3O4	[M + H]+	C38H74N3O4+	0.995	0.311	5.711	5.711	0.000	2	0.564	6.604	6.604	0.512		636.568	394	6.574	847477529286289381	847477257562481200	847477257562481199	1057	
1	C34H59NO	[M + H3N + H]+	C34H63N2O+	0.945	0.318	19.601	15.971	3.630	5	0.358	5.912	5.912	0.755		515.494	395	6.578	847477522386658650	847477257596035636	847477257596035635	1058	
1	C38H75N3O4	[M + H]+	C38H76N3O4+	0.630	0.327	4.819	4.819	0.000	2	0.660	5.105	7.702	0.056		638.583	395	6.585	847477522743174511	847477257625395768	847477257625395767	1059	
1	C36H73N3O5	[M - H2O + H]+	C36H72N3O4+	1.000	0.333	3.688	3.688	0.000	1	0.562	12.637	12.637	-29498.285		610.552	396	6.592	847477546948505061	847477257793167948	847477257793167947	1064	
1	C32H56N2O	[M + H3N + H]+	C32H60N3O+	0.339	0.315	18.260	14.594	3.666	4	0.318	6.404	6.404	0.557		502.473	396	6.599	847477531257612461	847477257759613512	847477257759613511	1063	
1	C30H55NO2	[M - H2O + H]+	C30H54NO+	0.710	0.333	57.649	53.933	3.716	15	0.384	6.552	6.552	-40526.964		444.420	396	6.599	847477532817893746	847477257726059076	847477257726059075	1062	
1	C26H54N4	[M + Na]+	C26H54N4Na+	0.392	0.528	9.503	9.503	0.000	5	0.309	2.576	2.884	-1.613		445.423	396	6.599	847477535607106112	847477257658950204	847477257658950203	1060	
1	C45H71N3O7	[M - H2O + H]+	C45H70N3O6+	0.886	0.332	144.270	137.809	6.461	44	0.802	3.355	3.355	-24058.071		748.528	396	6.602	847477539893685018	847477257830916688	847477257826722383	1065	
1	C43H74NO7P	[M + Na]+	C43H74NNaO7P+	1.000	1.000	75.610	75.610	0.000	26	0.723	5.751	5.751	0.699	LPE(38:7)	770.510	396	6.608	847477524789995139	847477257692504640	847477257692504639	1061	
1	C34H50N4O3	[M - H2O + H]+	C34H49N4O2+	0.268	0.228	14.374	9.987	4.387	2	0.732	7.337	7.337	-33019.645		545.387	397	6.616	847477522961278342	847477257898025560	847477257898025559	1067	
1	C29H40FNO3	[M + H3N + H]+	C29H44FN2O3+	0.538	0.284	48.756	42.400	6.356	9	0.834	1.110	1.578	1.584		487.334	397	6.617	847477540057262899	847477257864471124	847477257864471123	1066	
1	C25H53NO2	[M - H2O + H]+	C25H52NO+	0.510	0.333	86.658	82.732	3.925	18	0.602	4.605	4.605	-47098.063		382.404	397	6.619	847477525733713595	847477257931579996	847477257931579995	1068	
1	C46H80NO7P	[M + H]+	C46H81NO7P+	1.000	1.000	63.840	63.840	0.000	19	0.860	5.577	5.577	-0.199	PC(O-16:1_22:6)	790.574	399	6.643	847477524181820964	847477257998688868	847477257998688867	1070	
1	C58H92N2O12	[M - H2O + H]+	C58H91N2O11+	0.347	0.025	8.023	0.965	7.059	0	0.000	0.435	0.435	-18161.468		991.662	399	6.646	847477541948894201	847477258036437608	847477258036437607	1071	
1	C56H87NO11	[M + H]+	C56H88NO11+	0.969	0.326	100.871	94.298	6.573	20	0.634	-0.004	1.671	0.537		950.636	399	6.646	847477542657731642	847477258069992044	847477258069992043	1072	
1	C28H50BN5O4	[M + Na]+	C28H50BN5NaO4+	1.000	0.999	82.753	82.753	0.000	35	0.810	0.149	0.687	3.022	DG(9:0_21:5)	553.390	400	6.666	847477541466549216	847477258103546480	847477258103546479	1073	
1	C39H64BN5O6	[M + H3N + H]+	C39H68BN6O6+	0.908	0.300	55.840	55.840	0.000	32	0.456	-0.208	1.183	-1.985		726.531	400	6.670	847477582239380999	847477258409730704	847477258409730703	1081	
1	C46H82NO8P	[M + Na]+	C46H82NNaO8P+	1.000	1.000	74.259	67.824	6.435	19	0.496	3.718	3.718	0.462	PC(20:4_18:1)	830.567	400	6.671	847477528250296218	847477258174849656	847477258174849655	1075	
1	C53H88NO6P	[M + H]+	C53H89NO6P+	0.423	0.327	31.068	25.284	5.784	6	0.611	5.184	5.184	-4.226		866.639	400	6.671	847477775357724971	847477258208404092	847477258208404091	1076	
1	C42H68N2O8	[M - H2O + H]+	C42H67N2O7+	0.488	0.226	12.992	4.181	8.811	1	0.954	6.788	6.788	-25312.822		711.495	400	6.673	847477529353398253	847477258241958528	847477258241958527	1077	
1	C40H60O7	[M + H]+	C40H61O7+	0.864	0.472	26.125	19.463	6.662	3	0.961	2.587	2.587	0.810		653.442	401	6.675	847477543207185539	847477258309067396	847477258309067395	1078	
1	C42H64O7	[M + H3N + H]+	C42H68NO7+	0.558	0.302	36.532	30.192	6.340	17	0.910	2.914	2.914	3.150		698.501	401	6.676	847477540749323142	847477258342621832	847477258342621831	1079	
1	C38H75O10P	[M + H3N + H]+	C38H79NO10P+	0.833	0.134	9.114	9.114	0.000	13	0.718	2.332	2.332	4.604		740.547	401	6.676	847477546839453114	847477258376176268	847477258376176267	1080	
1	C47H82NO8P	[M + H]+	C47H83NO8P+	1.000	1.000	14.564	14.564	0.000	4	0.805	1.978	1.978	-0.136		820.585	401	6.677	847477526513854197	847477258476839576	847477258476839575	1083	
1	C40H60O7	[M + H3N + H]+	C40H64NO7+	0.986	0.333	36.078	26.973	9.105	15	0.864	2.982	2.982	0.940		670.468	401	6.677	847477525792433857	847477258443285140	847477258443285139	1082	
1	C46H82NO8P	[M + H]+	C46H83NO8P+	1.000	1.000	42.998	33.599	9.399	7	0.965	4.194	4.194	0.505		808.585	401	6.680	847477526165726962	847477258137100916	847477258137100915	1074	
1	C43H76NO8P	[M + H]+	C43H77NO8P+	1.000	1.000	82.118	82.118	0.000	43	0.876	1.980	1.980	0.389	PE(20:5_18:0)	766.538	401	6.683	847477528233518999	847477258548142752	847477258548142751	1085	
1	C41H80NO8P	[M + H]+	C41H81NO8P+	1.000	1.000	52.015	44.947	7.068	13	0.893	4.365	4.365	0.534		746.570	401	6.683	847477530058041395	847477258514588316	847477258510394011	1084	
1	C34H62O3	[M + H3N + H]+	C34H66NO3+	0.994	0.333	141.449	139.153	2.296	19	0.483	3.390	4.247	0.389		536.504	401	6.684	847477531777706191	847477258581697188	847477258581697187	1086	
