"features"	"PC1"	"PC2"	"PC3"
1	0.0133961621925053	-0.00280851490908458	0.0204478503284464
10	-0.0015400079931841	0.0236217924796393	-0.00697863976315836
100	-0.000347471404264054	0.0182253736041349	0.0119311834581541
1000	0.0277102724678004	-0.0219760572404794	-0.0206680118803847
1001	0.0186007328875624	-0.0235188952071384	-0.0181706273487443
1002	-0.00224158082512238	-0.0283911163944698	-0.00581201660437215
1003	0.00406526801270908	-0.0394497211453562	-0.00554785313754628
1004	0.00784612148206769	-0.039133309164721	-0.00849558827665058
1005	-0.00559220077413516	-0.022455300387821	0.00546865457985109
1006	-0.00568595990025404	-0.0147874841682559	0.0196739841526442
1007	0.00232652365523565	0.021062137414159	-0.00954640472898604
1008	-0.00646238594681529	0.0172321355999279	0.00448126474171278
1009	-0.0198464962148776	0.00738040867756236	0.0259113223843205
101	0.00327564851790026	0.0210788784508778	0.0113891548278681
1010	0.00709408050480622	0.0255858919737209	-0.0169621506985809
1011	-0.0161200029215339	0.0074924333517064	0.0252272762477068
1012	-0.0196411971335156	0.00213377646782181	0.0263363471670056
1013	-0.0186709471187409	0.00463681272218167	0.0272300722142502
1014	-0.0155844578665614	0.00501789477907976	0.0260538040228788
1015	-0.0108582080813522	0.00477939817319704	0.0104678828470644
1016	-0.0193761385030559	0.00259287137855015	0.0273407705549345
1017	-0.00152941026560681	-0.0204929439722542	0.0155667424182152
1018	0.004742592304553	0.0211933466510435	-0.011513068671008
1019	0.00261782343428307	0.0209132086837615	-0.00951466682874554
102	0.00238329725367419	0.0242621814384938	0.0156821589253774
1020	-0.0147489512322744	0.00760223249231504	0.0230731979710391
1021	-0.0157581836785368	0.00644640197153336	0.0237265963726607
1022	-0.0166357434748299	0.0063513258328194	0.0245604967213894
1023	0.00367400688938506	0.0203732286619796	-0.00939959277945102
1024	-0.0207167020139602	-0.00353682386372914	0.0252612780336411
1025	-0.00169390895356655	-0.0104442989917014	0.0207906225284429
1026	0.0020126678751095	0.0268767426996489	-0.00905447456300798
1027	0.00100916248456459	0.0249872537138965	-0.0099279928257113
1028	-0.00143855289631223	0.0248799208787707	-0.00859544040373529
1029	-0.000941294083005266	0.0237891321155123	-0.00639344102062524
103	-0.0036253802883214	0.0269622190420821	-0.0165091578740473
1030	-0.00078390671400087	0.0231495382693009	-0.00584807041317151
1031	0.00448787130375846	0.0217920981710776	-0.00970941902842878
1033	0.00539771029696891	0.0194919751268322	-0.00921179062260481
1034	-0.00452229144634338	-0.0181823388038884	0.00516722235795678
1035	-0.012289143649712	0.00810576511238168	0.0167844496708211
1036	-0.00203721648233858	0.0257693585868357	-0.0129977236692409
1037	-0.0192766246038063	-0.00254821732366025	0.0206746282071831
1038	-0.00329037472799514	0.00483634447347642	0.0121254375091951
1039	0.00866804309056963	-0.0284397203635547	-0.00870176489642174
104	-0.00301861621723336	0.0276381633334684	-0.0160935195795966
1040	-0.0208055394393278	-0.00612828198454369	0.0225023984551859
1041	-0.00821170301251996	0.0101070047011355	0.0202859864753135
1042	0.00657729687514364	-0.0290179046434811	-0.014993250035059
1043	0.00886169127473733	-0.0256258937235918	-0.0087553843293598
1044	0.00456771659191622	-0.0293011398036753	-0.0116525090905969
1045	0.00551714821399386	-0.0305771622561652	-0.0128538351913717
1046	0.00499094082374883	-0.0176544596093597	0.00453943989306324
1047	-0.00466846896063145	0.00890875018347703	-0.0123551048772524
1048	0.00508873458273011	-0.011470945645736	-0.0112469310470821
1049	-0.00265430267743898	0.0200225870819558	-0.0222284837524876
105	-0.00853986751669741	-0.00452184341882424	-0.00148948299315785
1050	0.00206540788412403	0.0278645566031928	-0.0134801511307034
1051	0.0172044348322448	-0.00354203519863629	0.0320174151979877
1052	0.00437226873123512	0.0205695773562452	-0.0114931543772459
1053	-0.0121400704904686	0.00635801777441541	0.0280934916476798
1054	0.0162933513023007	0.000664975388016032	0.0220624799115781
1055	0.00174140574323719	0.0228324677336759	-0.0101044378771913
1056	-0.00132698571662136	0.0245130864129784	-0.00459417408157791
1057	0.0160857810753555	-0.00290805737309256	0.0265669223091275
1058	-0.0193472861390003	0.00167809315446644	0.0268789828214129
1059	8.30810441186797e-05	0.0252724242653698	-0.0090371927711611
106	-0.00493993887508182	0.017268615694681	0.000250171432518118
1060	-0.000790892024769768	0.0278453909777139	-0.00780026161295911
1061	-0.00188398673896737	0.0159514079226537	-0.00151448973879968
1062	-0.0127376147822927	0.0116862447597469	-0.0123583318237035
1063	0.00221393006911592	0.0249650861482412	-0.0094822097904518
1064	-0.0154623747785253	-0.00639650015767812	0.0254400275945847
1065	-0.0135615512016911	-0.00665165985842175	0.0216356417424396
1066	-0.0146534847248826	-0.00911546867571264	0.0183320083916323
1067	0.00352182338368039	0.0220925609414474	-0.00698625097140668
1068	-0.0158638420945532	-0.00905358820039145	0.0173819353209999
1069	-0.000571729506921004	0.0268694690928487	-0.00527284368331122
107	-0.00570769683069128	0.0258664288827885	0.00772217677892328
1070	-0.0227445737238865	0.000700880281971044	0.0270798290635809
1071	9.25632628469397e-05	0.0237927153179025	-0.0050662608726378
1072	0.00394616331676596	-0.017559374065606	-0.0142971515741374
1073	0.00872167317815075	-0.0189193189892542	-0.00720317570423281
1074	0.00434146728647061	0.0202954591238727	-0.0100704965309536
1075	-0.0081682601998254	-0.0403120954463513	-0.00859446092456976
1076	0.00614600991953739	0.0191094025306208	-0.00913026135111455
1077	0.00190462223850034	0.0246582996126581	-0.00676658360198325
1078	0.0026222751591719	0.0246999893087818	-0.00733588423547952
1079	0.00337114108315541	0.0264996148578692	-0.00417187452487879
108	-0.00382358160190218	0.0197317597079887	-0.0340006758897805
1080	0.00290585623784687	0.0247596525597415	-0.00720848617041817
1081	-0.00124977718574557	0.0306750989413873	-0.00358565634265665
1082	-0.000727224834216793	0.0302699467200195	-0.00385416923409583
1083	-0.00299253912687506	0.0271047014396054	-0.00317813976942066
1084	-0.000199345156876125	0.0174813605550971	-0.00423387478682356
1085	0.00879698406200956	0.0292409889362209	-0.0231688610962195
1086	0.00663112091765157	-0.0161133878225	-0.00170250526001892
1087	-0.0153498022001988	-0.0357559523810974	0.00473375528499028
1088	-0.0153353326170186	-0.0319625971844428	0.00641453624424491
1089	-0.0101865236370849	-0.0363050458781582	0.00338829283108714
109	0.00197659020960166	0.00402859931356559	-0.0384961375638299
1090	-0.0146061968657134	-0.0334501305055927	0.00541140165976901
1091	-0.0231012759558976	0.000651291204141682	0.0251801920800102
1092	-0.0137404635191902	0.00972434330369898	0.018792805614678
1093	-0.0181810062690584	0.0078321110089027	0.0214881581247563
1094	-0.0145040396232034	0.00805939138327689	0.0137422684547036
1095	-0.014008775705021	0.00696723942754716	0.0108210645749868
1096	-0.0219256001245693	0.00209413980117703	0.0236842078487466
1097	-0.0221765741149285	0.00157605337690678	0.022662920724995
1098	-0.0211077772810017	-0.00670238258231072	0.020448987356989
1099	-0.0229235474047355	0.00303728303556528	0.0236038592415581
11	0.000706385350077162	0.0240956638705604	-0.00152019767032535
110	-0.00256954876722413	0.0238939921322313	0.00259795370996798
1100	-0.0160067427137223	0.00752407359903607	0.0239156540760348
1101	-0.0191930363896815	0.00656092612069876	0.0214710799316316
1102	-0.0178839088745422	0.00552815011731335	0.0219839498205361
1103	-0.0185376169354346	0.0056669879517248	0.0228154634040996
1104	0.000341699328854952	-0.0180777963246451	-0.0114148764324344
1105	-0.0239821048862775	-0.00916059262949622	0.0242642581309618
1106	0.00164042598663471	0.0156216740906057	-0.00236030095427761
1107	-0.00882145778804551	-0.03402324485327	0.00182144053886768
1108	-0.0168297246834798	-0.00992626551966445	0.0174330819014501
