"features"	"LV1"	"LV2"
1	-0.0016393413929587	-0.00383864339769773
10	-0.0060523283880545	-0.0348778638216213
100	-0.0274509698699517	-0.0150632664280021
1000	-0.0208432468028167	-0.00749174797466203
1001	-0.0258924857707852	0.00136020320895398
1002	-0.02102171391899	0.0037523269059727
1003	-0.0212100952845943	0.0110291480706004
1004	-0.0230933326741934	0.016607749573326
1005	-0.0240316215534193	0.00841000764899296
1006	-0.0116984236788666	0.0383209243942075
1007	-0.00434275760861059	-0.0358569311851199
1008	-0.0264380145568528	-0.0243291571912833
1009	-0.0133641655481472	0.0277262745790049
101	-0.0257144417719816	-0.020139326932666
1010	-0.0060408112097764	-0.0380685918211652
1011	-0.0120217612276602	0.0240815792534082
1012	-0.0158973485162497	0.0299825761881307
1013	-0.0144909050238501	0.0281050667617549
1014	-0.0134056204567631	0.0250136605741607
1015	-0.0278675790479829	-0.0126353232258263
1016	-0.0162251793459722	0.0282133436293807
1017	-0.0106924322757818	0.040777443657469
1018	-0.00396943496258585	-0.0318322132612392
1019	-0.00421733684260471	-0.0352642027185636
102	-0.0277194530319293	-0.0235190715535149
1020	-0.0110658846098412	0.022130028972438
1021	-0.0123175349661983	0.0226947166704778
1022	-0.012806184463915	0.023795076624421
1023	-0.00376259108751065	-0.0331151108044124
1024	-0.0169705888486352	0.034587060661026
1025	-0.00836486032649329	0.0357530911306001
1026	-0.0113202426196495	-0.0370061129120665
1027	-0.00998612319586882	-0.0353872504469686
1028	-0.0119146086832467	-0.0350316785495709
1029	-0.01538199683414	-0.0346364321021146
103	-0.0225244039358483	-0.0206507400073698
1030	-0.0159880924418223	-0.0332979716919098
1031	-0.00461090557590772	-0.030992363874428
1033	-0.00302044084471574	-0.0296077683652378
1034	-0.00657190954658243	0.0344602198524427
1035	-0.00710988352979314	0.0182094062278684
1036	-0.0233917125688781	-0.0424553110425032
1037	-0.0144138766052427	0.0306314644561161
1038	-0.0239004710300587	-0.00665242684824057
1039	-0.0178684524433609	0.0117706666664839
104	-0.0223346150232718	-0.0208164411401183
1040	-0.0164561139993504	0.0356582187273304
1041	-0.00653322001571876	0.019043005604623
1042	-0.0220159359841538	0.0126658394458495
1043	-0.0167472260027751	0.00741141480497499
1044	-0.0213723042683149	0.0142337098504208
1045	-0.0218352504869614	0.0136859731871881
1046	-0.019645513991496	0.00017838922002455
1047	-0.0117276524177718	-0.011610468414815
1048	-0.0207504672725433	-0.00853961473966135
1049	-0.00855384264175571	-0.0251476235258045
105	-0.0030127329931881	4.32174900005733e-05
1050	-0.0087515450237799	-0.0336603358205171
1051	-0.00328469605001069	0.000708001608762066
1052	-0.00362902036571466	-0.0294694981268785
1053	-0.0111166314506366	0.0289703981397512
1054	-0.00238620899634364	-0.00778377526993276
1055	-0.00494911905460045	-0.0311955493628393
1056	-0.0138510866119084	-0.030255141705803
1057	-0.00226344576186351	-0.00216436757155947
1058	-0.0158650764386448	0.0315648222313862
1059	-0.0101106079488958	-0.0347127649849044
106	-0.0251761570695126	-0.00881787162638847
1060	-0.0125799929669786	-0.0373819056927353
1061	-0.0308818270040848	-0.0322748876998344
1062	-0.0217297560207391	-0.0303912020228763
1063	-0.00847027012244787	-0.032859232226885
1064	-0.0133739929707719	0.0368577914089849
1065	-0.0107090573183118	0.0353639495601881
1066	-0.0105900843030527	0.0337718967326793
1067	-0.00501201103135894	-0.0343641012754857
1068	-0.0112574722031944	0.0338719756557876
1069	-0.00872323587236472	-0.0386172927215531
107	-0.0107269123995052	-0.0192930889513587
1070	-0.0180785276505589	0.0332122549945161
1071	-0.0126646873410957	-0.0307539568868164
1072	-0.0191117910201677	-0.00274179535779632
1073	-0.00561160273212983	-0.000413978265161578
1074	-0.00352226645771404	-0.0310035587798338
1075	-0.0169504172205444	0.0113924979442186
1076	-0.00269825621357262	-0.0280851496757896
1077	-0.0078752650535812	-0.0325840534601289
1078	-0.00603342418395568	-0.0355020739893824
1079	-0.00675142344261165	-0.0340211759828287
108	-0.0196977055482504	-0.0193028933468149
1080	-0.00593436099437538	-0.0348127721370615
1081	-0.0108226043740782	-0.0390302792596527
1082	-0.013682239799197	-0.0321422908560776
1083	-0.0219152783711206	-0.0285363439902426
1084	-0.0212038917695035	-0.0221632411172746
1085	-0.0171311559035518	-0.0371361417647156
1086	-0.0195508038916901	0.00127522879885469
1087	-0.0242097501869931	0.0201176161461822
1088	-0.0239761142971172	0.012529879468902
1089	-0.0226213158548612	0.0111575382046029
109	-0.0170716235739837	-0.00842173182731942
1090	-0.0235968412623339	0.0121091959806487
1091	-0.0190167644531341	0.0313923718102165
1092	-0.00968196431655972	0.0195621498549625
1093	-0.0129929212567475	0.0229758648254682
1094	-0.00890643069132986	0.0194342069397561
1095	-0.00811233114091253	0.0168944485526614
1096	-0.0174973210235265	0.0298241364706422
1097	-0.0173199287290719	0.0299612185117358
1098	-0.0176329401283454	0.0407660193571972
1099	-0.0172223351582173	0.0299894020261984
11	-0.00654462298539103	-0.0342647693260462
110	-0.0141916323713995	-0.0151268881436486
1100	-0.0126976469949638	0.0231814894147132
1101	-0.0131711146854335	0.0275603844769443
1102	-0.0142833811592008	0.0235302703440529
