	PET_vs_PS_fold_change_log2	PET_vs_PS_p_value	PET_vs_Untreated_fold_change_log2	PET_vs_Untreated_p_value	PS_vs_Untreated_fold_change_log2	PS_vs_Untreated_p_value
bacteriohopane-32,33, 34-triol-35-carbamate	0.179151995415643	0.691483136021518	-0.110304281399803	0.887454451700288	-0.289456276815446	0.438249372670273
(9E)-9-nitrooctadecenoic acid	0.0799365571829856	0.943895906080672	-0.133728760845017	0.871525339580114	-0.213665318028003	0.699402054790568
Precorallopyronin A	-0.21315049337284	0.712438406842498	0.298182758546349	0.42158109067536	0.511333251919189	0.158019830841816
DG(13:0/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)[iso2]	0.415037499278844	0.482727279503212	0	1	-0.415037499278844	0.482727279503212
Eerectquione B	-0.179700630019875	0.793771581955012	0.330881049903489	0.375139501477126	0.510581679923364	0.167092500848156
(5Z,9Z)-2-methoxy-hexacosadienoic acid	0.415037499278844	0.482727279503212	0	1	-0.415037499278844	0.482727279503212
farnesyl acetone	0.185877075021222	0.724331813296556	-0.210731013652643	0.729497661611757	-0.396608088673865	0.329848786102886
22-keto-26-Hexacosanolide	0.236098688518822	0.640311932332378	-0.324636430180215	0.570593007073379	-0.560735118699037	0.194448111907719
Aspereline E	-0.122867239537854	0.910258141635462	0.45464020570295	0.221793265832934	0.577507445240804	0.13084692109215
(11Z,14Z)-eicosadienoylcarnitine	0	1	0.415037499278844	0.482727279503212	0.415037499278844	0.482727279503212
stearolic acid	0.159205854775826	0.800335470871699	-0.0920103941819824	0.937821573858834	-0.251216248957809	0.608501312114736
(2E)-18-hydroxyoctadec-2-enoic acid	0.22982440472156	0.725585802488524	-0.0500333734416222	0.986906345419428	-0.279857778163182	0.637840718930433
Hexacosanoyl Carnitine	0.538104756430291	0.236928117550465	0.358887873430834	0.523053009001595	-0.179216882999456	0.778326104526799
5-Pentyl-3h-furan-2-one	-0.206367488893699	0.762540061754091	-0.372220674180047	0.482706892513368	-0.165853185286348	0.870795453431823
2,6-Nonadienoic acid	-0.0879484167514934	0.931293996723383	-0.340788754532258	0.45211352368747	-0.252840337780764	0.646022411478409
Ganoderic acid GS-1	-0.360101748288644	0.430618475113598	0.0765152831219737	0.942926719435229	0.436617031410618	0.294400029479186
12Z-Nonadecen-9-one	-0.223094263139204	0.786178321568834	0.234992250419516	0.69819825334274	0.45808651355872	0.352499723539996
(11E,15Z)-9,10,13-trihydroxyoctadeca-11,15-dienoic acid	0.202731264334847	0.654390638850483	-0.0203014494410876	0.996095502516926	-0.223032713775934	0.606785328488682
DG(18:2n6/0:0/18:2n6)	0.0406517154802781	0.981406732084298	-0.141917301025924	0.822312636788753	-0.182569016506202	0.721987625772688
2,6-dimethyl-4-[2-[3-[(2-methylpropan-2-yl)oxy]-3-oxoprop-1-enyl]phenyl]-3,4-dihydropyridine-3,5-dicarboxylic acid diethyl ester	0.267126270458392	0.791786869498129	0.575650548867871	0.315704870223748	0.308524278409479	0.639180721931505
gabapentin	-0.170483236710554	0.820079765790388	-0.335169516945133	0.529557690548499	-0.164686280234579	0.862435595735036
Chivosazole F	0.00842140303023697	0.999454873506663	0.156024341443541	0.818324690345637	0.147602938413304	0.834371431516609
N-[1-hydroxy-3-(4-hydroxyphenyl)propan-2-yl]-9-octadecenamide	0.399349829651465	0.415821802218974	-0.108400352810345	0.949101788434067	-0.50775018246181	0.289938136249674
olaflur	0.689360609229312	0.14480170575414	0.713477054839798	0.127648330185384	0.0241164456104862	0.994639819107455
7R-hydroxy-hexadecanoic acid	0.48429328813623	0.16566587797206	0.58798324576167	0.0817922060321701	0.10368995762544	0.848283144186505
11-dodecen-1-ol	0.37115423947456	0.306799673571431	0.455961301409344	0.179263259773175	0.084807061934784	0.903153422846735
(22R)-(17bH,21bH)-bis-Homohopan-32-ol acetate	0.0174314804173498	0.996484416921672	-0.158764551453076	0.780272306448503	-0.176196031870426	0.736193894248651
(13Z,16Z)-docosadienoylcarnitine	0.415037499278844	0.482727279503212	0	1	-0.415037499278844	0.482727279503212
Talarazine A	-0.056985746408282	0.975301439947635	0.374581213036175	0.303417306574219	0.431566959444457	0.233669484779237
2Z,4E-nonadienoic acid	0.0249624774533986	0.994822697031507	-0.298329571677545	0.581752842662503	-0.323292049130944	0.528934285915005
(9Z,11E,13E)-octadeca-9,11,13-trienoic acid	0.160788495990313	0.734536979551697	-0.213027947820455	0.663078781758589	-0.373816443810768	0.292998672337886
C20 sphingosine	-0.0626975449122311	0.976407507913964	0.256575215700205	0.629156749454143	0.319272760612436	0.514732875513446
Cer(d16:1/18:0)	0.362397748430512	0.544044092536296	-0.00479761274715684	0.999908533223058	-0.367195361177668	0.5371094665604
8,10-hexadecadiynoic acid	0.243732875544201	0.477390537653607	-0.0970486807083367	0.901896384180869	-0.340781556252537	0.289799794518614
2,5-di-tert-Butyl-1,4-benzoquinone	-0.216192293595129	0.688105255813508	0.0597687017736003	0.964050298909145	0.275960995368729	0.543455729480499
N-tetradecanoylicosaphytosphingosine	0.415037499278844	0.482727279503212	0	1	-0.415037499278844	0.482727279503212
7Z-Eicosen-11-one	-0.0696261539488774	0.964920752187799	0.0875213685470547	0.939287617449011	0.157147522495932	0.828277395573276
YM-32890 A	0.304952700726819	0.744104131273972	0.626753313483085	0.267954495745535	0.321800612756266	0.611808626779486
N-(2-Hydroxyisobutyl)-2,4,8,10,12-tetradecapentaenamide	-0.287523337331	0.639468065280261	-0.484334985131963	0.364860678604159	-0.196811647800964	0.854511452101985
