CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
319	342	1	0.8033	21.984
291	302	1	0.8313	-26.015
302	319	1	0.7071	-18.011
302	337	1	0.8087	-2.016
291	319	1	0.7004	-44.026
307	319	1	0.7422	24.000
291	337	1	0.7812	-28.031
15	34	2	0.9359	0.006
274	315	3	0.7826	-28.031
279	315	3	0.8209	21.984
296	315	3	0.7444	-26.015
315	327	3	0.7002	-26.016
279	296	3	0.713	48.000
274	279	3	0.7654	-50.015
279	325	3	0.7998	-28.031
345	362	4	0.7065	-28.031
261	347	5	0.8094	-110.110
262	347	5	0.7913	-108.094
35	37	6	0.94	0.185
35	48	6	0.8944	-0.014
37	48	6	0.9231	-0.199
20	30	7	0.868	1.997
30	43	7	0.8126	-10.029
30	114	7	0.8846	-0.000
30	115	7	0.7237	-1.997
30	116	7	0.7518	-10.029
19	115	7	0.7043	1.997
20	115	7	0.8028	-0.000
114	115	7	0.7508	-1.997
42	116	7	0.7582	1.997
20	114	7	0.7973	1.997
21	27	8	0.8091	-3.994
143	167	9	0.7335	-217.168
127	143	9	0.7061	18.010
33	64	10	0.8533	-0.036
208	257	11	0.7053	-56.063
