cluster index	parent mass	RTMean	ATTRIBUTE_treatment:GNPSGROUP:nan	ATTRIBUTE_treatment:GNPSGROUP:mock	ATTRIBUTE_treatment:GNPSGROUP:untreated	ATTRIBUTE_treatment:GNPSGROUP:PET	ATTRIBUTE_phase:GNPSGROUP:inf_1	ATTRIBUTE_phase:GNPSGROUP:inf_2	ATTRIBUTE_sample_name:GNPSGROUP:blank_inf_1	ATTRIBUTE_sample_name:GNPSGROUP:blank_inf_2	ATTRIBUTE_sample_name:GNPSGROUP:mock_inf_1	ATTRIBUTE_sample_name:GNPSGROUP:mock_inf_2	ATTRIBUTE_sample_name:GNPSGROUP:untreated_inf_1	ATTRIBUTE_sample_name:GNPSGROUP:untreated_inf_2	ATTRIBUTE_sample_name:GNPSGROUP:PET_inf_1	ATTRIBUTE_sample_name:GNPSGROUP:PET_inf_2
1	170.83215310156828	0.5085635	0	1032279.45	1224886.25	0	1007657.4	1100455.6666666667	843126.3	966881.5	851976.4	1212582.5	1327869.5	1121903.0	0	0
2	305.0783868246557	0.48040196	0	0.0	383134.35	0	0.0	255422.9	0.0	0.0	0.0	0.0	0.0	766268.7	0	0
3	219.844628679914	0.5014242	0	626128.225	549895.11	0	676642.5033333333	601148.2333333333	829282.6	652042.94	676405.25	575851.2	524239.66	575550.56	0	0
4	164.83499590039946	0.49663165	0	1141427.2650000001	394005.85	0	1158441.3333333333	501725.93	1546199.5	363436.06	1929124.5	353730.03	0.0	788011.7	0	0
5	255.82172553140987	0.50374293	0	2356350.5	2506685.5	0	2239296.6	2604912.7333333334	2254797.8	2551758.2	2124451.5	2588249.5	2338640.5	2674730.5	0	0
6	257.81868904975704	0.50374293	0	2281321.1500000004	2635303.5	0	2214252.1999999997	2641600.4	2195829.0	2538479.5	2074855.1	2487787.2	2372072.5	2898534.5	0	0
7	259.8157155105601	0.50374293	0	794925.655	839036.225	0	782575.1699999999	865677.1866666666	774114.25	902719.06	759471.06	830380.25	814140.2	863932.25	0	0
8	267.8582039531708	0.49565238	0	816239.28	755687.0	0	873779.62	766781.4333333332	952038.1	825792.5	948209.56	684269.0	721091.2	790282.8	0	0
9	269.8552236877972	0.49293935	0	836050.275	709292.3300000001	0	878233.64	729067.4166666666	982642.06	748575.9	931516.3	740584.25	720542.56	698042.1	0	0
10	153.86740329050755	0.49620914	0	2697570.5	8711595.6	0	1171916.0666666667	7479579.266666667	0.0	3136153.8	0.0	5395141.0	3515748.2	13907443.0	0	0
11	157.86164354715638	0.49685034	0	341451.22	1039467.26	0	215925.58	951801.1866666665	237972.12	503371.22	0.0	682902.44	409804.62	1669129.9	0	0
12	122.8927776836719	0.50866395	0	419789.45	0.0	0	316891.31666666665	130165.23333333334	501590.75	0.0	449083.2	390495.7	0.0	0.0	0	0
13	162.83795494886067	0.50086117	0	3916536.1	2293381.05	0	4064737.1999999997	2156080.033333333	4989919.0	1252698.4	6290843.0	1542229.2	913449.6	3673312.5	0	0
14	237.09076099822784	0.50105804	0	0.0	2565756.25	0	0.0	1710504.1666666667	0.0	0.0	0.0	0.0	0.0	5131512.5	0	0
15	163.8454679607616	0.50511557	0	547494.545	394091.93500000006	0	596851.6133333334	417977.85333333333	775484.06	385831.38	635598.75	459390.34	379472.03	408711.84	0	0
16	160.84089387203514	0.5035908	0	4247278.35	2554776.0	0	4410645.5	2401622.6	5407953.5	1424742.1	6755479.5	1739077.2	1068503.5	4041048.5	0	0
17	295.8892685086444	0.50319475	0	623646.89	547958.6599999999	0	641790.79	570413.3266666667	680567.0	612834.25	737460.25	509833.53	507345.12	588572.2	0	0
18	353.94891299540126	0.50153404	0	1583017.95	1459479.2	0	1590123.4333333333	1507997.5333333332	1675647.4	1533721.2	1855782.9	1310253.0	1238940.0	1680018.4	0	0
19	209.83299249321493	0.5174866	0	1051915.625	730156.475	0	1171586.6166666667	801969.35	1553459.6	803064.1	1258395.5	845435.75	702904.75	757408.2	0	0
20	207.8359447870413	0.5092684	0	3427350.85	2337937.0	0	3692996.733333333	2581594.4	4900514.5	2392683.2	3998033.2	2856668.5	2180442.5	2495431.5	0	0
21	197.8070911827246	0.51049185	0	23504006.0	18277533.5	0	20711697.666666668	22240932.666666668	23942950.0	21351862.0	22519654.0	24488358.0	15672489.0	20882578.0	0	0
22	199.8040609853853	0.51049185	0	10964191.5	8750684.75	0	9832096.166666666	10383619.666666666	11219969.0	9997426.0	10618478.0	11309905.0	7657841.5	9843528.0	0	0
23	125.87182894500992	0.5106129	0	1396134.05	886177.68	0	1479711.9866666666	972178.9333333332	1857481.8	933567.5	1724652.6	1067615.5	857001.56	915353.8	0	0
24	195.81020814230652	0.5120298	0	19406898.0	15212327.5	0	17245511.0	18373706.666666668	19870488.0	17748714.0	18689398.0	20124398.0	13176647.0	17248008.0	0	0
25	127.86891164977804	0.5218277	0	985061.55	608304.905	0	1033790.5500000002	673667.4533333334	1304666.1	630975.0	1240648.8	729474.3	556056.75	660553.06	0	0
26	162.8413294139712	0.5109691	0	312599.05	1032852.2	0	153918.30000000002	871855.71	0.0	386419.53	0.0	625198.1	461754.9	1603949.5	0	0
27	201.801114959438	0.5107559	0	2334729.5	1830455.75	0	2034658.5	2198451.5	2334558.0	2034401.5	2230964.5	2438494.5	1538453.0	2122458.5	0	0
28	193.8147844911598	0.5121202	0	1131766.65	952746.85	0	1037362.0333333333	1107023.4666666666	1153774.5	1110355.0	1112931.8	1150601.5	845379.8	1060113.9	0	0
29	167.83311895646338	0.52304614	0	237833.61	908326.915	0	140746.01	757485.1066666668	0.0	402372.3	0.0	475667.22	422238.03	1394415.8	0	0
30	205.83894135571683	0.51612484	0	3524288.75	2404898.1	0	3854422.9	2656506.5	5179139.0	2495275.5	4131577.5	2917000.0	2252552.2	2557244.0	0	0
31	137.8904704822836	0.51805377	0	0.0	622582.55	0	0.0	415055.0333333334	0.0	0.0	0.0	0.0	0.0	1245165.1	0	0
32	164.8382350403874	0.5095292	0	298188.875	1004567.6	0	139856.26666666666	854389.1233333334	0.0	377223.22	0.0	596377.75	419568.8	1589566.4	0	0
33	214.10767575026205	0.5184551	0	221255.125	0.0	0	0.0	147503.41666666666	0.0	0.0	0.0	442510.25	0.0	0.0	0	0
34	163.83917882528075	0.5210712	0	930470.135	2919836.65	0	658219.3233333334	2443778.433333333	290507.7	1314872.0	239162.47	1621777.8	1444987.8	4394685.5	0	0
35	167.0199643592922	0.52320457	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
